,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29S,30C,31H,32H,33H,34C,35O,36O,37H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0795859968314814,2.210268111410967,3.2453677143805906,1.3826481267945365,2.1408731901988003,4.800620305921687,5.8918127435804575,4.778071397020121,3.9780391882023762,5.974001329999173,6.796719956763512,6.5208340460949765,5.920362234467934,7.442974413812608,7.068562431014044,7.859453681736815,6.404612126454355,8.150907399205735,7.181259287071532,6.615411337151721,8.018924826546211,6.646451535791799,6.112187158002161,5.402659706953268,7.438942413133924,7.655021384905828
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.237326743982263,4.2251019276198125,2.1599910173386654,2.556427020305152,5.486032202911951,6.485076090014699,5.6544140213619105,4.935339934767029,6.873513383075622,7.6435390499864635,7.52587049465226,6.959143204417161,8.437301163913327,8.084490645029003,8.834721856639227,7.399401722161854,9.211901964458916,8.250466897647922,7.691892564440473,9.078954507105275,7.688490562385476,6.92752541082448,6.127317995188105,8.250707907528334,8.401821610433357
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0817662884836712,1.3611357740629182,2.1220920833864456,4.814823471112039,6.0247952476728805,4.187225397511019,3.1736731193521597,5.154215332865617,6.1153790540810595,5.1871661404400395,4.3834000821537495,6.09431075444772,5.636194408165539,6.594317280225928,5.054184116391156,6.368110853883729,5.168335819339147,4.550899872038678,5.922074751784062,4.710269157244154,5.512533893086065,5.099674266558701,6.738640790319379,7.090628154238126
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1485533609382124,2.547442516833195,5.494094313625435,6.697905232808987,4.657713055394583,3.640428964675223,5.442235909589143,6.4322528508826515,5.159701058676234,4.24670918326612,6.007913096656354,5.513471303492345,6.548098649381979,5.001952722280907,5.935465527000106,4.525462176409094,3.8784220949896615,5.147449716252226,4.125838650661546,5.87152532980123,5.594719560533672,6.99025390223218,7.379144907599022
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097212587153732,5.48768743726678,6.6657600934283305,5.137174024464098,4.183555844709607,6.218820610774976,7.14208521502947,6.4381240006529294,5.671252362982759,7.344120018675774,6.915590011513142,7.829812381843482,6.277470112804196,7.712733191747099,6.4954165347187915,5.891906428432326,7.210273743087208,5.9778553353654855,6.442756737280514,5.840952952687846,7.7151333455493845,7.971628869383316
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.493231760929417,7.672388304695017,6.122722325380901,5.152298820665451,7.1735969834841065,8.115448899453984,7.2981411457710825,6.470182627333313,8.180932699210429,7.740623700759377,8.69078558097252,7.102064166899095,8.39133467164757,7.032704467171214,6.424355485743249,7.638646858564241,6.508772760868538,7.376293066710441,6.753872352822225,8.62133655295371,8.848755248162071
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2284806385276545,1.3673298038524635,2.047126829526118,2.4317276534416687,2.581075768892935,3.7325851647661468,4.053951979829677,4.564308353900582,4.158785877002881,4.350654485653901,3.712771285117478,5.927942921141922,6.1356208520489615,5.9186267399822405,7.227497668453524,5.807894847490893,3.113153261270827,3.222673760642371,4.266035559693183,4.844016667287946
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2817626889340277,3.158260734736874,2.7705578368261894,2.457869123504959,4.218028890429349,4.7676983958506485,4.85409631403158,4.635021059998296,4.549234934281838,4.3541021008810175,6.468349916060708,6.961964066781808,6.7995181064228545,8.048924247846685,6.7115656715876435,3.274412372682847,3.522199628628215,4.158980294652966,4.712689023489174
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.025749324162797,1.4470707945723895,2.0654172969180356,2.4725395445175034,2.696385290738223,3.399602224598361,3.0390766834380103,3.4674504436137235,2.7028562531532305,4.732770018323871,4.8762066696487,4.5954417894020585,5.968966571443774,4.667255317429478,2.453707413507309,2.793012836868539,3.6373427580969775,4.322016769536826
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127466079102592,2.977095362865887,2.700080902859565,2.499712827897976,3.69728027013862,3.293010967025072,3.978475315606675,2.8472780247810294,4.745984312564551,4.501327280559571,4.097363453565072,5.57060578031709,4.231662492778664,2.896388462014976,2.972133824755813,4.153358944028157,4.748671540545346
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953068705106175,1.54504617439121,2.16541820013311,2.164571931857557,2.552289565628626,2.821609373596246,2.777085909244359,4.2282591070415885,4.762542913105749,4.45019315633121,5.813118404691225,4.864349281545604,1.53453741612404,2.451067684821862,2.385604435924907,3.219866739550782
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.172602986037456,3.069773698408989,2.540414706944506,2.74841957150829,2.5726181344567784,3.0280881210924036,4.495639415517738,5.357126219928405,5.217412230822928,6.383998294125703,5.440577924242474,2.121033301169556,3.1359346072111496,2.5584778199267824,3.4532515993837865
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0982441247980055,1.094066921032951,1.5325659630151056,2.167924479439576,2.1802111963854567,2.8361467977823023,3.4362924002023054,3.1505645062477288,4.423890341506149,3.7785704255121915,2.5347182229135434,3.4640296906010497,2.965149169564149,3.8256932468607356
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7620197999973355,2.172890158211874,3.0779924626184587,2.563213053340696,3.0263564733388457,3.0235043399883343,2.435511624654487,3.9958451021541768,3.3985739907945365,2.815733291047572,3.4355180124738456,3.4267525184999914,4.119332510501338
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160500827739236,2.4842387929982026,3.0762690453730253,3.0290020275651486,3.9141162202406345,3.6057305282825163,4.755937726835089,4.483109530133136,2.6820440516415087,3.7308789943530027,2.580740500028049,3.419682605380874
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0961835164131666,1.0949440540973214,1.8362288428471532,2.821740663030732,3.056173046970149,3.781359543997039,2.9938614703777824,3.8994822931307818,4.833728011547229,4.30234921562704,5.228751270218135
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7623985605271044,2.368429075923559,3.7480229294237435,4.092540984565002,4.604507683598312,3.90715867407322,4.172998286361591,5.2317568368583505,4.371322765759633,5.3424519801349275
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.424662207021293,2.8799674917479225,3.1930470969945595,3.8954453975773076,2.6360852798150214,4.242726183360328,5.0089860169271185,4.915573510306575,5.817989029802997
29S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8282231772841535,2.458298400130634,2.3849943838664,2.4444939081915384,5.365562846956987,6.268367051764864,5.573700243204971,6.435725337991526
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943517987085898,1.0937305499861152,1.0950280797948382,5.789370981784105,6.408831383421462,6.285849693073426,7.040588334298936
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7759534290196302,1.7900227826494886,5.245192589169056,5.739177289087475,5.77782977860598,6.434426496649559
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7791760122296196,6.785733851455124,7.403695072526596,7.194161162129753,7.922303167826319
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.024091342364715,6.564646938573536,6.701883354617793,7.481506399120144
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2100493765237645,1.3556695249001827,1.8786160786154726
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253491909861377,2.2844982585763
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9762146491361556
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
