 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,S29,C30,H31,H32,H33,C34,O35,O36,H37
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.945544984945014,0.6313423206036148,0.029505110998658157,3.4028827416330643,0.10788037131500972,0.003583302895355217,0.001411704163137975,0.0018021898253006152,0.005751699940540478,0.00020440158030557432,4.056981685773842e-05,6.157910654067122e-05,8.833713713851665e-05,3.9998852552347586e-06,7.4428532199910524e-06,1.7705768220466211e-06,2.893947812943054e-06,2.9557815235808915e-06,8.664857831922057e-06,7.303853864382148e-06,8.835261473549849e-07,8.533181854453176e-06,8.361779247037515e-05,0.00015842387915646072,1.9987802296950186e-05,4.209298716473242e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030156971136068966,0.0008773800236705487,0.09941295338899647,0.004530623984706272,0.00011871449424916136,3.633234438027433e-05,0.00019341356566893175,0.00010562137336522781,1.8240291784543672e-05,8.095752488612717e-06,9.578736626325579e-06,1.2917033789472399e-05,6.104635161818805e-07,8.135194455860528e-07,1.9371895265685168e-07,4.083278926092504e-07,5.114114649540369e-07,1.7933333235076176e-06,1.9542866473987175e-06,2.2361944207460738e-07,1.0222629365230773e-06,2.331648360831551e-06,8.803237301346911e-07,6.038948783260167e-07,1.6989691653535033e-07
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0709180925618824,3.543939316910512,0.1190531967505144,0.0013001631947891223,0.0005849517974174517,0.010404276120285827,0.019187107008343363,0.0011927331587656687,0.00032833269692411626,0.0001329879348764551,0.00015117649927920418,6.2338236053172125e-06,1.837879129021336e-05,4.274629044287437e-06,5.112683876706825e-06,3.9501822152232524e-05,0.00010229924908058963,5.221565788593452e-05,1.2545663277130359e-05,3.333292458984616e-05,9.109659415684757e-05,0.00015636315262536338,3.1627387167831866e-05,9.306480899251568e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1045720156026233,0.004660981539216014,2.8696389753779528e-05,1.8179964788367364e-05,0.0002499088256493476,0.0002028188086409255,2.4627833478119143e-05,1.0743667409496283e-05,1.3040099089645096e-05,1.1131457236857045e-05,1.151465546689323e-06,3.796800116084853e-06,8.420590025259855e-08,6.669743395359973e-07,7.724048421453578e-05,0.0001487310760680538,0.00010650671842893367,1.9287430263581484e-05,1.955308113932297e-05,1.34747172886307e-06,1.2546803690449693e-06,5.395161323251685e-07,2.325566073047014e-08
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9619847609062806,0.0010093783785236343,0.00043118407269010506,0.0035982547380983138,0.007096787814484196,0.00044176863431574787,0.00010967418429630449,4.1914993111791254e-05,4.521323276196476e-05,2.328528972861399e-06,4.287545484940591e-06,1.4315348536575456e-06,1.5807860929140105e-06,3.517024760153753e-06,8.98037050682532e-06,7.612785122512733e-06,6.147924829225104e-07,3.797178104836263e-06,4.004203256782746e-05,4.402334682218623e-05,1.1879577731369051e-05,3.4071620955700155e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001347840820752344,7.845871929457182e-05,0.0006956981552276309,0.0006240179748142616,9.118006201014328e-05,3.208295892709323e-05,9.244723581880443e-06,2.3894542622304726e-06,8.896239256372951e-07,5.552393629315588e-07,3.9048317801437804e-07,1.611665201295409e-08,4.144022101026934e-07,3.2361684332293805e-07,9.02471721797582e-08,7.40738526072704e-08,3.0227793823556226e-08,3.06702344621268e-06,2.420533936842162e-06,1.1266444877033877e-06,3.447721057536768e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.871536343176946,3.4932735802167345,0.13685840515615344,0.27633263828522936,0.021099475323177685,0.032716006724590685,0.0010278841888824441,0.004058667353935785,0.0034834128841756407,0.00010350165031569603,0.0018739887924466014,0.0008438291729147979,7.760847206195187e-05,1.7044208583616438e-05,2.6175641829606633e-06,1.6670827135856214e-05,0.043159947353614336,0.012504406475129584,0.007877948614920666,0.001219368303333912
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5346530817198322,0.023121100612363055,0.07585476772191166,0.03844973065468926,0.00825027429473292,0.0011187068559098678,0.0008152104478045263,0.002223045489281858,7.045657670023964e-05,0.0015380319430711165,0.0004776236087125352,7.730620416508682e-05,3.587723001663434e-05,2.2856579143804012e-06,7.551269947336792e-06,0.01749741979822353,0.0036319303069784967,0.0027782180527151923,0.0007157206009741346
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7849402745612024,2.8378106085309676,0.09987942008992767,0.1729580066334361,0.008207110666014206,0.024600665205057548,0.02428564137537008,0.0005325643788511858,0.01914507106823793,0.004672507907420256,0.0003434967976390785,6.78148741479756e-05,2.2968182917804114e-05,6.0094629498630425e-05,0.19790721096544925,0.031831756992349025,0.029445600966321733,0.005078681567733057
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09642269382717239,0.025615050757513913,0.010920686755728881,0.005151767614079539,0.00028592882510425355,0.0009597522572435402,9.297102600736018e-05,0.0007739135753128679,0.0002879384921219419,6.203741006172159e-05,2.7796538747182353e-05,2.7833350499939513e-06,4.28631604478813e-05,0.004512598826869496,0.004004128964138154,0.0008987731571755697,0.00016688818203935973
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9741184599774144,2.7191541738575205,0.08729438913866505,0.09110243988799094,0.16634047368031646,0.008252487117748952,0.0081181087635529,0.04478997205989062,0.002415133975680453,0.0011932120847275574,0.00037705355056982803,4.152778471033791e-05,2.698020990174852,0.26893532347055876,0.21617339020365442,0.05438208146017376
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08393964024552047,0.032496634242834554,0.0032576147234471,0.012076325860483683,0.004454289035555448,0.0002021337076758556,0.0017056041186764848,0.0006334043626761154,0.0002664028287606701,0.00011752424598476807,1.1413199714871425e-05,0.1119010749831626,0.03017127162934885,0.011090592320141868,0.00043919963569849507
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.070307348638024,1.9461240777352662,2.8569232446308694,0.08218736133039828,0.08436532913031858,0.1970482404228131,0.014598430335656665,0.0055219179005137065,0.0013800607209704108,0.0009021635525925387,0.18907235357165347,0.0398543368341959,0.03091437289780602,0.0023055339585627
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02454133878070075,0.07864776098524473,0.03279191444686136,0.004428139203463077,0.0103612029923007,0.006211505708746845,0.007978222163012472,0.0006263298094670855,6.793682824945968e-05,0.007251427813253164,0.0012193317229548528,0.0007534246218691143,0.00019288937344952295
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08450971522603501,0.005915163226600795,0.03237362688011358,0.014356511916021497,0.0005751479937868842,0.00016764026615323502,4.3401509792095894e-05,0.0002767346669960702,0.011613397374312662,0.0019914125522291215,0.01635916106519908,0.0003344915080396582
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1034416068514403,1.9581042151184889,2.807560047451093,0.11844186040876697,0.006320795916138877,0.02739987448863279,0.009625929889994778,0.03050022125940763,0.008024780884833188,0.004797078229933027,0.000440440489323346
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02566762331623207,0.09339641492529116,0.025450753131945336,0.00022750951704408884,0.001388531667762427,0.0004536324794672808,0.0008650533592873266,0.000356497910891429,0.0001119652969356899,9.508689312154317e-06
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08915552081380695,0.012162475097796999,0.0005783383077475612,0.0005866605522317769,0.005044794368475269,0.001494920660508381,0.00022417028938548356,0.00047301710487190896,0.00016646968615385838
S29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9160853840370846,0.09598932547564376,0.0907985408542582,0.09741342594746849,0.00862262324884594,0.0033246631723168017,0.0009636288185622885,0.00012859767475814632
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0835408297685105,2.102111703600351,2.0766892200718696,0.00040979345353886476,0.00013132688541309112,6.177096991252795e-05,7.661579275453079e-06
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024976673641152525,0.024200005393227864,0.00017483682880570228,5.3384474607565124e-05,4.4158866518650974e-05,2.7619545119872413e-06
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02540575276694046,9.92671255912736e-05,2.837305151992542e-05,4.783433388277913e-06,2.6016419865104723e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.944593223121245e-06,4.126394728798388e-06,4.312626759817029e-06,1.1373166075578922e-07
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.689254196670744,3.351742675441912,0.16459645830376235
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5041963802641338,0.06675027541341116
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8060446620720523
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
