 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,N34,C35,H36,C37,H38,N39,H40,C41,O42,O43,H44
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39387337723108895,0.031204205377818428,3.4458735137392984,3.5408038267703428,0.13052866923725204,0.2872100908771795,0.02682517556264541,0.3362565481872915,0.027635742758994386,0.2329099234897498,0.003954248202492794,0.006281005774578102,0.001153642142082592,0.009331513633317134,0.0018371078873650193,0.001968242997856612,0.0005187533942517808,0.0005727349860825265,2.837992469695294e-05,3.9220645139170784e-05,6.883192809953309e-05,9.90461760025374e-06,1.0694318583415185e-05,1.0447130294188867e-07,2.801799045715203e-06,3.0322851629627223e-07,3.4006063285851873e-06,2.094732493018725e-07,0.001882751236745861,0.000744187118091183,0.0001545652785054502,6.536726909944779e-05
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8854053410211427,3.3139120031987317,0.04750600101549704,0.0042603885383400986,0.2515890897419345,0.007368299674963996,0.050158064964767074,0.00044837308811929155,0.06567599997138363,0.0030036803745288054,0.0013576968680808488,0.00025118283109118456,0.0010723609554536828,0.0006991123414208378,0.0001476565784435946,9.255583542111534e-05,4.84627895065981e-05,5.131628417642808e-06,1.5449888965957115e-06,1.188579740113438e-05,2.064130439585754e-06,4.098199861468643e-06,1.3285262001616616e-08,8.445513662025395e-07,5.305388173226788e-08,1.2311844814621997e-06,6.669754248900261e-08,0.00016641168180137056,8.48767140241985e-05,2.7779743771411125e-05,1.84596683446836e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11765036248699268,0.003507229919542554,0.0014013713646772175,0.007024050087447997,0.0033925380284114404,0.000540048700096607,4.1653951626585695e-05,0.000583160360394186,7.071100858491164e-05,1.1627521216417414e-05,7.51547916255646e-06,3.1247064652406564e-06,1.8649557966821106e-06,1.0646896884125567e-06,1.0375532160100676e-06,1.4043243157235707e-07,3.714931717802017e-08,2.2993806414461915e-08,1.7286707065800044e-08,4.8550513609413315e-09,7.985625383177819e-09,2.0186075033734596e-12,1.1637275587617069e-09,1.1485346007589214e-10,3.065319997830329e-09,8.013167906995022e-11,8.488448876020627e-07,1.7294024386993456e-06,1.0121348770208982e-07,2.2695313628418035e-08
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30352948044262945,0.02738738064948576,3.473397167151772,0.13086412864181773,0.22785475517898832,0.004023609878490708,0.3512118833183393,0.028071904498436107,0.0006055978116866201,0.00017831680995693266,0.0012529847231891322,0.0002005304270548125,0.0002678405244178894,0.00012749923562038745,7.293560225377083e-05,5.407906762844306e-06,7.241365426180479e-06,1.1316344865314187e-05,2.696737601892707e-06,2.2455616302541337e-06,1.4751684984659619e-08,7.92884812306216e-07,2.754112227165706e-08,7.290685279659481e-07,3.374299029079708e-08,0.001397211536871945,0.0012523863301277943,0.0001460016317816476,2.952866880112648e-05
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1076983179079356,0.3068523055186013,0.0035457473742150913,3.833411557770831,0.12747187780256142,0.32305584551653643,0.02576033150549839,0.007545514035813772,0.006873932270549263,0.002923659598081149,0.00017860690698812132,0.004441447228175702,0.005185156086940479,0.0006091068787187209,3.0250555567379322e-05,0.00016096619664018874,5.12877585397975e-05,1.8138877229179062e-05,2.3405368674594973e-05,3.229820779715453e-07,3.512124517907056e-06,7.240609778413898e-08,8.820171171111668e-06,4.564728994793654e-08,0.0017502854248396538,0.00029551108037710605,0.0006188861997364487,2.558911956629384e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003458995073827076,0.0007608369503739887,0.12719854536230635,0.008499740039793924,0.027266738229016818,0.0011137408764323453,0.0065912387283537655,0.013893298310115987,0.0015610637916363412,8.250167802481556e-06,0.00048508492679921744,0.0009307190685057254,0.0001493073035341297,2.29813873509066e-06,2.9197112978440742e-05,1.1059400137902742e-05,3.837445159415864e-06,1.0880273806357366e-05,3.252714741996954e-08,1.3591891907527298e-06,9.082310459262999e-10,3.1363629064973253e-06,5.6998719744072446e-08,1.7651830766851617e-05,1.5219311791603296e-05,7.39704741070657e-06,1.936305399574678e-06
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1185743954627085,0.3254000532653518,0.026162321768650187,3.926422381862006,0.12906682267720826,0.00039125259117406275,0.00027669977954696,0.0002110476899136876,4.983105678257882e-05,0.0008581859140583403,0.0006115163663128476,0.00015883428640417474,1.3577551571941626e-06,1.9562468809963818e-05,9.150797434742675e-06,2.6060970003544126e-06,5.6198060515155746e-06,2.6307064082686793e-08,1.3891593356463172e-06,1.8448864658182629e-09,1.4866235002741757e-06,1.8356803410668476e-08,0.0006028358257557931,0.0003705714212871025,0.00020167109454446996,0.0005112171798186127
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027573266367241667,0.0010694714686219076,0.12497546460407305,0.008394138022493447,5.136287664742056e-06,3.980338290965335e-06,4.95045703874375e-06,1.7606294178129644e-07,1.5849118335520274e-06,2.787543409432658e-07,8.399313797813335e-07,8.263444151168642e-09,5.843350248113666e-09,1.227771853073989e-07,2.8227108872513895e-08,5.200123220916453e-08,5.094136223959822e-10,7.350261732597119e-09,3.6315150886423453e-10,1.0878675738013044e-08,6.366445148842104e-10,6.0587963295333225e-06,6.600935286371623e-06,7.036781045632878e-07,1.6311716206640625e-06
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9555367153919032,3.787258407272755,0.1228100197075308,0.0007837456284675859,0.001169013390502266,0.0006163221500274374,0.0001194289534284243,0.001967142791021545,0.002544563825595647,0.0002979324749119716,3.7518322529850323e-06,4.885869398063569e-05,1.790128535292257e-05,1.1010496574911932e-05,1.8647740208405095e-05,1.6864876850597454e-07,2.5176709427532362e-06,2.3474119537070237e-08,7.260629305658184e-06,2.2491792761591967e-08,0.0013041534218543593,0.0001651466645800348,0.0016606487426316374,0.00019857563088521157
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12542258323186095,0.008091156590125825,1.9817653542419933e-05,2.3392876730143897e-05,6.8831644697286976e-06,8.825913271337527e-07,1.5360593032864855e-05,2.2156310499843457e-05,2.9478393508419742e-06,7.69358252661334e-08,1.5583165584587277e-06,3.596778459513672e-07,1.689746900179756e-07,4.596076397245241e-07,8.151991526261781e-09,5.386991230871274e-08,1.238146252191541e-09,1.0834761021705219e-07,1.2692558115645625e-10,9.540856125145325e-06,3.397171767560714e-06,3.789415543931085e-05,1.1041328562555464e-06
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8373726645838262,0.0006190850342581711,0.00021771496361108755,0.0005967811183537619,5.317956608019703e-05,0.0003563909582077196,0.00013657439448810926,5.8671769509285876e-05,1.450494494736887e-06,6.635296343371344e-06,8.384265503397215e-06,3.9958378083571056e-06,2.4645931518130215e-06,8.731108280812805e-09,1.1313848987393182e-06,1.2896934853401376e-08,1.5392167666411494e-06,2.9432463799494712e-08,0.0005424972114541071,0.00010197573346561184,0.0011087533290524698,0.0007993638003813697
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.971866899437181e-05,2.659321928799585e-05,1.5245722229106917e-06,7.033607851703039e-07,1.2494581593802678e-06,1.2502528456970197e-07,1.4694766403700044e-07,8.444322574518992e-08,2.1731969335192503e-08,3.353317623577823e-08,5.9155008003131115e-08,1.1597177884681287e-08,3.7454972456885116e-10,1.6314771977832265e-08,3.146216620564246e-11,1.3703160384181956e-08,1.7435919374975128e-10,3.5391586021837895e-06,1.365074025705404e-06,1.3893983989543557e-05,1.216008188853479e-05
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.728485420560247,3.545592009027141,0.13841392701216737,0.2721633069036965,0.025487308996520408,0.035181795724506554,0.005235047216567201,0.000791403139843494,0.004694478196760166,0.0008116210049742278,0.0014248086778413105,1.1872895971043462e-05,0.00026124249563536095,1.7752532888826167e-05,0.00041847390407367957,2.6392189798940535e-05,0.029353007214373422,0.007206905873835628,0.005480421890640186,0.001378345930806435
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5430640122522121,0.025930040562796797,0.06692665860973633,0.034629888867593106,0.01674210238682368,0.010707255427741202,0.0006352961126190326,0.002412857049804887,0.00040066210007279335,0.0007487973034552842,2.9194512798702554e-05,0.00010916805088125037,6.058543362885693e-06,0.00020060932682076926,1.3112811132809377e-05,0.009316059198116927,0.0041573857692585245,0.00127291548918744,0.0004006072275721806
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7334882392782216,2.8768015019549797,0.09691409753189317,0.1936933200624466,0.008826653126568385,0.009238624744234425,0.03107414405149317,0.0033986559019335283,0.006647029227825535,3.266797091372453e-05,0.001372382725308957,6.309909496526878e-05,0.0017959960856200885,8.701623826190552e-05,0.19730291397731806,0.05731749845302768,0.027406135667764425,0.0054975052644573585
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09804589957015597,0.020528139469780715,0.006897900541136259,0.00016123897788022923,0.0009954580627908882,0.0009819382571193414,0.00020841964968909554,0.0004170139174791698,5.755113695604663e-06,0.00010641232714470039,7.224509416703384e-06,6.848518577740048e-05,2.3428432576189095e-06,0.03388225914156573,0.07278732357553896,0.005556330029076295,0.00015763982699423806
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0728136668391217,2.748854396560314,0.09579855326419362,0.08363259683040258,0.1732773828427343,0.021882302533522233,0.048360555127474,0.00016264299226032009,0.00793668832870581,0.00014939608971675788,0.011161400986624104,0.00019958595915936517,2.7892623991640653,0.2767182434922502,0.22040234764738081,0.05467777244727223
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07791340274698277,0.006279003593638199,0.03120872006848341,0.0077133589283751025,0.0004610155757904799,0.0029096324618743674,8.907711075112346e-05,0.0007376675779737774,3.4789916052435643e-06,0.00039782852728209583,2.530488124952157e-05,0.10711086544484849,0.024596338486227554,0.012118147760657672,0.0013515941472366233
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1060536905633604,2.1253076255301013,2.913101355249545,0.20121820538873747,0.25305719326230935,0.004096324032446308,0.048657573144803706,0.0023902208859891694,0.04832696697230536,0.002505211073688507,0.1821896787402928,0.04045440271559683,0.02371162838468334,0.0020519982235880363
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025010481871397205,0.10673015413433351,0.02323783032896065,0.014327262298076793,0.001295058171463026,0.0037841769269855163,0.0007579550840706162,0.002648043270780498,0.00012109890977041182,0.027542565031024147,0.005590810455045947,0.0027809344906626343,0.0008359468857110919
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10865210884160903,0.017239160662419928,0.03130033205854499,0.00020360655888729262,0.0034731594022352485,0.00013460548421928564,0.005183012919314223,0.0006162270436691486,0.009727649416386042,0.00320598754430923,0.0007832707018834428,4.681234420877978e-05
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4927412965183513,4.044864641188041,0.11737774687059788,0.5476628101364976,0.03692297071196138,0.49902682500431744,0.029373703684196784,0.014444594205238526,0.003433541061885731,0.01221092437469079,0.0007458607654389215
N34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42233992501451445,0.026281714838156445,4.348894196847338,0.1110955397239437,0.5366871020567775,0.030420891346601864,0.010902222317854815,0.001123910630638228,0.01069117169520882,0.002065927832956227
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0038012596238977,0.6261060790448735,0.029436990821633646,3.4482710298919588,0.10828538146111677,0.0034204528903381826,0.0015230541195001973,0.0015489886627624572,0.00033609053950900414
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030422431463211108,0.0008592071175022031,0.0969562882776085,0.0046146511560678505,4.4166247525012636e-05,1.738909327075877e-05,1.2837175567215198e-05,1.0204904494770517e-06
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0272837073377197,3.517178859146265,0.11565640396000365,0.0016710785081223145,0.00036871029724522275,0.002477786235973403,0.00035881044446017807
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10167741155638099,0.004675714103208328,3.456658192635409e-05,8.156609402121262e-06,2.7690808158897795e-05,1.8846618132783988e-06
N39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7712651517635882,0.0017471088280315017,0.0003224530281474014,0.0011770005947380202,0.00031226820483898354
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.742672281754512e-05,5.097887604277318e-06,1.9657705227271727e-05,3.087030756576681e-06
C41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.065021057052611,3.5017462172250116,0.17580708197887351
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5150114105289393,0.06486639859661947
O43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.854611316571637
