,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34N,35C,36H,37C,38H,39N,40H,41C,42O,43O,44H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.319331882191252,2.143999784335723,2.5147480269516995,3.268880082556948,4.6962304500322976,5.175352082564207,4.597506719346786,5.00641158701914,5.676482868892326,6.705523364221792,5.636377787694387,6.6448822050086465,4.680767486110049,5.716591349405837,4.683795786551067,4.014969019826254,5.844532095479773,6.210834802726001,7.082546214799733,7.279129520096057,6.999111090302087,8.365477309314361,8.902697064709812,9.348730850247557,9.538219214386366,10.074321593622734,10.855277140158174,10.366012850415414,11.26706505198096,5.749313083421704,5.174255203781054,6.748961689275456,6.903102669385185
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2550467075042127,3.230678368965382,1.4230244627993247,1.40778811882205,2.1708153137634087,2.4731106592161756,3.4603691972778274,2.411134732865978,3.398107834064962,2.8036025551025627,3.8904955910319345,3.427277916380991,3.985834464298664,3.449694096842585,3.374253073496549,4.013781863948732,3.8507569889691786,5.543753819859549,5.787518991408812,5.9469576900148695,6.503370228385706,7.171171492187532,7.173383467788885,7.246829850395446,8.092895343037585,8.907081445998417,8.138878170234461,8.903230393077031,4.000846826541842,4.101257957354831,4.544098972075699,4.904300829090749
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0079022980508,1.3796642870396483,3.5778227394887065,4.425840235777899,2.5242066466691244,2.8632557413915176,4.126127012666346,5.211911111384493,3.7204625062909793,4.644477198922905,4.894745650436657,5.794787679933238,4.585003382353446,3.9925661216786072,5.2925492692850336,5.506982531784714,6.739105772347096,7.162351193238538,6.8138545686815775,7.757713863509007,8.141910522549662,8.680386981469232,8.953789876918872,9.189667665791523,9.87539672385343,9.52679482650383,10.375620897080541,4.800153805844109,4.302428683356865,5.472796506332877,5.473382031590005
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.129272101546787,4.498111072057791,5.396005304780343,2.8844456056268917,2.838004159625352,4.877273164170563,5.959685150219899,4.229628424528802,5.015955846797497,5.789222592104973,6.739439973761508,5.361230030729353,4.66176047594439,6.016247277452425,6.312146254140426,7.414421866213843,7.91780878129342,7.3930910886147325,8.391380551063278,8.642249237392043,9.377455067007423,9.727990917288544,9.698866999460515,10.310303361239216,10.145310538199253,11.00743201387075,5.338900267579967,4.673226846360089,5.969005143519748,5.815340908268772
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.436410984129803,3.4290675834374014,1.3997342565434414,2.1732161308571536,2.76767702101772,3.854355807807509,2.3855296325059916,3.376036843615411,4.573955490928317,5.262961602552046,4.2632389205876775,3.921216068384589,4.680071753427228,4.671527549107495,6.216609017062008,6.660745302009423,6.488375186052978,7.073613849181859,7.498396772168722,7.854938572460059,8.084790294817088,8.426421253511652,9.117764429475569,8.661407615900293,9.444976415173642,4.188527316963558,4.004093247357616,4.612579039000349,4.6844283363826005
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869585565941067,2.850469368222008,3.9378734269447344,1.390170519500586,2.146198314639768,2.440222745926064,3.4155133081363664,3.504354838206493,3.6341220491065416,3.6372160438003447,3.9151527587155743,3.8073866628316,3.2731109708025414,5.2983888809936905,5.48272613810631,5.936608134297193,6.0430060491933295,6.808176306987479,6.471474926441724,6.426887606123956,7.55737559966152,8.392713249049168,7.41777894451791,8.079405599861438,3.9818641570771613,4.470099328175009,4.208782001801632,4.723358418202614
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93725927919529,5.024644537600668,2.156475169316796,2.4795575313612246,3.4263418855776786,4.31168871526564,3.085519261810264,2.8967398867353134,3.5547529482651115,4.064056343309512,3.7639450152383325,3.0727667406032224,5.106217733386986,5.082102559006399,5.845620002556506,5.877152050131466,6.8242336459630675,6.1587767477950806,5.947906321013295,7.529912187928946,8.44216847167663,7.218105020542457,7.836091754785939,4.330702940212494,4.970683816661875,4.607228128730251,5.282241953191014
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874049880859185,2.440777142367285,3.4144519666161948,1.3906579354140882,2.1445783006976376,5.5355749511238965,6.077238569683129,5.079738835476428,4.82325740690482,5.1219225018393315,4.99422449944438,6.637214002790383,7.206740226934455,6.983827281268706,7.230854399147518,7.50011018510768,7.922387023974168,8.211251439736971,8.279891980140302,8.860225564855638,8.548045394590687,9.259593121366287,4.369531471721854,4.297835261295327,4.388961986546573,4.287746325036885
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4316470755395385,4.316630036746187,2.164137777299325,2.4875597710194017,6.4745831917100505,7.089297142209364,5.905171702537176,5.5281684046751245,5.914531054249319,5.885836026843308,7.376588316876743,8.034215180370548,7.62876931069378,7.909791889213259,8.018146080553677,8.660087179810144,9.036409729776944,8.785435584062665,9.265045593695797,9.177008237980735,9.889949555479712,4.959581624597556,4.707808365482717,4.911712915731032,4.5997645073540445
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868583171698465,1.411272253611862,2.1637119165488374,4.657962735301504,4.704104221432297,4.535988556010627,4.789576392303275,4.308662585008287,3.6837385403361567,5.7626505371373575,6.1105864748568814,6.453400697855126,6.206010618176934,6.793224559609181,6.533679468876373,6.564693962876786,7.378907224943977,8.099917942117672,7.269104381252795,7.847352068069584,4.143708549508772,4.710633079625199,3.935475978043604,4.307602028909716
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1613895109793924,2.4765826161430207,5.13389949656847,4.931296264859339,5.081606971865259,5.495141935139243,4.638964110701089,3.820723032600308,5.946662984734761,6.238532951181734,6.764394257009177,6.184293613026767,6.811262470792303,6.2841869203479375,6.217247109969115,7.220165241398274,7.929123060647769,6.953520023009824,7.4127711005370625,4.606892458845991,5.366017212958863,4.16804116398734,4.619682956496969
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087077643666296,5.5485812135417145,5.820159959379646,5.176816316915008,5.183401357715442,4.937006746493449,4.5401308016498385,6.412268085618153,6.940328204996313,6.952899755564004,6.805719595094114,7.144647678066151,7.281849519935493,7.484909583086341,7.753027853352273,8.342516603388168,7.859405089834475,8.468054640277401,4.332564956153307,4.630371797702304,4.031433321165856,4.075464186431812
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.505368882357137,6.703871574614342,6.063310987278337,6.091432898108228,5.634033042184866,5.194465052796841,7.0199647826289135,7.612993611732636,7.586056089174572,7.2101912489132305,7.419170270968932,7.594780909962879,7.835132703596798,7.882139886704865,8.363072663819878,8.005213225519515,8.53144974542979,4.9053289156559305,5.244611815128494,4.329929206740283,4.23817003754493
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232645440102045,1.3592359126224884,2.064992513955634,2.462203132359228,2.5865225207052207,3.3098052662268462,3.0170536267695924,3.6973337192378377,4.645905299038975,5.703140084014733,5.313085099267396,5.230533326864803,6.723578412172809,7.731300774450252,6.581982198258356,7.403075159339284,3.6226000381507086,4.023194275309689,4.616340505405317,5.37426347014628
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2769519739110082,3.1748288868158356,2.8116899801599224,2.507058571216079,3.4465538144626673,2.902924906452101,4.105252829406552,4.563844700267453,5.791769806512095,4.9141388496725344,4.597238684658265,6.634689615576705,7.687485537065047,6.2447358260233035,6.954873751634341,4.175125761990986,4.843734588384824,4.914585883013882,5.787440417220652
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0135542812516076,1.454499323739432,2.08267119743573,2.4780305879384343,2.6323526321595487,2.7038215956192055,3.837998370886203,4.681089002454707,4.769445385307413,4.962109522174872,5.806853892025452,6.7494265271339975,5.903135985572249,6.809531330489257,2.395563285007011,2.7183958661189602,3.550086810547757,4.231555089437407
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1034831260837907,2.8854492351232,3.09654260705347,3.426414705153712,3.011474786523571,4.432000632946802,5.0466126967452185,5.511912571828624,5.826893825578294,6.255985569350071,7.115848875387182,6.540563853740436,7.487154195171693,2.4333684277859255,2.269437187403254,3.725953279074298,4.205800210887572
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092938962073794,1.5603092899526139,2.130806813819595,2.1683662146059914,2.585403215043043,3.411036286504826,3.51340263375695,3.852877262586417,4.45179142107297,5.395655409944009,4.549487706963946,5.456130110058286,1.521355500177748,2.4199894354238993,2.383105320278073,3.2128167823698064
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.173227983916927,2.4612513708582013,3.0634438930455286,2.8203260719900074,3.801193322888657,3.3400260205958148,3.4543162771227345,4.59739788269286,5.568771160616296,4.422825569217112,5.210558011392517,2.1497726221340123,3.2213009276746267,2.5013822686183196,3.4430428463947473
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0950007357372282,1.0957280079239142,1.4982460575307548,2.5158957180207286,2.588367834882547,3.0565763769630894,3.5815234044817044,4.585835126243899,3.6646242266376143,4.614235051838565,2.5545159920328917,3.3223388062455785,3.201136067540202,3.982957941008433
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7715520768196094,2.140314449738806,3.3710801632901966,2.7804250804293615,2.880808668544912,4.263518504963074,5.314179421101408,4.051513394245777,4.897710604934123,3.4541517942811435,4.210418776460134,4.123187463306324,4.971378562785314
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1295112326522387,2.6696154118057143,3.387211043197717,3.977059484872829,3.8955842131166514,4.779901274272837,4.26838896556316,5.253339464982896,2.777864974250847,3.1617783874779923,3.636320982142413,4.231548708161108
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.383421590219596,1.375993564046215,2.2493826515339572,2.1504004836859107,3.205536730763668,2.1940228689191645,3.17473178698933,3.124039996170937,4.042379890064618,3.1655449905926916,3.8931069403736047
34N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2604609933105584,3.322860686733026,1.3141854801238393,2.1376834989724487,2.218498885309244,3.186403613282503,3.3474698312680546,4.053566241403211,3.1645239140565504,3.5841202662739593
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0800838829964297,2.209719570604141,3.2433352788367418,1.3801621770441663,2.137918557992616,4.192703371149094,5.243664142315829,3.9555614414453992,4.732117958873641
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2386544790567022,4.224566261986622,2.1588297283022233,2.5541996574395145,4.787716059875174,5.893134323392356,4.603488198144123,5.465094803738628
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082298850516605,1.3666364590433362,2.1297146296037064,4.408221054735703,5.20799930673019,3.9033586008904573,4.275994355646668
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149767182339818,2.5508153833402636,5.1427023215112655,5.829080942632694,4.518345905592289,4.692432719804168
39N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097605739807471,4.866328601536841,5.854946737303912,4.347272222233375,4.9279408401244
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.787352151903674,6.806283916596104,5.1589214084502455,5.712660376552043
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2148727847261287,1.3425750321993122,1.8699608461286155
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25403731816341,2.291621849247357
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97647686121702
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
