 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09313954361854881,0.024560707460458575,0.0006165847363328592,0.0013031613617635607,0.00017394933271508428,0.0006957247215848561,0.00025731581348720223,0.0002627925490871208,0.0005324770390198186,4.8131251858096746e-05,1.3233719460048476e-05,9.807225554769872e-06,1.2276909739927788e-06,8.950528052054096e-07,1.3187374525713835e-07,5.263346758432874e-08,1.335155372927943e-07,1.6539480817145957e-06,5.828631066684409e-08,1.2674864846573541e-07,8.623668750207258e-07,0.00010790803515559055,0.0002879040409444755,2.44237414687154e-05,4.319494769422505e-06
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9173326674386675,0.09055898376297089,0.09355897417041148,0.0979274450328742,0.0037231289466228418,0.0009030850631781065,0.002369232257159487,0.0023159244145993796,0.0003365985244727365,6.475610934097986e-05,3.377031165673061e-05,3.7388096728596665e-06,6.920084557354711e-06,6.086329498167231e-07,7.5235559160447e-07,1.347641974458469e-06,1.2854135711282133e-05,8.870801717630883e-07,4.2420518286956366e-07,1.625499936985797e-06,0.0008761363037897985,0.002329289243529764,0.0001793915553490455,4.862518936177285e-05
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9608379473624962,1.9438814186847724,1.8883986255188456,0.00030709197639774977,0.00010569301232939143,0.00014926456627041562,8.84968858448909e-05,0.0002400412782397332,5.794671943593066e-05,1.934463942612763e-05,3.1647748301999457e-06,2.866303574267093e-06,4.15791032493118e-07,4.3403796712304654e-07,5.108210565651916e-07,2.923452525366299e-06,1.7688792897097017e-07,4.925959733448337e-07,4.805056510459593e-07,0.001353393717997614,0.005582853050263195,0.00024806188170210797,2.8971518459042223e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02659929182426679,0.02503352928960112,7.481738769876678e-05,4.411563406858665e-05,0.00021558549835953844,3.1277851645805654e-05,0.0007606022321544614,0.00010967068569067706,2.8804292772965923e-05,5.352270516123525e-06,5.383343337550528e-06,4.6774518303038803e-07,1.0330065605135275e-06,1.2275271816797328e-06,6.728911028264228e-06,1.5707814027265954e-07,9.733812977863465e-07,5.614771856343737e-07,0.002731736516841332,0.017107260394683466,0.00037424084923176615,0.00015692743829620603
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0246102384749165,4.1247136893574066e-05,9.033316647366618e-06,9.359261310959432e-06,1.0253473048837947e-05,5.3199906722145585e-06,9.663333335740987e-07,1.66185214989234e-06,1.0806341999014535e-07,2.771824838543324e-07,3.0277178542093e-08,6.189820722646289e-08,3.895794575825562e-08,1.7797415530207417e-07,1.2798138548930638e-08,8.92155527232319e-09,1.8104970189725123e-08,6.69193883120478e-05,0.00017339718073861032,1.2499728874515448e-05,6.403602093030258e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.204829374256704e-05,1.6767605658052354e-05,3.063679937675978e-05,7.236322127068817e-06,4.798124347393795e-06,3.972184381417776e-07,5.443118908932121e-07,7.525049028345165e-09,1.4220374056073126e-07,2.6519624274357056e-09,1.3143791832703755e-08,1.5249825624508162e-08,2.0415926116346128e-07,1.1436527280750397e-08,3.930847869426657e-09,5.850054263234483e-08,2.0039840588070845e-05,0.00014815754038610685,1.702658074309582e-06,1.046122651615633e-06
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.971977121234871,3.580782308687299,0.13819719403743946,0.26676195030916633,0.016447155320354234,0.030063868370301533,0.001050324421245863,0.005753182482596264,0.0001687844242663772,0.0010142796039696034,0.0002001016907668962,0.0043108062101056,0.0002889611954612903,0.00012776050933172023,0.0017120630965552497,0.04662071561364564,0.00943411479168646,0.006527227963413179,0.0008592452288108676
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5378471776342428,0.029758691900071854,0.07287637740462366,0.02433126897140725,0.008924088344617553,0.0009915243238469706,0.0011838912148052771,0.0001253288412245146,9.69059882458545e-05,0.00017606463686437035,0.0029139241790319126,0.00040762439500330316,4.951522632257177e-05,0.00158809944827365,0.03363582745109303,0.0058820719614849915,0.004296669096063105,0.0005778586122066054
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7493732415180214,2.598001571294334,0.09562756118477123,0.17610680842785417,0.010371701791140442,0.029888107681972365,0.0008195497345417913,0.0039006778685859445,0.00048253839108891583,0.02943512253251429,0.0024765654417100436,0.000627751544393762,0.019550345820664283,0.200707115518364,0.034397442085341054,0.028341626286463154,0.0049257460275135
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0980432585726454,0.026832026357209937,0.018212238843586248,0.008777287718207516,0.0011933602058218362,0.0009188508620261437,4.9896325088782945e-05,3.664489166621543e-05,0.004296882616044995,0.00032628250040533935,9.937878607857442e-05,0.003568635023952993,0.004612183735500874,0.0026279232734059965,0.0011148651301453594,0.0004805987792266819
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6929764742685132,2.743584139420706,0.08362625855235595,0.16345651510162595,0.009398643071882429,0.030078972860641207,0.005805804198220743,0.16249676880902303,0.029431495489015136,0.008718109190972712,0.00809318311695928,2.5848921526546693,0.2701581792727236,0.21599454806283086,0.05457040346363673
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07826379607712741,0.03448016766495443,0.006064312843953146,0.0031653578614465605,0.0002443091537405184,5.398724903860064e-05,0.010620349300141219,0.0006591449122235193,0.004441093868176704,0.00020838914459297975,0.10376673171407291,0.023261919679152476,0.014206025817643075,0.0010525737314959205
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.744523338302307,2.46247225346006,0.08478614253844197,0.09353570211628282,0.08559211289126978,2.721757168025439,0.08897653909883063,0.08348147149306762,0.08419044020436095,0.1763660559103516,0.036768380621162985,0.022776322846034425,0.002396740169026912
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08188362388795434,0.03422646887586067,0.003819103578187155,0.005177110189314771,0.07871731022257866,0.004612650588940559,0.03487875842498345,0.0040258508259694015,0.007907918164647532,0.004401423422189854,0.001178117629182629,3.215778236764777e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7988714298251678,2.121847267841838,2.015788677979753,0.17550139442210463,0.009995986328594109,0.010068249470149837,0.03156138525991503,0.026114459598139517,0.00487740744671869,0.019223871600596534,0.0008838925779750539
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023686108152313645,0.02396756077560802,0.00815917789768894,0.00012110971492362843,0.004104518728772044,0.00036854933040886273,0.001246642753618632,0.00044071823973812485,0.0024394115645187675,8.637149082724171e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02503780111500875,0.012445173959547695,0.005074806738200932,0.0002193681552484783,0.000977305576145504,0.0018992983806345176,0.0005132517933731373,0.002054133931730817,0.00017838231377576008
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03178929522740637,0.0005972920882992838,0.0006898624024271882,0.003042865867247002,0.014166695694449949,0.0006065394785248479,0.010729500917549206,0.000495826774999264
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.153623545035831,1.8268462566147896,1.7045995631355635,0.031566833594642046,0.007442099055145271,0.003654139105867593,0.0010436835411847811
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023442064780523797,0.024684502393689467,0.004510999881679467,0.001444525816965081,0.0006921335104177473,8.379412775494366e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024302589091555582,0.0009042857230199264,0.00041050357919236724,9.17843878558422e-05,1.6003430461042356e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013892075050507824,0.00018009371602190072,0.00016657976198941604,3.909855897687997e-05
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169693607485948,3.5131323707438766,0.1752639570217327
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5155351598961311,0.06673636145583606
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6690725166566258
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
