,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25C,26H,27H,28H,29C,30H,31H,32H,33C,34O,35O,36H
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1475755539929797,3.071838753999099,2.507433949270921,2.4817961753972,2.1601187887153994,2.490725228518801,3.0779470561548314,2.534716201617462,2.790462765100516,3.0846873825437298,3.7558362229766176,4.364712583749538
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096744102465203,1.0956434684503402,1.094305193131702,2.5239449146359725,2.759393230266538,2.775547918526478,3.4938884876277587,2.9886682229751593,3.7890795287250727,3.1334090857343257,3.821238762712005
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772154043839689,1.76962843664187,2.826774293872776,3.1824833284566703,2.633370987169049,3.8310331450579587,3.302809668365573,4.317471648326296,3.0814013770478415,3.8575930916268093
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.768109435654137,2.710225773611545,2.489033680930492,3.0404373270784775,3.7327383728257266,4.010579498523348,4.68379701114053,4.198824790457554,4.8232147281110755
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4926877535925214,3.7446554279525626,3.811976597392564,4.361679715345324,2.6931800881733943,3.314483814037541,2.6964385142097282,3.1507707306787784
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0959099248556883,1.097418258508333,1.0944274790168849,3.9064761105149346,4.654344637915995,4.561484800061037,5.434800249593613
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7717702158173514,1.77296158645368,4.717362085371441,5.374370127420267,5.342304616396752,6.163527854082587
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769440552257578,4.222408732696706,5.163881113173262,4.611760840381635,5.5538610467753005
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.228511054013759,4.838991404108405,5.0781178178911945,5.937874788041508
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2132549690055683,1.3480586959747862,1.8768199741500338
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2520174199908056,2.289033298201147
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769722841185491
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
