,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16C,17H,18H,19C,20H,21H,22N,23H,24C,25N,26H,27H,28N,29H,30H,31C,32O,33O,34H
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7695074041233092,2.1719004721814548,3.074164835912633,2.5039549124688536,2.8052305179306587,2.6167030451259303,3.170531867593974,4.154870867117862,4.457495578118225,5.239170979461022,5.415271538817692,4.7721650823014485,6.383396502664322,6.430129514450478,6.646913940855044,7.274976650896148,2.769729028493517,3.4235479850463393,3.3003385420601283,4.005072897319661
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1688304823317974,2.5312308526664165,3.0722784434175425,2.7632434387362346,3.1144897109791017,2.567911510919916,4.122183148922621,4.447432250542954,5.189024100729533,5.354565047248956,4.727608891479196,6.3082399785830985,6.378931311993932,6.59273422139044,7.224436532653306,2.685231653183933,3.770824424301071,2.52758240540913,3.3929653214811237
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964024808126707,1.0948713736935674,1.5304189763677767,2.1732006229124194,2.1746199546463942,2.449675913522342,2.4861845311471336,3.738860544971958,4.353655190944013,4.061364529694856,5.361225894481091,4.746194164479753,4.778562464655787,5.692207593071374,3.900319647931311,4.819095769679807,4.303692299852273,5.233651823416668
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7571353373555845,2.1580766947617454,3.0731610071055013,2.5145962957030377,2.6699890771289327,2.455073425690816,3.94692360202256,4.721359874623423,4.569060615593421,5.6934430883924385,4.7814414070608136,4.666342219941222,5.754946778303808,4.156483971851472,5.175660626193628,4.427615481460715,5.401431567670012
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1555419306196417,2.506982452726663,3.0717683798628905,2.6735718295597137,2.4506319377208046,3.9593889637078927,4.7256971598697035,4.546781228670682,5.711610330449156,4.806890147125661,4.713657678501615,5.771666655088405,4.2397083836868115,4.962433912727785,4.921977383629071,5.8167450260832885
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0983590464241229,1.0979505392720066,1.4769649171335648,2.129958750738555,2.5002615860495645,2.869258197076361,2.5323266865646152,3.8781319197222475,3.717455382768328,4.037756766266292,4.555586341469272,5.062548741554442,5.9858773004464485,5.249662421050579,6.128160153952273
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78472532143912,2.1097005321753746,2.8392633354803145,2.823226002900313,2.8711723301359826,2.336504504713695,3.828585209391457,4.085629329990855,4.533037029154273,4.814723442657199,5.2417656736596525,6.018313369433925,5.518260798796379,6.310905385199682
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1063464022667437,2.8472909287216517,2.805257531565821,2.8595646454110084,2.3721612073548313,3.7970328475791826,4.057207617039436,4.486888779442216,4.7956076043574685,5.171991178834444,6.196553329029276,5.072072591008634,5.920640723374798
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0130364702267702,1.3324879065372872,2.318079090375223,2.550804908555512,3.2410650451793623,2.322126874557944,2.561794695056197,3.2448673659133958,6.311286832056635,7.2279876965605565,6.555978354542358,7.473921634350207
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0169867317332093,3.2218294506638556,3.554817837371083,4.06404607479784,2.501452134086792,2.320636611926289,3.508505036815725,6.356578557165341,7.249688804074086,6.714878876212238,7.665062658354149
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3409766381600465,2.0536437225361115,2.0589691704287314,1.3438321432346523,2.06023540974351,2.0622316848398072,7.5310810248036395,8.450173886230647,7.688705610326202,8.580354331053194
25N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0094216577100215,1.0101181759312028,2.317889845770362,3.2429599221655647,2.551662527512636,7.848661237555613,8.756514359479171,7.877294377864698,8.695786440411947
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7239456055355813,3.2406079246153277,4.094737104526481,3.5571714844158566,7.240154518468579,8.125298071576937,7.213352409251718,7.9787664677012105
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5494057264170644,3.5560901439711543,2.3671450771502562,8.832848198767575,9.739160273366199,8.820354347025143,9.620615514440006
28N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010402288734092,1.0101744177822167,8.626337240798753,9.541168108974128,8.831534702158962,9.75190976305648
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7212580414344898,8.663339790075298,9.56655793023621,8.944872737918432,9.893791304517498
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.547207335221124,10.462245679101565,9.709203096501291,10.613383476119253
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2110136191734013,1.3456665866770738,1.882487971771564
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257567210291129,2.3115596853229388
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9775789674483463
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
