 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,H22,H23,S24,C25,H26,H27,H28,C29,O30,O31,H32
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.907773907507538,3.592057573218503,0.13741061685796174,0.2934940086333673,0.026747113056083682,0.031006757633011167,0.0013397116081448335,0.004303087442880216,0.0033684967852787573,0.00012505729052469938,0.0013600346830289212,0.0007797173982050792,8.302052933752135e-05,2.842678533188092e-05,7.84793767483194e-06,6.994182874198174e-06,0.04263434986064932,0.00710090508142,0.006214318595875512,0.0007289008617671344
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541650068912261,0.019325071258036508,0.07718834431288724,0.026571814066791877,0.009566697326057125,0.0008522108098926173,0.0008827060856396729,0.0022783561287566118,5.051147419665725e-05,0.0010823434666986653,0.0006337463280699854,7.613117391615243e-05,1.4934673911670693e-05,1.0701216388131485e-05,2.8121181218088154e-06,0.03596644955073117,0.006395502765521532,0.003619740886862871,0.0004060469790098109
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5750269298514987,2.8538639353399065,0.0975187472082718,0.18093541832810728,0.010201729842086449,0.02415055185919135,0.02319871283938875,0.0006406207635221151,0.013804254734454902,0.004419086981591387,0.00047886422282487906,0.00015613770683842176,2.9649512523377552e-05,2.4044718287319355e-05,0.20148298668458767,0.028061046293788153,0.029020263395958104,0.0050259398098096986
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09274044584889951,0.009508858003255405,0.015777518885027764,0.0030746565951855764,0.00101139914640469,0.007326949822540674,9.471297581287175e-05,0.010816985476099106,0.0013031872752140572,0.00025866902154081384,0.0005587565071372147,5.915486469776354e-06,9.004126197975637e-07,0.008354543385087454,0.00043590232762513725,0.0020566818652990593,0.0007957426794009681
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0545384273227194,2.7030851219164043,0.08456747902602602,0.08532843921508926,0.1628393507455116,0.00562913232330442,0.009387299251660819,0.04494356366258882,0.0018534304375033145,0.00018836869166927173,0.0004331360700839948,0.00041577581063445557,2.713246360268457,0.262435998770403,0.21632082393498236,0.05501527041586818
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0789299749663015,0.03417658449175276,0.0030014346499760425,0.010553324991506519,0.00322762009897537,0.00023914280115722164,0.0013972203750439727,0.0005218578542338648,3.746013765937306e-05,0.000141077500578346,0.00013520149847168206,0.11234249988938028,0.025314042355147004,0.015621645529953487,0.0011544254474684656
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.107742581395551,1.9776996818183705,2.8037696844086923,0.0833209727647034,0.08326726068921508,0.19787761457305839,0.012569119472286922,0.0008834117254167273,0.002586251847729981,0.0021126719302786423,0.20300890133149063,0.04294090632637006,0.025504748932576496,0.002047242142325212
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023924278105577956,0.07983796436771018,0.03149620823771038,0.0032512977079037775,0.013661257857798259,0.0055125192063816275,0.00028092901581322494,0.0030067147315981924,0.0005505700458781071,0.008978112607939792,0.003389041183006536,0.0010418301642122207,6.097135697347156e-05
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0806177108115218,0.007182833180594317,0.03037670527562253,0.010940108674593496,0.0006389545629092996,0.00015720752221470846,0.00012266290206430774,0.00011481993924089551,0.012103148562540467,0.0017276894711645285,0.006908729787125978,0.00013233082743724367
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1153697132004403,2.0002797487308057,2.8047426559870376,0.11404857039423569,0.016437155542694648,0.004084792348984845,0.021794298055464845,0.03163659462707996,0.008749954438537988,0.003906227162679729,0.0006063821493306198
