 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,S28,H29,C30,O31,O32,H33
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.877710568166561,2.007922490524164,2.0558465359826386,0.1751727972401234,0.011202384478402161,0.008526818069887199,0.03097750878932448,0.005652352085895124,0.0018253660821821172,0.0010063887478318073,4.215673893870342e-05,0.000175656932310031,1.0779927530957245e-05,3.059731030448376e-05,1.4522342638434438e-06,1.5478077224351239e-06,6.185687753054725e-06,7.966118980018422e-07,3.6978471240178834e-05,3.7083940931312287e-06,1.2016064212604094e-05,3.1757952649869026e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024052577080694748,0.02267335208175769,0.009629540641335033,0.004712740555051775,0.00015841764006641057,0.0006418111602723986,0.00135612000286911,0.00041860518262515356,0.00026663496343837245,1.0329601109582143e-05,4.983630195098954e-05,2.7910867583802457e-06,9.564266965966794e-06,4.964749085178966e-07,2.4813988952487875e-07,1.98466132173003e-06,3.2467752486553536e-07,1.03177483827821e-05,6.202515140385501e-07,3.3488089860034265e-06,1.0298731545343998e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022689611272822985,0.0316873465734262,0.0008428979463230846,0.00044102672189993974,0.0028294084638424977,8.060233768225622e-05,5.2378696824506576e-05,2.9998285703047856e-05,1.0277269195668737e-06,3.717145441006764e-06,6.989444201188633e-07,1.2243757905316954e-06,9.305223569455734e-08,4.378575990671152e-08,2.1296431296224938e-07,3.4116460323474485e-08,6.043693085988622e-07,5.1468276973665184e-08,2.133064449516553e-07,5.682785220173514e-08
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009448341241716118,0.00018136745878116756,0.004138615641388954,0.0005125073646667921,9.9529740341886e-05,2.1662751475748365e-05,4.0414470639627e-05,7.816062722154626e-06,5.615671422098956e-06,3.4113134361746233e-07,1.3916869741059656e-06,2.1493255553117763e-07,5.0744811241898446e-08,3.658633563885516e-07,1.4043057627866062e-07,1.2858590487940802e-06,3.819333855847873e-07,3.550365355042828e-07,1.5700622424397181e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8996576064533757,2.0504541901216427,2.024011998208623,0.003350991413185761,0.0016999087214714034,0.00040510410579416845,0.0001580821299278501,5.28858213780653e-05,8.47076846388628e-06,1.6631269313255315e-05,1.303515698936053e-06,8.786993250797792e-06,3.0805313923909505e-06,7.310374043889567e-07,1.0028000236722567e-05,4.762693757598413e-06,3.13316463952662e-06,5.647060659086378e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022865341159981956,0.024141988915656443,0.0004547759046269473,0.00027879708733224984,5.991688149831198e-05,1.8567691584925328e-05,8.0810782983054e-06,6.323377303996125e-07,4.697750072057971e-06,4.582551105247745e-07,2.6546177944730687e-06,9.051932158277154e-07,4.3346591693804726e-07,2.0502408575318043e-06,7.297954006668661e-07,7.12043901396342e-07,2.6822977550189364e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023040304357413444,9.494206120597148e-05,2.6823700232547765e-05,3.939983600798058e-05,0.0001229475403685676,5.030256598592686e-06,6.11537261496764e-07,9.482310971975494e-07,6.133515051409688e-08,1.0641231762420489e-07,2.2021789669590675e-07,1.0902839786552931e-07,1.5411064251402706e-06,1.2852029331877901e-06,4.1761944369334003e-07,3.914020352269176e-08
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008423813845077621,0.0008793722626989631,0.0001095115926956769,9.058365199710039e-06,8.956209965216289e-06,8.29829099746604e-06,4.5443890142049526e-06,3.033377546923788e-07,3.251151265537544e-06,1.154573706974027e-06,1.2009068184326566e-07,8.323471836213514e-07,1.1344050760975222e-06,1.6768776134323815e-07,5.3576878933370153e-08
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.804852461666964,3.604673514007877,0.1374182379471799,0.2697529829989741,0.025163753982367698,0.029369383924903736,0.002592404869481646,0.006325218335623717,0.005141229131573569,0.0015411143290009477,0.02849132835711629,0.006851459760756601,0.00561743995585795,0.0012097279703839892
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5355004568723052,0.026707214234392485,0.06843598720450561,0.030507960253795097,0.02239484491016354,0.0008492825361037237,0.022806017524337086,0.003558344042762014,0.000882200749097839,0.008074637959308933,0.004163523758440299,0.0012447907394398522,0.00023847518080943875
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7667813084894015,2.685406026548055,0.09647123996688722,0.17703608084785777,0.025939141838611568,0.006817843711548255,0.03278871398200307,0.01313230620835193,0.18950489902184262,0.05883717111339676,0.02607156175109923,0.005116114787563908
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09551591019267103,0.014819063958873224,0.011013812970388392,0.0006519026322833188,0.00018648998222459134,0.0018841524844135371,0.00033210339593869875,0.036906213481473826,0.08379093138078741,0.0059087569373531545,0.0001967161066906975
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6771718502224142,2.778925079517287,0.09426165810008658,0.09636825571394925,0.19113956048622677,0.005434224144860833,2.6305631862529277,0.2777725515734274,0.21478841711358954,0.053578878068181957
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08814673990330157,0.004710283409796068,0.005326273468161613,0.04343549597167151,0.00042998535190053033,0.11687137252584012,0.03128467986229422,0.010304202386624661,0.0004222449881206014
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8214790803141816,1.96907089041792,2.490886041329312,0.05327487656810015,0.1710581010039772,0.043552625984390345,0.031082366769852862,0.0022451204417826
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0280561776763939,0.08765469729659858,0.025797636608584584,0.0069815240743829055,0.0011349533638351783,0.013990869335167355,0.00035105586886041706
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09411425781393401,0.004776729805504809,0.02587450770762878,0.004439010555697176,0.003778238365300779,0.0003004331327427501
S28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7197215675603672,0.0432884209972757,0.008451366501716684,0.00854859721711481,0.0005811366792481953
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006442801642889684,2.3130777527580193e-05,0.0008029941556062514,6.476295299817636e-06
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.192205364142075,3.31162896543319,0.16329603054863073
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5124861544358987,0.06296336771096056
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.679991997838696
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
