,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28S,29H,30C,31O,32O,33H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967908436029539,1.0969968470885525,1.098675973364393,2.526609602896928,2.741281782552671,2.82056698371381,3.494086890988524,5.020853606716759,5.642363316658175,5.631089037606342,5.367058590148515,6.757930721925991,6.656557261058553,8.041169288560473,8.853195196590162,7.974441422486839,8.859881058171245,8.023301297610626,7.167177530364441,6.748250167898278,8.330432626499215,8.685930224746258
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7723908377565945,1.7709775515969084,2.766355571393164,2.525722953927104,3.1662998903703565,3.761172735133372,5.9861053105426425,6.623923473439057,6.605499641116629,6.283826060892949,7.786769242525752,7.7301962285893895,9.0451102878163,9.888030487600359,8.965816078551317,9.77061831975293,8.864621062614908,8.167224229452822,7.676172231308646,9.35430372347775,9.675620135702815
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7726558140090574,3.4911679620339346,3.753465188897735,3.8318707051036176,4.352470075058331,5.096751342732945,5.490845733019248,5.855992564428065,5.765783527623418,6.870508896803684,6.601347457645553,8.130025828010142,8.88288726374586,7.973841201551752,9.139561159127066,8.368611893410568,7.403499976495423,7.140967427570907,8.48540449926729,8.910522368330161
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.802313561081281,3.1036932901167544,2.6507248217399098,3.8314933013153896,5.184981502868805,5.891838601025675,5.5528234376231485,5.176699964336453,6.567135161787642,6.469916467987266,7.960287018,8.706467328914755,8.034847193948956,8.777543814877264,8.046977324450681,6.755357856405279,6.236305075706793,7.870545141814357,8.124755798346401
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966812491550868,1.0990519068978641,1.096068401305521,4.52675971380971,5.513337910766353,4.879863149623311,4.351249124148938,6.243596367440111,6.556475615737456,7.3422232789401916,8.30395530774918,7.364707719843593,7.650339422361794,6.6156595229937665,6.574956874114559,5.9666817586171605,7.892777960777462,8.19874481625292
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7706966739890546,1.7644177068086724,5.581247711505544,6.521384434534537,5.974395622027036,5.433122960165099,7.340006528543744,7.64017718049841,8.42941622819119,9.397909433583441,8.432218553407889,8.68781383332053,7.615419543777503,7.6410546914581525,6.982453886990779,8.95494716983747,9.225549374004657
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.775845457393385,4.6556473022859075,5.7342888049167735,4.719869435140509,4.027812232857706,5.9796763466881515,6.33228155289927,7.186546455441637,8.08805060484413,7.368384683112515,7.461068211207225,6.540581689981699,6.063471323832433,5.311330874353234,7.354769341522529,7.549717818534349
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.270586307943382,5.2998366018572005,4.602910136099185,4.087648043597719,6.0282811673485295,6.4785331599389835,6.949480300478948,7.9693900944998886,6.937370549972561,7.0604505800341,5.924829850485835,6.444540564870271,5.878332211579476,7.788486290318931,8.13400272538906
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2288172729448976,1.3679435149707209,2.0743566674747043,2.4563483249220175,2.6178399343862466,3.239259396616668,4.174454151996617,2.991089602662919,4.220438708582318,3.536556975780786,3.6637948069169397,3.978053312321748,4.769114141662617,5.511296166200269
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2731102473067257,3.1715904178552603,2.7866039439776866,2.5741037174350674,3.2496089834408326,4.032527810089342,2.676794104973727,4.550859387648712,4.055672891260028,4.210923720336577,4.792020114543401,5.079207088110615,5.9353995669599495
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0142436121494502,1.4510352941433562,2.086126640639224,2.4999085481829577,3.424913946149092,2.731651173231889,3.312585125099144,2.8256398619444654,2.4028459162332734,2.683470450778347,3.605780335320814,4.277374610998515
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0969230747742076,2.827016961471459,3.2142622839820656,4.096352525461716,3.6227823407811344,3.634656573736869,3.0630287151207964,2.4134913174699397,2.2044246284377107,3.7487523628416,4.218417911018184
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1000875380361514,1.5432823174997297,2.168066745886602,2.150944314739549,2.852499865739036,3.0051957003201837,1.5234888493919216,2.4275008284424446,2.377269403203112,3.21284235411855
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13159256646669,2.4334465522847393,2.432951931787883,3.7801494189883758,3.9845357232915344,2.1380149944816806,3.0928546809862314,2.6488148852589886,3.5315283856790267
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0929221126534407,1.0916087375936303,1.8381103492468596,2.3963019732026622,2.5496939899790023,3.542645167468366,2.8931384130346465,3.779280298651398
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7729395696860524,2.375084731249298,3.3030884761477735,2.7952914749372417,3.933885929038992,2.599149450538082,3.4939032023877137
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4419783467413074,2.6477406160126136,3.4729977744841833,4.422807656853031,3.882975872522503,4.806848463139697
28S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3503333725520774,3.2633545233308117,3.861957194996507,3.657164071076123,4.254515089950543
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.645213601120165,3.9882873074315026,4.431564140302842,5.027012310828187
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2121398248330029,1.3463026663773234,1.8762766341011285
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255452105666087,2.298397131023708
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976432428066513
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
