 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,C29,H30,C31,H32,C33,H34,C35,H36,C37,H38,C39,O40,O41,H42
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.038565870542697,2.1619887123591486,2.0346127861613468,0.17582200289701674,0.010180132977461342,0.009065560132859307,0.03147505529171868,0.0025114416581925036,0.0010206837364538923,0.002133130958771934,0.004289609313999687,0.0003001756432136349,5.034606496501226e-05,5.394500266767133e-05,5.69179354459326e-06,1.0197606362338796e-05,7.239210044307498e-06,3.83015959955213e-06,6.116963349178661e-07,1.5294417031602725e-06,8.305738896652315e-08,7.463460117568266e-07,1.547574557392295e-08,9.00197786327106e-07,4.8959496457001705e-09,3.7918190951002906e-07,4.233832173738961e-09,0.00020561517568534748,0.0005723226719809849,5.7362583992803806e-05,5.601936434174171e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023177690092610614,0.023894362996473184,0.031778680698467454,0.0007069203357299436,0.000465856417730226,0.00291471210835037,0.0009740447316952672,0.00029557355840448274,0.0015179424732958413,0.004089265864376523,0.00028981284990448053,3.6981932657997874e-05,4.148773200784994e-05,3.857173431098815e-06,1.24984385960758e-05,2.99718842278196e-06,1.9572779801357854e-06,4.6014650956216485e-07,3.236555607966096e-07,2.1639515290772238e-08,1.969386380640259e-07,8.858056510518963e-09,3.483056369990578e-07,1.5654351148697287e-09,7.20125432618346e-08,1.1516811726508536e-08,6.908043585185375e-05,0.00022787224695397512,2.6482752094381112e-05,3.983011335417785e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023017722009507136,0.009122435536438989,0.00017541179689173347,0.004218574633921612,0.000553479478471397,0.000509155058920685,0.00012584725548103748,0.00015940679215709075,0.00027434665953030013,2.910054547511365e-05,1.022776838399686e-05,1.7839305341826872e-06,6.946064412538533e-07,2.0772996300877367e-07,1.4217057642262887e-06,9.538629941463483e-07,3.002502741988877e-07,4.181281447745988e-07,4.400690678529884e-08,1.025175813129664e-07,7.025855452980068e-10,3.911480739304807e-08,4.513276419260137e-10,1.012844592640505e-07,1.3217087424521878e-09,4.454449556523521e-05,5.019348703672044e-05,4.781419151278499e-06,9.116122434704721e-08
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01065272065893752,0.00472248378663398,0.00016734232863790943,0.0007667850416814836,0.00015801570008866506,0.0001610700844567603,6.805435950507643e-05,0.00025559850882439505,8.843357871102242e-06,1.3515586985146655e-06,8.922758287788213e-07,2.932327427540571e-07,1.2523872183756168e-07,5.470408859231668e-07,2.1852347220630008e-07,1.1017411649660858e-08,2.2149483980271611e-07,7.378274657909856e-09,5.617285037118336e-08,3.6971135042307424e-09,2.7112950329311047e-08,5.858604712472015e-10,2.2264339705202474e-08,1.363555934830174e-10,1.0559816505217867e-05,6.0100020759401573e-05,3.834890696108317e-06,1.2993446807385567e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.035246684212807,2.1513020132420135,1.8745617045381933,0.002493534097761013,0.000494334047481268,0.0010144489322546774,0.0002891926902561792,0.0001348771983204211,2.4353235793528327e-06,4.024773725823383e-05,8.92173796618323e-07,7.359472063983574e-06,8.144031754281356e-06,4.7565608048416586e-06,6.922861737201913e-07,1.3457609372991008e-06,1.5723598423278418e-08,1.7149288143170072e-06,4.3526097170953904e-08,1.4156874204862557e-06,1.7254515594089526e-09,3.794419303065899e-07,2.8730864354287178e-09,0.00013237836343932274,0.00018667209018444209,2.255587077705512e-05,4.631190140269581e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022794536658558906,0.024096905047115813,0.0001838678739516375,2.7616256049523003e-05,9.499526217160437e-05,3.4277141591765314e-07,1.2741643786950974e-05,8.549926788781192e-08,2.9717681346852487e-06,9.246303567245207e-08,1.2982371178082985e-07,4.546519727366416e-07,2.9112895294503005e-07,4.0809589263446355e-08,3.8663628965096564e-08,3.3665081833333943e-09,1.612169060472013e-07,1.2729958642765382e-08,2.834286783048867e-08,1.1629941454316395e-10,3.142161308922198e-08,6.228844107170062e-10,7.079005825527673e-06,3.818405742483932e-06,2.0399849445240648e-06,8.449507986618698e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02299736738278324,0.0007014273864993648,7.133067344011756e-05,0.00041493735940445475,0.0002372418251488373,4.235478426628525e-05,1.5191426225857896e-06,1.62990892003112e-05,4.978140633049577e-07,3.185329390698044e-06,3.82031637835567e-06,2.513456937469627e-06,2.688942082329504e-07,4.010897078909892e-07,4.995972524568515e-09,5.894396089001219e-07,3.3474509830710986e-09,3.8510926936297096e-07,2.2706414526396657e-10,6.082158554576722e-08,1.674178129462689e-09,4.86869947595725e-05,6.386438372363301e-05,8.779863635899332e-06,2.387893936584007e-06
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.68712442067443e-05,1.1890656018032075e-05,5.697468871290745e-05,2.3121639668222116e-05,4.193258311913084e-06,2.77923236646771e-07,1.8755146120597033e-06,4.4733628135062986e-08,3.931507290833025e-07,2.060434909356701e-07,2.3056327846937563e-07,4.3946097871838674e-08,3.65226608955993e-08,1.150129103066888e-09,6.166046495614808e-08,1.1151557455235661e-09,6.559843579445612e-08,1.3434497958542124e-10,2.182006153539362e-08,1.873965427279245e-10,4.0346000560465e-06,5.724834144738011e-06,8.783988287852651e-07,2.530098652808732e-07
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.944265205260983,3.3677478601294357,0.134723172483604,0.267397787104389,0.02902238850613137,0.03430155874611901,0.0007951996228232616,0.0038428677624491314,0.005358298631904235,0.004157870712737516,0.00032654524732511625,0.001687091405813912,5.001273250115901e-05,0.0004188308392682194,6.981577689968432e-06,0.00038038146480642854,4.925764093277607e-06,0.0004421433076406689,3.8846840599848775e-06,0.03048824767349123,0.005237393599180046,0.005476126113596325,0.001267709174702536
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5339074226253334,0.02594891946587652,0.07134636370587302,0.059812011710292046,0.01019215726221162,0.001068319226815495,0.001559850397135465,0.0022361052999295278,0.001764227657320247,0.0002432909630822877,0.0029810230769424934,0.0001299797309828321,0.000329876294302589,1.5646116090506368e-06,0.0005325509320518729,2.1956287409308217e-06,0.00017326196993625032,2.137102642740807e-06,0.011094086761243238,0.0035913501304049578,0.001649284995323727,0.0003592064407162976
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8878541048309048,2.9211044055221294,0.09602849362243604,0.17942123803262922,0.006883011368886249,0.025787962018560928,0.0189570989982161,0.012197540412179242,0.0023395214386672247,0.0031323973646940617,0.0001460606917558227,0.002009058616698256,2.642164941679681e-05,0.0014475284076378991,4.407641068460144e-06,0.0010036594274252936,1.1499417733595863e-05,0.2032287429027167,0.046604812788617514,0.029427184345383023,0.0054116826798010775
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10038867444306343,0.02997962502953677,0.004775313127855507,0.0017360713527982963,0.00010086907582484983,0.00031046211628937836,0.00026492534621147534,0.00022143302643917728,0.000199301230328075,4.995039025179615e-05,5.5054641243446056e-05,6.270133718899729e-07,0.00010107764827704813,3.7338813767551216e-06,3.096781887967914e-05,3.37599700128699e-06,0.021231565980591505,0.04727616483631658,0.0033635253377370944,0.0001161828485278793
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8557116647358334,2.621163690518968,0.08302993691205196,0.09207819463175082,0.17152184523494962,0.037170111325916494,0.0007738661748135645,0.03393374923808126,0.0011983834458517695,0.004741865000448986,0.0002192635919300301,0.003923365614073415,0.00011478287255228814,0.013096310619582385,4.4412010536065694e-05,2.7055245720223398,0.2775367160433711,0.21768704224083787,0.05374623615845331
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07926302101406613,0.030605036469393276,0.004724699834955937,0.008606044877511931,0.0007527553053801039,0.0002706711166720055,0.0038486541051701018,0.0015781716387692768,0.0004029434094422468,1.4494184473967664e-05,0.00050504208037494,2.8351303203777434e-05,0.00033863878921780444,1.2724853617473997e-05,0.1103679084931386,0.027882729505512405,0.010602264279855445,0.0007169628786929394
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9443091653380926,2.0709330524775096,2.796179638114364,0.24285811833867416,0.015460535033821499,0.23757676574324663,0.013946822735732,0.03475833743938085,0.0026198919795050735,0.03646614386608392,0.002627105058336854,0.02149994196059475,0.0005272462956029678,0.19403046809177082,0.042799596460421654,0.0312618111982709,0.001908924373673404
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02465448180139518,0.0961651141802553,0.018303165835085178,0.007766888723236942,0.024738420275271178,0.000785545649890862,0.0016395649461862227,6.179580955567587e-05,0.0028637268088309575,0.0007507594016280539,0.0017967243500671692,4.454850702728663e-05,0.011209974117761812,0.002098053681756973,0.000866073641562215,0.0001562356694435607
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0946030668015827,0.027324130048363537,0.00051357840331967,0.016438929869309726,0.003988221322404284,0.0027783052834107203,0.0005261061913468534,0.0017516705942650646,4.599989644615832e-05,0.004623014750785304,2.1435023900950867e-05,0.009249608543026255,0.0016276804506265563,0.013264189197297993,0.0002777590075719871
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7029591409194795,0.12494593551126965,3.8241214707645104,0.12628696225514813,0.3260984104311322,0.02618110374802285,0.3334532025654074,0.026445515624841986,0.3012784587262385,0.004066117461607011,0.02885631709381592,0.007402242064358716,0.0052317616548132745,0.0004041933809674214
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0509361997654105,0.32586576086232943,0.028378839028884162,3.6717592282144205,0.12880377498920703,0.3131529753010419,0.0035732889847017724,0.33362565206057615,0.027445970940758402,0.006652547702146683,0.0019945478112158577,0.0012944184084762028,0.00023027756575899616
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028520722172477697,0.0015417052313577706,0.1275464165135083,0.008196104444471386,0.00387275825350053,0.0005171338817080429,0.027115617877268017,0.001243120374561535,0.00018662781953526775,7.164767629586066e-05,4.510979860072872e-05,1.2983989543524643e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9012201476638175,0.31648429031806513,0.0036217332252199697,3.6904304044137652,0.13129455067646556,0.32857848261327915,0.027308111319041872,0.005249172167541061,0.0021002086226132866,0.0006833318797399568,0.00016963854710472237
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039046239323696774,0.0005233037950442831,0.1267962702199843,0.008320449491972415,0.026983567448436663,0.0012137769587281522,0.0002824329236954526,0.00016430873549222458,5.3089103644987645e-05,1.5723533588474226e-06
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9033617381370014,0.33191483470476285,0.02735100337687335,3.9382831417062674,0.12906780880036783,0.0011586372799695654,0.00031821644026290563,0.0002466530741766365,3.1658213389129664e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027346967490486263,0.0013528302506595757,0.12766510145906218,0.00803545749538026,9.99463260100697e-05,3.382628800085996e-05,3.2333620090252424e-05,3.671008963479494e-07
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0555050331151534,3.7817579742790253,0.128163295499363,0.0009957378945998352,0.0003829120011106385,0.00014480639650464588,2.8749113323067732e-05
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12715848969396726,0.008021205473823567,8.170399330964528e-05,2.7813278974719857e-05,1.1635999036863076e-05,1.0441592979137937e-06
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.048583727445776,0.0019950890487739625,0.0008700232466237467,0.00020957178418594402,0.0001113346687002803
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0410831934759557e-05,3.6450147896660567e-06,1.8024298689134355e-06,8.318926658645864e-09
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09055596573036,3.512928561111314,0.16985197556035203
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5152542573406622,0.06656034633081398
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.738544297562712
H42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
