 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,C20,H21,H22,C23,H24,H25,H26,C27,H28,H29,H30,C31,O32,O33,H34
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9420640106544305,2.8303435345342733,0.08966882765996709,0.09275901113716944,2.7358656492020663,0.07914917216895079,0.08601656344546948,0.08550198404052445,0.15341625055135505,0.029462015788000784,0.006057290332931009,0.006479078352385148,0.1692306328033463,0.0349138357529388,0.02514487877108612,0.004598416658195492
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09558550696339174,0.005741193928586297,0.004958694755915927,0.08396564400341666,0.034169934087005194,0.003809488380916326,0.005818272016617332,0.02808745738846541,0.0007372887635017644,0.0003795277661648999,0.00038984097500671666,0.014948975020247612,0.01796435338885405,0.002155293055201124,5.223911807461512e-05
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0030851047735396,2.032739138233673,0.15841802642160885,0.0057767573888798385,0.011347110176767483,0.03005165925284836,2.794263260161407,0.09173152457972411,0.08033674517871803,0.08177394060237142,0.02875945139006525,0.0038018196459905645,0.0054172947040961456,0.0015475586410341746
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023925512208346156,0.02887166112232764,0.0003827990843718876,0.0007221559717336401,0.0015480310894397942,0.0858876143895333,0.00516071188941547,0.03292460644587969,0.004242050525984586,0.0007444525270556834,0.00010656314158785651,0.00019828334457550056,3.64037160502928e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009973462709641279,8.433524136575166e-05,0.005418336809273061,0.0004997429292379341,0.08307916863528297,0.0045906991936084385,0.005047573911613146,0.03322862591642517,0.003384718510286655,0.00010719405101422552,0.0011529142219628419,0.0002917852634001239
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.030157813047236,2.092622733496797,2.1207251034806283,0.021032396531909137,0.002096220080006539,0.008458482945064238,0.0004112048301487814,0.018730739811854497,0.017881665732910043,0.002597710468204298,0.00032546682861367415
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02289180547773162,0.02362243031895339,0.00795860121777614,0.0005224125776785993,0.008424870818347197,3.809875205229574e-05,0.0004803848308168046,0.00043328136037379394,6.938750209206646e-05,4.7823280397985e-06
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024719941649828492,0.0006506954079219529,8.269462455179344e-05,9.427741260981115e-05,0.00015011799319020191,0.0013237113544579682,0.000696897012205655,0.00020431697505873814,3.362976237064608e-05
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023534553253965473,6.558443345738851e-06,0.0006059331418712954,5.150457520386453e-05,0.013006095605857304,0.022031245171750813,0.0018984655350369195,6.710358637329605e-05
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1467409417365824,2.066134443870578,2.0423640638888667,0.002628813618773651,0.0016640231626798008,0.0005342030220347044,0.00012249310861378593
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022148106501112874,0.024759405202530393,0.00028274220715296394,0.00032394697706106257,2.9662489373860623e-05,4.045968532651045e-06
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024289727527759597,5.049088349551312e-05,9.370658787077879e-05,1.0450078472779012e-05,1.1003282780475132e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005954311463269857,0.00033352126589480946,0.00015070379310588855,2.00937994037087e-05
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.10965748502466,3.3973213950639343,0.17138736473496052
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5153303453027135,0.07972669040635749
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.713263492336606
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
