 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,C35,H36,H37,H38,C39,H40,H41,H42,C43,O44,O45,H46
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030131744622845513,0.10064667579722708,0.0048860550531741875,0.027159797513615302,0.0029582935921719233,6.47790612546828e-05,0.0027212955961128937,4.497763901056828e-05,0.0009648819792058561,0.0001100889394980431,0.0009036514833837828,0.00010450774608994351,0.00018559779808891008,0.00010380317580804821,0.001627239845731987,0.004263042115941307,0.00017918869456323705,3.056387513500347e-05,2.839240779273222e-05,3.7743930580980134e-06,2.602101198956319e-06,3.6958566862477227e-06,6.27409025177883e-07,7.705123188372909e-07,2.5158512384493292e-08,2.523732469672524e-07,1.0770035108187415e-07,7.381248303683918e-07,1.9128157502379395e-08,4.747357174039735e-09,4.466781151624133e-07,0.004535107522911641,0.03928500941949675,0.0016830205758164851,4.558329990422827e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38955160784104226,0.03102402595651188,3.3555553035513808,3.495252204543767,0.1304302412583136,0.2888031089902324,0.0269798717495513,0.3365979090128103,0.02761036619069368,0.23336709384089546,0.00391894152999539,0.001713587999847832,0.0007787420615171792,0.0022040099111146627,0.002729847735845836,0.0004401044469765636,9.94915103773586e-05,2.868061015745549e-05,1.1065406379406895e-05,4.240562530233305e-06,3.4254308051706595e-06,3.4183317969560534e-06,5.736941215972458e-07,7.006693381050866e-08,1.1231891372531777e-07,2.9690257585812674e-08,3.5267733036192794e-06,3.384390705463147e-07,7.037636629014798e-08,3.340581980149082e-06,0.00011305483562926155,0.0003830929966949642,3.290304489458884e-05,7.643773974996826e-06
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9695782033669824,3.2297354496075794,0.04543685684499646,0.004074903989448764,0.2520718791608119,0.0071483856783938204,0.04914012200325854,0.00044892981406818855,0.06438490535303801,0.003044260836224222,0.0009486294003437923,0.0003726288718922527,0.0023567201816635103,0.0034290612755739636,0.00036830806043020026,4.707506239642889e-05,4.7994614849819484e-05,1.4951243547223214e-05,2.1799696072744013e-06,3.786948163886361e-06,4.4540427457384624e-07,9.18175913258712e-07,7.302688453947326e-08,1.5435305078526085e-07,2.4624684957785803e-07,1.4773984284982555e-06,1.6329232366274482e-07,1.2695987905431139e-07,4.780653988234462e-07,0.00032343804770718076,0.0016472176943649053,0.0001315898079447264,1.707324653044129e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11682735452416848,0.003477017914968683,0.0014025053486690364,0.007133814337830113,0.0033472836996524258,0.0005348191415310843,4.056086746895282e-05,0.0005722832142198708,7.009702584581667e-05,6.80332670788264e-06,3.7485587417451782e-06,1.781225359864802e-05,6.78642898235271e-05,2.6170612692499873e-06,4.057489957354221e-07,5.577634515363528e-07,2.106787926337006e-07,9.526277100491143e-09,5.0784203176057474e-08,3.612527610385996e-09,1.5469480918461898e-08,3.447793162081325e-10,5.570253147624271e-10,3.3302549606872844e-09,2.1668781102768264e-08,4.516073293103773e-09,1.8396095757822195e-09,9.980343440574302e-09,8.656850231769653e-06,3.639076494488247e-05,3.732196656280884e-06,2.743116926939848e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29530714521550755,0.027382025970950297,3.678268795431962,0.13391002213549252,0.22983066188343196,0.004088163406039236,0.352465001308326,0.028368284629849416,0.0006511975978438778,0.00039260332852743274,0.002604221303718096,0.004963933535267806,0.00024683732169536454,7.65363881034542e-05,1.4131617895457582e-05,3.4800563648573757e-06,2.4435636791775295e-06,3.0490060849985845e-06,2.514217891658177e-07,8.352632063501897e-07,5.499068045367039e-08,7.228106668755174e-08,4.1010849605171984e-08,2.758333994046236e-06,2.5414171545001807e-07,5.663305557845888e-08,2.135899067390312e-06,0.00014334740014040892,0.0005175075164513404,4.379062587113458e-05,9.635348218961504e-06
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1099700794390808,0.31075301378773446,0.003627356744396737,4.040483654466873,0.13169124039915525,0.32611829554095517,0.02614899226437095,0.0008213572099048105,0.0005295069046056117,0.001486537564243523,0.002446711926630152,0.00015520772902202773,4.2011662561902696e-05,1.7104880240523257e-05,2.070700893641586e-06,3.3931918910212744e-06,2.106114632444145e-06,4.677791980434165e-07,5.543738342828064e-07,5.099105249151137e-08,1.3987116131986e-07,7.579305938421044e-08,4.018346633674619e-06,1.7808000118968437e-07,8.383683880452963e-08,3.9605405213194445e-06,5.3269271401645835e-05,0.00016513290492742305,1.702073169979057e-05,3.4090680819387487e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003537995261243543,0.0007740020175661666,0.12898194677340102,0.008426925636999982,0.02762330097705057,0.001125014291613713,0.00020147553050220424,0.0002974703902840492,0.00011024799251990736,2.9561896037755275e-06,9.337855114477378e-06,1.8391460463451637e-06,5.5050135119305565e-06,4.252743690535965e-08,7.241671295954433e-07,4.4787838615611975e-07,1.5245853690615263e-07,2.2423312162622722e-07,1.1798641175175817e-08,5.821044468667935e-08,3.405440063275478e-08,1.6153348764147424e-06,5.457316709644999e-08,2.7301359617482035e-08,1.2102373854183668e-06,2.6967823785195577e-06,6.061781915311926e-07,3.740531395735047e-07,1.5487003657277398e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1034763644948855,0.3183456477798723,0.026038765795422636,3.9076339826180244,0.13031315111567032,0.0001567805092916874,6.340588726223839e-05,0.00031787470340421953,0.0005709991088486133,5.04075151029626e-05,9.575469415823434e-06,5.008885075055702e-06,6.456702037471729e-07,4.503013140144674e-07,6.169833112190659e-07,1.5494421701234273e-07,1.5503941733219229e-07,8.118756333885813e-09,2.982556224218058e-08,2.9690885750000007e-08,4.910623690873583e-07,4.336684100714194e-08,1.2489563605555531e-08,5.067431252392396e-07,2.8850674395869413e-05,9.931604415532036e-05,9.646977175106763e-06,2.0643645738394056e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027462545480016143,0.0010489202898460448,0.1248551171214658,0.008410388232950483,3.0284451832951476e-06,1.9937812462123006e-06,2.038966175677004e-06,8.080509266150671e-07,1.996843179696839e-07,1.0136392392112725e-08,2.494730932944833e-08,5.84013948312645e-10,1.448598796471856e-09,1.1070446559457991e-08,1.1256485521471404e-08,1.4102119472170216e-09,1.1610401529082992e-10,6.637179694735096e-10,2.3953172778590215e-10,5.581168194268571e-09,6.89167611866992e-10,3.161249040317671e-11,3.9752734437570325e-09,1.2713142116815845e-07,5.223804246945463e-07,6.607531388702625e-08,1.1841555513925073e-08
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8481824205397743,3.7071076170034054,0.12451791172807769,0.0002031136529624944,0.00013144160738630395,0.0002486999291532177,0.0003234684477995131,4.662652124828859e-05,1.083893137998615e-05,5.937085486962257e-06,1.8382864963584211e-06,5.000129499332928e-07,5.391412976341048e-07,1.0853034759783498e-07,1.3718637079107587e-07,9.608634998770071e-09,2.6896039839741093e-08,3.425755368269279e-08,1.0434413719451197e-06,7.524691936211525e-08,1.660467496833462e-08,1.0391661826592014e-06,1.6312275963492606e-05,3.814266177123993e-05,5.034048338861674e-06,1.8946304909395195e-06
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1261891674252682,0.008138664592508338,5.903279323149491e-07,1.165789602741718e-06,1.674885446112384e-06,2.912932208110064e-06,1.8046299010698874e-07,5.1931869915478046e-08,9.607268980360573e-09,5.167915873016682e-09,5.85468118430299e-10,2.4546016330617704e-09,1.0919336546066916e-09,6.146236852799802e-10,4.025291211462445e-11,5.898348476307547e-11,2.5822677329756516e-11,7.79376341242255e-09,7.469547202987314e-10,7.910272437072763e-11,7.73455610669771e-09,3.978806357718412e-07,1.869676335086723e-06,1.0791761972939184e-07,1.798952520282171e-08
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.113662163709203,0.0002623358574635193,0.0001858193168051414,0.001189497913075696,0.00212077597252458,0.0001120056945196346,4.3453860504416575e-05,5.427052062745297e-06,1.8485370545384683e-06,1.391047806276191e-06,1.4666542428876106e-06,5.252934132116138e-08,4.0792214700546836e-07,3.3646771591122615e-08,3.1393780686173045e-08,1.3383563590707581e-08,1.772376794259567e-06,1.3901216244782688e-07,2.40189284017589e-08,1.540069404226685e-06,4.8742118201300366e-05,0.00014428075592920475,1.6016445272437618e-05,3.976629586621705e-06
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6353265617794506e-06,1.3477936952055458e-06,1.8203216303191994e-06,6.775906653544439e-07,2.904016409566168e-07,3.590456421065369e-08,1.4443922990992064e-07,1.967807916614106e-09,1.7185485923221222e-08,1.99289784674761e-08,9.386896149266022e-09,4.352118665451599e-09,1.4386758451223614e-10,1.565931828650946e-09,1.9114700933187123e-09,1.8624520148335932e-08,3.9041148092167077e-10,2.4807511600499765e-10,1.999453691503561e-08,8.225776459980239e-07,2.916649893269785e-06,2.773224979657485e-07,7.069052521124775e-08
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8940376504091,3.6180870889904897,0.1367827740105395,0.27567182066418683,0.02737257227090617,0.03401105465351037,0.0007640171052116784,0.0039040092216546807,0.003965732391666699,0.0034221027223335643,0.0006792581689291366,3.581761474724665e-05,0.00026218294970070666,9.074082173343712e-05,0.0036363275357597646,0.00014467587145783334,0.00012745227691812744,0.006644278515733237,0.03215115690468742,0.0037383471723871076,0.005779465608332951,0.0013423138993621242
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5417857054123771,0.024480079484257566,0.07033169855988006,0.05486320035712999,0.009978150240203529,0.0011950733382863898,0.0014013741504409483,0.0012892506574982004,0.0006420261135561267,0.00032022721896396433,5.279886914555387e-05,5.42883492224977e-05,5.2189881258768445e-05,0.011569603577713763,0.00021793976365802603,0.00022652153385527285,0.03065394077113992,0.011397516338038899,0.00259946324057371,0.0018004054539329656,0.0004226343712195879
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.711689268592963,2.730679086704632,0.09944655614691722,0.17993205881270247,0.0068005314075010315,0.025937878004718584,0.021878198394593845,0.01638118260093968,0.003362102826806823,7.46349754658926e-05,0.0006563739478759878,0.0003040959253706177,0.0018368890651187658,0.00015835388637364112,0.00022709813996812933,0.0010372419087656404,0.19630136246361288,0.034273823591063846,0.028362861579234788,0.005031341043937099
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09678001133279535,0.02973336738689203,0.0046509385923635405,0.002247074059879006,5.962571297257746e-05,0.00033094597440552764,0.00020965083568968979,5.3755987178272235e-05,8.875456681600724e-06,2.5126636009176195e-05,8.160892548403353e-07,0.0002779793728867608,2.8975619712046097e-05,5.246354009802445e-05,0.00012745875268715956,0.01124717431752309,0.017836237952021827,0.0015507199974320596,7.748043664879134e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8929383033689449,2.4877154917542543,0.08585130014381703,0.09444364437099217,0.15007868078333045,0.007312028651305091,0.03261677921331163,0.0010582788571171786,0.0006728605011783184,0.004614205413906225,0.02050826214772508,0.0022741759257509653,0.000803616437748067,0.007252870584527837,2.7453913802558443,0.26638676370114167,0.21994677741144736,0.053900969643874364
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07837303415219754,0.031647727466665776,0.00416400440429876,0.007536072591023513,8.534216254352245e-05,0.001191352216137087,0.00019794676691442525,1.9306787747197518e-05,7.196188593661113e-05,0.01063231202670023,0.0007458568683438305,0.00016767974370446304,0.010973821750726476,0.11354104869440773,0.027711887619477515,0.011624550162461111,0.0007606547921032991
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9677538780268158,1.7634117725286307,2.814462681783861,0.0836229108426676,0.18363859418584494,0.010890331902374095,0.009373898288190796,0.030355242533739002,0.15706755565211858,0.030707265141269646,0.010283862910127839,0.005101982746622102,0.2075527550873769,0.04237692500533516,0.03183753007876865,0.0020643735921838102
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02292019360328812,0.08334403419882741,0.004288735188424431,0.012550571440546276,0.005995499729786857,0.00021292792112070913,0.0008150485816138531,0.029821779461686848,0.001554435040475255,0.000524498782474847,0.0002878724881036909,0.011017621950150103,0.0019412605051434273,0.000916202956881218,0.0001648302215033759
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07926167853987409,0.03541133336534785,0.009267676564288507,0.00020214370820004213,0.004336386170333828,0.0005573060797159357,0.008974278694803162,0.0004163556475011987,0.004655897795677211,0.00011371578621299783,0.010560555079462741,0.001763414235054661,0.01372215688273859,0.0002848167703612958
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7667527117767563,2.5454749518867814,0.08189513316495267,0.08394079582352099,0.08629540065815777,2.730189767796961,0.08724692803476142,0.08160085335508005,0.08580403797728109,0.03058892765217322,0.007650897598064518,0.0052239943383663445,0.00037593684399939153
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0840743855682129,0.004281170883435381,0.03496031978438352,0.004812475556353224,0.08174089727846201,0.0035992059038527646,0.03475335069775598,0.005362291744020586,0.0010071717554283044,0.00017149308597075308,0.00044214387051777493,0.00015397685378970571
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9711209452040677,1.843913915229048,2.168942978331769,0.16898593930572509,0.011952667807273443,0.007775833571599389,0.03014051488907099,0.006089455342232486,0.0019878801099018073,0.0007169515520658171,8.437803034178071e-05
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0227183843282297,0.024005751329206237,0.03156750844078027,0.0009252683816844964,0.00037244783718981544,0.00275017746943762,9.681438123521069e-05,4.946073963374431e-05,1.7170369135177665e-05,6.809536892138368e-07
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022979166288830122,0.009199887585894517,0.0001896822956031219,0.003892615850322967,0.0005543015302895693,8.690710156034065e-05,2.6219488201251195e-05,5.331284518206303e-05,3.8609951931167785e-06
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533659160392949,0.0048793223560870125,0.00013746518449764267,0.0006034644338777095,0.00145017837782202,0.00047662824559402406,0.0001909861204947294,1.97909481596259e-05
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1675446253262356,1.819058362142596,1.816907865657586,0.003373544466414663,0.0012926120879364206,0.00042884775312709844,4.205472913820785e-05
