,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35C,36H,37H,38H,39C,40H,41H,42H,43C,44O,45O,46H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.323088851881497,2.147164334183935,2.515535438527855,3.2735161374353248,4.698233684200849,5.176156664987572,4.602396570352418,5.013307540711169,5.679864698085244,6.708756798883605,5.640032794195648,6.648588080976493,4.054521164203834,5.101395131490689,3.3464863617656024,2.5497794377433354,4.030728905298797,4.841914922882195,4.9378994691745515,4.527212170615205,5.628185433531761,5.977212077172051,5.619753356220499,6.992010892691709,6.673945656612546,7.554473366808719,7.7963844897473695,6.91736099959409,7.766651160140879,7.42947027856494,6.565833972732227,3.51474464955598,2.5052780158683734,4.735688342220181,4.747594526602721
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2551769747000487,3.231457246426751,1.4223718115390644,1.4068423530713972,2.1709589263150066,2.471440206631326,3.459399372472476,2.4096841384908054,3.39708876193192,2.800656648099198,3.887375712228524,4.370829963161379,5.558764544353766,4.2072458535262,3.3914155051976707,5.510869544227109,6.251239482614428,6.064136043301838,5.621953225170712,7.085558208247472,6.352206403930925,5.49353524475947,7.214964599962855,6.819000399084935,8.128000884780121,7.6302678930669545,7.341209048605401,7.80544880383578,8.213507511988507,7.026371962077781,5.8751589271799585,5.318112325475222,7.225212466048907,7.555139413342607
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0080221289395717,1.3810363604182239,3.578207912983619,4.4260649233602365,2.5262344132482313,2.866949298463383,4.127752049322261,5.213496122094009,3.7218909199056047,4.645799982183712,5.098431196992149,6.305108284367719,4.3784652174164975,3.3696344268143945,5.264826727077516,6.214645215801947,5.711677711384592,5.01179383344584,6.544801901157052,6.457086767840047,5.885075113463937,7.1664701700855815,6.59388399476451,7.890266263608561,7.835353768042,7.6576164867881324,8.328357974131134,8.318393111237487,7.489383714862194,5.103321721989105,4.258480681547428,6.357509100882581,6.451251662282478
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1317730526837404,4.499830653023507,5.397384808428811,2.889121246825476,2.8451527609575145,4.8810408951785735,5.963453897148843,4.233955662487923,5.02050744593954,5.860307963700476,7.040449897562139,4.988263017890273,3.988198410530662,5.664667750928277,6.670278899323973,5.989114823257849,5.178073024209229,6.7125349215188725,6.8604886137570515,6.401648850617839,7.438283583953961,6.776157629643092,8.076131066287273,8.174547148715547,8.136792343459842,8.8502497121203,8.710651866358404,8.052841627564737,5.304136790392326,4.3841131632998165,6.452876046740458,6.4309187862793875
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.436710036528431,3.4297993949758223,1.399458930973383,2.173720485627505,2.7683400980880086,3.8549705475600784,2.384979914459661,3.375096640988921,5.309509621348266,6.53624130221854,4.807404335747221,3.845245250079986,5.900748575943821,6.797898872668909,6.252913976980999,5.585843144847826,7.200846011304327,6.698515047147067,5.942817104772899,7.351427868550103,6.76754540900602,8.207077553273088,7.851917291543976,7.887429676559143,8.404157764476501,8.67949927483489,7.724499888205782,6.046850015453647,5.355447821324824,7.352633824861338,7.56961996683319
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873928131100605,2.85054663622919,3.93789794636505,1.3900391267942498,2.14664119777754,2.438999854059393,3.414155442226421,4.954704831045077,6.041223878012544,5.055688216458672,4.395861672315665,6.43444237015217,7.0714002752401885,6.906816844649923,6.537739520040997,7.979040996731819,6.910776332563103,5.9258114367691475,7.718200488970575,7.364372960060024,8.717534367858061,7.948705908744339,7.802496235668425,8.092180723364471,8.772064386447333,7.478004633090006,7.016523607191187,6.583632353615957,8.359888871477844,8.774925359172324
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.937885889439816,5.025226013050407,2.1566355540209057,2.4803539175915703,3.4257203616620138,4.310915408576255,4.7000123018775435,5.656005925895408,5.0924265363281025,4.613692956821937,6.526112965225478,7.012465158380151,7.107160128778626,6.899569911299048,8.188671399681242,6.9890079414458715,5.972163115983428,7.911227318740051,7.69885005059472,8.922215849148952,8.066095500516443,7.688046759826914,7.913330233672184,8.693801376206695,7.2548035773429635,7.232052136893353,6.902559613705401,8.55479684551121,9.03180567670869
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873552754994127,2.4415533228851647,3.41497623032098,1.390936530267654,2.1441426061323714,6.521500479198638,7.739182623191589,6.011893886797788,5.069083030213639,7.066812497842315,7.991932094548891,7.211879780006022,6.45186256796313,8.155869734827267,7.5197939107179534,6.725888321394395,7.956899260722529,7.255248703135783,8.845957680335104,8.359484748775593,8.78731514806961,9.201051918122086,9.607025729735438,8.730258692439584,7.27098537220246,6.611306585382809,8.545235252913308,8.763562189527876
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4318241886241077,4.316269096436503,2.164007723573328,2.48636544375373,7.327644169960943,8.55163395134368,6.669945515249415,5.694749812231193,7.5837424923239585,8.572031963163248,7.614335515645948,6.746998743403844,8.481524021437005,8.014193356281009,7.308929642866329,8.311063919168594,7.507400974868213,9.1351926848347,8.76202359212777,9.369167574043072,9.813726355469214,10.12356528699533,9.396118841180938,7.652963147905557,6.9393911447332775,8.862109311362033,9.002361870406498
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086824445643122,1.4107816070438495,2.1627983329439298,6.209540590284287,7.3017829954512585,6.187264994194084,5.471855883450688,7.497219408793137,8.205351210911543,7.766680550819083,7.272789662854463,8.833514364358646,7.6902176961618816,6.689129143990249,8.280388489515921,7.798688145993073,9.306523040367598,8.43420870560956,8.692432236174524,8.898709725943112,9.673546240827013,8.492855940341789,8.076036095799454,7.6204829014218065,9.4087417682759,9.807145618176836
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160939115192154,2.4755141257587963,6.8599971716927035,7.8716650910306365,6.973032594941136,6.3428173411815125,8.307051045353044,8.948287593848278,8.54518186738981,8.107034166875032,9.627558306835594,8.314019115245795,7.26718461991269,8.866017480865985,8.42643263519208,9.925952656289004,8.899821024189436,9.233205376353554,9.327820051784155,10.257292016142362,9.02794018240161,8.9921417995455,8.600057162305605,10.318339494048285,10.763109243781933
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868992345734088,6.887623000165426,8.054550563337065,6.59546788183098,5.75131657890779,7.772359698879195,8.611888789127631,7.900914035389264,7.232876448306777,8.91130167977328,7.966067210325868,7.051713705967936,8.38939471862495,7.745781181935084,9.364272734690916,8.626423163058284,9.14390155216248,9.41500912858143,10.056633834732136,9.06329584036175,8.18530365462792,7.6311320507400975,9.48940565599405,9.80084176365911
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.913600509478448,9.06785095578945,7.599962219260575,6.761507018633967,8.738054795856621,9.59378652281733,8.756865995283121,8.042545300886566,9.750888246416487,8.756354754708338,7.844190605142862,9.04242414262958,8.338746664717231,10.019122250128804,9.215865295671593,9.967516921737683,10.176896776249471,10.883007683705385,9.952273321993786,9.162426761885278,8.615287029634713,10.44563153467513,10.751540529610228
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2293134352418364,1.3687512206862738,2.0534490601857915,2.4650194113791923,2.487184359190642,3.586011264529294,4.038005795052918,4.450672015564998,3.7643521937115083,3.262533991739678,5.2383395823428875,5.530872722238368,5.913027635591157,5.701202582649343,3.9509630640109537,4.596740774352615,4.712871221972491,3.1966299267658935,3.4805265282448197,3.8148193338690355,4.532817803538717,5.23463277096216
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2808494058418463,3.1639731424922766,2.8099052250382113,2.314549602876615,3.9257346292040123,4.639234528696138,4.602884568398055,3.9467672512627154,3.6438064069969776,5.473180860697947,5.981457012351332,6.025843637486994,5.860787677148161,3.644679769531012,4.250112386266098,4.30544603874272,2.664809083237134,3.8810072206798965,4.454951742238367,4.645589908401265,5.417882242552812
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0148617505502606,1.4500444813054707,2.048641970532877,2.503144096727802,2.772468543153622,3.419557103337228,3.076631578966926,2.7240122957241817,4.452219822110756,4.5846002947315725,5.077936843968259,5.114373602477864,3.6993315536772053,4.511881234379185,4.35598970824871,3.2523408719231517,2.4399610354862644,2.7846877833814037,3.6193283072508295,4.305005977767712
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125010269275309,2.9537372090817775,2.924013100798289,2.7987734353072353,3.8755470638473,3.6037932031346775,3.1383179056847483,4.784026085452798,4.682093202069927,5.46930923730019,5.47608721081902,4.498204579851391,5.267214952279922,5.166359757198149,4.179078209743885,2.679991582486316,2.6144449099551794,3.9944027087697336,4.524333786662351
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0929590522773824,1.550560157915291,2.1649649372969617,2.1589922913929693,2.605904696452205,2.8149243990188486,3.9336691457259763,4.1960077379400005,4.272244851119949,4.769165960710857,3.1255116329753614,4.1430579299171795,3.45107890786786,2.8488538015603453,1.5259871310618487,2.4459596814000033,2.3799367315567346,3.2143484472262984
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.176875517491074,3.069868865316868,2.5031436769853523,2.8543810425416805,3.170775805907911,4.277427877192275,4.77694307840977,4.512955138524441,4.999872268853774,2.7900708331692354,3.8179523300572322,3.003716230716928,2.251506476538922,2.131436137902596,3.168432564596256,2.5523689597381884,3.4631418914998187
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0998894065866978,1.0978623845794182,1.5412363804421638,2.146988548415319,2.5146794982163447,2.74932659992297,2.796849555109393,3.4789703843313906,2.5606193800099275,3.508237190533293,2.803381681082296,2.8689938993683457,2.5137572994611004,3.4115379564581096,2.9807877266374776,3.8171130031516944
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7633690557792878,2.1665214232281653,2.487491074399158,2.6893759029068693,2.461247493725471,3.067573048678977,3.6979623662590533,3.4997174329439,4.323929129412049,3.7969969320900825,3.8670591339931923,2.7301379694765417,3.2974390789156764,3.36755689681927,4.016679456672995
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.170541886351412,3.0589219322644636,2.767585898703889,3.1039878348381174,2.5987849299922785,3.783875807124796,2.813527081421835,3.7934124762715697,2.610300015395957,3.2426688635710774,2.685399392199371,3.7166028301980614,2.6184520048063002,3.439279649935201
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0989187323651521,1.5373154600480299,2.192896905060922,2.18719406564548,2.183698445482703,1.5371150752849148,2.1774716812738033,2.186061180284916,2.1957178336275422,3.922520925450396,4.805048733389776,4.383441952280709,5.281369967592197
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.146650145754361,2.502980363541736,3.0722614188741506,2.491421435376218,2.148806086131425,2.5193242106473144,3.0725041946307416,2.476027497252246,4.217036884745373,4.911837208113981,4.953731944603933,5.819279307869796
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097199793188751,1.098354142376252,1.0964139926419967,2.5334543049588416,2.7291000275183808,2.839925587326276,3.495773818758192,5.0236411057757,5.84881093563197,5.330407599288748,6.149924423804615
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772953490071683,1.7724649536617725,3.497931584085715,3.7472488158986605,3.8456334901008193,4.353484225667764,5.112320749176671,5.754582354389901,5.538479696969604,6.255740519035552
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770837128729372,2.8046661615275013,3.076184332033997,2.6687184393920567,3.8383784385774833,5.181035126486504,6.1003470638192185,5.207852226244353,5.994936987846205
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755106996484193,2.516743313900134,3.1977929971736554,3.7567614585699913,5.986048918951594,6.812075956537414,6.326244431508045,7.179514874632744
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967574641239592,1.0988570964768793,1.0950048144618894,4.4962127915933685,5.544264481896053,4.712794550745191,5.682730613487825
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7703171797832125,1.767300329305178,5.559956364631101,6.569522490599967,5.808477281615651,6.777311390965876
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7790432847330035,4.585356512203239,5.734772483454045,4.479124013214353,5.427898096181977
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.252856838569967,5.269510896639703,4.560198264530337,5.529586194132723
43C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2136414087231893,1.3519935810255312,1.8783158223735807
44O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.250053028306039,2.281346253135026
45O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765578686642304
46H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
