,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15C,16H,17H,18C,19H,20H,21H,22C,23H,24H,25H,26C,27O,28O,29H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093860624348605,1.5630461544550114,2.147635323951668,2.537355746738903,2.854646304951527,2.625436954116377,2.5759283984289714,2.8125423765120883,3.52449294258387,2.8839582941278974,3.9206153467934888,4.693502003312497,4.174728421987389,4.374380332079786,1.5246602122241077,2.4233164986693168,2.398270579175724,3.227260877645675
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.184930882429819,3.0532944039888252,2.720263953665777,2.6043939603349306,2.8135174163131733,2.899261628166172,2.7107225092145217,3.8586976119542205,3.3593941578241293,4.224287081322553,4.84693461552549,4.714730158002999,4.632991392222723,2.1566108001652013,3.2411270932442484,2.5019500344215686,3.445487253170102
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1009025948020894,1.5433866182540799,2.1639337010997513,2.1637955860780798,1.5375133974919228,2.1871543608201187,2.1763679454768865,2.20053350019392,2.583318269984504,3.524868935714301,2.840715364932978,2.8964773784629765,2.5513125928646336,3.2777076907895983,3.258498240011895,4.036951136314546
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.159786813987902,3.0608043124757867,2.558229793167124,2.1551407222984773,3.0764647932720695,2.5352417193021664,2.4786148261568735,2.739320028945929,3.745983981235038,2.548815211962749,3.116206406649132,2.802338772420518,3.1195165389297044,3.757177883047583,4.361950061854623
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0992098648832425,1.0950588412703577,2.551108953519461,2.867501782382031,2.7469964367995114,3.5130714808339096,1.5337700679820172,2.1749433455304032,2.1849682531089645,2.2002626504456804,3.8984966791687397,4.661340228786592,4.547790239655017,5.4198792251911705
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.752085466517177,2.728194631366898,2.604411005271437,2.9695612548162016,3.7747726147497054,2.169182244422,2.512490030394313,3.0886020344780096,2.539821917848438,4.214232457773994,5.17046738598298,4.58261717474629,5.520831418377459
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48034292106707,3.7853069207224257,3.7900060107663416,4.336230589110828,2.1519270643857955,2.463633456858849,2.5296439167775877,3.083419396377188,4.098524459838389,4.747622996529139,4.929042793362967,5.798179144330141
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969171589288873,1.0944508400744928,1.094937249109017,3.1821333185686287,4.161868271151062,3.5896947298679263,2.9286334183021085,2.9704820867500707,3.7944029390941703,3.0952733252293654,3.775469766431622
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7710192691173616,1.7697383988115132,3.6762421825917038,4.4932128577629475,4.319179111841962,3.3792873247387387,3.2492808160879525,4.28397525599597,2.9998159662249977,3.7699108316355487
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7623477753696024,2.811567701330468,3.783655770422925,3.20554475936023,2.2333152596302894,4.003538920857,4.711080312943433,4.159715562944129,4.77685950170326
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.119105837583202,5.152925695853213,4.335646036717457,3.8453875997196385,2.6878024952976896,3.3241263972670456,2.6821602451133133,3.1206720709183386
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0960757674517465,1.0977039635331713,1.0960235226690227,5.123588750667189,5.739689731979363,5.7795647250041124,6.579062381003284
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7698411592603347,1.7649996287084693,6.019107309966377,6.670807493455578,6.664422866315443,7.5117625201966005
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7705653791962093,5.24644831862688,5.639557454844178,6.0780985856244,6.788199191709247
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.403170382494718,6.070944605564929,5.865059294880483,6.622509037631552
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21474314527104,1.3481797349801372,1.876522943098374
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2525122639490354,2.287692110376642
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9774440409297458
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
