 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,C34,H35,C36,N37,H38,C39,C40,H41,C42,H43,C44,H45,C46,H47,C48,O49,O50,H51
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012497369662182178,0.0006683636505739887,0.005519515264118979,4.199780648228568e-05,0.00015427734051709496,2.1333069566309426e-05,2.687755311647777e-07,4.769026412221322e-06,3.868835295017803e-06,1.3164157931511156e-06,9.702345082907016e-08,2.0691010682583055e-08,3.126216319149222e-07,2.3696971540587697e-07,2.471639337642273e-09,6.7880840171064e-08,9.525973865276427e-08,8.892413472239014e-10,2.558554446085992e-08,3.809914594921082e-08,2.8982821698164685e-08,7.129446366604952e-09,6.547271613754901e-10,1.597332965896925e-08,1.644702152248101e-10,6.14972317514173e-09,2.187481307203143e-10,7.411769520404565e-05,0.00023273309918492302,2.4541460874827337e-05,1.1226828406929457e-06
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6863337973650063,1.9758211637916125,0.013425996445049132,0.07121960742919752,0.004283758518273784,9.521852140892406e-05,0.00042646454344855145,0.00024214062349603438,5.355823064497056e-05,4.249864278493831e-06,1.855189072919039e-06,6.872284867870393e-06,6.580358934984987e-06,2.0547436907492056e-07,2.6396882461809934e-06,2.075734940418239e-06,1.6828080928732447e-08,7.459222688133149e-07,1.2494466739829124e-05,7.424111664544597e-06,1.783892183387925e-06,2.0333178474274405e-09,5.051352704954493e-06,1.4323413677352903e-08,7.666916413545666e-07,6.757005455160225e-08,0.0013494112076700426,0.0021982965869796617,0.00012848236939123903,5.2441907508193886e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04087930179383381,0.022803949174028948,0.2177474910915841,0.0053981398079592235,8.176921537561554e-05,0.0005655907367961843,0.00025758684009380417,0.00011246678378129538,2.5749332801527913e-06,7.570116311583774e-08,6.935530132312628e-06,5.603967195288995e-06,1.5196445368736988e-07,2.9726830493848055e-06,1.020683408237133e-06,4.542421772057992e-08,7.036238729440925e-07,1.2837271776255932e-05,7.367285556281189e-06,1.8335102537347936e-06,9.832891834093971e-09,5.069349826802849e-06,6.646074135474578e-09,7.743252341541051e-07,6.021380727361247e-08,0.001974231727520648,0.0028953010169828763,0.00010729285279797995,9.421230266593028e-06
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007057921477029439,0.0017805172933845759,0.00031688098232884876,3.765747194073299e-06,2.8775771817812767e-05,2.301876092847266e-05,1.5998984279619322e-06,6.282580100602786e-07,1.9205377932429712e-07,3.9735237844507054e-07,5.359959143191872e-07,1.1238315833494994e-08,1.0263459249149065e-07,2.3936064852403405e-07,2.4489121841497763e-10,3.096592238183149e-08,5.566941619905563e-07,3.85564744798117e-07,9.020497215850298e-08,3.6215452858812114e-10,2.516972978927612e-07,8.147322816398628e-10,3.431609063575536e-08,4.215479298963487e-09,4.3929440498691186e-05,6.711603747189265e-05,6.364466333952379e-06,6.629621176479361e-07
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.820286382911424,3.6287071456201385,0.1467118517969035,0.2764114619324481,0.025735013378028304,0.028945489006222958,0.0007840627872306438,0.0040094429439399,0.0030960543703514865,0.0010132698831666342,1.760057802946413e-05,0.002349277157838753,0.0006253293910916669,1.3055648325766e-06,0.00040746816656281326,0.002043910837478763,0.0005284761988515463,0.0002249143450381852,3.420206377002799e-06,0.0004838461343321665,2.0477717870281964e-06,0.00022515942490330954,6.301327700519721e-06,0.040644975730012745,0.015938334795287487,0.006209105077028543,0.0005563407481772309
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5380699093031339,0.025742506688985145,0.06474641837479186,0.018555834365495016,0.0075594264599141425,0.0005093044771320443,0.0007325424419575288,0.0019162487548418233,0.0008094963751744122,6.718570984221017e-06,0.0012485898933821682,0.00048076382365506987,1.702142399695461e-06,0.0002280626321000262,0.0009123718851946627,0.0003668548334552213,7.129207936136528e-05,1.3395715541264508e-06,0.00021134517048772283,1.26021746571503e-06,8.476908688721807e-05,2.655882594515546e-06,0.04289056451070006,0.014175570656214068,0.0036379560339215855,0.00044450525198036495
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8664472385260555,2.7938733193873997,0.09645375460601757,0.1686972634610852,0.005240263128618694,0.02401888034516042,0.026180582818650933,0.004174226497134947,0.00011204587150936973,0.018964144579267483,0.002728611443123641,9.479973836934441e-06,0.002342758465688405,0.0146466854739708,0.0041962300148215,0.0015759865694532915,1.5158756400901474e-05,0.0028240490067346358,8.210839123057312e-06,0.0016357897298305002,2.464787857803241e-05,0.18413967521730484,0.027729178449856035,0.028431605044193356,0.004871567808281907
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09980041795529326,0.0083233043100861,0.015950562130808255,0.001182399238242926,0.0011883806714043654,0.015896256958615407,0.0007454877417190087,0.00012017408736575419,0.04982707358530358,0.0021287807188182795,3.6894532213782583e-06,0.0022875042278535096,0.05053679659253463,0.008241024215128956,0.003967393155063115,3.041525549418722e-06,0.0039046208664470505,5.213685485672137e-05,0.003889108746313319,1.657936923105119e-05,0.013824635334162672,0.0005236923381209957,0.0025386789682291244,0.0010053165995265179
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7516080330112334,2.6271843824653582,0.08089959785075873,0.09676196169883489,0.17866912566528226,0.04948169291243029,0.0002795711022245406,0.021207137025084727,0.013538235045885166,0.0001359953161199634,0.005016939581780927,0.003567815395604551,0.0006899672996356632,0.0009127814272421042,5.495031739410905e-05,0.0018641142953966794,4.5200615372831265e-06,0.0011486686839236315,5.074851928243973e-06,2.7365703201398657,0.2676864236190749,0.23439081427843206,0.05413772449819265
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07811858431237206,0.03139212226634758,0.006212071323515644,0.008264061110276777,0.0027607032581848934,0.00018477602651834069,0.00044537065795535735,0.00038336836816899034,4.3096077542603695e-05,0.0004031509592559157,0.0006363218603511189,0.0003792197408027942,5.204179918316676e-05,6.162996386560593e-07,7.087410110240278e-05,3.0209267491976277e-06,0.00017788230453319454,1.4766234306407e-06,0.1175277735380793,0.027995861294043523,0.01269477898887772,0.0006647831462260889
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7480367322009611,1.9726044594830636,2.826893168182821,0.2568725843472793,0.005909511220346442,0.192834539944878,0.05110487685815124,0.0025749755610062763,0.034878921846129646,0.01679288659149787,0.0038895475991880257,0.005228260710520405,0.00107336997457963,0.004276907854312589,0.00015488394801188576,0.002539773051485686,7.654241335575129e-05,0.19319629178185174,0.039894561448843624,0.03249555010020347,0.0017119425735817595
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025718725803241194,0.10574132097462008,0.029771696479377274,0.0001775987611125629,0.011570297559239995,0.004786544140817917,0.00072778020808828,0.0016620736154446814,0.004875368284834147,0.004834869877116121,0.0005109710052850769,5.2884491030358305e-05,0.000992756100725245,5.030935597605257e-05,0.000776029756028862,3.8017142559576556e-05,0.01316110908271817,0.002533377043396512,0.001050196309831719,0.00014105596495861406
