 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,O34,N35,H36,H37,C38,O39,O40,H41
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029974414393039606,0.09780696396751065,0.028910580765991067,0.01312289011126655,0.010443070440262936,0.013950741633608432,0.00021370520036545493,0.0012679411563467635,0.0005010727845207175,0.00023594735400367384,0.000885402137360991,0.001465106814270145,0.00020450001660365924,7.673421833498395e-07,8.168044041179101e-05,4.6021901084492e-05,0.0007509298406972453,7.734018488081418e-06,0.0005826115694347322,0.0083629165790573,0.08226962464039955,0.0031076128604811126,0.0002780973504667994,4.2131902431297164e-05,2.7657024650906692e-05,1.908358960023282e-05,6.680300633110647e-06,1.3913550080957293e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10364198123851076,0.002673906770293444,0.02959886251213284,0.006008363861800037,0.00016976623873410368,0.00010117745370052944,0.007874569432835932,2.0793269773555778e-05,3.968802729237275e-05,8.884348848070545e-05,6.265805177652073e-05,1.1674350832269198e-05,3.515436920897841e-06,3.341622033081748e-06,3.745600820614925e-07,5.849296287108174e-06,8.083770119959865e-08,8.17207569414613e-06,0.00012995879419341883,0.0005991779987728485,4.6106041010962606e-05,7.025569267460341e-06,1.4400923145085898e-06,7.170077516160944e-07,6.179670307693286e-07,2.044735128992059e-07,8.313792765335393e-09
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8476134358340055,3.7080930997664105,0.4004522504221737,0.006696109109401327,0.030201519070464977,0.3780646623962264,0.013246750610480418,0.030747990356059574,0.00043763760732500046,0.0008474951628518398,7.385182257942102e-05,3.7072511421820664e-06,2.5103454835070926e-05,8.443794424328743e-06,6.170894126729387e-05,2.1643634853241167e-06,2.3973520465458975e-05,0.0006003254967367061,0.003136375683155279,0.0001861875543589936,2.5127060541807467e-05,9.012248621820262e-06,4.546624285228784e-06,2.4366979530648925e-06,1.028593590725324e-06,1.0336926170584348e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16628210350754624,0.02884958437647367,0.0007833533539813864,0.0016742377473657477,0.017180989766501287,0.00840289014031348,0.0011352790878438324,9.832862724179492e-05,0.00016720409073001097,1.3157522309015235e-05,4.3695139995136856e-07,4.257517012162815e-06,4.959641735080567e-07,8.390091062016047e-06,6.591502721420284e-08,3.919993141199285e-06,0.00012284712973431589,0.0006595806538710614,3.926178394619839e-05,8.84251231525468e-06,2.900205822164992e-07,1.101310344031603e-06,5.105280579398297e-07,1.678138566996168e-07,9.155223912316046e-09
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7362637062016386,0.14175375538516422,0.15849856336488066,3.6957468213259768,0.14552503515478588,0.14386520819628645,7.86878232320598e-05,0.00016706876786481972,2.436762269977799e-05,7.179315509864281e-07,4.4757997490568746e-05,1.2644709946441068e-05,0.0004844585427606629,4.918839913448103e-05,1.6108479746757e-05,0.0018813455421410885,0.010705718662251354,0.00026482937097679904,7.478229898105759e-06,5.54317810981253e-05,4.033410660714276e-06,1.536064710816465e-06,1.0352584234180062e-06,4.9925777512171976e-08
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7661404038712005,1.7496065784953414,0.3773952264749813,0.030597753694347807,0.012918793114454319,3.28930348519052e-05,3.3545283998570596e-05,4.8428217203966284e-05,1.0266841593553622e-06,0.00023098346385373725,7.742661177267962e-05,0.003526661574999479,0.000316518818323841,0.0001246178460342362,0.013954008330502338,0.09709811932635051,0.0009461863344679133,3.4065026854102065e-05,0.0004882351418880049,1.713881864781608e-05,6.836995500456022e-06,4.268101294488402e-06,2.7169017891015557e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04063643054422039,0.026406920044136584,0.002452173591878104,0.0007067983427520019,2.2814786406866183e-05,2.9374134650539396e-05,7.724578963630435e-05,2.7937682027801003e-06,0.0004438670621891294,0.00018932028045637317,0.008821028914446472,0.0003111328080489528,0.00014777186229819606,0.026234876296977738,0.28414674647405,0.0011780139876207407,3.5922697324553e-05,0.0010442027321515557,2.949986356426404e-05,1.57876850567229e-05,5.23748863401341e-06,2.7734688212710523e-07
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014949900038406239,0.0010302234055887816,0.006292439124949256,1.3483596614793925e-06,1.099049597663715e-06,9.870709671844224e-07,2.519964015235132e-09,4.648960234776567e-06,1.122222167415643e-06,3.768674988768872e-05,6.943261938729961e-06,3.1839747098860727e-06,0.0003381920748690703,0.0016422980378120178,4.0360290182839265e-05,6.191410758082938e-06,9.020421132932555e-06,2.7268728408635923e-07,4.890237439436618e-07,6.488292403350471e-08,9.252251853553162e-09
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7256334563646116,1.8633288406971147,1.7131139451981303e-05,3.9263910745004904e-05,7.422709436516461e-06,1.729665489724752e-07,1.926878288274758e-05,5.0774130164743525e-06,0.0001768199797792941,1.853165092879916e-05,6.329650096503769e-06,0.0006417385063424985,0.0031840998692296146,7.765846177178182e-05,1.4424014848080091e-06,1.4624809144936357e-05,1.5123087590274142e-06,5.221683851142078e-07,4.56467415158035e-07,1.773703939278448e-08
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03738407868010141,8.582850373750617e-07,2.192228145125874e-06,8.794713992621439e-07,2.442437296856781e-08,2.3485075771878527e-06,9.966534750827094e-07,3.149409821689986e-05,5.627062447999265e-06,8.70679168984978e-07,0.00011268552326082482,0.00048465011607756736,1.0904344771356378e-05,2.375271286325642e-07,2.094250558304367e-06,1.42822406234977e-07,7.340027241564684e-08,4.393903740851357e-08,3.38173045122403e-10
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.525137016484713e-06,1.1570617362455238e-05,9.966930328841883e-07,3.3328802606646946e-08,6.146589308642092e-07,2.4676649013066765e-07,5.604793134494912e-06,9.634807107694598e-07,1.8123909684142347e-07,2.1716295519058626e-05,0.00010919744498472106,2.2743774277245166e-06,9.272821599459746e-08,7.432032820275936e-07,9.12473090419752e-08,3.275046700501605e-08,2.203342763795746e-08,9.01625885063595e-10
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.924621989027233,3.3184207256178566,0.1375318885300444,0.2619933450082423,0.025404975498676596,0.03212261810928099,0.0032934899987469013,0.009151165175666387,0.004498134566524259,0.004697004205008168,0.0009466580062890417,5.281206665574967e-05,6.072059745176883e-05,0.0283142231907218,0.007154178732487582,0.005973304191949219,0.0005709948605115978
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5270269201028672,0.026747685699733403,0.06606487873943433,0.028737943672001665,0.033140718564221114,0.0012530352495851993,0.03779233227633794,0.004115953965168534,0.0008187033383320816,0.0006818547362127808,6.129588783854167e-05,0.00010031859157588752,0.00781649737214793,0.0021773475907322093,0.003326772813210102,0.0006950266293319629
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8036012005962059,2.785003847350494,0.10551679289666738,0.17434309776825596,0.025677665820809437,0.005183841244454035,0.02762979286245154,0.006234042524122185,0.0023173336357237145,0.00011611974862069108,0.00013408331636965976,0.17691809249980567,0.035899967898536556,0.0424023316068218,0.0038569471092654295
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09121841969720068,0.010819405471463206,0.012739232288716429,0.0007541139085802673,0.00030038922453923256,0.0008066578707599525,0.00017088753225236175,0.00021730770048900006,7.281673692904889e-06,7.620044294665007e-06,0.020353804838337486,0.002521388727357299,0.04252712171764417,0.0007791842209725619
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8433796459320972,2.750114712654297,0.09682217546851268,0.10270175470867327,0.17164559170924015,0.03734278353069377,0.028955192677814934,0.0009370642827745135,0.0014082892489897247,2.4606058282000975,0.28179202984223606,0.22026443468983128,0.053164602287735674
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08942302829041171,0.003429496103202645,0.00859926648963194,0.024387651214554107,0.0028388838182954457,0.004316701954658719,0.000372989783861577,0.0006430646121786676,0.12533220873802553,0.034849014642908016,0.011762815300380147,0.00010416249508704567
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9567130464864533,1.8364825364752884,2.639744203495307,0.2729269990695772,0.23396552608086016,0.0138384604657239,0.044448372639546374,0.17064383582601403,0.039473444799074275,0.028310695543271466,0.0036900357062671363
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029536968786202822,0.10412344570304688,0.02610767923524604,0.011249896201455556,0.0036157378804266838,0.0009028909933175289,0.012537604914178768,0.015490620044217529,0.0020066034810211075,7.360163418912435e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11008655375578202,0.017946054262356848,0.022646639784566158,0.001277501120387825,0.0019823019977520673,0.024603154809929917,0.0035728106080156197,0.0034450489684120233,0.0011283529459951147
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.707022506605439,3.6952070747716617,0.14195813483723085,0.14970466286422435,0.013196376309410812,0.005732282204642503,0.00207529237320192,0.00016409537216244274
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5598619879403366,0.028251359532894815,0.02520746594342349,0.004781570939794047,0.001675757037469111,0.0009093183402024141,0.00010519330504288327
N35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8111608084207593,1.7581098777822504,0.017977935058471728,0.040542029000889365,0.0030198210429272093,0.0002083589736049385
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0406218760280197,0.02218434289880411,0.10799468466591722,0.00501622470936558,6.05839334753e-05
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007178714299203026,0.0018995992236486847,0.0001321755559604565,2.8066741311283394e-05
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.297967882849723,3.5293558406722503,0.168424286686375
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5091043492039165,0.060761601462871684
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4791199514070645
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
