,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34O,35N,36H,37H,38C,39O,40O,41H
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0133509140889598,1.3358438474636722,2.343550442019266,2.6598361066471305,3.2299273605439884,2.3118433036894097,2.5552336094447647,3.2186632133847275,4.967932258548985,5.0936854349618805,5.59763037736581,5.981091976470816,6.3822016719123855,6.988489944830731,5.7996442891140765,6.7399696826208775,5.342064922357915,5.037951555216769,3.830793026935756,5.9986628650294715,6.946962277979541,5.918179703985013,7.526193160681811,8.109510256307003,8.097533932675447,8.904105944941698
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999106391632715,3.217126003567862,3.6322867310711655,4.018413070084311,2.450812010876792,2.305804802608837,3.4157521600485357,5.482294134981336,5.6289728928936915,6.230620778021635,6.54939539454761,7.141953841949584,7.705186999718275,6.681693815464164,7.65440200972831,6.192996272585519,5.9795237994975325,4.793856915041589,6.9397532675381575,7.877298972783768,6.846918474530254,8.299333774904495,8.955004010533763,8.766455207587239,9.589406899388356
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3343202937977223,2.0949747303093376,2.0241078943500863,1.3524550215727646,2.0678460719790297,2.0635840932646747,5.716612363914136,5.934342697641909,6.0773043744960535,6.394302044499513,6.726503795605047,7.467767164959653,5.98795863070783,6.839883446396305,5.698183133495605,4.9385853522208825,3.7095126846634185,5.666495011714582,6.66808464630857,5.380011061133169,7.70192681613413,8.117224546657463,8.356937665721244,9.072509753368447
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0304440841913198,1.0102278416169248,2.3108060671765562,3.225140888087143,2.552285338500952,5.553577894252017,5.794491061183226,5.646801722573989,5.982980080376073,6.071774001473138,6.893544735302094,5.180517243251754,5.927598121569696,5.0486294288165885,3.9581926979224757,2.7895420055129687,4.529720794610517,5.543187850837152,4.171054482557751,6.914705888356834,7.171867939227723,7.693195396825001,8.337056669063683
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.740161077577831,3.2655247116149613,4.131103545099052,3.5480965480141715,4.7409371014579555,4.987392354072656,4.731302848023673,5.121346159255961,5.065137974913581,5.897239594084129,4.15721169509591,4.917818660937189,4.0811473377736,2.938049781178811,1.7595644092810572,3.6055778093889566,4.610039244307396,3.386134379864373,5.913243874273057,6.174133694722109,6.737996052718425,7.390992092063834
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5021832572070952,3.471301907264428,2.37847681250641,6.45350687124074,6.695251269219941,6.425670966058711,6.729607761848702,6.729721871395385,7.590325436827264,5.7413886497849385,6.367437538302578,5.699357986564263,4.409841817999578,3.3686517376656684,4.743190061969033,5.744376307259993,4.21750209831669,7.445723215622634,7.558890873467228,8.27883684413827,8.847289115317562
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0096270167658223,1.0097415574937036,6.973480180927158,7.23348219422416,7.330231150442946,7.562938546971598,8.027110563606788,8.796230413749406,7.302255414071355,8.131989160482842,7.043073278970148,6.176411570277859,4.970406517452258,6.770857668542626,7.781025317970427,6.3482288073091775,8.936168770893554,9.319492917373783,9.546116824184253,10.22511502938023
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.725131006934914,7.438077316681175,7.643635922706352,7.938344131700614,8.182262107899662,8.711681352812052,9.418751303709472,8.033903929801532,8.895251428644155,7.682812207591601,7.004296093210804,5.777138396964178,7.683900555740142,8.690442077483686,7.309047066073422,9.698357340422374,10.150678297014649,10.263393749694513,10.98158023823375
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.588830204769596,7.928231594587601,7.793279593199369,7.954934555391717,8.437079244318124,9.280969193340535,7.686649749950182,8.462549701678713,7.546767622812475,6.429122862835532,5.288164872034672,6.833908912353434,7.837363127265336,6.275364053729376,9.211152796852982,9.499175970833845,9.828286444260835,10.435199302083424
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.228602431914052,1.3686569373767097,2.0513066985893693,2.453363254407622,2.66552769632518,3.127917596757182,4.118560084642548,2.8952940446900968,3.6580016917918763,3.6370339735697548,4.719952068295614,5.063215572185051,5.364927841086072,3.729377207238677,4.789798766170026,3.9360668318134406,4.904423022016231
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.271877356494153,3.148097734900461,2.7668973199905373,2.6216407381728835,3.090753542721559,3.964509443441395,2.477256557517395,3.90185212387598,3.8593430674871514,5.111782774922229,5.445953325168848,5.8392495482539015,4.2374852273181665,5.195665492965284,4.6534802234682395,5.6213512868583555
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0103655341729858,1.4558099906901047,2.085333930304348,2.5035154281997154,3.4198337374653835,2.7771742730950186,2.9944230108770538,3.3572848368083257,3.778982888227653,3.962696718308361,4.473464778184795,2.4521513752940094,3.5290448095764506,2.6936695700909254,3.6349557533611874
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.137781157596267,2.815156040865123,3.2933779120833417,4.140808379116165,3.724325255947893,3.5290220725546555,3.8903240672645625,4.048317649988134,4.178259095376702,4.6177712574486955,2.542955622389502,3.637239006399457,2.3537027073431664,3.2190772044100378
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1012950701758064,1.5481170376905848,2.15763561570089,2.141880807757993,2.5798521213389107,3.393571800833186,3.227454912610759,3.1398287867819077,4.133677438267756,1.5268982631690506,2.4332755645153736,2.3846431476128007,3.225181018126191
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1343273045413174,2.4713301889934787,2.3649372576140086,3.4785534318560636,4.236970906318287,4.19446893611896,4.020286584155866,5.144797073133403,2.1169090286211425,2.9796010949316263,2.7574617299915647,3.585933885392138
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094329843287954,1.0899747967294522,1.5231961043149442,2.412898016129849,2.437621536892213,2.5808837899438024,3.375807385710244,2.553008508964289,2.8569825454808297,3.7335701854700054,4.427622654594344
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7786741954560608,2.1632216456922166,3.2052944760913387,2.6323486488647854,2.4527117735936175,3.6151899209356313,2.700244215886289,2.5986237959865006,4.008860929031416,4.540087909350857
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1222632188484956,2.5166412245420275,3.3013859376244272,3.5993442825025075,4.1415012973256475,3.45796447214688,3.889158893221257,4.514252802122094,5.300798406794225
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2415045767972315,1.3473339606795218,2.0569794758627333,2.048307998167082,3.2205491052841606,3.3339906282268768,4.318465119016667,4.9114624019574
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.272036174684469,3.1767656956066914,2.5268203503292943,4.260741893443735,4.5245669611137656,5.209229581126423,5.878702475274178
35N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0143302331220336,1.011264916245759,3.232787995730276,2.9354035342210483,4.320739811604312,4.6641017686212916
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.749813292433456,2.744548389464223,2.1312606048535536,3.877381139658958,4.068305472061993
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.080340638399271,3.7567912911000736,5.037900843490858,5.3110328660097625
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2137026224767153,1.345958276885072,1.8849948790455389
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2515001265832653,2.3021299824954555
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9780498342570036
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
