,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30H,31H,32C,33O,34O,35C,36O,37O,38H
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.587609596914319,6.508884142081494,7.410679582307463,7.912336082008223,8.327248321244099,8.752096617717172,9.571920689657313,9.35373227301299,10.240260229068099,10.465216201172234,11.479660366762023,10.60456401445504,10.297902497638487,9.19179906064074,11.386550010220734,7.8724390232138575,7.10095541303503,8.775394326657839,8.640163078820207
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2401013541762023,1.3520047508587978,2.0871754165332628,2.430204739384254,2.6306505436348346,3.7023061644992694,4.000639111983811,4.537993680952208,4.176421603919335,5.260957706076395,4.084116565802032,4.236831987990163,3.549700699319423,5.32939011083046,3.1584306583061297,3.4733679677591573,4.175161563170979,4.795127667408453
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.280716340154888,3.1981591234132125,2.7825984579161203,2.6128134711611253,4.266757926383449,4.7378790843722625,4.889020678831935,4.847026159643332,5.892388024936873,4.557616191646726,5.184444256175662,4.671019774426297,6.248856325090428,3.177053042497246,3.5903325569972506,3.8796618480895546,4.44394380470982
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052764237275477,1.4440287258942397,2.100333407853715,2.4460508718042684,2.653209773104352,3.368087368367105,3.0729533355260674,4.11971197673052,3.2491274344877206,3.2577613926671285,2.6515162743846545,4.454407059584674,2.456024269078931,2.873717932569005,3.607171373490985,4.291703619578162
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.095264990512988,2.7945395794847174,2.432397567973603,2.4214661493304463,3.506092585413204,2.693751747803281,3.7132116755286733,3.0846389096520586,2.4405744280890804,1.631410704151443,3.629215702755643,3.245580900049036,3.587386843982259,4.4052777643005925,5.104815228420894
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986820848537087,1.5493657992662673,2.160952593965228,2.1488257927831325,2.603259641267081,3.495525459586046,2.7222290987313698,3.4698956328516903,3.349844738871879,4.63224393314548,1.526568570811785,2.4590929286500707,2.3851134364368787,3.2057216753644293
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1740991427145997,3.06698267873512,2.510922686478924,2.8117975569562086,3.669608044512262,2.486733556510063,3.82830640597085,3.919444324650909,4.85616883096569,2.116342864651439,3.221831141456926,2.430718433319122,3.36543869692667
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975619932920266,1.098207793313171,1.5424270269663505,2.1634164292514027,2.17162454854758,2.684153999798152,2.9569231142963117,3.746310875131859,2.513095980718435,3.3107784567824114,3.1263853572339753,3.908968116465795
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.767216165829648,2.177258777543645,2.641951156902768,3.0681646844418013,2.827170123650088,2.8205105179487053,3.9118505135078414,2.7746080290131343,3.1859534595160124,3.6268803258751525,4.226439417895655
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.167364813657587,2.34923099002614,2.620140282957554,3.5647576811333233,4.011533888433438,4.470717205071526,2.6299765723159934,3.517492907603354,2.7710262087261173,3.5072030953697326
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0965877014653578,1.101175441987955,1.5692522567694984,2.4445654591403407,2.376750566874504,3.9159668908929093,4.759407432465395,4.437536600253598,5.308713198978363
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7474015171070099,2.147441992644878,3.2272162383212266,2.497543869206368,4.628241436359103,5.469796827656377,4.969879248306375,5.7987048345905645
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1669919281753747,3.030872354132058,2.7560790046643744,4.11810992352632,5.116933448242128,4.452973837054055,5.400141602442898
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2836172002102413,1.239512617847676,4.853091743932201,5.471825361207271,5.6573076665894515,6.489811765055666
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2611045862887593,4.6234069637451025,5.009428670381272,5.6700765972929315,6.420210735008926
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.035417606461946,6.694499784762139,6.743996081703058,7.601981105108977
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2098314305483446,1.3670618463296853,1.8703880871546998
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.249001117348013,2.247827628449391
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9755104802026919
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
