 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,H30,H31,C32,O33,O34,C35,O36,O37,H38
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537710652343034,0.02252760126685538,0.07718403458148404,0.030269423181024657,0.009410303196793764,0.0008884248100824443,0.0009605363470919226,0.0012498606861870154,0.00023906562520259467,0.00010172082768511448,0.0012046797230818584,0.006499825034111846,0.0003896036961685487,0.02785822940863461,0.004818379690891585,0.0029538275649111864,0.0003344370912181649
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4277412626818107,2.8871240153807336,0.09898697506617504,0.17966242222645862,0.010191147749905483,0.025541459178286874,0.014968290028760642,0.0023954398051790893,0.0007803122340124258,0.02186200985082809,0.16580498063055518,0.007692112598269511,0.2028482109926631,0.02779769687136003,0.029092520160068067,0.00469997784042675
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09593901259719018,0.008447941915158852,0.02081420507703302,0.004155085042340412,0.0014640246816481906,0.004531182901713504,0.00016001476289795313,0.00023718518161608415,0.04469170579164761,0.37768931670059147,0.0096983991672841,0.01026731984727769,0.00047661097708162625,0.002207755657495869,0.0008497790174579745
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7832282829932684,2.708481728044203,0.08456203326837497,0.09488184156204982,0.1625262457717415,0.02455605303778885,0.016706475438705404,0.00805553555110397,0.012635431081327309,0.003342605266835094,2.7236789644850465,0.2559937885653522,0.22170320285582865,0.05460138920233881
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08044384188473774,0.03430700193169023,0.003298173666811177,0.012111825999435943,0.00044655654646064136,0.0069569960794262364,0.0007907937826174827,0.0007769454122614761,0.000320947264540683,0.11373041213797208,0.02599981014579633,0.014971773126150167,0.00109363996794265
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8355119808118245,1.9343453148687733,2.7946745354502487,0.0965602783400491,0.08339866873655732,0.13595503779434395,0.03144976732318307,0.045516534385930334,0.20660565813276863,0.04242589998268253,0.027745144119909332,0.00202185487545381
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023710145706652197,0.07831774032892769,0.001427429289753368,0.032178036669566756,0.012421810315897064,0.01048538984798597,0.002378602458506185,0.00838903435230498,0.002546622882682259,0.0010351974733355807,6.556187886697096e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08647179252828718,0.009922922796379074,0.0016056395632317866,0.02303469472442976,0.003930857927158415,0.00400587397025598,0.01402639334866751,0.002075355735788764,0.009342620661323187,0.00016141342908038148
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.926440037506036,1.9638074894314939,2.6702431811088707,0.26432991489057645,0.3256998342714407,0.03399795211228748,0.008733703119345751,0.004179692639794716,0.0005973961999125033
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024449368942282668,0.08933432378387729,0.024068523861219604,0.02115314971886173,0.003523980935675519,0.0011455530049510054,0.0004148835284739638,0.00010655877536125402
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08499720403223354,0.01735278437434662,0.021855877011533575,0.0015294200918434253,0.0005496617304759921,0.00016362235822309223,2.7230686737489407e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.191686764299259,4.7428518477723385,0.002490515333871235,0.0003619453320971716,0.0005966055271783566,4.5391963091501175e-05
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5762678573073882,0.0017929665573254705,0.00022869512258481828,0.0005121569936802628,0.00016350598749670375
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018789753947852372,0.00045457950894969845,0.0003932167373604939,1.6768445231241103e-05
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.891556246927307,3.467225739607257,0.17378946751263558
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5139128172067372,0.08097423712250629
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8045289396627746
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
