,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23O,24H,25C,26O,27O,28H
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0176822936770968,1.4532015042001547,2.095582972507171,2.4798984532450405,3.4136673616224225,2.716638139024405,2.9501404551415296,2.562083372961193,2.4041146914266602,2.6939407661498764,3.605822340659439,4.2770971118004875
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.134065283110149,2.873307036381616,3.2011372964798137,4.0985510355572785,3.6062631659229356,3.3317411359932985,2.8277417349289853,2.4688628920605042,2.26582721945907,3.8052372120652587,4.275898853619494
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098328147904202,1.5451816688437534,2.1717324144861907,2.1508074536075714,2.452006335752387,2.587585103495867,1.5214222083609577,2.429919804384819,2.3742010613447135,3.2082235981999574
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1534419111324836,2.4700275892754253,2.4466884474848967,3.370568125688587,3.58058568040842,2.149472886909765,3.139870589738368,2.618827349180067,3.517962367075551
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0928914824340086,1.0983985838750732,1.4157334881553874,1.9345920369766954,2.522508491812856,3.4694342527538677,2.9218027315245383,3.778647440387464
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7815832871393655,2.02071573906442,2.8186216108696067,2.765330233771945,3.859556623174434,2.623079418952055,3.482661209194736
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.095892873535943,2.3418135959277184,3.4552116294643875,4.373594366464526,3.900508881146055,4.805205878568271
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9714976048448596,2.9212110827249473,3.5031207822714414,3.439484148130206,4.05587882324739
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1762153024888136,3.519815857403491,3.9992956667274493,4.584278162182124
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2116738483356286,1.3484354285573354,1.8753413748898617
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2547135243899863,2.292789442068381
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9762871172601247
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
