 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,O23,H24,C25,O26,O27,H28
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028728259568017167,0.022292361239044434,0.0013442846660163266,0.0027093019740582758,0.00039798152594294756,6.709953055361595e-05,4.1652817215354077e-05,8.880271598288303e-06,1.3885243110189904e-05,2.7748977351471638e-06,9.739175030665237e-06,1.9508650159760776e-06,1.0223368225315e-06,1.0391234747553213e-05,1.8079508316004578e-06,1.716207596369479e-06,1.878799431587197e-07
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026726453486081825,0.009597234085958917,0.05925668404424467,0.0023727550058052493,7.269984114821604e-05,0.0001443138524868104,1.776444836965041e-05,1.7471403778390737e-05,2.2844747453731884e-06,1.3376883805760187e-05,7.735703471012378e-06,7.606395246995135e-07,2.2756585355887538e-05,3.261610033289397e-05,2.2559358725526835e-06,8.031051355050778e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005751425067082039,0.0004901128222223328,0.0001616002079403156,7.854316202760003e-06,3.372159464798408e-05,4.429536327510419e-06,1.6593590341784648e-06,1.4654000390912358e-07,2.418483950883399e-07,5.994590990265891e-07,8.30680376928683e-07,7.268759762757426e-06,5.173972881244993e-07,1.7215272278825466e-06,6.621521275729236e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81644039173674,3.6442076786575495,0.1362381347723549,0.2760796455602584,0.02658353914383671,0.031308123483629435,0.0026921213977566527,0.006056666165792368,0.004992619929509112,0.005677287041040202,0.028728676179813645,0.0062147038966726825,0.005824324677116702,0.0012969289776967319
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5412199900538893,0.024789561251141956,0.0689170978722028,0.032263219053831005,0.020373102017119657,0.000909800727625032,0.01721568721314104,0.003516606654899161,0.004064981464256934,0.008138814988723,0.0038914258124290863,0.0012904666052850622,0.0002671108873454342
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6575699970115032,2.557012243842565,0.09735142624086579,0.18507635244791965,0.02609423215951623,0.007543791046347503,0.031178697850435408,0.04334503693792413,0.1866225930961485,0.052789311213195286,0.025660382732475805,0.00511138464475791
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09474348121141118,0.01347603492258731,0.010811663046188191,0.0008707337982269969,0.0001816294187400036,0.001425305895858875,0.0007321788420131536,0.03247589039344456,0.07094755728937718,0.005395878488577144,0.00017640635110360847
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889876496099238,2.7822948247922765,0.09500419132237847,0.0985075626622327,0.21019965635735777,0.012671018666640332,2.5705067774810675,0.27176607040626966,0.21626152589146824,0.05363686196326056
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09396319568333844,0.0038153824157671767,0.004620838979663366,0.026552445108481537,0.00116645675206839,0.11349689790546291,0.031093363250072836,0.010490008607057622,0.0005810978306919345
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.716809774257455,1.9319536898301513,2.9917785446759826,0.11694886175897412,0.1878736866082879,0.043077194968725724,0.030725977483767083,0.0019578083965106075
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027958351964036954,0.10470083360751825,0.03747263235247256,0.008725599747165358,0.001248115222159507,0.013548297041175217,0.00029521543905874914
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11076207892719114,0.008076175312283551,0.02777877675550977,0.004653774289632651,0.0038229706635241056,0.00028382249921166114
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.542576763080276,0.038627793560624096,0.00524014065159472,0.004328366145543709,0.0002930273038760367
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013693542538599779,0.0006692724464154587,0.0002561736443044138,6.432532191968932e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.858981227064084,3.190980661984321,0.16104949641848265
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5079914149493594,0.06490843520767686
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6234199622883654
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
