 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,S26,C27,H28,H29,H30,C31,O32,O33,H34
N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7584388209189707,1.7715908765023896,0.002399179464911916,0.0008877031824933435,0.0035514554785989194,0.006928858261679771,0.0004303202826645147,5.778919180687847e-05,5.961119695674366e-05,5.4387687504764415e-06,1.851057293000835e-06,1.804106222995372e-05,6.867727242454436e-08,1.3912946070782084e-06,7.626289783478624e-06,3.686938701702447e-07,4.326885516547918e-09,7.178174155075823e-08,4.68485303883881e-08,0.00011536501848649627,0.00015301300363772252,2.767892962242391e-05,4.1335580609480616e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03728748891281208,0.0003022294407766246,0.00010711861148426927,0.00035203670529171394,0.00018161409364192416,4.5789381051042355e-05,5.480767862664493e-06,1.1301881893799326e-05,3.5454855007444053e-07,1.2367451884820468e-07,3.1756730561882662e-06,1.8207210850107458e-08,1.252532622064706e-07,1.9019448784796111e-06,7.110898858631032e-08,1.3224255024368858e-09,3.5739378345667205e-08,1.6397607272011783e-08,8.076013844338092e-06,3.7271928198245874e-06,1.654556687546993e-06,3.374212063089743e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025912107522185757,9.924418523410417e-05,0.00016064767816237335,5.8894579754387166e-05,2.1480626644976297e-05,2.2557854171267877e-06,5.668961739702105e-06,3.353647919368541e-07,1.278443955143871e-07,1.4105443558731778e-06,2.9103477405811873e-08,5.151770032796321e-08,7.763724276799167e-07,2.800354559351348e-08,4.960931665465296e-10,1.4061801500986348e-08,8.076741053741898e-09,3.97036876587098e-06,3.1680788775689805e-06,7.833353270481069e-07,1.7230900151155026e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.802482793771702,3.5589055695892426,0.1422865311968129,0.28108978405550483,0.024260703329150646,0.039099158557567376,0.009866195803839739,0.0006501830294971533,0.004849829525927524,0.0004163873788969319,0.00010579996015147586,0.001739507476450186,0.00011901923357357513,5.94512159302063e-06,4.247463069373403e-05,1.3598676269044319e-05,0.029283049807925954,0.0059396658658604495,0.005815662664549345,0.0013220101412446672
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555822902808522,0.02385341985957201,0.07238685144613388,0.03482433838996468,0.022865247792546048,0.017661637813314424,0.0007181288474348291,0.0028283162297880193,0.00022451476994655994,7.925413328380149e-05,0.0010659873011993615,5.7319909112840683e-05,1.075335523381682e-05,2.6942413834829537e-05,1.0238010549001864e-05,0.00882852678029633,0.0036346483808113866,0.0012215619028089,0.0002944970510772027
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.780052478859938,2.783709089243202,0.09581780317879851,0.18889250578289735,0.010871770682230997,0.005535505352004977,0.029930348419213368,0.0003958890652946412,0.0008263630907205943,0.0072009461310475475,0.0003648853230827226,8.219422885868966e-06,0.00013491173956636793,8.029945030085806e-05,0.18744417045109407,0.04699358051893278,0.026933751179035015,0.005179932549895017
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09507514828596031,0.01747284989736353,0.00627221075345441,0.00028366722626338436,0.0004702783918890674,0.0012970625838695238,2.636781346088135e-05,0.00020441628202672035,0.0004966366312002535,1.6183066392061463e-05,3.000481931803023e-07,5.688224324229552e-06,3.0615708586090307e-06,0.025735575967301916,0.05151891859017488,0.0041920994063283645,0.00011120490173488484
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98752120016542,2.627800298992119,0.09659224037413705,0.0786749680095793,0.15154032398386744,0.005071925466446414,0.008444613657283995,0.04612007246109155,0.002048079573118783,4.029111814807251e-05,0.0011311333217522979,0.00032041167216401156,2.4550838625870406,0.2760315540411316,0.21854169701517806,0.05378350009719568
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07618854350900717,0.004346893960614384,0.03195335270435762,0.01032509055140085,0.0001718265339989422,0.005865145423282536,0.002023233620666254,5.4024624402737587e-05,2.108028035263665e-05,3.544951597378443e-06,2.9393896838758593e-06,0.11266053682923927,0.02779672214685236,0.011630971072282725,0.0010488303346825045
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79036705518473,2.0922469666183154,2.6592064854795088,0.08680193876675701,0.08152368062590809,0.20103051181402387,0.016325683461591425,0.0008635407193486877,0.005920160272577357,0.0016584385101201526,0.1976147437404006,0.043814105730055994,0.022078352105509264,0.0016431364934758053
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02528011710006317,0.08762643411011561,0.03246700100611499,0.004737555278179428,0.011501912205478693,0.007617348725820539,3.71420605964623e-05,0.00923104932561003,0.0007342008520856425,0.027135590830466683,0.005577638576572785,0.0028396936782265625,0.0007599471988919415
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0799976492124792,0.005353994941269313,0.03341338382189596,0.014754522735169862,0.0006185711584727471,0.0002635776075170515,0.0001290038871095689,4.562273019637075e-05,0.01211072317017603,0.0028741812083779017,0.0009651770757953537,0.0001206176807666548
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8375523217788547,2.0743103317122036,2.7706264784692296,0.11660874560138854,0.00977100526450081,0.005987864344814575,0.02733724440063212,0.01354444237780339,0.003532437004777969,0.022228521263190817,0.001065086330407028
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02529635774591421,0.0945545674243703,0.025436544969323127,0.00041657507758730006,0.0002529952689449555,0.0012608425228592957,0.004872001743133847,0.0011634769904316222,0.028073410862184622,0.0008045702215955242
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09127131502303165,0.011335428655253832,0.004994598350721802,0.0006224789820241661,0.0004850133944998003,0.0006165775540809548,0.00012387542731973067,0.0006030883028323997,2.7784425000509927e-05
S26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7437752608111112,0.09695950459301128,0.1003287202095221,0.09368047575107985,0.0031797314936617,0.0015178740721487963,0.0031080105759769792,0.0003698367304193484
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0465512301601914,1.9472640650732274,2.0673624659671845,0.000786636426317544,0.00023372329940099523,0.0007911581625795888,8.116259358814659e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024406423747003192,0.025558030853077396,7.607194332237555e-06,1.5853780338526136e-06,2.5945246554526236e-05,4.053155662875341e-06
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025198818313168392,0.0002518031843732338,0.0001312548047797124,4.8780809570048156e-05,1.2786931494979115e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011206914206796093,2.7458694594861832e-05,0.0001469829693825364,1.1303408127938397e-05
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864851695172569,3.2832587569412532,0.16920137912331923
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4996874093743071,0.06881452676018274
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5256738198902342
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
