,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35H,36C,37O,38O,39C,40O,41O,42H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3129866507548167,2.1078098933706078,2.384899771028235,3.2339509954266874,4.692639646639701,5.185892011267392,4.558833857086451,4.955144885725012,5.666200531657529,6.699440279144267,5.611703010598766,6.6171011730099245,3.445765061612472,4.632556694092213,3.0736753286770218,2.3036295687330206,4.263725160186449,5.101493152393398,4.4664058585644115,5.551598403117535,4.445307050388985,4.0155820199006325,4.234590193902639,4.8957107219604366,2.8120300744787943,3.127267614053244,2.237107521034431,4.942859577262464,4.717436742249999,6.277890032243714,6.756090023904605
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2695679895907928,3.226968015056087,1.4300750784190335,1.4054370867621273,2.1694007113073925,2.4719469790598754,3.458268965030448,2.4153291819824423,3.402725625948458,2.8075973166641095,3.8958110298978985,4.268230770907615,4.8579634116531585,4.548495351244915,4.4681958759178055,5.4614410818450105,6.352972909162423,6.142136168049956,7.0138568322225465,6.640781971707041,5.56648552663257,5.073058032295936,6.509931257694078,4.939477950063591,4.824849047151337,5.053869362888664,5.186067854620678,4.292175514992974,6.454755349557581,6.477010078261211
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.029284387353147,1.3788773178511076,3.5866972097721663,4.438722195426783,2.5217421095383177,2.8513131011851605,4.1363950615606155,5.223874501494597,3.7261589168208165,4.6483548417806055,4.636403682801959,5.59492770653447,4.292773405919755,3.7400598789164308,5.149614379926071,6.172420653241587,5.260254300088081,6.211013171121534,5.5923880242634505,4.316085899352474,4.074983760164299,5.081600262188197,3.258018901573278,2.8363311151359336,3.502252307467757,5.268138252330597,4.600559663674339,6.608699537309711,6.814749251582915
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158465572766962,4.4993290804963095,5.386454399176945,2.95090673408994,2.9240029784984904,4.90760982049342,5.9910928474845555,4.285099031322101,5.080930277847746,5.0499992941128085,6.04777674056076,4.434638405519375,3.7600337135387183,5.108238345706099,6.163756682381878,4.912986269246609,5.8233850418680095,5.218499872697594,3.7647803749198934,3.608887336219553,4.373019692911151,2.6148585722833544,1.9179605933353203,3.0982027145025803,5.306246601633987,4.735477614784154,6.5997542315937965,6.842341028425762
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.440389612836544,3.434900002489801,1.398916491962457,2.1669794356348158,2.777360260695385,3.8657620441194567,2.393800040591795,3.3839386760569,5.0058543972789895,5.740246283866222,4.907062861035377,4.604359016966803,5.674906654592682,6.689260337586099,6.0000957669747885,6.858380405953085,6.507810531154888,5.095208914267098,4.583045405033034,5.886948945546577,4.3386172631884605,3.8962798401162297,4.70405745430614,5.438814158365839,4.52710656332145,6.724726118290994,6.745983495667344
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088475806164393,2.844253961573868,3.931945726829447,1.3922549423494242,2.1502090669375393,2.4387118643577863,3.4166939044424356,5.068847862750798,5.370673130350234,5.553193413437397,5.652749820044408,6.349705328321627,7.169725994618901,7.178070915940932,7.955219183540453,7.775084958274622,6.666643182657611,6.032852302357619,7.603655622750397,6.218286071847841,6.0823045631596395,6.3947700618905925,5.809326518519677,4.796481071548376,6.941680996971933,6.794787080482388
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.932664288810724,5.020357727290012,2.156462132780419,2.479443175383837,3.424698963045397,4.312356776253394,4.998712737855741,5.119602847371423,5.725950437083091,5.96287136932853,6.561115776727284,7.2559182400818605,7.576974834662762,8.33742392797192,8.149492644666154,7.265534421500815,6.667303819492969,8.260401344491935,6.886826604526498,6.901291150975028,6.9322338581494405,6.013612994633764,5.081375823828177,7.0677411366883325,6.9197315306828795
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087699279708511,2.4398231913307167,3.4167899414035077,1.3930809828764201,2.1487818249776427,6.2440220561791655,6.865267990970323,6.100430074995227,5.834778288359381,6.680033401372712,7.721700923381619,6.9002597108968375,7.646115995989864,7.511411353674884,5.836726743618145,5.165969670164177,6.482766748874286,5.219747537738156,4.543221628499795,5.80701201593532,6.225936203485293,5.188055314846526,7.407663552484474,7.274698197516596
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4312460052240534,4.320120118664053,2.1665643512585686,2.492228645016014,6.949966303921849,7.6389835234852175,6.624096714035585,6.250622175428051,7.105320757858473,8.183928708562073,7.0943247599707835,7.798959132751587,7.6867405889869795,5.858373607362213,5.215667307320286,6.340719413254508,5.206430726948689,4.315608404394915,5.933340057845471,6.701021452611957,5.713684534820853,7.851515181659774,7.728158942967925
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0885491561369907,1.4100423834523457,2.164511883877991,6.276285267178691,6.542377531924658,6.614330748818051,6.675891523941168,7.24770563218989,8.128356911228972,7.93303902008638,8.63241222255333,8.619836129215273,7.23570594408663,6.47281214039843,8.06210805204704,6.846704358041532,6.500035693021418,7.2287111018316175,6.537896376265014,5.408286948579313,7.593678812209373,7.30900467296364
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1629437512596574,2.480038225142419,7.028679977987646,7.147230352215439,7.471086724290387,7.61982075032436,8.052537437446226,8.877839253471954,8.820206155435866,9.465462960706953,9.5473049149336,8.182138846762934,7.369884196928661,9.006054751552995,7.881169827875993,7.553248551111444,8.267147834643332,7.226891688462218,6.080685653759161,8.178070609911767,7.800322104532388
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0883878689750863,6.779596169921269,7.200202415117093,6.847477196758508,6.751767930345889,7.391122833320665,8.372942970306188,7.807575702755115,8.490178025638757,8.501214642116544,6.8688084513623595,6.087066298361812,7.558808190020589,6.418492023231883,5.84202710469616,6.9774887473853635,6.722399645352667,5.5814993763160174,7.8056969007526265,7.531041334787073
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.805689905888591,8.18218324049159,7.82956087548158,7.734436773316666,8.2759503616471,9.266283367522496,8.61827925601114,9.2334286897804,9.355758752899371,7.602956663902693,6.764291537642631,8.199773833621485,7.217416506308691,6.537803890300824,7.8764510321728824,7.515807124889923,6.347161535283563,8.518829857726493,8.16019694715937
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2388634281774755,1.3499029849496595,2.1091132287829892,2.4378714000953696,2.747084315020383,3.75279803288088,4.555334791601965,3.9633633192255506,4.380840113151319,4.434532713595617,5.4476493622881605,4.358894939881219,5.277213801793662,3.852305221363895,2.994256123394772,3.2345844026342014,4.033552001087835,4.601919968209888
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273388709017966,3.217992194289238,2.778080069382697,2.7772919750477687,4.300599866931528,4.87797487236317,4.644860538448628,5.098306178138442,5.012790209062846,6.13429399243262,5.3545090372813835,6.268797957461649,4.9766156432436786,2.9138827229951887,3.219764382138222,3.6398867652315854,4.116315882226059
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0341398738248742,1.447735648478122,2.0908590679301016,2.4715612731799816,3.381991802595154,2.676262237244902,3.108599148734422,3.340453899026271,4.148355995684436,3.1855662345511133,4.235429999412128,2.7523838945063703,2.467638622143046,2.9065217120837876,3.597822393805316,4.28998164751034
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.102964764588008,2.842425046327353,2.4880686476248197,3.5535568879304207,2.466222724055798,2.772751431462204,3.202416573011799,3.772451968585742,2.412308814477405,3.4747833227438676,1.7651768949513906,3.197503686729309,3.4970614353903224,4.379817770741381,5.060492329476516
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0980285964809058,1.5546259043169834,2.1431676901437036,2.148854320141465,2.6335066878225444,2.8172440017601668,3.5323774546277384,3.4064809302717762,4.495974748191086,3.3519076496485796,1.5285960479509506,2.458971972388744,2.3818984500097455,3.2027053815440625
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16637717799966,2.402144944565153,2.4652968839026275,3.5426801560184358,3.8132372955082667,4.301471965110462,4.359220259008047,5.509106310324464,4.145265145524789,2.113406287071537,3.227825546574893,2.4041060600883073,3.3445997106656375
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0982362927932727,1.0961002974131435,1.5394649339573232,2.1887531931104105,2.1604523318219493,2.6342989562501824,3.7488306507247975,2.836638492255644,2.5255921334881117,3.300001843833145,3.1533882053134237,3.9292739306037348
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7708512149285764,2.1748167566770658,2.6292220551980203,2.379685993814095,3.5433166431432657,4.542425065769231,3.8792430771133213,2.7327171453611268,3.639151685251042,2.8679633933405824,3.631736355662564
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.156958785070935,3.069313698694737,2.5898831200699397,2.7613424846400547,3.9731897262985396,2.562465239482721,3.452806867490309,4.259872420673933,4.050782890391984,4.9029782021497565
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0962582035761386,1.0992683377219554,1.5594336573208671,2.385988031163057,2.4198183660002583,3.115241477509787,3.368832070346674,3.9749025587492377,4.496092785234464
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7502340719282194,2.154571940809197,2.5932897495928398,3.1519737502187235,2.728370296580317,2.6593251439166363,3.6229101997568574,3.9282982496202985
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1545042710015676,2.677834954902582,3.090495396172746,3.963641321262885,4.254849062460461,4.58955371468963,5.073775643467994
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2553389744640928,1.2711173505111868,4.0948314368439584,4.126230173184206,5.2006112060021525,5.720230541022614
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.264602888735057,4.915929655321597,4.684648085554248,6.039685915497256,6.412670385432406
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391878656266781,4.582524203322483,5.526564153296022,6.174670283895554
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2076955663327764,1.3674685615956759,1.868461068818389
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.251093123724981,2.249561121536064
41O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975627257687814
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
