 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,C36,O37,O38,C39,O40,O41,H42
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02969920281146088,0.10435422719574072,0.007081644731666836,0.02726151258700571,0.0031324397229137713,6.543526181590487e-05,0.0027294597332674364,5.0950289094631174e-05,0.0010254300531744587,0.00011986793901219706,0.0009172482086963196,9.895609400523142e-05,0.0006494128407246169,0.00013033416820229515,0.0024066181722954827,0.00861640795307328,0.00032895565711932306,9.394597644862834e-05,0.0002134209947639576,5.475496637652455e-06,7.034143720185959e-05,0.004238150535926133,0.00014768792748909298,4.559195492159773e-05,0.01514786746699559,0.0025849696442497017,0.08052793659768653,2.289970525981566e-05,9.357872039927884e-06,7.725997388297046e-06,1.702906096578971e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3892459563431431,0.02771652423030968,3.2029328025017296,3.586040159191313,0.1292769115579191,0.29278627698711096,0.027608521568532884,0.34072247453684623,0.027512480217979363,0.22787169384171402,0.0039022772746237777,0.001309904558177949,0.0003850544027101943,0.0006775396797904232,0.0002561593835828102,0.00012043293403149469,3.159936217378423e-05,4.487554514044645e-05,6.0359052114211664e-06,1.0976762661485395e-05,0.00022401531943479214,2.622987614953054e-05,1.664026307768296e-05,0.0016743828831008445,0.0025413507364339255,0.001333091399072714,0.00010310444847178024,0.0003238751579333482,2.384306045188911e-05,4.046024100978762e-06
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7963115524076245,3.1864092497133365,0.04509377542959252,0.003875032649173882,0.25415970228878054,0.007333000530593825,0.05365741038175201,0.0004129172865845465,0.06658007956278833,0.002871752967817276,0.0009923257832353816,0.0001954016147369675,0.0010079587452039018,0.0005219800092771676,0.00018601886136160317,4.4518096331769286e-05,0.0004806138111611291,6.02143279671008e-05,3.992003888231288e-05,0.0032342324240947767,0.0002790059898807318,0.0002791307654770314,0.022092971505890874,0.07948503516985561,0.008096361381728992,3.4438003572806464e-05,5.890891071780313e-05,8.140562166150667e-06,1.5469665102241237e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11666095453564063,0.0032124267619992875,0.0010745333700847848,0.007121752744927434,0.0019583136989844707,0.0014861704664561604,1.6186232843606874e-05,0.0007963873219516415,4.867478616787935e-05,2.601992803108466e-05,2.6943821192726425e-05,0.00015245456279044944,9.551522905404397e-05,8.715779927026546e-05,6.097056591380934e-06,0.0007184027203195331,0.00015508420582266425,3.26905105740849e-05,0.007741986311145532,6.026460754759988e-05,0.0003239605116751587,0.03603835340511885,0.22152237647429784,0.00648296066807319,1.0657850872397567e-05,5.691860602619059e-06,3.3719752434713257e-06,6.457512085056294e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3003243118756891,0.028086958755727087,3.6312258814960514,0.13406696522673966,0.22689334021702423,0.004076918973641153,0.3527790962243979,0.02799355104152368,0.0007372734293844274,0.00013235968709794654,0.0007845291492751538,0.0005924113669806275,0.00011656069128812563,3.56586196288422e-05,7.909938940769967e-05,6.7255058000537105e-06,9.544210227030447e-06,0.000423661936356276,4.8767056738840964e-05,3.8007787223515166e-05,0.002704519633538488,0.008773408840655403,0.0015366145591769603,3.232591008731078e-05,0.00011561815261691699,8.406266058261225e-06,7.971391433603259e-07
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9343794415024411,0.2934747838612629,0.003727373492861341,3.9234104142350525,0.1285605054008414,0.32326763023297256,0.026391240650929904,0.0003779115793694221,8.851005348745056e-05,0.00043494380820548184,0.00021905415269452,6.146054218719721e-05,2.068268310639887e-05,1.3511167028759652e-05,1.221989299082793e-06,3.921224472014373e-06,5.9597029246502564e-05,9.017375367514902e-06,3.701179225101825e-06,0.0003335554384421291,0.0004897362224209195,0.0005505710113792583,1.4961375837480029e-05,2.6349531914063307e-05,2.550147992844143e-06,3.169858159290939e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003633264965138494,0.0008243732349861865,0.12701551560805102,0.008387441380521388,0.02765206842818624,0.0012190802560618774,2.2592920252195725e-05,8.39334981916906e-06,3.281098178287145e-05,7.642939787722014e-07,3.1325653697678035e-06,9.773991032080431e-07,1.1848289096505482e-06,6.858633483375343e-08,7.014553937700896e-08,3.877117924488971e-06,6.069165658928455e-08,4.5396600878433446e-07,2.5398079706029364e-05,8.899116069616131e-05,1.5859155120034885e-05,1.7280294768440285e-06,4.0528649902782377e-07,3.590524015884e-07,8.355599701026506e-08
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9313128081196818,0.32197665713040274,0.026463813188812857,3.9109278598275496,0.12913075598074775,0.00010788701256531086,2.6587822347476364e-05,0.00013319212061255192,7.94716471889112e-05,2.681607297991273e-05,6.026467750275266e-06,1.1271385742833706e-05,8.977780523444778e-07,2.857053450044944e-06,6.500879418613881e-05,7.1175475708784575e-06,5.961390672881706e-06,0.0006406376442219808,0.0007865100613653198,0.000296921544747239,5.4515601023708005e-06,1.2919775747868845e-05,1.5394343262364885e-06,2.596727513015651e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276016154221308,0.0011480928159348647,0.12579614501761704,0.008298821425498426,4.629211020734658e-06,9.429844434194479e-07,2.3511128464104303e-06,3.438150211199087e-07,3.837723103750079e-07,2.4698312794946276e-07,1.0653366480095627e-06,8.944598994808928e-08,4.26123700769665e-08,5.692400475876269e-06,3.5436734657778857e-07,5.760275743060816e-07,3.071159830847492e-05,0.00013387123107966303,1.1497300683505074e-05,1.764616484045689e-07,5.482164295855796e-07,6.253480155926638e-08,5.390593749154959e-09
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9490055683311265,3.587145280959639,0.11903040337031467,0.00010024682564704901,2.192496140877853e-05,7.165479227702609e-05,5.616284773213298e-05,1.6833606178323635e-05,3.1154492041718385e-06,7.43842272141193e-06,1.1872174339178088e-06,1.99280248125433e-06,3.558816589750713e-05,5.946918198995732e-06,3.1046246300459046e-06,0.0003903644211701862,0.00041364754539612025,0.00014479268291371639,5.6652352407038364e-06,1.0991835059689925e-05,1.318300731453781e-06,5.88786400856911e-07
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119329462851268,0.00797158464013159,2.02234730894979e-06,6.174663100821931e-07,7.375194595038437e-07,4.273396148057884e-08,8.274785523454398e-08,5.909779554613692e-09,1.3763388739818083e-07,3.3205962424176505e-09,9.832906999740487e-08,6.592354000467537e-07,1.8511591415304451e-07,3.4113185387596445e-08,3.994251267291915e-06,1.4881212389017406e-06,8.929622778097723e-06,5.212529430309587e-08,9.469752182411639e-08,1.1550186584941002e-08,1.3511820551315168e-09
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99209492373838,0.00024869661620247063,6.082015799367679e-05,0.00038470604020468535,0.00023219994737799787,5.560199819371059e-05,2.015882811257086e-05,7.515248626618898e-06,5.331995864832351e-07,2.8427403220288028e-06,1.2586211619911025e-05,1.4678444357762999e-06,7.54279870784913e-07,0.00016778626703617405,0.00019000190803215855,0.0003785596671102842,7.781236075449227e-06,6.992837418090536e-06,9.87170451854924e-07,9.588915472757975e-08
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.344910889552693e-07,1.294766458492802e-07,7.022357906283361e-07,7.261382348744405e-07,1.2966594242769247e-07,8.28202491032215e-08,6.01042655645756e-08,1.804190352672208e-09,6.094597715389227e-09,1.2561163220681237e-07,1.8885639052612646e-08,1.868715604480542e-08,3.3207881851016197e-06,8.633035223359897e-06,2.9345766028310294e-06,1.8970583992583556e-08,3.240752421973525e-08,3.209339904941544e-09,1.1186118697992242e-09
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.714147812670747,3.7586087923083964,0.13456959382860056,0.28937040717220985,0.02485474261371734,0.028774587088598008,0.004101037018025,0.0008108766172423287,0.0018052918513029315,0.00013789462447033607,0.0004591877379267473,0.0033389780704976557,0.0010812821142532208,0.013755461605710617,0.049529482307412304,0.012499363669169122,0.0073973433720544435,0.0006690640717368357
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5524211169841627,0.022316793722150896,0.07392540356882336,0.02098915247976174,0.008811845388482897,0.0006734657238973707,0.0005421098443040284,0.0016539859793623102,0.00029665004278789375,0.00045387732535318026,0.0016859187250006236,0.00041383638499020714,0.004238730285515094,0.05853838206499813,0.012763404546408674,0.0051243091485594985,0.0004980471957681809
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6274192475004228,2.6564504666510116,0.09592705332623175,0.17171742287542724,0.02471239940488923,0.008559400041592058,0.012742258949089827,0.0006158318604199131,0.002228796612746331,0.02388645578288978,0.008348442364296146,0.11486047122314404,0.18636305596102085,0.025911794738133,0.02941349432257931,0.004939727898481183
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0984306764970021,0.009315694056700297,0.01766896555186037,0.0013234786457922976,0.002930386256265516,0.0034127906994733115,2.429035085782516e-05,0.0002328211923989798,0.04753619684188193,0.012552842784186335,0.2733578068105289,0.00939652250894929,0.0004354861216001593,0.002074829164213199,0.0008646562292857762
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9488092480675852,2.779803351056422,0.09728067877236701,0.09385462729942073,0.14298317595732407,0.010910051689793976,0.026878089629612134,0.008534969733916542,0.003261361251391176,0.008720841870202695,2.4511176310378753,0.25599866558017603,0.22218800521232607,0.05494705507890407
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08577329540633816,0.005435752418161188,0.005255566176653126,0.02576727368131526,0.0009041087953634008,0.000707397630215878,0.001207646026012199,0.00037032150184879153,0.0007205382873842758,0.1110861125679874,0.02517180867919233,0.016573110171380634,0.001206605194694621
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7897903263008843,1.7327908385439275,2.7083102099010836,0.08392497831725165,0.09446229460173572,0.14480846224244753,0.04274397117993399,0.048937441852055105,0.1893791143884536,0.041825240103926645,0.02534344777399071,0.0019178287823863327
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02442018904437604,0.08327867786426535,0.0017551842463259248,0.008729008703933117,0.02427974966207791,0.004526621809178177,0.0051464995261600865,0.008163253112315694,0.001275007524559335,0.006829877068430856,0.00013302613060606205
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08203292961073949,0.033493918125347744,0.0019278512054510255,0.01486007354404717,0.0028256202410239517,0.02817057746437479,0.029617878636297945,0.005584992009668999,0.0035431819027127442,0.0006325921996013228
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.660295460124671,2.0170421278636694,2.6598847486428356,0.3014720904790432,0.27444024088085067,0.023547127131653967,0.013467706722822381,0.002713011294167428,0.00021123981164683503
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025312837095585072,0.09093817841160723,0.018048415639266402,0.02267680649557957,0.015528431368460271,0.01855185155442296,0.0011005134272958905,0.00010194044430678062
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09058197364160092,0.01685306915637841,0.02415482558800086,0.0015920761787433513,0.0004940659994359109,0.0004128610480648165,2.5980691428673097e-05
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.511337653229698,4.4373841477625575,0.0016561811908409885,0.0006415257302396504,0.0003573773821357318,5.071255863298152e-05
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5566960857497888,0.0006248592771990885,0.00011793125399187088,0.00011543548253949848,2.0331853171629e-05
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014419954186664086,0.0005388007954385543,0.00029847236427960055,7.182980546716067e-05
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.395628240247055,3.304116430775446,0.16935194322190683
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5102199268001713,0.08131504718493343
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5287316700682256
H42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
