,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22C,23H,24C,25H,26H,27C,28H,29H,30C,31H,32H,33C,34O,35O,36H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953340525242945,1.0980635205389109,1.0949796132388134,3.1895827647679047,3.603740444907156,2.924875043441197,4.1668191709627855,3.876279524129517,4.693483823132161,4.516231710100804,5.875390490439899,6.460164080518503,6.6293539571140565,7.5026362462847755,7.112534282945356,5.762943417100357,5.757789332987077,6.35572978113753,4.428774953547515,3.617406726875968,4.68893017126587,6.1222458885393065,5.586926880968682,7.3778113165184465,7.668586282628725
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7678484492433189,1.7784826670155265,2.8542265699018143,3.251757647183583,2.2619427167474844,3.822455972872818,4.708319081246523,5.462743065452146,5.27895338958951,6.555635269227827,7.220828745609499,7.279478398113728,8.068443748312243,7.866300993359358,6.32673224272732,6.148074458332311,6.913800422323692,5.136863251832372,4.210224595297006,5.515832679950454,6.598774494297666,5.8879710103158684,7.851985298054053,8.023635163130052
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7736738391669045,4.133680160480092,4.358669441734817,3.8567975514031962,5.164917762667893,4.112447197845441,5.116518516706733,4.49561615870755,5.909893383630024,6.5477070539123305,6.432547935322141,7.346348248163359,6.831394575936494,5.412999842546916,5.496697953460908,5.839426628727531,4.077949304917816,3.2212381715000484,4.168203820683465,6.347415753789558,5.880886555066472,7.6547412773564645,8.025724696628274
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.668977484705009,4.318138234449671,3.370953077259196,4.481095249852225,4.230784478674173,4.898164014037241,5.084883587476502,6.459945903657783,6.8996215619257635,7.3189406343957195,8.241272241047536,7.706837729262574,6.575057750172599,6.673900474447412,7.1709738087372425,5.1482461410908105,4.466631745690656,5.268656933780569,6.784253915533103,6.350118102559228,7.97528503151066,8.299361211882816
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973946978593863,1.0962821550864519,1.096452745675036,4.399194963571129,4.606511020733618,5.109005516814711,5.9277844579073005,6.510002798612753,6.994446487442051,7.541482353621157,7.795062536354743,6.458635260527927,6.0450387283351334,7.352403500464949,5.5764557013001195,4.906263070351977,6.334867687126211,5.3704944627688,4.4945692981874075,6.361760562185431,6.255752029197925
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7730504721633604,1.7696841100518546,4.406051140543988,4.70352503605854,4.837881774078484,5.518309583168927,6.225769077169044,6.451091765106209,6.893008577827875,7.342763480774569,5.862076708468906,5.3045176997140056,6.74904030184827,5.197912181413739,4.514703544919092,6.0768611662812155,4.814634867378556,3.794052674676332,5.827750745739165,5.654509728270562
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.766447285178114,5.1081647234178185,5.459812754732453,5.79424605563279,6.750143473202675,7.379364333571677,7.712249463577488,8.305924902352777,8.486142825713197,7.0053472177773415,6.590267233808811,7.804944513124622,6.055353897557165,5.246542870882278,6.729777700838639,6.2999913427881395,5.396735364379434,7.3613957871494256,7.276926111332303
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.044214052306692,5.002617540841072,5.837980798927476,6.503833080803001,6.9881007386762395,7.675725126494936,8.150307011670328,8.493809965676599,7.290158260583722,6.849978465739601,8.236698713398928,6.47056688243072,5.885893525853188,7.2546217737887435,5.786406974469922,4.93013435237311,6.603244884380484,6.383593351089419
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2332859699661411,1.3664729553890604,2.4338229453321634,2.682442485980106,3.65819913899103,4.544832382745181,4.034174946957721,3.6931635479208342,4.047028245615589,4.609837952859103,2.5523856420230473,2.8310376717514134,2.9933239960986175,3.062389481048838,3.2845926873919384,4.101217310878962,4.699074466380428
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25817790659633,2.70664033480529,2.5701608704167356,4.178198777776345,4.912746383580921,4.535301181495264,4.567441108445942,4.86403861857535,5.5441257427847175,3.653096093959184,4.005843552927858,4.103477005292424,3.0432988362596185,3.424589591529613,3.751066610529763,4.306932994241525
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.459905693581147,2.1128647386736352,2.3585022859637355,3.3023669821564465,2.8204384379649174,2.361770622085587,2.8353133898907195,3.300282034145022,1.4717450931718206,2.1312123198191197,2.1244361882474627,2.4579849071590605,2.8270899302226007,3.6071428462814215,4.302973595544398
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0923652454365471,1.5465861435675277,2.210528858431725,2.1668079001525005,2.4157593046848116,2.808821626104145,3.3895423637408713,2.4438825509398736,3.2564815292192435,3.104686533514049,1.5298368438179413,2.4422442788716503,2.377388977935249,3.212857298625776
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2127561195381453,2.7623381585120073,2.397082610866898,3.355672342031201,3.8664212582039585,4.216275174255204,3.2661254814048535,4.145359247388168,3.6839991210184535,2.1386725493229926,3.2280728454590872,2.4615623847355024,3.400788585047599
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938390532304656,1.0962820278155436,1.537984515582032,2.1713806145280516,2.210003816821021,2.4148540584261395,3.346644693475983,2.9163779720570977,2.5359841448207523,3.2706512017719325,3.202507319997161,3.989421839059367
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7695753871299862,2.2154094897791516,2.462281349627046,2.721964792509798,3.3904956319821764,4.2070252698194,3.961312108133608,2.649448339579839,3.3872059996396615,2.961585744666605,3.6424417795434136
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18239334603393,3.070972661044637,2.4698686204134828,2.8151252617228972,3.8706679121597705,2.9058431080674856,3.4343865435556777,4.284172800183229,3.9314939596292535,4.809783451096848
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095048930026508,1.094169828115284,1.5377301822470868,2.195594111286369,2.1906325968062936,3.178654773190001,3.3911549122650078,4.216086279836384,4.828956414003307
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7744381565393879,2.1663834874415184,2.3845031673960833,3.0519473747635337,3.0201466658679554,2.892020105796264,4.093822430664141,4.5050749134870784
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1998651338667736,2.7499718490978533,2.422321280305034,4.2274087433170955,4.442199455601297,5.171898759482722,5.792181752124837
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0933867099607366,1.0997281457788082,3.4036188168958614,3.528740818981163,4.620335475986925,5.265443059599389
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7755567250241098,3.876562891285057,3.655094849390868,5.194502191575187,5.696337684863751
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.313342677515607,4.576222756008425,5.435107117349301,6.168312796727201
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2105583871770376,1.352431867724609,1.8771099327064815
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.256320438711987,2.2918589112025978
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764516307513306
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
