 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,O28,H29,C30,O31,O32,H33
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.724345294115366e-05,2.1604329416891055e-05,3.397096521418064e-05,0.00012720869934668144,6.1519722438507785e-06,1.40892152922234e-06,5.499582476087284e-07,5.000815228584088e-08,4.322023272607112e-08,3.66093159342995e-07,3.027381900722048e-09,4.669251593814039e-06,1.4213401978380169e-05,1.971636056419257e-06,3.676834889887459e-07
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27787494562145,3.564231843227497,0.1335185794157031,0.27851728954629296,0.02440520549658798,0.03362531059744886,0.00421063438167546,0.001173697484635694,0.0042962629072252345,0.00014556170439061766,0.035965548088821964,0.00795813955972098,0.007321025565483613,0.0013295282558895005
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5278340015491626,0.025938168528545247,0.07192156827778137,0.051617343046345576,0.009588426409518874,0.001211872379876744,0.0005609495124058173,0.0032357514083429656,0.00035031943228869267,0.011987228993641338,0.002320696011858043,0.0023554568020897684,0.000610946410034896
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6076200624555113,2.9080799436910914,0.09847348692481661,0.18527052074713818,0.025427642932031036,0.012144862341026186,0.028137438024040964,0.0005843973942701863,0.20342957681185425,0.034657540304824166,0.03078544204161679,0.005228362525078523
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10131787018910499,0.033275939563013335,0.009504984621785062,0.0015711201336572334,0.0004270377291921701,0.032872660953983335,0.0002170971890225193,0.007110464131108829,0.007144073999208134,0.0008963343861797535,0.00010583706028177708
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6942954664721643,2.6941695836953246,0.09277053935236768,0.09416423483773473,0.21771609467677533,0.007165930152171152,2.6496934523098217,0.2747117075936577,0.21713840476488516,0.05427057238846167
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09741252538801137,0.0036946322083395433,0.0038523440920525953,0.0265988479571444,0.00020350893983911433,0.11203723056307391,0.03159211463793554,0.010321752265804118,0.0001880289957743031
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.099626997172459,2.0089134911733035,2.73649997352192,0.11011432229026585,0.18514668001492807,0.041900689861686366,0.03508721023096066,0.0026906201128255036
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02925390256204108,0.10257386395472701,0.011588455685448862,0.006974907252404794,0.001017580619200098,0.015330161239939466,0.0004615113453092512
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10551788028483267,0.033183041137269775,0.02879644030867068,0.004550894316619258,0.004352549171517395,0.00029588971694538557
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.650410122553751,0.028805112078960027,0.00404209313511409,0.005993513963206951,0.0003495718413207838
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009570850169601464,0.0009997156254342165,0.006612695531489354,5.3793708220117864e-05
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02464226852217,3.4906880599622565,0.16246974427269245
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5202261590032929,0.06624665738990987
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.752723965335858
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
