,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25O,26H,27C,28H,29H,30H,31C,32O,33O,34H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0797922925834822,2.210172891799499,3.2438363066936597,1.3810636333292376,2.1391410024613755,4.06188053173792,4.2345713718479185,4.923996747119948,5.024555288813829,5.6778625649999785,5.207096759055248,6.929832585399681,6.672953702706405,7.6742751439060495,7.9734147219506575,7.970569557181666,8.813022402590093,7.678498968909308,8.449491225843275,6.332820766565333,6.3757246380776325,7.272756686777155,7.790619832194368
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2392286823957717,4.225475302538852,2.160808549244761,2.55767952907232,4.692596336355273,4.851858504631562,5.672906053645679,5.74958889991604,6.5596009742770764,6.14945684323875,7.744169316218859,7.399583880676431,8.558552025795423,8.912156649042135,8.723821448081065,9.531829679285217,8.34488485553493,9.260901037731598,7.271103632649857,7.261509517364891,8.269919397533195,8.792183936111067
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082171912145088,1.3655262458562316,2.1279727048975197,4.191144520668455,4.1907232285938445,4.661276319127176,4.874621533581242,4.842814422628096,4.089905424567933,6.1541510350241975,6.1070686952370075,6.551999710520246,6.700277256184545,7.390565276766664,8.252565743663887,7.388774865371972,7.711609494967487,5.305141361192504,5.5707676862712,5.914646510254192,6.414614636806836
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14890458211466,2.54886552647673,4.902162422167044,4.776924670876607,5.227025493398065,5.492310973166589,5.1173767455834565,4.234390036837823,6.365291151463558,6.394143914660908,6.53289682886643,6.607371136857482,7.680882903108336,8.514152625032319,7.823779983862485,7.929693078984046,5.472198132837645,5.854587875467971,5.838867368253116,6.313897882861018
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097546486775393,4.67718283845083,4.6275366651944,5.425392346974706,5.627880425666522,5.8544983232898,5.163255834188978,7.10486208491588,6.901646544547054,7.610571727249067,7.859713993182969,8.310485848073409,9.138716314312463,8.193568908224243,8.73412775418953,6.4528515054489475,6.644991507431318,7.175389041999339,7.695431303778212
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.588895576060406,5.415552485989887,6.387258030173434,6.627105962917791,6.7562222775108625,5.995368005411461,7.951590384449166,7.704977751464871,8.369819168910025,8.635759576404649,9.211467510185132,10.005195056603203,9.129879545814362,9.651649074174896,7.373230916903202,7.606260537271931,8.017664346073188,8.541120904096694
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.226062610050954,1.3696141313428172,2.0607519693219087,2.4478858016048153,2.592565396737874,3.274555846236091,2.9319287843528152,4.408996514340772,4.879856114636605,4.088316271397603,4.853895803553918,3.724619252399313,4.773190961204879,3.6361397159693065,3.969733953986169,4.758265329027226,5.488632653198219
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.276157853244619,3.1614051695696617,2.790563016279363,2.5780086479983635,3.2724186374140185,2.6365886269326615,4.161744197171536,4.800125695862988,4.361401926660515,4.94363023689021,4.212233213655994,5.165573153096379,4.20568975252331,4.806130822225829,5.093248577641023,5.942154921631566
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0141202629263895,1.452872421518083,2.0935334152927485,2.512474561455256,2.6348287831778756,3.7303175496986545,3.997718689682751,3.1273068527004946,4.07095458121708,2.8071795137849667,3.6092858770393463,2.392893318426342,2.6876090740822227,3.614630947697519,4.27550121797361
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0877678656719327,2.801965056678209,3.2462421492869185,3.543737992875524,4.4484422098731145,4.5449840421947725,3.545652082218124,4.56863595638502,3.0741587478447467,3.8048593021941275,2.382492354222447,2.1851467514637237,3.733232549719439,4.188735232996303
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0974880667067655,1.5642155895838494,2.1218466970097127,2.4590183384739106,2.606928084084678,2.585831760944905,3.5232767374346143,2.8103046266214937,2.9017175233650487,1.5180982688721194,2.4330850139371463,2.389768317944759,3.219145141595065
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.146455274669188,2.445930407011427,2.5602454226200737,2.7670870833159333,3.486452714537241,4.292488847325631,3.821568961214275,3.823039142701671,2.1373725811451196,3.118671235496357,2.6542737543877446,3.5376665876810254
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931658321890874,1.418292333647995,1.9456720388328719,1.5300589523225159,2.159451541940947,2.1806906894480034,2.1842049272146555,2.563129473900214,3.5411038907653394,2.931325776753745,3.810178070121479
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0052711676745067,2.810975947848635,2.1610175506918443,2.4800660303016735,2.527413397362944,3.081970497399115,3.4488895906439216,4.363572580935543,3.933338572187917,4.8431344089054935
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9716958272290815,2.4489339546916353,2.7009727923779034,3.3938205764553375,2.7460952458033314,3.1127969577439214,4.265486805615891,2.834408162461459,3.7334417067510337
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6698112454850835,3.056949719551213,3.6533796050699334,2.5626597609106585,2.747265748909448,3.8811243144812457,2.112031021710255,2.924639985264426
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094479421050316,1.0956009157770814,1.0986065571480592,3.034641740353531,3.6668570973058454,3.445780324596759,4.077192127381559
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.779195406403426,1.7708972762239914,4.065174518218218,4.744508745183797,4.288656457512276,4.922729480559528
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.777406372075561,3.2994383988557514,3.635295767037309,4.0517752620568475,4.609149060906621
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7720032087332456,3.287939712269848,2.952741159679821,3.3794193340333005
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.211879884910625,1.3588902905878266,1.8836193180369056
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.250473621432811,2.279054548157684
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9771210584492891
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
