 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,H23,C24,O25,O26,H27
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030109937920737906,0.0008784298856210349,0.09769706361476582,0.0045269412157749045,0.00011760467475041558,3.529427615545089e-05,0.00020182706199178835,0.00011608577852095792,1.877947378470246e-05,5.660443612498511e-06,1.7217657339863024e-06,2.6498403677965854e-06,9.567273545618704e-07,6.544823841769798e-07,2.0147993895491823e-07
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.082394863478561,3.439086132872612,0.11723435285043649,0.0013613324344330935,0.0005691974033092961,0.01037870501641018,0.018883695900593356,0.0011253239520940261,0.0002854919324880578,3.300544500617342e-05,9.517471385930842e-05,0.00013105650794602297,2.810186257910796e-05,7.277170188557669e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10176969650545908,0.004664491915174596,3.0090757672462942e-05,1.9235645934978507e-05,0.0002599157584627365,0.00020395299055619986,2.202662956540813e-05,7.330590166221285e-06,1.017614038589798e-06,1.318713886311329e-06,9.975645249848952e-07,4.029311919673262e-07,1.6398444602216955e-08
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7801083455216618,0.001074721186054145,0.0004273578377329973,0.0036362889319128816,0.007174499735054685,0.00042856806496432975,9.376789118564766e-05,1.1593019330735643e-05,4.066447769798809e-05,3.735495482692919e-05,1.063915783079683e-05,2.8463821069024675e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014253938611852313,7.832379661776301e-05,0.0007118873609173182,0.0006314177091872875,8.89774922813169e-05,2.6281862915977783e-05,2.67404974296781e-06,3.579671922993022e-06,2.4494729525814662e-06,1.12154035869505e-06,3.087212225860725e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.254313847664312,3.4781666024767057,0.13897999255236626,0.2886400013735685,0.021576031247616312,0.026414562720721735,0.04262803035917015,0.012698128526862917,0.008738511619475045,0.0013901828139634143
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5239176332321875,0.02312817450896798,0.0774246558253253,0.038424078459914024,0.004578492804220957,0.014907438849498605,0.003328979349221911,0.0026252715362861355,0.000737186376820631
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.579010385240966,2.8745981926170967,0.09854468051122689,0.09891527995949212,0.19691361370473504,0.029303401809980298,0.03094155816726727,0.005317391141062555
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09660722608516137,0.024464913617969763,0.005332090277700319,0.004978046303150796,0.00303616365313808,0.0009002123672439133,0.00013127071982266258
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8841512994424061,2.0764900094551524,2.438882718089294,0.27620872861617785,0.22760089769288722,0.05559894137723653
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02952582604925258,0.11867365608766356,0.03351507674847487,0.011082002595652951,0.0002973133990107346
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1145388440244206,0.032643603697898316,0.010749872675160699,0.0003588152487730145
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0471960008736625,3.3380585192545817,0.16591486868080607
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5039389253864395,0.06841173069193063
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4715598929097427
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
