 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,H22,H23,C24,O25,N26,H27,H28,C29,O30,O31,H32
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014322222107308685,0.003965924438233584,0.16512025738787367,0.36498733364665115,0.015634835044055218,0.0016770660002152216,0.004508000654566011,0.0029879069354414867,0.0002333076892527819,0.012392430532992382,0.0007785892549143636,0.021522327914264894,0.010268227575806005,0.003192488266648183,0.10320817192296952,0.2931109441020313,0.002064652235945874,0.001717820908929163,0.000563975084961775,0.00011054486765728344,3.75789964954798e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6633311965769675,3.625362449761158,0.13494177738209234,0.29340328028574614,0.025662991947376312,0.0311886224740478,0.0013452977775787467,0.004381157405014768,0.004175282462347468,0.0002622743933131666,0.0021555961213994834,0.0004851942836610057,0.00024751196426797684,8.601049323656018e-05,6.426863177733111e-05,1.316817790042446e-05,0.03775859623955899,0.0073284002215146665,0.009664539374397624,0.0002459898881684852
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5455392388915936,0.02000495250331169,0.07417443624450118,0.026994962695658264,0.009337855396897882,0.0008635251063183746,0.0009050021028691457,0.002548722296765858,0.0001643460672482444,0.0017275407604313564,0.0003876255848676152,0.00014360718001225903,5.407938157832304e-05,1.997387400509698e-05,5.072374967940441e-06,0.02751354543883694,0.004388316593201547,0.00416686905139671,0.0001323978167829809
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.531595192981172,2.9276720964739273,0.10038849972944741,0.1814019128124465,0.010395169683182104,0.02439684217279181,0.026074324239435884,0.0007477432440641252,0.02186087142398141,0.0029432467479774127,0.0012845141062876597,0.0006214594070993174,0.0002484599182523972,4.672902080160579e-05,0.18838059755685072,0.03515402765944976,0.03141350466031437,0.0031322636376883706
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09466052192101548,0.012055483114984833,0.017876031958729777,0.005006905956351337,0.0009357799635567599,0.006399757602482126,0.00012729422271173796,0.0065946723483893965,0.00065825727559643,0.0003485169220504014,0.00034136008252461103,0.0011555414063151304,2.5244156345749502e-05,0.006946599761988526,0.001526403828189582,0.0005002093951553821,0.00014599536869996932
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06218370291527,2.7706433305197726,0.0870024473454547,0.0862827853353687,0.16543254342083236,0.0035871702457144217,0.017947380710844563,0.028515318141180163,0.008272967516861601,0.003962003095370495,0.0002201128802502561,0.0006301549442042642,2.765519735294101,0.2752089925666542,0.19983471704033245,0.056277038633624876
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081685956363859,0.034041257509997314,0.003059886030190029,0.010929265825508239,0.0018722307086642687,0.00049718118052966,0.0012095567121483963,0.0003148370052191707,0.00027584006331404787,6.148031594244152e-05,4.895417422723369e-05,0.11875738452789819,0.018986294357891453,0.021223338950202786,0.0006859864088437639
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1437511478223548,2.119860645823721,2.837963198842087,0.08536544717040306,0.0810161759170781,0.18536314870297946,0.039962826053821274,0.03377958477161967,0.0006613262214966165,0.0019627975266223174,0.20474338876370898,0.046067543471412016,0.02210759543030437,0.0021756257310081573
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024837788711620234,0.07870802146583955,0.028654620695978572,0.0014214896334525662,0.018437840262346183,0.0016407981705366392,0.006724305287386989,0.0003153468786358804,0.0003261353198040773,0.007700358794801687,0.0008565959144309909,0.002680393978126361,0.00013978059858299474
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08203088864771813,0.010089823592632996,0.027286180725669462,0.003191853347175755,0.001946662142020772,0.0009141412997132337,1.4339756814640836e-05,3.3393437162354545e-05,0.0146608978838898,0.007464219472764988,0.0016948989907221712,4.5930328331778014e-05
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.091154882659972,2.059601080650345,2.7806687272088757,0.29035350076746086,0.2346604992328227,0.013055870188724672,0.047177151349096835,0.0320711143878481,0.007007999880473355,0.004872522897443693,0.0010012934108907245
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0270312319082171,0.09796115951622619,0.01719621921009029,0.02462994325321799,0.0010837824092595483,0.0015644437115012177,0.0005279630414054548,6.944362743632748e-05,0.00016875498473600814,1.0814563428773738e-05
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0957761663118426,0.02486238356678705,0.012747891331938432,0.006268288341838346,0.0017426237125255373,0.0028223521906021176,0.0003570789808041708,0.0003724606337395242,0.00011976487988096807
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8123312839312335,3.6730535077355184,0.1318271123033411,0.14581820115300992,0.006180292641464635,0.0014148878425836037,0.0009350100597957101,0.00023913985367329804
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5845980728402748,0.02429748183103253,0.030127569878607208,0.0020054095139111494,0.0006646862807323864,0.00034399587624767136,8.855959270992475e-05
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6909757398796375,1.9504298457664904,0.0011844580462716803,0.00037316308485212807,0.0002159855542101241,3.568191038882951e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04056699236223471,1.7629366298343996e-05,9.339941037911359e-06,1.4951625785242229e-06,6.290656207053047e-07
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019508398530099225,4.3698966252891935e-05,3.1165467257898705e-05,8.238253562220521e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.913322598487408,3.50015804365177,0.17080499766247437
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5172890015481926,0.0788343437963207
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.812522547614504
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
