,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17C,18H,19C,20H,21H,22C,23H,24H,25C,26H,27H,28C,29O,30O,31H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09512574839701,1.1000458303233593,3.538801948579753,3.7651269555787046,4.744406905440115,5.944969340112578,6.152031199191819,7.096495673092809,7.994394923430968,7.4492488353719715,6.724012331132663,6.8968003460118945,7.4892171753941215,5.303335951813309,4.908423503343457,5.479547763514185,6.198336702952681,5.919123244526266,7.2125684447402145,7.536617239554892
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76863626786655,4.235498659168004,4.169160068144434,5.535894897051031,6.6148209283416115,6.692368761298852,7.8767078671963935,8.741954823934442,8.212145144787328,7.64155317479172,7.811550871731286,8.451106881410393,6.2536062839679705,5.927925805583764,6.436934445094869,6.7885150289251115,6.551896111844285,7.672214840020882,7.9541927804643064
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.252305364285116,4.6758010625774125,5.325380772988895,6.641977832137586,6.908727747468333,7.648149040454483,8.59677944584047,7.947098128739208,7.112134402892842,7.318080938637309,7.760316448064672,5.630960937694584,5.136705064352953,5.664866272145992,7.006573168620623,6.6931688423625655,8.098662257592872,8.451624299548847
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2322334569461268,1.3643935243723497,2.431439662152721,2.6899457526229,3.6548119736727056,4.542015485902224,4.029286746514459,3.6883513627913653,4.046329964624825,4.603420151708709,2.545900229757722,2.814598388044234,2.9923877775411425,3.0496841876858802,3.2567628490671607,4.099545904801042,4.692256033574126
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.259665975960902,2.71240917591418,2.5883607297979134,4.184067441941813,4.918198337466612,4.543833003122679,4.567076417080628,4.862736346006591,5.543843239565236,3.6502735948454332,3.984186451124598,4.113581274067504,3.037340789015565,3.399392575128885,3.760717528130606,4.3091682148798665
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4584388614756403,2.1121106476681257,2.3545387483685296,3.302056741685506,2.8069597475092536,2.363806728474685,2.8487983438276525,3.2973572849439,1.4718983612988814,2.1306927272618794,2.1224866371666637,2.4568844071706137,2.8231431117448293,3.6083808346109127,4.303774425746392
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0922799912439023,1.5463624938752032,2.2105118739771976,2.1657254591368775,2.4145983993900106,2.8087769493919894,3.3879557784656575,2.443976795539639,3.2441447051520926,3.1191262993693214,1.5300605837535275,2.4423883642529995,2.3781031309999294,3.213795160164059
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2126971311752106,2.7567222198592884,2.3998671399463634,3.3583353442327812,3.866403310104492,4.219288321306032,3.2761581417184904,4.143271642607039,3.715302027090848,2.1405504210382102,3.2281453166443757,2.4682023515730522,3.40656090455459
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938694410438317,1.0961558946576488,1.538077711275148,2.17050304476299,2.209691670348125,2.4178091765971144,3.343483191181643,2.9327021932291624,2.5353237305715877,3.273559069916136,3.19768266755078,3.9860754460995165
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770046625346896,2.2154620909982587,2.459870769303547,2.722552983574249,3.392557587505634,4.201011042143574,3.9759362305102215,2.654447590172197,3.402899044666609,2.954085887642727,3.640208051012969
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1831559245291996,3.070523041521294,2.4702136056721034,2.8197822044494916,3.874098074899142,2.928498441852506,3.4367471688446027,4.285930068577934,3.937155018380061,4.816156908930167
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0949801363803844,1.0940813421746531,1.538716447771217,2.1959018760579627,2.1935108004260044,3.1640913381246034,3.3754507054166947,4.197060347468238,4.8071055242128775
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7740299381794509,2.1673447165121877,2.3793014146242633,3.0506032365084246,3.0023526916946564,2.877700684133806,4.063635811524705,4.471012080280788
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2005300854291305,2.758433537282044,2.421282067550951,4.21479142674594,4.427893798086344,5.155023282970965,5.772296915144354
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0936999075975973,1.0991062366709043,3.3840965333882997,3.4958277429386926,4.605328026740617,5.243936011882365
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.775305836140164,3.833132635531652,3.5912571561445716,5.1538483223932925,5.64481092815296
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.307380533868886,4.549627010264793,5.440068085910154,6.164524997188421
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2110873102753108,1.3518107777547215,1.8772276155753629
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255977460225534,2.292041814625086
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764808972968066
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
