 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,C17,H18,C19,H20,H21,C22,H23,H24,C25,H26,H27,C28,O29,O30,H31
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9745192158776341,1.6968134315951986,0.028038969404618724,0.006314230574946733,0.005185303782712092,0.0012306182364912044,2.7238317293676317e-05,0.00029478648451289335,6.70318262080416e-05,1.7137513435017127e-06,0.0001571721292925321,5.5168149016848744e-06,8.053320225576144e-06,0.0014213475247127766,0.0007872444072303253,0.00010753955060849307,0.00010481647921004034,7.908190129439496e-05,2.1224789597595883e-05,4.222215711169319e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024638344407004187,0.0017329089462916336,0.00028863049826632903,0.0008262128656988388,0.00016470562398573918,1.940112478893141e-06,4.672462719113035e-05,2.2378701214798014e-05,2.665862877115899e-07,4.412931305486367e-05,1.4734171693842057e-06,9.416968982378648e-09,0.00033912657292201054,0.00018855943102247252,1.3559856665956715e-05,1.1276400400328512e-05,1.5692161649094594e-05,2.0986805303602196e-06,3.8213927866515007e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015464749925340193,0.0014152355368552971,0.0001171385349150178,6.492691943238427e-05,7.87156877213313e-06,2.00643972461112e-05,1.6887944154220236e-07,8.583782462601164e-08,7.408689228993737e-06,8.021784325684678e-08,1.4568025810124396e-06,7.16235057744985e-05,6.10754779817313e-06,6.546695989095852e-06,1.5135659009679614e-05,8.181921482997012e-06,1.103991682849248e-06,4.62004980938957e-08
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.882944459233606,3.432656380412738,0.27367322112333736,0.0192316833534798,0.03014226336067863,0.003498557074101516,0.0002315630728852991,0.028398273787978684,0.00017231626840263914,0.0030699833702232393,0.24119553125523815,0.01592616765098187,0.02100733223523421,0.04554731715885185,0.011341912441275054,0.006880773718001942,0.0008553824158860079
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5294778283819703,0.08339292334211756,0.02585861751298124,0.010381744733426249,0.0010308247931148928,0.0002729933460081657,0.008077098086988699,0.00015884214797823315,0.002106219029228251,0.05496071048446127,0.005877410991384835,0.010692280462672454,0.03545559939618001,0.0071244493230319395,0.00381983689417581,0.0005986452133381892
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6503481776822397,0.08975685430738056,0.20468989223783138,0.022414883596949986,0.0031987668933728397,0.20929094610275362,0.0031213102602261067,0.022422026837548126,2.817575340765994,0.09122871143852507,0.09733855851404138,0.18826707168263,0.030680250046840177,0.02715340131061182,0.004794651330226607
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.078536131292636,2.6691158098960797,0.07942065133906762,0.09111017737170912,0.19762103104375267,0.004844246027279953,0.025869765297161784,0.2186935263855346,0.018196827759389578,0.009442870293494332,2.6391262940095195,0.27540590625876876,0.21552626134134506,0.05492324011397309
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07759774696420274,0.0015430147470294475,0.009904675222171644,0.022436688524460346,0.0005224142008242172,0.0005629520961145662,0.019233469822807936,0.0008580406763118997,0.00020836268149149184,0.1085085061823472,0.02540010977083229,0.012845253646864285,0.0008879317792276353
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0310123634011314,1.812248978789321,2.7528740750220964,0.08600662753499833,0.07932892990027796,0.19683121826156944,0.022188657057846006,0.003998261825886695,0.1905201873277518,0.04181689583567466,0.02336885203620022,0.0018826886491309924
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026556748532838403,0.07677871166410644,0.007808134017561752,0.0010580408588241053,0.02686026503729555,0.0006176073333794552,5.0127003252020685e-05,0.015505737528565655,0.002332745123146629,0.004670900800415101,0.0001354403098898782
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08155719861726174,0.031152342314925807,0.007716425378328173,0.005439234609475374,0.0002888748408418351,0.0007665737332438471,0.024859194429883935,0.00602804064398188,0.0018444406280188064,0.0005849866473863763
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9895137406120214,2.141823059028133,2.7795220909578293,0.08149058073963988,0.07817997194907944,0.015764131860214997,0.009736064604742203,0.003651206236542817,0.00021392316580326476
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026077646918144515,0.0838662450365888,0.01062254362030779,0.025435797663899917,0.005553876103327804,0.010766689150713216,0.0010098922108756625,1.9447158329910508e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0859116685905279,0.001550872122258129,0.008182294833205095,0.0021559031843798593,0.000648502052740807,0.0006519272291599654,8.577364641215723e-06
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0347916965892505,2.0640785247900135,0.015986605102381174,0.004222481069799222,0.004273551646323107,0.0009995421520027081
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024127586972025217,0.0005860959834076418,0.0004289130364947269,0.00015687520009888267,3.690788567101144e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030832671425231606,0.00048280679044165886,0.0006750142182957442,9.987247138787403e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.212362094889185,3.0976960032086414,0.16262617018321435
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5106564586915238,0.0661444477271439
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7272996258551103
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
