,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25H,26C,27O,28O,29H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094836324585365,1.0949293369300066,1.0963535850494295,3.142560081039737,2.8941998927498234,4.153317930870193,3.475345023567201,3.0875532281473266,3.2874241999184948,4.0591874435152455,4.234284554642506,4.999738047721949,4.78667299582385,5.948576170362261,5.543804576178986,5.412304005327117,6.61570808820055,7.0845589429500295
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.761804339307223,1.7727824770533553,2.793220146420149,2.254648708454743,3.811399310985545,3.0486311156480532,4.107053199775444,4.337233919937787,4.942801464421782,4.990984794327098,5.833211469867744,5.634318107345938,6.837163494780942,6.168910912855946,5.888774449738542,7.214068180398373,7.569485552006746
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7716866280830008,4.105624235817448,3.8651759606095184,5.158020736665758,4.249926979608546,3.4098900991277854,3.3599748892455876,4.603542017912368,4.9080836655463775,5.559948687926104,5.246818516324242,6.415252265874831,6.3119098431897696,6.309738193922658,7.348310855871564,7.903943011427132
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5853257070611706,3.23211982624278,4.446541959176154,4.176752255960193,2.8012817186234784,2.7744323323891202,3.6766107130030083,4.014740386883586,4.345872028814377,3.975994000175517,5.337274512569612,4.857826121370955,4.873123097701405,5.804108877653803,6.294539886749641
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0954365918547275,1.0960608501704066,1.0974997430310967,4.639051647795246,5.460645478294516,4.786232806247754,4.2748522030978595,5.751506824479931,6.033315103772858,6.721753424487287,5.584899463698416,4.799404391987228,6.764717881022811,6.856168879292769
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7660101189860002,1.770548790730245,4.927480874158035,5.542434090501561,5.206640146966484,4.862411201609563,6.030770748810949,6.130832464573515,7.071649776308963,5.84943347787947,5.160382916948147,6.919914811124413,7.003107597285262
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7718537102600687,5.275397251260637,6.166735209654221,5.1541459872266495,4.503966358031644,5.989892375709373,6.385641675470042,6.931407528116789,5.559788244936349,4.600087571388778,6.684464878944173,6.627738414279512
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.181677537587807,6.023437648759379,5.461773670073186,4.927658449281027,6.570512555143041,6.872144256127041,7.490249394677353,6.527732120709109,5.751100831918309,7.755031770891471,7.879013963107411
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2284096937137898,1.3714674957408328,2.060776090086454,2.452463580856931,2.5072041083311136,3.1218124158349587,3.5838291653457026,3.895079716638264,4.682563619258534,5.40797981977996
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2755206387071754,3.158676360342758,2.781957120677355,2.3386312152515165,3.3685054229533367,4.048012953531979,4.6063467228819786,4.897295270606692,5.7115642602883465
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0123436567616897,1.4454774113273037,2.06940347053521,2.1238440102905045,2.439059220795605,2.7546014749754693,3.626628646321901,4.312473911794465
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0998944367311334,2.916923538925118,2.7130230702749674,2.539008173512664,2.409789257552979,3.8552343665858877,4.360314238914196
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0952762476337137,1.0998634831394338,1.51602443230029,2.4267226557815977,2.3669368082149957,3.202979235585637
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7591901298714903,2.1607160686249864,3.1458141717617734,2.6481295777708036,3.54003828087999
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1309626015138763,3.110644906148129,2.601431414993246,3.4856318344082022
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2123434126925812,1.3490747167441928,1.8778237180945616
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2569769363026158,2.2979897655545
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764506151761365
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
