 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,H25,C26,O27,O28,H29
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9336593267087665,1.9272476469263813,2.163979524320402,0.02263106081970709,0.009513934424486337,0.002699182271413081,0.0005495328422606693,0.022962205123165907,0.015388640563912287,0.0033639773829195613,0.0005337951797771412,0.00039322440101713374,7.238675268372852e-05,6.340528261050693e-05,7.395110126606763e-05,4.361228002422446e-05,2.1420038015765308e-05,3.506435345634884e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024463663396640856,0.02415867939285743,0.011777854658538534,0.012421766046777805,0.0007240222064053281,5.745075348539963e-05,0.002104389250503491,0.0012090145437697597,0.0007765915836634996,1.1101596034457373e-05,8.5059147745703e-05,7.097976023162644e-06,3.4136323099343e-05,2.716100546806821e-05,6.4237258823318655e-06,5.573019604909746e-06,1.2823870900735557e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024491543531284687,0.0020303023003175324,0.0006259374451955679,1.7514958281950044e-05,7.33451393348794e-05,0.0007600206212037275,0.00045925797080503816,0.00021574889823927634,1.4725277488025768e-05,2.382688239954689e-05,1.2312200872166557e-06,3.261395916887011e-06,4.649080544760764e-06,2.7700272702269046e-06,1.3409767820604657e-06,5.359866503962252e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004972466598417435,2.301370050261653e-05,6.952617851263554e-05,0.00021636289751603144,0.011358351127993549,0.012108587056371967,0.0008619403287120075,2.8594805141723967e-05,0.00011145303437221088,7.117512157628347e-05,1.5905418615291822e-05,1.9464216642672838e-05,1.1843339993822255e-05,2.3842296632548e-06,3.7134119779125285e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.093066171643497,2.0340651000217345,2.179445431126954,0.0025792516301997026,0.0009071753450471398,0.002555201602245788,0.0023810386767455505,0.0003432286244579724,1.172742259092363e-05,6.956407109426355e-05,0.000187100982269095,0.0004257265013920958,4.006254792671138e-05,7.725242845424418e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023799858042492072,0.023224263752059215,7.351904893004857e-05,2.4593727847133096e-05,0.00012621161444448248,0.00047122275411259906,1.864525906425385e-05,3.1198073875415844e-06,7.657273159988875e-07,9.029909411983894e-06,1.2490801188258516e-05,1.1041554708324242e-06,1.361938744004476e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023239651465363664,0.0002057027713928683,7.144358135113826e-05,0.000101361541216205,4.548822541927677e-05,1.063802993517271e-05,1.021102487674952e-06,3.178369472278675e-06,9.602177099887754e-06,1.9492124114117715e-05,3.7290437040482516e-06,1.0622546975369573e-06
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000609678069904307,9.238478528728056e-05,0.0004390721812892462,0.000404715319582305,4.6580668653595225e-05,1.7938663572358848e-06,1.040295046039752e-05,5.4681803093981074e-05,0.00012212454710547327,1.2731448928660072e-05,3.3729105028967865e-06
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.517782744118628,3.5406333842979816,0.13672610451215206,0.2795276694945018,0.03053018801879137,0.026252420654882647,0.030370583167800252,0.004909514960914629,0.00589513544733028,0.0012421138577145552
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5361433025965727,0.026791138207441056,0.0774431712740761,0.058382443734064426,0.0067387211391853885,0.0113338472868377,0.003960336520615081,0.0015274724120527342,0.00022690598322416822
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7010791477114395,2.966872473139125,0.10074772910713103,0.10354717326632423,0.18920608914546916,0.04282298438028857,0.02935576922958301,0.005135855416719348
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09480577422076986,0.026348181138519777,0.0034205641556326327,0.023043686309638933,0.04611695050104769,0.0035205828749951262,0.00011539926627057717
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7877509755828944,1.7317962958224278,2.62187829223725,0.28721169658659673,0.23013399536218956,0.05568445793049437
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026406022997717216,0.113080840084133,0.032912775046428755,0.010700766833432795,0.0005658815011180263
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12053920966511456,0.036173489717004514,0.011968781589605237,0.0002806604231579968
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.162177250890562,3.6052816025751255,0.1666875917623185
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5122935756978849,0.06344776690775678
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6076042795984256
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
