 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,H20,C21,O22,O23,H24
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024243175023711316,0.02532137843911686,0.011310352176607141,0.0008066394011860822,0.005980912275257877,0.0006437268107528649,0.00033317247507502756,0.00015701816581925598,7.005609525889689e-05,1.902168041278962e-05,1.0236331487445405e-05,3.288069259088644e-06,2.2504314611815346e-07
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025106136798690226,0.002051069405903938,0.00022516071908740276,0.00014062534215752986,1.8126586772249098e-05,3.139953083231006e-05,1.9532337095951036e-05,1.5343203885187506e-06,2.740613771479161e-06,9.560188065638187e-07,4.780517571800758e-07,4.31030786618436e-08
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006171734192288447,0.0001034721941548522,0.0003798616632125773,8.726542105708113e-05,5.617617185671442e-05,2.287573405301835e-05,1.1531646190832134e-05,2.1236872336238832e-06,1.4399599473913227e-06,9.57361868447748e-07,2.0407877032724286e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2362669566253075,3.540826278789675,0.1366670502828915,0.29558982960280666,0.027170476236660246,0.021006797409181655,0.029951441999108014,0.005798023179313147,0.006002720196376321,0.0011945262358400432
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5368744406931579,0.02535247485921366,0.08000933994805268,0.018048525277351235,0.020749545098886046,0.008274341228956816,0.0038053109199994058,0.0011196512370210132,0.0002034763774121373
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59059757098123,2.901422284718138,0.10444154809024797,0.10584485811166422,0.19289329113259834,0.04556542393742653,0.02868184352492971,0.005160222882837906
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0983809975401273,0.006030425443155796,0.018949534354733233,0.024993298929400942,0.05092025784199783,0.004230395821548716,0.0001151116847528666
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9814698511877231,2.018450425062474,2.8083017569246285,0.27836015183974594,0.23988658471992724,0.05531447857375815
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023614357829462973,0.1236816532441043,0.03606913590645855,0.011711875132513705,0.0002896078191370055
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11875401545591613,0.03438688818929991,0.011490660103767203,0.0006110834841523971
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.344686132182825,3.5338956044219003,0.17266878451971535
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061678867887741,0.06501449001722936
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7743175605833907
