,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20H,21C,22O,23O,24H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7733204076622697,1.7815435323254134,2.7748607307953828,3.335820733312534,3.00888932728685,2.9513857092795606,3.810253740292389,3.5269434184390094,4.632450667607593,4.68417977121988,4.8202616398230465,5.726210156307115,6.345933741020743
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.779556355292627,4.0914421060731385,4.803596329363973,4.359256522932749,3.988682692602499,5.375080757865977,5.221312047002644,6.232778291443826,6.046437598711281,5.890716778618224,7.185741899113039,7.680305175473978
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.357689449459521,3.713742241620269,4.141961676897602,4.166022821525612,5.160785158963944,4.963729985130017,5.778235776562267,6.217172320775754,6.344724636016369,7.301498085476423,7.975095990695394
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2299241709680897,1.358621977685892,2.0525327297502702,2.4346865377346107,2.8030622578833184,2.720115605545075,3.705282004606026,4.088645693035485,4.779594247003637,5.547754597376415
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.272358924575877,3.158284320371668,2.7663137095743564,2.864228820229045,2.7040047597878276,4.242433515015955,4.892365057066296,5.067183937837585,5.948996523391775
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.017808501436998,1.4439463891854911,2.1244434306741478,2.0975633477796265,2.4196283015144178,2.7316965138478806,3.611583902474212,4.292119110086605
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1265381274541455,2.7711840665325025,2.942164600435057,2.531308236656803,2.37396632509268,3.8604966358010593,4.352053445107352
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1005715696450344,1.09621661533867,1.5137283126893226,2.426086815747399,2.364074930943405,3.198734224428339
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7510738844556502,2.1367196577950933,3.1055842580162007,2.6287005621315167,3.5053943245238965
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1456575660921744,3.1493254376457256,2.5976292256005133,3.497043595749526
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2113454950377347,1.3505936371986522,1.8767025347052742
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2569242951706627,2.29475830871135
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9762572470537757
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
