 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,C19,H20,H21,C22,H23,H24,H25,C26,H27,H28,H29,C30,O31,O32,H33
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76013700270455,3.5632970904062127,0.13565346130362632,0.2701809499045593,0.02275780115881787,0.03629255881714663,0.00843341001265907,0.004375863011757158,0.00039227552620046957,0.00023801533984979528,0.0037207711284224787,0.0002010719851408549,0.001269889351214859,0.00035241410489139646,0.0010738510526217826,3.189596881192358e-05,0.00025199201800840676,3.292830100276589e-05,0.03017204782395344,0.006110073621936246,0.005541046309263525,0.0012715513705127135
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5585220955796164,0.02342322640432104,0.06885172387657273,0.035447026689751304,0.019381704786643056,0.014269855278851273,0.0022371685745598974,0.0001435341414914859,6.953886574068147e-05,0.002883182870611109,0.00015573082056019594,0.0013250142928109554,0.00047101297525697916,0.0006160459979082933,2.0643175074552822e-05,0.00016777788023036866,2.5367231494488607e-05,0.009126764436143214,0.003923602820132016,0.0012958517499531974,0.000292844642400647
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7400846114334516,2.7843013496640263,0.09741832270572615,0.17937849923901927,0.010158743911179213,0.028310916736166092,0.0003477601426222776,0.0017357747761108655,0.02106136796050581,0.0013812052410804299,0.01449627139632459,0.000553374794402206,0.005084361865554721,0.00019346252325247448,0.0009586645349968226,8.53872727928362e-05,0.20099769235102466,0.050407127620657646,0.02808539709602617,0.005288853723857345
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09764955266427755,0.022090817819793163,0.004321669657058269,0.00019176797427533643,0.0011284150168219265,4.255496700866779e-05,0.00027183718047574246,0.0028657346570535314,0.0002158368589719739,0.0032151679437237846,6.989170876647854e-05,0.00025976968378238485,9.557039334584516e-06,1.0212363148465187e-05,1.4702658998055895e-05,0.024013464182267352,0.04960456784091738,0.003967915002205169,0.00011712019574150467
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.650066537116703,2.4459163068939906,0.09605389796203467,0.16068072841718706,0.0038731553894049142,0.015530687499677232,0.15789683093801457,0.031623791119572475,0.009374788138789336,0.006730364045281156,0.03147096222054516,0.0008870113516019629,0.003104358753833081,0.0006713439424568257,2.8009614108237617,0.280234369359021,0.21974743994425358,0.05463519069556322
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08078196703574858,0.004611746152892948,0.013767922691939272,0.00020312043177650452,0.009558615863906272,0.026014994670621183,0.0013024950920741407,0.0013173536864816704,0.0003355504156665745,0.0013260829398851204,0.0003796584668598335,5.784773676698052e-05,2.96262843733075e-05,0.11216164758645952,0.028385202667666976,0.011090880366261824,0.0009791477907232782
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9724837059233404,2.7979040503423014,0.0810904448385128,0.0865740797554515,2.4508871927718108,0.08972093945699355,0.08891629380803412,0.08312140000583268,0.16670112792007682,0.005776290711415166,0.02874085260214798,0.010465457385556931,0.1797249201445452,0.04420170848262929,0.020267746870691147,0.0017011702180329547
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08025970709521202,0.03483249755886453,0.0030083917865617593,0.08237557363139714,0.005523030209091617,0.0037130648309162684,0.03508684284264696,0.012630491123793885,0.0001182918261273258,0.0006577958809208528,0.005877796930678025,0.02689183186591615,0.004428520949464776,0.0026086783461413132,0.0009190785934038992
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9898936222634622,1.7363032057225682,0.15839474675902038,0.005322391802010884,0.030777847619108956,0.010145208397345229,2.533388910357389,0.08302037301381171,0.09086923532066082,0.08227296300362674,0.011829528914278742,0.0034291852176657756,0.021384704489326542,0.0011462131214543536
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022885297018558903,0.010715131542653022,0.0001314834748855631,0.0004919556486941978,0.005287792182592677,0.08253660459462431,0.005160184933013401,0.003907878956840305,0.03367295421445604,0.00428256546268746,0.0012782391664281079,0.022904393205277707,0.0008140354574397435
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02954500449191122,0.0006592324724454812,0.0017878288823420796,0.000479699167624803,0.08504573006592153,0.03337549513846794,0.0055797454946253655,0.004183091919673254,0.0008979116562042311,0.00025477632608161827,0.0012406367669434148,5.5284579551617696e-05
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8367360921257236,2.103303271522888,2.035443323311432,0.02013343805376354,0.008494606232493096,0.0022063576301636356,0.0005082470387034466,0.027191417817558183,0.009234055790641932,0.0033628933292369767,0.0002534879062178197
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024508521641634973,0.023858566673437442,0.009246908078590188,0.010250802233179312,0.0006114430045343067,2.757791003649146e-05,0.0026491865858713215,0.0005167669704693179,0.00038796233507010225,1.81799091067969e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02397921005881809,0.0020247008503835318,0.0005695355470995977,2.1199608403410508e-05,6.090281556936361e-05,0.0011585558510311955,0.0008069141628537224,0.0002462087843271288,1.1878284849053955e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005410875045959163,2.0546642209184895e-05,5.7723728714487166e-05,0.00022705482944784805,0.010878431918776466,0.003512905924302867,0.0005261409141510409,0.00014644575816458172
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79468864132871,2.1314829334326286,2.029164403555595,0.0026530012645838152,0.0012226136525932407,0.0027348756302223026,0.000356321543569349
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023564335367314282,0.02318178074058075,5.453106415975739e-05,3.0111172287350385e-05,6.241537916640283e-05,4.486830901928585e-06
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023423721193370772,0.0002280679809048003,0.0001386065017794369,8.991505530087096e-05,3.723974253189155e-06
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047442829355603955,8.949804590163701e-05,0.0005222843656047527,7.708461439714931e-05
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.895211725227124,3.403953265669838,0.1702085933430989
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.520166999236544,0.0681269417476037
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8519517088229
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
