,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19C,20H,21H,22C,23H,24H,25H,26C,27H,28H,29H,30C,31O,32O,33H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2289411358893614,1.3651896906843235,2.0655274991533705,2.4588536381426627,2.586094871181781,3.270282707393189,2.8812849533778784,4.531883403167819,5.192174796219156,4.468152839861048,4.042225389421699,4.7754839761703565,3.6492878889355915,4.7685935822236365,5.528867980752037,5.983799076569571,6.421338118079089,5.289650478908612,3.6468516023765383,4.030209212149321,4.696994328014164,5.442332375835466
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2825652669510816,3.1793790871441,2.804563078243108,2.501492504911718,3.391278746078079,2.7829394051758913,4.353200795383445,5.164299640669214,4.060331561874047,4.489542180715349,5.087804504044149,4.3381841205435405,5.285396881351106,5.222891933882086,5.853806093296793,6.0125213851394825,4.834239440367164,4.183045944321465,4.833876158867602,4.976154521455451,5.835205835284004
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0183479841228034,1.4525123583534547,2.06875722703291,2.5070962354665505,2.5860265537118123,3.853891788537423,4.29169683115401,3.984430562297816,3.0876941736595596,4.010208318234291,2.727347402509236,3.6152033487092745,5.030398684859471,5.367616173535461,5.933273387610105,5.054885935139677,2.3962851866274524,2.710805877721104,3.5850848347621436,4.253160373073251
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.140890656559416,2.9413508746686166,3.089219134424944,3.3053311543768706,4.499901660513916,4.784188878983475,4.782260197161969,3.203862235283252,4.166213263064414,2.5815518273737617,3.5783281989612687,5.659895174409273,5.83690257429514,6.597760109549564,5.764213103549062,2.5361972977802516,2.367830199328972,3.8685137088519,4.344813407121896
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0949291786514177,1.5669909529711903,2.1071030945865528,2.5832868252528485,2.9177959742790325,2.6893056144140717,2.5693060144568722,3.5198537882868055,2.756839941796109,2.9150316571779107,3.9499617989573945,4.387614934948539,4.739048350799376,4.186541614428484,1.5213800665052823,2.429557602251419,2.389719221133583,3.217474825045945
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.162871592242967,2.449664155921086,2.6903637672021046,3.127388698008212,2.3355560373915867,3.488008343507999,4.320922340723571,3.779028545306704,3.850764842008997,4.066809765551629,4.739611575823854,4.696599612483247,4.216229038269207,2.1445784905496996,3.1909855250890984,2.550267271374252,3.471140908254706
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0982062680111417,1.5420575461067927,2.176109838778148,2.160841689519087,1.5357076681904944,2.181926817868356,2.187571124289082,2.1910162660241728,2.574239979541382,2.889094845457535,3.519158507645548,2.818299906202733,2.5753264024431353,3.4298431054374623,3.120726677249771,3.9428011075824583
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.142156828654541,3.0575731645079975,2.5088318523293673,2.153977181429173,2.481328570333496,2.5241462350094093,3.0800539702900527,2.7317859908303848,3.1391982343194518,3.726389737972188,2.5242261189780577,3.445949128368983,4.254230221876814,4.073055899719201,4.943848581553685
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971188941948127,1.0987177491394566,2.5676678049439308,2.846862845272409,3.5208308483490014,2.8260855964671845,1.5345910218416692,2.1956749144020287,2.177849516228454,2.1851775533180886,3.2266302796538255,4.279390756441362,3.101478426526459,3.929658269372233
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.754578004212456,2.791842491544446,3.16509126002707,3.7953800820696975,2.6040009451101898,2.165322417354326,2.527260042731256,2.513229232966361,3.0847249668659016,3.009463441861338,3.995436381113247,2.567009713012059,3.2264539683780975
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.495971497339799,3.8622585339147877,4.32668916327119,3.7861413949812763,2.154631319331987,3.0828458514338837,2.4656391613930815,2.534571505411563,3.43334669852167,4.609252114559183,3.133495975648168,4.043806069687782
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094735891795641,1.0955668415446813,1.0977868902125407,3.1634817424178476,2.906094768880983,4.162031398822992,3.528534607196988,3.026880112220155,3.421799674334083,3.742069859068814,4.301530543979594
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.765633205465493,1.769101975872862,2.86766204376703,2.3175029364587894,3.878559993984148,3.1454246848358496,4.0811258183868,4.50007254440716,4.658692287286242,5.220709756622003
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7715164231663711,4.155036081578162,3.9050377476012357,5.192742390011183,4.351740382360134,3.2304165854599773,3.318872659352828,4.244139490111067,4.741541967634419
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5457421183077917,3.1933949710068736,4.382206663186349,4.174086058720382,2.8000218492234916,3.0509087128544476,3.3300385832343915,3.682887549324591
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0959602723588082,1.0961906102737762,1.0973122603901566,4.692053968422068,5.658884368734078,4.580168956659481,5.340516344829841
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7661320195759391,1.7716596364200967,4.98014980211617,5.782015472903826,4.967451574160009,5.612259065846851
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77045597760335,5.348343115615285,6.374765670983658,4.976960320414101,5.6888865122069205
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.211361825863569,6.180166041189603,5.270208306602215,6.110355392643864
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.212954074413185,1.3519847398826035,1.8751525261816282
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2506564763336994,2.278231450927124
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9770384288297128
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
