,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19C,20H,21H,22C,23H,24H,25N,26H,27C,28N,29H,30H,31N,32H,33H,34C,35O,36O,37H
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2768112473920312,3.164992545983482,2.811241739044523,2.514102885610919,3.483517110737162,4.13790230657778,4.30065494643772,3.0456835903989306,2.723448229014512,2.590698584663144,4.47576223171684,5.0465409717239975,5.125279138332824,4.769959153336609,4.188269855863078,6.038360850806066,7.018118446186642,6.993600856907853,7.931617997438197,6.561410731480528,6.114553828361461,7.566850502854954,4.180945905693913,4.746651367014108,5.037665591351389,5.878446298350914
12N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0159021230274379,1.4538458133297159,2.0836805098704527,2.5193440124755977,2.756549745848565,3.428651893177112,3.0923723935480094,3.380602432169597,2.8000225256106765,4.5239892812727005,4.731095729482644,5.092168250118376,5.402899639288621,5.227690702573288,6.658807252547828,7.296010968199614,7.010521320444044,8.215346253958634,7.502647782514161,7.30500883061196,8.493197519122944,2.405151814890206,2.679074112584394,3.6062575892829525,4.283658125093351
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0870418504660666,2.840046972845247,3.1728913586874192,3.141158888446642,4.015088062890877,3.9683556721538564,4.355229695176077,3.656232213778617,5.312915303488795,5.372481465511278,5.864735313954088,6.27047540856508,6.162334192274005,7.485561145095357,8.039435554770499,7.706069819273173,8.93136489003915,8.358259484125771,8.185585458326335,9.338664567010165,2.3994633381152486,2.183042650017002,3.7346763930739444,4.211892658943386
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09777430032512,1.5496266815735227,2.16882789579176,2.1570514458089662,2.5614310847725044,2.750927986307842,2.8248580937205627,3.9247306030472218,4.273889557419235,4.207339954147617,5.010643792461019,4.945045245149929,6.286780711402139,6.799863133570204,6.375829638430435,7.770330397554582,7.276478373040926,7.213083196829954,8.23133723867382,1.528833698646753,2.427386069995015,2.3817851528161587,3.222468535778224
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.159055989602065,3.0617822278653204,2.49377844160434,2.754744607380306,2.4888733997617614,3.1284328287712446,4.158391498268524,4.7483861247113435,4.335869725260956,5.068351461843186,4.8397685933311045,6.384544510886483,7.015374884402246,6.64728783844169,8.0136661738687,7.28971810443304,7.155125324087132,8.245047144340125,2.1422664390227704,3.1239313986703365,2.6177431595145073,3.5089159339039093
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098215013596837,1.0967037891223825,1.5338788238499648,2.1608191297738584,2.167366091072963,2.5423553888181902,2.817122334856458,2.7868813402373203,3.8282621221882875,4.018945527331541,5.0143397762026805,5.366045352203652,4.871958330695124,6.327422801420867,6.133931115051723,6.2398517635946,7.036056466772974,2.5265381565025375,3.473658166887595,2.9130118544829897,3.7902817292556628
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7695459678496452,2.172027127909468,3.0719951149815476,2.5007565983436004,2.8157937025906734,2.6463772487791415,3.1702422744160836,4.166296254847948,4.523088812677003,5.2093197153700395,5.39071491152052,4.846821285395006,6.2767968820442395,6.371864958956036,6.551727260209996,7.239601181950539,2.7773844664320797,3.4364126482861814,3.3046608200743366,4.012499074640975
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.169648566122881,2.5363098023411017,3.074064632273703,2.755655273010017,3.1209004016362893,2.5473481447463637,4.115591015737577,4.40015014537043,5.21811495723665,5.408174108372429,4.776280176101595,6.375531456528373,6.416542495797684,6.632681620756569,7.2492668773478215,2.683632240865362,3.7713612350389663,2.5224553937787073,3.388986125813444
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970571821324206,1.094264620388838,1.530367305275734,2.1766442501733643,2.173998833475531,2.4510642224002592,2.5059510953234385,3.731653765381265,4.358278301029158,4.107292556256807,5.33343516330687,4.728284254360132,4.747279024459454,5.672968466703295,3.9003411202786955,4.823506012305699,4.299158886122201,5.230834163006254
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7555914640975692,2.159646472231206,3.0760723809857664,2.521978137445581,2.6697636269488583,2.3869834469664353,3.988538790586878,4.781484243127316,4.611655652122836,5.772008486539519,4.832896854929195,4.732357403618554,5.777962693712398,4.142880168379367,5.163004084217704,4.414795504794596,5.389037854736436
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.155743569133792,2.505577570287207,3.071689108186065,2.678186798903894,2.570302514467758,3.89806168153332,4.667325861592112,4.585414734835882,5.5677254582173274,4.709671285562049,4.574560602296573,5.696552764967517,4.249864036855802,4.9774598837936335,4.926518307721088,5.822884770278347
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968924662720982,1.0986875341018483,1.4777277009930183,2.130962034523714,2.50233832636918,2.882415639753945,2.577662715459282,3.8687819777277612,3.715471684153459,4.027165135870891,4.55222513329763,5.063235588016894,5.9963719635742985,5.238819010844698,6.1208793067115685
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.783159034282167,2.099496418742429,2.903562865531209,2.7400119964300274,2.7783888570916746,2.3778278144031497,3.6451222726638064,3.9831403727971955,4.401487732531689,4.743446870048192,5.267699939216401,6.057257648333268,5.531306449168076,6.329651458345543
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1141338443505955,2.770168864101241,2.8942906931531796,2.980845588827545,2.4262384676333584,3.966673885902639,4.161306018499394,4.602004062989264,4.872112917338446,5.154348768515345,6.18733635283383,5.0420486734899415,5.893029758116534
25N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0135422172355428,1.3318097453610434,2.320503142478269,2.562262758420543,3.2335388324510395,2.322286971065078,2.564767276751699,3.232158548572313,6.311397602515383,7.238942645832005,6.542929198617052,7.464059766393436
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014213567312597,3.216005340706975,3.5464574201707997,4.057509980177022,2.5064797358266784,2.351561500144302,3.4810538706391303,6.359392285438614,7.290581117088558,6.6615440464966005,7.618449531780057
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3410421937268264,2.054403484121202,2.0564775211532074,1.3446590283478514,2.0595828627732304,2.0599720545353533,7.532029500389268,8.44050052357348,7.710573822817256,8.602941086749999
28N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0098242211086144,1.0104912068005654,2.315563771444176,3.2359005407243098,2.55795095748237,7.868408947966667,8.760908559811462,7.926994336455158,8.74684543421669
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726605665513376,3.2353562347395646,4.091908520735052,3.543326096026774,7.3024678580056515,8.202396610378276,7.2599882388314745,8.03132796163249
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.549376207061482,3.5388158885084726,2.413228329689762,8.821959010551186,9.681933329195179,8.886246777890925,9.684850859356867
31N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010673063743271,1.010608571919586,8.61587545523917,9.506378562268038,8.861789943204675,9.781191427712539
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7242696962211483,8.635547653729377,9.499585001608512,8.976965762984186,9.921706816287696
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.537779732965307,10.439791387565037,9.72661890950567,10.633054185007012
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2110564904259136,1.3456149708273042,1.8822187595498057
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2574183831741466,2.3110322990599195
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9775191075189054
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
