,1N,2H,3H,4C,5H,6H,7C,8O,9N,10C,11H,12C,13H,14H,15C,16H,17H,18C,19H,20H,21C,22O,23O,24H
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0939216007604327,1.0962743672108457,1.538481045369627,2.170364209508128,2.209839300559059,2.416212312031201,3.345821940561499,2.9289183533733403,2.5330010076702787,3.243282975490771,3.2269910540644298,4.005092191454256
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769618585840903,2.2145421551225843,2.458378078601216,2.721232324944593,3.390477797503583,4.203315954013214,3.972215155694954,2.6458221529565957,3.3501782477422926,2.9997272293491437,3.667584384827619
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1837058332820014,3.070457311583966,2.4698182637362227,2.819647592803161,3.8759227927126294,2.925029652781783,3.4329091491206,4.262699973335015,3.953659266660308,4.824690499679398
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094747739811928,1.0941578257925597,1.5382446966960135,2.1978605017056774,2.1931178851435167,3.1735685708983072,3.3564212052140023,4.236146848476283,4.8412093101446505
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.774758679801489,2.166542643451408,2.3830008880553466,3.0510212326643438,3.0136143741354746,2.847870150147643,4.114620982950971,4.517564716798244
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2010580733457044,2.7589033179371376,2.42231832128323,4.222388481570079,4.404482485462073,5.196612463476342,5.80844204498718
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947912575826848,1.0998978606399157,3.3977228038619343,3.511414758947824,4.622420781221771,5.2637160029632994
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7747128166277708,3.858290148370663,3.6251499939045777,5.181676894327185,5.678534025941123
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.316995491035386,4.565891194971398,5.448335967259404,6.176560545830193
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2104581159450798,1.3524314214516724,1.8769016349005854
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.256524445605028,2.291993050098638
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764566262375741
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
