 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,H26,C27,O28,O29,H30
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090924656149179,0.024715485671579995,0.0005771500049100986,0.0013473121821241385,0.00019171940891693495,0.000679503126371328,0.00025480599042204677,0.00023725964601406524,0.00046413082966467734,4.335405953304061e-05,1.1090793713641744e-05,7.398413357728728e-06,9.501028570557679e-07,9.878294704446233e-07,7.143121460995161e-07,8.314917682850087e-05,0.00031121125129207616,1.8607789800340058e-05,5.549773355095766e-06
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73488707044852,0.0948497401878553,0.09065408329613689,0.09889696060721564,0.003652187378413732,0.0008891947442192377,0.0021141264891986894,0.0019293590994698961,0.00028491053568577285,5.150308449453078e-05,3.4261349281861087e-05,6.798194424062487e-06,3.748570163830678e-06,4.943164992887716e-06,0.0006890240589797897,0.0022774839481818805,0.00015986827818711274,4.51099243505837e-05
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.020378117617012,2.06474744132295,2.028016118789986,0.00030030072220033066,9.973889793632451e-05,0.00012672109348473015,7.889733486221573e-05,0.00015317687739682673,4.14049527198701e-05,1.1580411308942384e-05,1.8625950476414133e-06,2.1162554393328037e-06,3.0546054874402984e-07,0.0009900808812248196,0.004392775775303018,0.00019388082462168388,2.0074887578269696e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026331491895314807,0.02493033085310281,6.177423836817297e-05,2.7128258744735234e-05,0.0001524260432586022,2.916325045165813e-05,0.0005006351404366338,7.606664867942925e-05,2.3073680253338225e-05,8.370811504621045e-06,4.196512064291724e-06,6.794688351963174e-07,0.001989411971730304,0.01329494119295016,0.00032413928432362127,8.930469235024496e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024731489258542183,4.143630193143011e-05,8.35182849645566e-06,8.353429644669674e-06,9.915181249375848e-06,3.7959343925919597e-06,1.0310287934522933e-06,1.2320695290668482e-06,4.845253176455344e-08,6.340195257692471e-08,9.262191769110473e-08,5.490922551087962e-05,0.0001567498150667479,1.1423147034506087e-05,4.133380711035528e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.326523425626007e-05,1.910065824828333e-05,2.9432321782651982e-05,6.3165081920502075e-06,4.337404857501781e-06,3.507793153723071e-07,6.404811496718565e-07,1.0243258596887017e-07,9.753010843382981e-09,5.577554773594784e-08,1.556118908041526e-05,0.00011704188173689012,1.3578220727783474e-06,8.937138866738081e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.036546184661022,3.2169682101224537,0.1359837033637301,0.26376829540353935,0.020267679503325198,0.033048559090676444,0.0009019055613634919,0.000969550904414751,0.004383893970258068,0.03922620849121833,0.009363189243586062,0.006978370814799045,0.0010784184332967017
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5353933864386897,0.028015780142809033,0.07390131645697871,0.03789954228158987,0.009164459392711113,0.0006238562838263295,0.0011114251256207908,0.0012640785048971814,0.018281098748690744,0.003309037373519473,0.0027193913146990323,0.0006772536848724808
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9546619500801459,2.9337513216784963,0.10108679546371369,0.18634305842961812,0.009402976102347083,0.007595561741905232,0.027515715205089553,0.19530298679219651,0.031873374191657255,0.029765691188826646,0.005208776967501327
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09777414194417056,0.030682744283557772,0.013935663991071823,0.0003832430732444436,0.005874145541675535,0.000556571504477299,0.004513243180243709,0.0037195654315835824,0.0008879118562568067,0.00024949051980960313
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9101734745126597,2.672860160820958,0.09374396995818346,0.0868901091663592,0.09456874227898027,2.625311807620139,0.26778198903367273,0.22131229216722226,0.05465337670618575
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08577973068500999,0.005514753250221549,0.03316930097501691,0.004374982175602504,0.10977278779380928,0.02838164929807019,0.011641431290516757,0.0005839271360958964
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0164268117391804,2.0232292457555516,2.1541183668674484,0.19404837817810222,0.04124975567923614,0.0288735725060095,0.0019587993969220063
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02391031887453421,0.02677045799537381,0.031067262228343884,0.00577055523210479,0.004238512313484155,0.0004185580884437101
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024627757421869623,0.009537056319219861,0.002006134316492769,0.0007712792809964064,0.0001614332407389174
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008336521795164753,0.0014695553860391009,0.010168225007095244,0.00020546815545752217
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.728964871041071,3.582218648613178,0.16888831772983004
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145358307391786,0.06351223176753995
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7306916692677046
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
