,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31C,32H,33H,34C,35O,36O,37C,38O,39O,40H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.154392582033893,2.3996028967979472,2.5209941712468176,3.5116579533507952,3.8811846712420217,3.7578519798964476,4.690490248419721,7.171066519280093,4.7757823890115025,4.874477152154499,2.727007160609736,3.1995986953843794,3.1284327929663833,3.2259124451814336,3.900735673216634,4.60168803571344,4.975153515049617,4.733886322519797,5.697443139895035,5.936992859678829,6.921004044823568,6.201224564925212,5.842261476596754,5.072858053871734,7.059358415230691,3.4905073752269944,2.6615925811990713,4.699107553322444,4.788398355834898
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1002103206232938,1.1015990753303713,1.5390579979606718,2.1791962513788965,2.166348912149444,2.5472304909993775,7.769081430721119,2.735056777661306,2.755239496131319,4.512430597612225,5.2077707015606425,4.75837052780417,4.439336878057136,5.6937870744312855,6.529323922374517,6.449347392060376,5.929405268894626,7.262904957814165,7.261421798267416,8.188685642313894,7.686876659777569,6.785841366574126,5.743784673557486,7.905954273521784,5.3727985882218405,4.410443647367467,6.619945988266794,6.633682165468474
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.759194803935016,2.15408419256132,3.070896611713965,2.5184207014674085,2.761968427657221,8.632392601923039,2.525002181117697,3.053560039568229,5.064493738578938,5.574322497997675,5.318623468928013,5.115902556822388,6.0513765746079855,6.880563137873842,6.841538994995536,6.298621457606675,7.536849613096536,7.827320989316441,8.720471345547118,8.279074525284498,7.50745203800442,6.509762891359472,8.698818184062139,5.450428289681164,4.353500540592752,6.582437342248074,6.434068042892303
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1666796316970123,2.5216246568599083,3.0723378040858895,2.8077659540400917,7.108839883174171,3.08267879446797,2.5963081839556805,4.628383770626879,5.471469043994241,4.553877034353803,4.050746800298733,5.423816296694285,6.368538798989598,5.932674005147224,5.275670551943819,6.760140110750038,6.709324612809222,7.5623400589122625,7.262906859890972,6.153052541969934,5.053109115190175,7.273304688612125,5.183814973228615,4.258450408023008,6.460641440234163,6.521556127337547
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970710203813914,1.0988346271634513,1.4686697017667019,8.440388219985053,2.0465775388538594,2.0466436542397943,5.56582171990336,6.29666221998191,5.9357453804785765,5.539164412520916,7.027439293838895,7.82065756237256,7.763748748849221,7.244902959683751,8.645401959803724,8.409321360296822,9.349053575422582,8.796638436103612,7.739807507634289,6.636566790490856,8.724103607470148,6.844903177823855,5.927804023829288,8.11076376976702,8.149917407669552
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7548876458319977,2.0774842883968168,7.809704767788789,2.930039303256083,2.3890276165478563,5.458446242961101,6.3182801864993525,5.8004691450937935,5.3071271183258935,7.023449122411807,7.7930206376026465,7.691135908297271,7.206382598600553,8.651611151586785,8.142337244456463,9.085597031424136,8.49479625218272,7.31913675822873,6.2059556351225815,8.182307920667311,7.079902296487702,6.295337556252631,8.397280282682727,8.55774745709029
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0836902504012054,9.181717779073447,2.406429128724553,2.93502640549385,5.771063039468077,6.3425221879656615,6.365810833009604,6.112864089759754,7.469193235754578,8.161505634253666,8.37040264817294,7.952124750922847,9.230187908869977,9.04164044272043,10.028999583380456,9.327716661224017,8.449762357452226,7.405591005492241,9.431867367096794,7.233271696816706,6.322319602262707,8.44688374565677,8.451218987908568
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.293332808175643,1.020505616755534,1.0203709708816828,6.907737522160117,7.6570213477317255,7.132192465719183,6.644572071988403,8.1357000249214,9.008263590079617,8.718953303976438,8.064096568121753,9.565601034460247,9.396303244264557,10.26142002915564,9.896359856924786,8.667436013844416,7.503916028664149,9.638137550851924,7.857635783845401,6.855601885450742,9.097213507619097,9.05454142197126
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.960848386298846,8.815328956053719,5.681691639233008,6.680295514686842,4.710013980995249,4.070912746985323,5.182169603209908,5.566919213592782,4.436645923923553,4.45841385770148,5.257807331694746,3.2040875756989284,3.437290704512865,3.5056149385213224,1.878028268931534,2.2771730039609475,0.9767251644727338,6.531505766640939,6.99901449428536,7.384454355186851,8.208249312095186
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6245443545412122,7.23204834731722,7.869977225234866,7.46908362670728,7.061595385449809,8.350023889571125,9.225511238204914,8.971961998289297,8.300724719423199,9.739960369964518,9.789934912532374,10.641982117038777,10.310491803859422,9.185919102085991,8.046990393753797,10.236465574331186,7.8846048370123585,6.799109877183589,9.049462754346886,8.897547390060115
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.006905651007144,7.854953867475684,7.036417831881413,6.43732591919305,7.9932910396548005,8.933362690256406,8.401724333634194,7.658097875826296,9.247960163309976,9.03862474735838,9.836375765171148,9.62768867012807,8.245996490568116,7.053129786298473,9.192799245756786,7.766871561619653,6.789717786520862,9.019396210463917,9.005449995603541
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2279181405875688,1.3689624677529106,2.078257026990353,2.4372446266414274,2.6656186310649947,3.7580265099220598,4.094079766287506,4.556997936878432,4.266616725566742,5.3481080972392885,4.109168631393029,4.361479669016124,4.058782380063476,5.389603972970717,3.0469903704868364,3.2326375415106336,4.11676417255213,4.702475823800555
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.266099266585015,3.1691229464980393,2.741579890404789,2.59016338709166,4.248716022258469,4.7463173491883435,4.820633682260519,4.886287052567821,5.911264107988358,4.575550203545956,5.275138818474056,5.1342874160101815,6.278463771864039,3.0369842834557446,3.347479690857007,3.7980685345801435,4.325180511525426
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0134433372223879,1.4455361313401929,2.07445781548125,2.4737765443646214,2.767917107823379,3.387280945476779,3.0254478493530508,4.094704873940704,3.1000966433553656,3.1718786597232405,2.9226242985585364,4.336407123737734,2.463259322234849,2.8441102909589406,3.610647319704814,4.3116179342342225
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11421471638236,2.917515367051616,2.579556201003218,2.5420976110038893,3.630429968575068,2.9428986224609406,3.9775552027642136,3.2666660139984467,2.6484701016369447,2.0845521689371544,3.850067894916246,3.0637097447713124,3.230957695499148,4.288268732125758,4.939773955768451
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957422328344555,1.5438164893715751,2.1701586657401575,2.140785139655054,2.590904528977674,3.4896138743968614,2.716228869637625,3.3844101863374854,3.4792145867014757,4.580589951776374,1.5351767423461868,2.45129532055221,2.378764417423572,3.2160341575557303
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1697801789981606,3.070496460956156,2.4546528972271004,2.8547230564415775,3.6810843809969556,2.567320560777819,3.8643183680176567,4.2032442157278895,4.870181799161968,2.1267576693843155,3.203934463222632,2.464725284575589,3.3948392209457676
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096566308030593,1.0944673266833298,1.5358995571866156,2.1768469092716387,2.1910262151366613,2.565988332298074,2.908143499495555,3.743400478668986,2.5049708270568165,3.3280392250454622,3.051212808667398,3.8649830380028076
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7623968976403561,2.164006640939894,2.6602050243976065,3.066968419616205,2.6649386765860803,2.6297346906122083,3.9320832269335058,2.7181937713361166,3.1751473565337354,3.4595868196244353,4.084276046322135
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1546473866060127,2.350498565419678,2.666930387264076,3.4477408058048415,3.9250811938229435,4.473933102595174,2.6761480602655627,3.632825655255618,2.7114617161257155,3.503539360092376
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097195353026738,1.0980195093744631,1.5161711861522742,2.444322244084379,2.3681041483696834,3.910921895950753,4.732963959832378,4.428464798091048,5.311944161042382
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.747581969000929,2.111072536539584,3.1372053922108973,2.5368951709244705,4.648792626555563,5.501698742250294,4.958146732821048,5.81197850395996
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1267838175086804,3.1131479199737466,2.626615657987287,4.169360448254823,5.113348388051835,4.577923553264134,5.529803638885347
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2166242398652982,1.3491969189139876,4.701165186119637,5.246976157211747,5.518895890045257,6.337417294421693
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2464426283957755,4.59341606516211,4.861679269786728,5.630966529686196,6.340701279875645
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.973168200545539,6.57667326000947,6.702710224110604,7.563593531817095
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.208899167996483,1.354416130185003,1.878992132144406
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.254879732667801,2.2902733751227267
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763707753927372
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
