 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,H32,H33,C34,O35,O36,C37,O38,O39,H40
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09188128129270168,0.006810165416944347,0.0032072252647510346,0.026278771423944303,0.00039212973177993327,0.0003325266217690803,0.0032815353216357757,3.354532354116202e-07,5.923420409081892e-05,0.0001223220770956157,0.013472780943316165,0.0016919916841201532,0.0020674636277066005,2.8589916695409556e-05,0.00032941465563984806,7.159001038714585e-05,0.00010563447584921448,7.825465563326972e-06,1.5615453377026967e-06,2.2761498525203372e-05,2.3595679279342363e-06,9.407893755142283e-07,6.580718083126769e-06,6.772156590395539e-06,1.3456160422586905e-06,0.004855851505098041,0.03182958815916237,0.001982482506798333,4.9903688143171365e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.858841396732193,1.8867951291896672,2.6509031377842263,0.08310142042401614,0.08168609093330992,0.21530088961259414,5.914175282839551e-08,0.01150464449791555,0.009975486947765955,0.0026676728643810488,0.0005292003062636469,0.000425263874822987,8.097330562772953e-05,6.050490483797133e-05,8.070398213155805e-06,9.747328413217682e-06,8.782610696478343e-07,4.78914941703934e-07,1.9994461204070335e-06,1.600973086324231e-07,1.1733513516354321e-07,3.7928574469769938e-06,9.094345586546648e-06,1.0218220375807219e-06,0.00019785851786693898,0.0006249438132295421,5.442293653501462e-05,6.9197632869277825e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02191207649675131,0.08494151015599338,0.03496797811703267,0.005054143076161921,0.011553317564461763,5.194352059589846e-09,0.007135908775798727,0.00012654606397610735,0.0001922911152205664,0.00014207337106242335,3.435126705708669e-05,1.703985610390646e-07,4.592498022315539e-06,4.409960245865818e-07,1.0491466082562795e-06,5.302827488229411e-08,5.864136265465447e-08,1.5147150311811686e-07,5.015865056634539e-09,3.3243274799588107e-10,9.100798359362727e-08,2.0872103778657447e-07,2.7399641444603162e-08,1.0516552691575143e-05,2.2214562647504543e-05,3.0781449551486872e-06,5.356540786483066e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08016221539836588,0.00558860300940256,0.0357269533757798,0.008989079837633529,7.468698548507291e-09,0.00010316353008144041,0.005556541856652775,6.258659176139325e-05,1.5963321385759066e-05,2.4101991927150124e-05,1.5369964584399654e-05,6.344593643126117e-06,4.268774889126803e-08,6.588996508405387e-07,5.045979099005393e-07,1.8268675461285966e-08,4.342246620048229e-07,1.354300227518479e-08,5.9376307204317413e-08,1.4129796419570795e-06,3.1928752879384348e-06,2.0642346032495595e-07,1.5491273642309622e-05,6.261527328321748e-05,6.4214357498038055e-06,9.955914377357544e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9001477531314468,1.8994027061708607,3.1324895616463753,2.985717484360606e-08,0.09727033745532143,0.0988442323138422,0.0015036664025525337,0.00042864326967259614,0.00024009194319718485,1.3189340117958359e-05,2.869458803012037e-05,8.430462443254072e-06,5.1510361526452275e-06,3.573620728225535e-07,5.517551133760179e-07,1.1454663844667756e-06,1.4966256012272083e-08,5.1886285934443777e-08,7.73690132405136e-07,1.1826297546257969e-06,1.6887729488435088e-07,8.332066576963171e-05,0.000183099756468727,2.6443833866698907e-05,4.21704330599848e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024733950896172363,0.0946944768735889,5.969254868176677e-09,0.036298570099152716,0.005774196853121305,0.0004088131196720024,0.00020381000165070606,5.19035192074746e-05,4.569882072980036e-06,7.281771916556323e-06,2.876168305743221e-06,7.548298677217957e-07,5.1867139250205696e-08,4.180750801108246e-07,7.076126551375239e-08,3.753021005081791e-09,1.289480522359554e-09,5.864507590658263e-08,1.2128945281464354e-07,1.4352571020559424e-08,4.287110368705882e-06,3.286577354710829e-06,7.744669530129755e-07,8.567899545397495e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09463080302106697,1.4267838022163915e-09,0.005270520259856415,0.03673680286486736,1.6853377945880155e-05,3.930264246165827e-06,1.1203371591106404e-05,2.961549197211255e-06,1.4342646863507724e-06,3.185326638011077e-07,1.6533322577672038e-07,2.4879819759959787e-08,1.102321101065229e-08,5.292326432648764e-08,8.181750832392254e-10,3.6142555615015226e-10,1.0291716279198226e-07,2.4322394265308134e-07,2.5217395283050337e-08,3.716142238818776e-06,1.359417091173487e-05,1.7254418914758318e-06,2.1923520310274114e-07
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84643339191149e-09,1.8371931663534784,1.785069299462906,0.000436605279279495,9.238631190268409e-05,4.6696352919470274e-05,6.583691244177459e-06,5.0548471002553885e-06,1.726194897355704e-06,1.046874676863263e-06,6.719988920877995e-08,9.232240039125372e-08,2.9860962236227806e-07,1.9672548035032378e-09,2.7702589222577956e-08,2.0518130386393274e-07,4.679057531570274e-07,4.8539888511389684e-08,2.6309308744226767e-05,6.343850910421611e-05,7.1934817480606705e-06,1.3066324052735112e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.669382492825889e-10,6.298561672224423e-11,5.07182206379575e-05,4.297538658892819e-05,0.00028262999181383197,9.133269782091169e-05,0.0003567320879147573,2.0497497015048438e-05,0.0047629928631779395,7.127347733404399e-05,0.0008594443317859746,0.054792297215592645,0.000733860255242913,0.00038752004676756435,0.16845223589458747,0.06788655765522988,1.7711044685500097,0.00017934481718384632,6.666524583687217e-05,4.424757333632012e-05,5.552834221322911e-07
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025603019133473515,2.5199222974725544e-05,6.358091640068508e-06,1.8641283079379178e-06,1.0508607746206877e-06,2.856577127063886e-07,1.1588041304300134e-07,6.310816169641242e-08,4.9848463135049315e-09,2.765451534436636e-08,4.9353409137253834e-09,3.7853875589632935e-10,2.928111086930585e-10,1.2446320751813289e-08,2.3161699447271644e-08,1.58913360248647e-09,4.442837420182144e-07,1.242497023934419e-06,1.0286893381561413e-07,1.675001159995304e-08
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.767385857722516e-06,2.1176982707427072e-06,3.9324502099091774e-07,5.004506691275168e-07,3.8588195638844525e-08,3.5608689330501875e-09,9.934458145011149e-09,1.6390371282426486e-09,1.786609304943454e-09,4.250617857692873e-09,5.98917804239818e-10,1.412114869481229e-10,6.3365874769516495e-09,1.7502675198066697e-08,9.973528669604548e-10,3.048375626368838e-07,8.980416595916196e-07,1.1227303908789565e-07,1.0306042463881226e-08
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.720934432016346,3.4779903135870436,0.12850606930264152,0.2693845280696251,0.018920460964907626,0.03103162666677345,0.0008076934631915389,0.004061673870248139,0.002133155216587107,0.00044815798012054486,0.00019283588564045218,0.002414291142288749,0.0052388347512177386,0.0003828029441608066,0.04545395483913031,0.011567136109580212,0.006907577240314516,0.000841435200139462
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5265498018877146,0.025023110368680657,0.07869195543895773,0.026408921448802802,0.00952845075808291,0.0007100353386974012,0.0009652141345077858,0.0018962920814280249,0.0006203850386227172,0.00020423408544134602,0.0018018267001276567,0.00224897256073419,0.0001808278116314302,0.03770198406867445,0.0079046574659739,0.003871817742593743,0.0006352016323891707
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.731728715281042,2.788302749656098,0.1021408456118329,0.1709393391676301,0.006232293014768575,0.024820107932264746,0.020351027908370234,0.003554127770574289,0.0018773748471785368,0.020746930666754815,0.044745193450246815,0.0035121984270185674,0.19223732232787458,0.028936305644166785,0.028763452798130737,0.005091625461113747
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0986151853609969,0.02068696844606266,0.014458724240419052,0.0036479643973374998,0.0006560407297777626,0.0014888394951906303,0.0003100396451420906,7.80256195436202e-05,0.026665247268282233,0.12090360023618929,0.005690175708614631,0.0051843153100969985,0.001277817509158008,0.0012902660544079625,0.0005005563586693018
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.103056587492107,2.6380556840994682,0.08465713994998425,0.09845502117095983,0.1615319177411491,0.021414381504983204,0.016121388755053978,0.01075936912800779,0.004196842122914088,0.002724857358015406,2.5280795967382583,0.26350186590914126,0.2194830115847558,0.05432592936037195
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08344484705383093,0.03358264657086085,0.005252450317680513,0.008406050022067402,0.00014454933873819797,0.004466980165755974,0.0008898303490572079,0.0005938321493281773,0.00013865184203709635,0.10765436270110196,0.0262388258877001,0.013533205498864831,0.0007854799342872365
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.150785908086946,1.9253741207534618,2.702417930701362,0.08904257430052043,0.07983013788919935,0.17476299693747932,0.03379840465892846,0.029545831074548445,0.202642762547266,0.04044521709537158,0.028499392781497185,0.002053291145167835
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02541527729373172,0.08731843755702906,0.0012577708675793886,0.030581625051680827,0.018174793350968832,0.015809333287791105,0.002296989283216422,0.01171181045588976,0.0033288453944551044,0.001072105408487567,0.00012294124817113783
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09675794920116698,0.010227442935570874,0.001368093523170577,0.023332802342074244,0.003240280030742726,0.002696774166167981,0.010492758044579054,0.0017925571308521349,0.01120821063407651,0.00022061394235128873
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.973626720525984,2.0375421519512544,2.843465471616587,0.2735610432324248,0.22534778567086178,0.03148876858269695,0.008152619231880515,0.004676589267281164,0.0005484966449417206
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027111289648732884,0.1240421264885232,0.0342616493204565,0.013107301428130436,0.002597499867283526,0.0009682475602178497,0.0002733142509445674,7.06726965304938e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11881463264619496,0.033977514038542544,0.01175281255020788,0.001415848553527388,0.00057631296597771,0.00016476479991811566,2.939559805148484e-05
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.907117197797111,3.528669114963608,0.0028327318146724456,0.0004332149915051431,0.0007871329665894433,5.950294213674656e-05
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5096291705903765,0.000525893339416314,6.020064492341659e-05,0.00011621276563821697,2.6279730223177644e-05
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007634993168697535,0.00019371951791130604,0.0001949593976461883,6.410417899060938e-06
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.965015274759787,3.4666371871475743,0.16627277130370433
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5111561603682604,0.06738577494497378
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6077920792274685
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
