,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30H,31H,32C,33H,34H,35N,36H,37C,38N,39H,40H,41N,42H,43H,44C,45O,46O,47H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4024149954126837,4.306556538504307,2.148912613821061,2.467503413812929,3.876953776706567,4.9634815346405885,3.403096900501704,4.298348590858669,4.114169727363759,5.1183045466539365,4.3355441249882904,3.8580178668483573,5.711269252361176,6.3347444577936285,6.115949762874853,5.759871060765573,7.1926888218081135,6.092137418331727,5.145863386387957,6.539057246747757,7.183693544296406,7.529704322605445,8.087592754511656,6.960028576251514,6.072733980016663,8.01243111524665,9.216960960973838,9.412246675365317,10.05527644479664,8.041147794594046,7.236502002222349,8.83197641043932,6.425604185519494,6.097391112805442,7.739041896704678,8.24552331108231
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873406647298984,2.7879560219304316,3.874677890512087,1.3994483238870312,2.1541730969690094,2.4213428664793035,3.4075699230055685,4.03184452984265,5.275730203309362,3.3966401312580303,2.402281626079419,4.399362061210079,5.269510933109193,5.082619083800695,4.534825274471629,5.903253972416714,5.912275386459818,5.45472225133412,6.412565881064816,7.172739790748251,7.906665651267376,7.711567866279711,7.076302874965793,6.239590038452636,8.147966468124446,9.345420272876494,9.550736071818312,10.134986550894116,8.188804937702077,7.397486860371704,9.108297205625194,4.26277904568868,3.436484051729765,5.55955681912636,5.732097900012287
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.875223224060639,4.9619131446121765,2.153780090661287,2.4710127872660377,3.4022343971276805,4.300100457819569,4.071908169088948,5.250419091738386,3.381756007067194,2.465679952796619,4.20371553082014,4.99859708603419,5.109597821125886,4.67717064755754,5.80513589066232,6.135560251019561,5.814561673062175,6.726317697361965,7.291349436476623,8.132143268387006,7.719960849243459,7.105920213095761,6.278769215987857,8.083144200173821,9.281720463492936,9.54905504304516,10.005689684774383,8.03544963852757,7.239456790723846,8.94063543489279,3.758586652834269,2.762768959392454,4.9970827039109516,5.0502202090447925
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868029108157802,2.4139510508389956,3.4022396488858404,1.398834182593595,2.1595625313886755,5.150778083179591,6.302108903692534,4.780345577314498,3.994889773283894,5.8963255624144635,6.787216156701959,6.020582359008589,5.3150767453910825,6.995370114546529,6.265622248921393,5.526217780631788,6.46114543827074,7.6394964138628625,8.037741058939359,8.394352312589458,7.76729847066916,6.996612459103715,8.972371378897416,10.093488338952797,10.139149498723398,10.997776806813938,9.2114843935563,8.485618517080418,10.109485996098687,6.2896737050525,5.783597877569663,7.56265629142595,7.919306185647413
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4001782890088137,4.303010808054596,2.158790613544492,2.4886601547028784,5.897342070823117,6.97163870649284,5.615140586846919,4.91794998657443,6.714267314651588,7.583403342434553,6.6823059230251785,5.96563776309098,7.66810026455201,6.729791324847176,5.930610148025416,6.809495761205752,8.088718980426226,8.354829501911055,8.896488146288966,8.28645722591535,7.560736200035944,9.504981574668967,10.579348678352755,10.569751416773434,11.508167182073029,9.802725778997003,9.111590951156122,10.677309792876756,7.225145902596125,6.794502697540103,8.472109650886075,8.870689747885061
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0866520337435048,1.3943712698782211,2.1568358415252713,5.138711190078771,6.36967326115199,4.3345551109327705,3.3273428741983286,5.144252649260519,6.137457345824494,5.47645991451958,4.687958508766866,6.237843314760434,6.296148729908079,5.892848784594757,6.574302673477628,7.703522272693265,8.367084044882706,8.205133233421467,7.848273964757709,7.105049758927736,9.015207374446208,10.134065212018953,10.217869986118917,10.979816843452594,9.215980808306574,8.49417359395034,10.170123131926552,4.939808322392524,4.115706719437493,6.1399149809928595,6.243000554134905
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.157005659132679,2.4897555936039315,5.873917106969699,7.07536639525149,4.92361310496529,3.9293949659219995,5.4981433809262255,6.517222478396161,5.7841901331511725,4.9371167109399146,6.393866128287765,6.776639867208401,6.525894465872417,6.996776317797817,8.19203706800063,8.908608898532304,8.571807375823111,8.416652767273831,7.734134682246898,9.571970359081906,10.643347217571346,10.699363788674592,11.47246550985936,9.805019517067864,9.120562428311192,10.774148905647426,5.013747281594109,4.086496055471413,6.080548500204727,6.02685177374543
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0865165449808754,5.61918358540546,6.822727252784721,4.946545829550967,4.023106916112999,5.846932192000231,6.84393254613682,5.933638944975273,5.081778118642563,6.779320808284327,6.465679536134348,5.92745831582757,6.598477455264147,7.925745947360045,8.43025934250434,8.534340586364259,8.170047724399268,7.451210382195169,9.400115106423037,10.488029477422492,10.498602900576715,11.388813268880767,9.688701344804203,8.99073659511776,10.634661578210943,5.925296176411422,5.269945869087569,7.130956260254301,7.342416061125472
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.611971356322007,7.79194478234624,5.862454942718656,4.955826016511816,6.633128414383339,7.669787682831341,6.537889872868803,5.587538172040724,7.30998509158067,7.053733612373522,6.5795838900995305,7.034902350429456,8.56007171147711,9.012141550057223,9.12555936969739,8.944866022982811,8.29377497058383,10.209964144644166,11.23707197223984,11.172056421742083,12.161745447069647,10.586023100075987,9.932846297132635,11.545814836165551,6.651130219526384,6.002495612536954,7.7738465972208965,7.935365038662928
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2525515417499962,1.348114265162693,2.0398154211952852,2.4789791297870143,2.5561531819381567,3.5321404410986523,3.927163186879782,4.433877058796514,3.7297582357248467,3.1741138715268717,4.713882148914777,4.276822625824776,5.009321543158862,4.992526423555394,3.555445596158388,2.5499851735949917,4.403793309220387,5.711075728163063,6.126059651567345,6.4282885813600785,4.266719095952419,3.438497145769209,5.146693715642071,3.545537251467604,3.838788612562071,4.616220678560056,5.339326989466661
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.271781362013291,3.1698156765805336,2.8333080128746375,2.4185975052760234,3.7947763893190753,4.468576704158136,4.549698706993051,3.719801701751984,3.2770079629954436,4.782528178965364,3.791696590094515,4.484482669358474,4.499715791417098,2.7259118846050274,1.7162735865330976,3.3311091078570865,4.6702877445495465,5.203147002725646,5.3198797833813405,3.052034103544136,2.2071286533868615,3.905485377882377,4.049967949590198,4.60716883580382,4.849863559281252,5.665710702557893
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0182787894887642,1.4585897183170813,2.0719346363574425,2.522375502920766,2.7484952048575066,3.429826372462769,3.1692310462751885,2.852137399925627,4.061952805840691,4.051669543970404,4.906478462047622,4.608116363566992,3.7325561063521575,2.9144314935135625,4.763149268064879,5.959673489945088,6.223355598217867,6.738428532972735,4.893091903205364,4.221796413103675,5.86015657619981,2.422860185807258,2.720308407743022,3.605277396246173,4.297922657146325
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1160500235918613,2.944417096705761,2.986195332499927,2.833920085992104,3.8881615730003385,3.780695348931168,3.42019119967769,4.5081750420022715,4.876135462137918,5.691671850385907,5.411565834265178,4.70409766062238,3.9025878417306847,5.7725103176139685,6.951331118458199,7.169838930989514,7.743281884028759,5.903314688880646,5.201961099378244,6.862416881457489,2.5689543390755523,2.425772062736745,3.8886244635268725,4.410207625599438
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0924247710082036,1.5533988733137172,2.1551490423532123,2.1564694418556902,2.640762218924605,2.8673351871434183,3.5314170867988803,3.3627056294398843,4.380464733049353,3.607862432655379,3.262753989952563,2.7763325578027804,4.249102154294577,5.2741516083936615,5.457762166084286,6.031754222435558,4.587728702104551,4.155791355576486,5.585027221280185,1.5326185720349237,2.4345724571681995,2.3732869206163887,3.2194471448933517
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.187560935024373,3.067789578891686,2.524530387870224,2.904162529445306,3.1917756586085453,3.911614315463251,3.095171443787745,4.1549142724779085,3.265821652249746,2.635400039769506,2.2157439463916293,3.3855033900356224,4.438049231097384,4.761166624667397,5.110354419315628,3.6103493634205535,3.236080488715179,4.588111499496157,2.130707188400494,3.142804528902729,2.5517861052211153,3.464238289872388
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097182095679104,1.0963191969269344,1.5401746284874032,2.183646414574977,2.139414092586583,2.6202070752363036,3.5234780165638107,2.7944148845403296,3.2147127496237506,3.0915024293924307,4.381489533066358,5.146594473871011,5.036072703686416,6.021059588476708,5.1264190005958525,4.927262743074091,6.122424266297702,2.517604832534041,3.416393429864404,2.954567784879984,3.8021421519981984
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7580432844858866,2.1463523915531004,2.5419207700385957,2.352221765541195,3.5143022256886045,4.265965364690666,3.7338003686220325,4.205888242354303,3.9897572511311368,5.427008933836482,6.1957208736006315,6.029064642220943,7.091992590995556,6.151329069894395,5.876736046155759,7.154218728976704,2.7335047670065284,3.30823124890806,3.3491901182912884,4.015134336752498
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1692321634717473,3.0828653677614444,2.523268535849874,2.8111513263588175,3.7370882456004115,2.539380303917643,3.5496736005894682,3.6739566596254827,4.531385445972295,5.079334104794043,4.890546273095816,5.881382529732042,5.358045289628158,5.315971255801121,6.311946259460186,2.6619141249324625,3.6960365762732144,2.5644877852492525,3.3854080317090935
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0977827304116896,1.095829919560094,1.538081676167186,2.1596258524528924,2.176926216759201,2.4710817179289166,2.5602451179842896,3.750459200885006,4.413811778619975,4.167419681270594,5.390244849412104,4.714194964115267,4.6461339357262625,5.6561684739639,3.945767301119168,4.827028831031266,4.363837720115614,5.267950562264915
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7490133334242595,2.1652007103782296,2.5428502087494866,3.0752771029459813,2.653211158566669,2.415408687663893,3.9693902927306386,4.8107019739118435,4.676964591763028,5.79357165699474,4.764130432845659,4.533265129811865,5.692262742773539,4.28718305617085,4.99511583567856,4.971724385624877,5.858435424922855
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.126969906179083,2.344886460249818,2.5512505328494313,3.3728240062134947,3.5972648566002206,4.5829963956892,5.028045321083436,4.58038251918257,6.012684545533977,5.664163105398462,5.677441074050038,6.565035353470142,4.654154874575273,5.476978440025148,4.984621256948365,5.822151612473936
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0984390773154336,1.098789767236753,1.4658702823362537,2.1594857784413137,2.50085302687937,2.9259984591991834,2.630670696737225,3.9141414477421814,3.693420033616021,3.9258320290092112,4.53448322662141,4.685940107074451,5.737187261869857,4.815891630271689,5.778260114446081
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7776026467956938,2.105235884461904,2.8400277783174017,2.902594730409988,3.031816530267782,2.5087112960888445,4.022445479681016,4.163903887852837,4.49672812844381,4.869041935249326,5.737631865973882,6.751434857228311,5.8908076830488145,6.84514087232798
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1058294331154688,2.910447411885455,2.7627099415292333,2.8492598402066127,2.4233649070538448,3.72755188862282,3.990233203237264,4.370129719840225,4.776893961462714,4.680321832249817,5.822912147657797,4.5003073236231135,5.425035921356965
35N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0342526995107362,1.3265295477300383,2.334119846670924,2.5794384720021797,3.242380578623657,2.299072928140684,2.469460064393528,3.198131336140335,4.647904952324505,5.66516240872211,4.874905547665491,5.847615834965215
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9892712404154893,3.224236009938184,3.5896624659559677,4.0410471463461,2.4097098825770518,2.1326502062167196,3.373588046194845,4.221814026422898,5.105289635026902,4.702036659308217,5.648620809984807
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3445271555942917,2.055749965989726,2.0577235126923608,1.3487217715582889,2.03185083258951,2.0549938534210286,5.477793762373751,6.527464541042021,5.514953371621632,6.452096059934011
38N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0091185568294494,1.0099083527530424,2.3286211688715075,3.2346560813872958,2.575263678127116,6.418703506732108,7.543034746647138,6.240010619030843,7.1553536563619895
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7253807209061656,3.2492508207655555,4.073677462597979,3.5666492007648056,6.614526009561542,7.766020836422018,6.392953211119424,7.313545435782794
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.560620946382021,3.5669596028762403,2.444273953703103,7.071444450212388,8.196300890732871,6.790923653715021,7.6584945864602485
41N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0163721223743183,1.0103542747789018,5.698566449118321,6.636440092270686,5.812452250354667,6.684640950821428
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7327497497314397,5.259140849901657,6.07320774768581,5.570394071265973,6.415822400480306
43H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.647397698572123,7.572505345072659,6.701407435332646,7.543224846530923
44C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2087774701666227,1.3463983663577201,1.885441319493902
45O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.259790736409315,2.319895851431196
46O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9777432371933507
47H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
