 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,H30,H31,C32,H33,H34,N35,H36,C37,N38,H39,H40,N41,H42,H43,C44,O45,O46,H47
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027989713035254438,0.0016588574557470093,0.12595601372752108,0.00845241761719584,0.0038119851204663213,0.000512180575668264,0.026689613172688587,0.001170722834273441,0.0005172463025826524,0.00018595771127616345,0.0001429014970208975,0.00013606541903032898,2.2987342760627527e-05,1.575295946798505e-06,1.103719426320815e-05,5.4085836254103015e-08,1.8888595345600834e-06,1.3509944418732545e-06,1.1263967283348109e-06,8.537811613251733e-08,8.063719003637004e-07,5.9309957167741345e-08,2.012244375571015e-07,6.5308611068015665e-06,5.379100015412419e-06,7.098220307089065e-07,2.198649649010065e-07,6.973872146431859e-09,6.479377656631868e-08,1.4100011291873216e-07,6.88078538590986e-08,8.238744131361386e-09,5.519819466393017e-06,1.9445676779583643e-05,9.741346843616938e-07,1.6548802683757913e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1074790686294786,0.30790901968955287,0.0035001889154493426,3.771977207827508,0.12823139973191755,0.33571054986768084,0.02736503859103978,0.0037949708982907837,0.0010626997428415247,0.022843317913775918,0.07257497108007438,0.0023521579934364656,0.0005106157720604632,0.00017169583236092967,9.95654713981109e-05,2.32654068053062e-05,2.1963785261910895e-05,1.2654505741060973e-06,2.979445909878642e-06,6.634797578064511e-06,7.336224856491214e-07,2.464042800909283e-07,1.7121256565347243e-05,1.1366507944643445e-05,5.724033005194418e-06,1.5573875856295105e-06,1.1906762176217e-07,2.0043160642302382e-07,9.258230861911021e-06,1.7779493968306248e-05,5.329057517489133e-07,0.0020755367511462175,0.011529984087809156,0.0007160249991431528,5.412331094856171e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038034838504019675,0.00048246149772901425,0.12763852119913288,0.008248190928647148,0.026323729124750672,0.0011697451537961978,0.00019140417158847178,6.008913898170043e-05,0.0014923312325001437,0.0052867348544856085,0.0001702422803231407,2.754273082716807e-05,2.3451797534823626e-05,3.7019673375660034e-06,2.728065747303887e-06,2.700630582053165e-06,3.4112219204907035e-07,4.2817799195127293e-07,2.8956263453672193e-07,1.1597358184900486e-08,3.723852537440564e-08,6.234436652485797e-07,1.3264712839244908e-07,2.7140672553827017e-07,8.224140279899927e-08,4.704931111376709e-09,7.851568506467288e-09,4.200809695653618e-07,1.0342660134998738e-06,1.7291230003380065e-08,0.0020903316855485077,0.01651477696985948,0.0007790894128040238,2.4899655208132643e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1285818447791653,0.33811853952067883,0.027405579681654357,3.680712370563145,0.12773663754118614,0.0009015744032365991,0.00036179067414175703,0.003278458488221836,0.00629667362118469,0.00032831827608834074,9.103683430200515e-05,2.4293870006103502e-05,7.75358561555528e-06,3.7732193916006906e-06,4.9496658566239304e-06,4.5084113113880164e-06,8.264186857065425e-08,1.9559196186014205e-06,8.277963980951597e-08,1.8730792605836655e-07,9.926456666101147e-06,5.9096668716396294e-06,1.9283148479098955e-06,4.942846112687693e-07,5.696920291065055e-08,1.318196856114895e-07,1.8957715139239495e-06,4.425872188296154e-06,8.669668438709976e-08,0.0001930039756160573,0.0005170070597431686,6.173486243492288e-05,1.2445901762747624e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027107948290221895,0.0013382572572748774,0.12682151551398202,0.008019536503714564,5.537667852939521e-06,9.143983380477394e-07,4.01662547444559e-06,1.4001445712175098e-05,1.5889543221181412e-06,2.7494276189088396e-08,1.5154148669260792e-07,2.2828479107062094e-09,5.010035097896548e-08,1.1516737119521281e-08,1.5061128788573797e-08,5.908760147832481e-10,5.028098160053673e-09,1.456148979173122e-09,1.5086820681631252e-10,3.751639710003474e-08,6.375594829854947e-08,4.59280813380758e-09,1.3432948087199748e-09,7.613931707339816e-11,4.881022253044875e-10,1.8382332322985917e-09,1.6956023252134855e-09,9.436651460248413e-11,8.427189726045725e-07,2.8754645986506233e-06,1.534911518996651e-07,3.015371952130863e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8523327090817636,3.9971587781372584,0.12961328975149078,0.0009728237730156908,0.0003128644810740794,0.004927571658969412,0.007514984874383734,0.0004616637013646896,0.00014859907466624467,8.124975006379431e-05,0.00011144830172682418,7.605974448710029e-06,6.272598600240431e-06,2.0329593992673978e-06,3.7314209166972034e-07,2.130001368338963e-06,2.5153273142120014e-07,2.1609354572404982e-07,5.3482610983118795e-06,3.2087376558020964e-06,1.673585409228684e-06,4.519286706389236e-07,4.841226552976252e-08,8.659904826568976e-08,2.5844967257993012e-06,5.83436901646639e-06,1.1216928530455306e-07,0.00042974880986532127,0.001551004613091586,0.0001424656966191179,2.4859017092593305e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12714612208125353,0.008092174845394373,6.609784861666412e-06,3.1035296533810097e-06,1.072754037023671e-05,8.233894733589153e-05,2.0576377368630716e-06,3.675297857164139e-07,8.196675984617485e-07,6.909201857308034e-07,2.6704084721274057e-08,5.274956893508431e-08,2.84873391542817e-09,2.4330915282533283e-08,1.4894198541171022e-08,3.312849994330236e-10,1.0082203960593006e-09,1.0880951806235828e-08,1.828957429950151e-09,4.637513262295556e-09,1.2436710550289831e-09,1.459545817539265e-10,2.1641199943189804e-10,1.492732226715532e-08,1.659641624129904e-08,2.689674039046963e-09,1.527361634412472e-05,5.734836427040424e-05,5.445067990272889e-06,4.3456026643795553e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9632686491154505,0.0008829837359649872,0.00029904159306644307,0.003444454168351041,0.004529869672840303,0.0005560936394818361,0.00010997612316920868,4.8972030504634834e-05,5.895236773911794e-05,3.0650832054668342e-06,2.737297052760046e-06,6.532034100281692e-07,2.4375284402022857e-07,1.7120532926351295e-06,4.830561793900401e-07,2.285224718345802e-07,5.010101350358398e-06,4.659054510081084e-06,1.5055338988545497e-06,3.701106884301808e-07,3.330982123461723e-08,8.146914776130387e-08,3.9474815020368315e-06,7.076098645475426e-06,3.277516322786056e-07,8.379859410101442e-05,0.00020532335151147996,2.677458519186049e-05,5.256527742636408e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7998030090504713e-05,2.363050444542658e-06,8.949732635432639e-06,2.4181808020440343e-06,1.3460513890173331e-06,5.535638614162508e-09,7.084771476151275e-07,2.3173951202437593e-08,1.1980188241444978e-07,1.1764924323642845e-07,1.1239130182083557e-07,1.257306037061312e-09,2.520374997594388e-08,1.2433436502590212e-09,7.0653667361142425e-09,1.558415363422938e-07,2.0333304173725253e-07,1.9436498632785515e-08,6.270586716539128e-09,1.4491208233380348e-10,1.5229537631000767e-09,7.985766603546551e-09,1.0768973712771412e-08,3.591602570907071e-10,4.943759063458231e-06,1.833053920075045e-05,1.3708422300640066e-06,3.0258694549978316e-07
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.651583477564176,3.6116936167685116,0.1477189708168366,0.28004470417487043,0.022931513289931704,0.0372300755297551,0.0007657204507531823,0.004339839925316058,0.005029623778998821,0.004955954947125418,0.0003208907764047364,0.0026836512815777425,0.00015548731925218995,0.0004600242493320028,0.02052066893759988,0.03993459026305646,0.0030516524978707604,0.0008658736235049036,4.6770328478884515e-05,0.00015766953021634222,0.004466815314725911,0.010628893236220738,0.00023074896927099964,0.03259047726046213,0.004997319008739204,0.006124845690253691,0.0015222186703918172
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5236849141092833,0.02431096516378528,0.06109086340598062,0.035961987106349125,0.00994307219817453,0.0008248431138633272,0.0014019170701049521,0.003092949701870795,0.0007621423331748423,0.0003630705773957077,0.010361269993949998,0.0006921598146930608,0.0011744237965476412,0.11827536761440942,0.3030379525093584,0.013401730990007743,0.0033175319689885893,0.00014801069735270733,0.0006615112113486088,0.028020076632492355,0.09734546136953481,0.000976759842430508,0.009878877851859535,0.003222939624657639,0.0014656176970103407,0.00034951008302808173
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79186911034469,2.7829185386443345,0.09602527612617096,0.17303728861045692,0.00776726856048271,0.025822317561152497,0.016600875522361697,0.008607672429941537,0.0011302528946930401,0.0017384556957200092,8.186620766992281e-05,0.00027332493044007755,0.004031557945410366,0.003419337740318995,0.0007333785139888305,0.000266672929630854,1.7271622809400533e-05,2.901500741281371e-05,0.0007834072648895823,0.002676409547346492,2.368334472213629e-05,0.18551135134564514,0.04464641915163216,0.026984740073284386,0.005086687428920711
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09618676233091239,0.02570249117605905,0.004104009217141713,0.0017408344804652476,5.670570949312115e-05,0.00019495946081304893,3.644095997157315e-05,1.1893801974416363e-06,7.590329466133916e-05,8.956457960174191e-06,1.6735697486947032e-05,0.00031863797937625726,0.00025123581987474,0.0001190281803843396,3.5016031946999426e-05,1.301862371239082e-06,1.916135036417188e-06,8.227981248498661e-05,0.00020152894712777147,2.8084311325393685e-06,0.019050821471511714,0.037413735115642055,0.0028428458263306533,7.272917667511258e-05
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0217131356416256,2.552922519105862,0.08669235875315073,0.0939510978228657,0.1541952657205296,0.008221606275813587,0.027078395470138905,0.009443865549385921,0.0015337701344986243,0.0004867716901575392,0.014440379364333275,0.008635164373367199,0.0031663223425963394,0.0012206298014460631,2.489081298406859e-05,5.549565232398912e-05,0.0006927310736487557,0.00020487421379711268,5.045428392558282e-05,2.3442103723955543,0.27867739925158175,0.21662401033926687,0.053175054150093715
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07792536079491819,0.03193602201903478,0.003625110682911936,0.006824119009188778,9.916770694262667e-05,0.0004206194193498991,0.0013546906497114986,0.00028471172440269754,3.914108843039443e-05,0.018689437403293763,0.008805282754953625,0.002639638307967873,0.0016903552230685959,4.920098100491543e-06,1.1005362674287866e-05,0.00027523937618234573,0.00016680664320811722,8.487060418671533e-06,0.10846202989739351,0.02730409051585969,0.011461534982029953,0.0007578829458241287
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08063063804962,1.9960579006156363,2.529747491192617,0.08178954850280418,0.09966632488967786,0.15301001017516966,0.02560450287758531,0.012503728405599324,0.010338117608924072,0.0007502788058280085,0.0013980870120783584,0.0005431667004815177,0.0005844801332197669,3.416362045227661e-05,0.0003876784005224787,0.00010144119700405962,4.075123649738277e-05,0.19898283786620222,0.04184908860333254,0.03339897763166508,0.0021770110576907475
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025258891465859135,0.09683041083622956,0.0027906014248471056,0.00798870643064209,0.027289374710940617,0.0008992034597836707,0.0006745113144219772,0.001684625500485093,0.00012472607602820318,0.0003530718485547091,0.00010866912721707589,0.00012298038778180143,5.61674371990506e-06,4.8586111182191694e-05,7.723373125489985e-06,7.929970221587368e-06,0.010540322692145221,0.001994354502807938,0.0009845611316104952,0.00019348195561064152
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0816218139934497,0.032934511533488475,0.003115875349736008,0.010781396024624579,0.0005324886523034866,0.0055635092712100764,0.0007253288045347972,5.168373765140899e-05,0.00016628802494067507,5.0675340113714995e-05,1.9721235211767052e-05,1.7568846699678176e-06,4.4786181286338156e-05,1.2095274661394484e-05,6.431947670026972e-07,0.011906848223072197,0.002131942588629143,0.017279523188635126,0.000318224275745127
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.058155385008522,1.6622552377748845,2.794696359151268,0.08898284131282463,0.07909250571842885,0.18507171888004217,0.018564992095224442,0.028055744337124155,0.005363834223531511,0.0028309025258361764,0.00021394320197931638,0.004438220969693374,0.0001435736418319289,0.0005801135224609011,0.03189707192517119,0.008029881927775595,0.005575135960354569,0.00042824506921135264
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025278806308206114,0.08289137737947061,0.002916028573678897,0.03271132947926425,0.011448382488333797,0.005352138074799617,0.0009523724682443113,0.0006712268382453868,0.0006319761414741443,7.550099482078743e-05,0.0003068452862443616,4.460347100332385e-06,2.199687934001382e-05,0.0009187101435856881,0.00020644174043682462,0.0004462983576696278,0.00014713204955429937
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1103505621825327,0.007501846397209633,0.002170141514064472,0.02748627738350573,0.0008051891833040781,0.004036530268334948,0.0002320223380659625,7.066424305834929e-05,2.704777937756475e-05,0.001003317307032403,3.946632842866116e-05,0.00014003019182906584,0.0034739367269562837,0.0012647611307413653,0.00027933741385610666,3.8791568653495645e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9266358376629258,2.0165774690920006,2.5506678499076187,0.09034557589127912,0.2754063645896761,0.03629122832121237,0.018522696662143123,0.0018115623819370263,0.0472070168578954,0.0015519619217555514,0.004357964802025438,0.001654986174117884,0.0006671353064283125,0.0003261498717660738,2.590378612865596e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02294952060220079,0.10173939800488407,0.005895066609898247,0.026239461421674992,0.00971759738976763,0.004385868443809393,0.00012865738754275213,0.007044305731455314,9.749581534923557e-05,0.0007428185779423391,0.0004282311635663838,0.00013565023266504106,5.837870227642927e-05,5.6876332925615e-06
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0927629349047514,0.012558492141857114,0.02294719837883541,0.013427104066094708,0.005909146828040335,0.00021186171105447293,0.004890013094169698,0.00010829425932423753,0.00011374813752129675,9.397618165052357e-05,3.5612583979660606e-05,6.24034384216765e-05,1.4965372867603577e-06
N35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6316585394807421,3.8569203337843407,0.37934163617749683,0.00831025786050743,0.027504013451252307,0.39468212587600326,0.011884159631592506,0.030804877585068224,0.0018857721483634682,0.000834567505292344,0.00022246358764839436,4.0523750404197756e-05
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15682395770253887,0.02316495691694087,0.0012415719202512054,0.0017898236536666445,0.014298924227574172,0.012045710776523944,0.00133028935606605,0.0006806748542134144,0.0005688793004045012,0.00023335819496672627,2.0395038259124476e-05
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6234478943044572,0.1476583839560689,0.1480035710641776,3.3417434733217357,0.14945034151200232,0.14736048503290067,0.00047327139999875367,0.00021319149458468023,4.921186739657857e-05,1.0973806584546608e-05
