,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31C,32H,33H,34C,35H,36H,37C,38H,39H,40N,41H,42H,43H,44C,45O,46O,47H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1757082356047865,2.5249212632309086,3.0855105614294858,2.746325643384466,3.1440045758161475,2.573552467997604,4.169252468946619,4.362523884602855,4.698905943443924,4.810992979521672,4.122922118855769,4.651869792910353,5.079279172760448,5.0156531400769016,6.392035595814295,6.412798669914955,7.354556523991505,8.263045809952846,7.0145089234409115,7.897794193905045,7.1902504633298685,8.407990062721346,9.059673383807294,9.80306912885885,8.797848473110875,9.853529378558875,9.382112757441213,10.308725657308317,11.109252641838362,11.699751255895318,10.952380552116452,11.731678568065083,7.181616122741962,6.944868704568941,8.419752267054493,8.944208064887802
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099363479228271,1.099583530952277,1.5251331244758632,2.1913139160511808,2.1877850864037005,2.52226739783703,2.751917387615062,2.755919371802294,3.426403108592,5.057160144985161,5.558771236183599,5.8110488467660675,5.65076595500284,6.904664867495802,6.697103231604398,8.14480765244291,8.891143414983029,7.947077752349991,8.910349585258517,8.377421119989956,9.271840929849953,10.21299508337468,10.807483400263669,10.071733816352372,11.137417479397058,10.811098301554274,11.474149450532597,12.467118705002115,12.942655960011084,12.402226582024992,13.148328205525356,7.4439107327428875,7.140921336670433,8.569675263792435,8.9723066268578
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770804043658978,2.158518672465845,3.087241789852992,2.5265176411035477,2.7450063398780533,2.546746035764456,3.069366250692668,3.6941986428064735,5.117058581304562,5.376529554469038,6.025581567768507,6.042728763934105,7.012297594496056,6.66129855229006,8.181215508717948,8.869913098225137,7.874632483961434,9.082978637205223,8.61761158236314,9.530106986474346,10.310306897285578,10.853802643584435,10.08483800867672,11.336973800761319,11.060142735635344,11.742653852317375,12.601221285131743,13.038007236650555,12.472075501164774,13.337434532012164,7.700555630046127,7.562038384476505,8.750399341576491,9.230856140661757
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161210696889834,2.5258471154874695,3.087218437142136,2.7599002583597474,3.0847791145976537,2.567318184671913,3.708113710023509,5.234310421921992,5.806584981629097,5.778847909686662,5.528839524840047,6.750703775955968,6.503753804148165,8.11179513731163,8.782092967307804,8.041060435062418,8.917402994797737,8.467175119420745,9.167404657730085,10.29459294573408,10.820249138525883,10.255865363371573,11.239912770786077,10.985922688794664,11.486676941572785,12.61669425252144,13.036191121689223,12.630315594182168,13.306578470329455,7.0969287608809015,6.729768468514364,8.161797972927952,8.47428454658976
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093048136388672,1.092983957237331,1.5332702852344426,2.131452296924161,2.1326907348476216,2.143030718981372,6.367994874080016,6.907843743106453,7.120471982717746,6.874008780248924,8.301002086078617,8.1672472124374,9.514882304092007,10.312075701919499,9.306153884513822,10.1701379180377,9.545691108581485,10.522611366361847,11.462987035379195,12.123589871272676,11.305413977559825,12.29073213417474,11.872480223554184,12.628292731003999,13.623148654127718,14.162473586058034,13.542801447975512,14.249215328232593,8.795855971544023,8.386130978814204,9.964587840616508,10.323473648744756
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7786605509775275,2.110609604121549,2.9805959716035866,2.438571522304454,2.4197041192571205,6.666950809238723,7.365482197801501,7.263521521188248,6.871306540598025,8.491410266313446,8.47175058990829,9.740533974309532,10.568963896695088,9.626936977703014,10.268775695754394,9.597514963330255,10.535745041918307,11.608702413775656,12.30376273836246,11.528190711907813,12.333698588925126,11.875256860335844,12.60163249375944,13.711554172652685,14.280120262225468,13.691196595182884,14.280628646266127,8.8409938817673,8.290993501624,10.046472683952011,10.32553999998479
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106574091749883,2.437139271858463,2.981398204864662,2.4192254838438156,6.558874621394697,7.015222881180501,7.446397221814397,7.277082652314887,8.687580640401888,8.581762587081066,9.783098053138596,10.628008871909186,9.471960451842856,10.395917928093194,9.712266054594117,10.837067834240205,11.6045305272305,12.316299657938863,11.35726639810034,12.403142657621558,11.923834672600337,12.817296052679445,13.67759348672216,14.26290812257498,13.524907642504948,14.289232369265015,9.321389242698054,8.969313839532079,10.520181653847558,10.946118378603392
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0283373732098424,1.0282439572615256,1.0284924361419505,7.5744440217157605,8.013708277510442,8.317593725481549,8.095675797895307,9.383104552790673,9.122332310252144,10.654606483851941,11.37116436534719,10.449875404537707,11.424106991111586,10.872666198744403,11.754415767666284,12.732863942598565,13.328114029417199,12.578585222511624,13.63357330846036,13.270066580010749,13.956542307574379,14.966527680933153,15.458844295298546,14.887906837915745,15.62800077746895,9.825771158817311,9.438426750721037,10.910457418152848,11.233363226196358
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65473164494519,1.6593243039308183,7.632875345691941,7.917566168313214,8.48063869378494,8.377090684352911,9.479941546030883,9.120545380868682,10.703163308298567,11.378629247499612,10.420549888363219,11.572505074414401,11.06791639423929,11.968129492796782,12.827950127122962,13.385834472180267,12.609915879045458,13.807933218996714,13.481140085983846,14.18548109513102,15.092620513884306,15.555639792400603,14.963416733568675,15.798235047129154,10.031408563730402,9.761830373179802,11.066646308975498,11.450136402662014
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6594462155656995,7.720984541537711,8.209559003387346,8.333285132829694,8.053519759515748,9.314533870812156,9.025674866437162,10.668436314040308,11.32873571462556,10.553289037129238,11.467943685517838,10.975973744507877,11.716670859344607,12.8329979635745,13.376594717210898,12.754924399677856,13.751528923918375,13.442808459433998,14.006149039974751,15.122845238984771,15.571877436030476,15.105028502825814,15.792604320087035,9.619697518177668,9.188407295915296,10.650573912812682,10.90194546725388
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.448281846987996,8.913131049554503,9.193594713337177,8.933285119734164,10.308845187284374,10.091020324336105,11.566130878748496,12.313816147051217,11.355268319886349,12.276428506223859,11.676415268527622,12.6040376374046,13.579838481372633,14.212384576979224,13.416841965404977,14.427813545993546,14.01471215463366,14.751964158980533,15.76152753837021,16.28956943453206,15.674444386738513,16.392024223801762,10.736442668611936,10.298268616081543,11.84838727601292,12.15262423076394
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2279652954023375,1.3662069521744977,2.0725281324244813,2.4581079977491758,2.6298204149604474,3.2441600372521906,4.149499781471451,2.9645237806002624,4.010594669482788,3.594781949746042,4.618192518533767,5.19572526113324,5.794115744188549,5.03703300330119,6.251701283164887,6.083541816673368,6.703020225913259,7.511730986344564,7.926932358191323,7.44914275010362,8.279020443791428,3.6638594069039105,3.9654167190946827,4.771900007821438,5.5151813072338545
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2751725369664424,3.1733939083804428,2.797839320377571,2.631028155505169,3.2196259106490777,3.9756925988638114,2.595703674425995,4.243571049536977,4.0132170984378455,5.016024927779478,5.174395437232053,5.663971242686289,4.821930678757455,6.396377677148597,6.325723290015878,6.974123876466523,7.4901404299428345,7.833527978570712,7.304386480186284,8.340107810301651,4.2330825220265025,4.803797526350964,5.109367188360225,5.965161727474428
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0152477074949202,1.4575478845063803,2.090417060251634,2.522990976505069,3.42685589499742,2.728446966041946,3.140043296666615,2.8304554757378266,3.505560189321662,4.545920988031344,5.093939891734251,4.674038096662808,5.5361248715949785,5.464621104456682,5.801352983152022,6.915202957243983,7.277539016755247,7.032669473701167,7.650044368290975,2.400043872265421,2.664935658430388,3.6044847947192746,4.28258874614029
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0967838190153234,2.8008940751910414,3.258522846124373,4.119235625927235,3.6435457516570118,3.5777092147051786,3.1580084115693174,3.6923059852885545,5.072508877128191,5.656372901581317,5.3388923128763945,5.86722493216794,5.723676817332172,5.989568685442418,7.329430399288512,7.730021016028608,7.542499022986298,7.97455542600931,2.392721290593424,2.162675386889973,3.727247328545302,4.203739162152843
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0988219852577203,1.5472177644363783,2.148295483996038,2.133723866697265,2.5984827097610546,2.8398470045686763,2.849221529981944,3.9485094394227938,4.208931584286594,4.224520820026495,5.133376316253503,5.353134976301352,5.315439334846489,6.438318271896011,6.60527200598647,6.6347994288602665,7.255381726672708,1.5265960592148315,2.4256700497905053,2.379056050609235,3.2218345668727704
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1317146861704113,2.3789565204244685,2.413643493401606,3.497371243218146,3.8275565745103415,3.8038476387326376,4.668083486611996,4.772492399635581,4.817316147312421,5.987516658011371,6.275524048129919,6.2192058645998545,7.184749197165239,7.265043540536734,7.310804503709751,8.063802474919292,2.1328714488205263,3.08520176409949,2.648146965888568,3.517322033185598
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09612933564791,1.0948729387803835,1.5357736034625975,2.1684381478018424,2.173416238568031,2.5372023966006294,2.751236756762134,2.7682283095201643,3.8957165725161103,4.263894535552421,4.235082881860181,5.054790826272174,5.174795342510792,5.197454875428318,5.942702643370693,2.560751905153274,3.551382582849143,2.8967351481230965,3.807829022099894
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7667695915403046,2.168216163422101,3.074155227585036,2.5208974470824868,2.7646465677541188,2.522988242749566,3.0974302216214125,4.178221740288828,4.779784478781937,4.414547903252427,5.1585983242804545,5.0580667210207455,5.358091545161669,6.088847509641419,2.8055428429773714,3.951160969374531,2.6091214945194725,3.532162973844256
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1746262063616486,2.521001169532357,3.082202648759054,2.782995173649693,3.0962669474466598,2.562183241565282,4.204686104301966,4.461940612532432,4.778179104455485,5.2007532467837265,5.38324819492808,5.124809629309599,6.131768566856143,3.469563497865201,4.412537465914548,3.8846258783943086,4.827144179089368
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973878996228972,1.0987491830009712,1.541606249268632,2.167300478452298,2.171289736439954,2.535942001677464,2.843491671335555,2.817517233472661,3.8946576457106854,4.176040755916404,4.193760738654075,4.666439455820054,3.105831539217776,3.7730897758872683,3.4895995058281977,4.186515501135941
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7659671242330368,2.1745690423302917,3.0760057634094897,2.5191040045322044,2.776689644340343,2.641549904233394,3.15310786986562,4.204669229087514,4.712475818624732,4.412193724529953,4.856936359020349,3.4437892045171914,3.8414048015449356,4.158293888940658,4.803749399705564
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164609042653697,2.511160781170604,3.072188895607849,2.749337745095199,3.1592186215455826,2.581945537452253,4.164234622534605,4.349373853972694,4.692161373058123,4.813745446076442,2.770385526474776,3.2962432270421753,3.0001774648013546,3.498054162079022
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099298814464358,1.0990302493564146,1.5254739439828118,2.1921629494981665,2.1902898164430735,2.5180849644129246,2.7484650848285725,2.750103623253381,3.4235952688061344,4.5218017912715025,5.263931515051868,4.62423359627602,5.310890974356701
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7694009103442354,2.158252294263333,3.0871320993077584,2.5321916337509336,2.734037039722749,2.5352590020082664,3.0534831119965262,3.685843623520628,4.655623020608867,5.534602209548921,4.439983212494968,5.109008232011389
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161214220374124,2.5229873141546637,3.088708240679502,2.759078988221988,3.0876077985027863,2.564515346568294,3.7064983815494994,5.103342070944701,5.890723173384648,5.310073980021016,6.093994419581452
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0930060235192238,1.0930845570883616,1.5327045691437933,2.131638978039898,2.132893447344189,2.1428772788757895,5.4687758891151645,5.978908572121288,5.609116403439073,6.124499192388473
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7787467789240747,2.110937715814198,2.9813160383692607,2.4404997021430543,2.4199975493824253,5.764509580941516,6.1237800299989615,6.1345471993836105,6.648517931071759
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.109794655789002,2.436169199246828,2.981311625545718,2.4192545356975805,5.339265745815365,5.744541619069257,5.368750527904252,5.725820065280277
40N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0285680303731695,1.0284578658085886,1.028606145316102,6.847442879888968,7.444556007744924,6.837260013528135,7.3632732384215736
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6544021756831404,1.6591772815667825,6.940934409105346,7.633507081363142,6.731516731782827,7.235108210624095
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6595506923415355,7.2521065203307495,7.905179290128039,7.3161080046071305,7.936666926251314
43H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.565220192983212,8.053359510465654,7.581405627182162,8.02803038118133
44C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.212835989617235,1.3434472334877705,1.8843849452432162
45O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257499013201778,2.3165935331755523
46O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9777746375368419
47H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
