,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22H,23S,24C,25H,26H,27H,28C,29O,30O,31H
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1787937770727877,2.531952572324082,3.0768106205627173,2.782889229579437,3.151441441466325,2.5677981464775637,4.47539172364165,5.440242277111502,6.4414058254127236,5.589931801483497,5.296063565395933,2.135348980540551,3.2143787441023814,2.481623945405766,3.4144985845577955
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966240606492141,1.0985872870236189,1.5320029992136632,2.1809244099150984,2.170008644464293,2.7524982193386958,4.186411713216545,5.037151049360968,4.417896992174066,4.433117446307961,2.5471121375182637,3.3307375692971712,3.1711640711198106,3.980344539921483
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7666982698160583,2.158212556506228,3.076196586674043,2.516852614875323,2.890513573712905,4.4748398394850275,5.208587817178619,4.940647350298087,4.634394998356735,3.462652308424609,4.216978389779697,4.130849816187179,4.992703111295107
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.165401265031434,2.5170359016296318,3.0757146029875937,2.9321262190770425,4.486570328116322,5.228012368333616,4.61172838819337,4.965591313060886,2.74819174460465,3.156959791457192,3.5640153531813255,4.1867315051159295
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0940937161272501,1.0965507725411383,1.837461533813792,2.794998131603363,3.7621307881729056,2.9858303707715645,2.9897895618244594,3.161077803243479,4.109980443496563,3.143816679347755,3.9235805073245316
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7707566312833936,2.4265197869849207,2.91764527713479,3.932319351030286,2.6894219517820765,3.220351926902303,2.884702826051418,3.75051884587967,2.5863485775150736,3.184926468544658
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.430476367746952,2.954375834598058,3.9643179635071912,3.2647742170784255,2.731035821835009,3.5298209307762396,4.641771947910072,3.2779515954261966,4.146716051645296
23S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.826587296098954,2.386242628275621,2.446624304704441,2.446486717114792,4.836906681446279,5.608134068197351,4.896137886225064,5.572419137863198
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0934063385313129,1.094717648882597,1.0946846175457328,5.765032592001497,6.623361942568534,5.39562188687717,5.958573726818112
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.778987578231435,1.778865324076977,6.76624786463945,7.56829517788835,6.4562804585087985,6.994282724219476
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7904154038157574,5.556829199868938,6.336381663019632,5.044843091429645,5.453097285490782
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.937248463298637,6.92673469496054,5.440719092893867,6.07442679842611
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2122340252336643,1.3494026520940439,1.878114534439846
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.250772474690869,2.287251045092425
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9772568401425418
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
