 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,C21,H22,C23,H24,C25,H26,C27,H28,C29,O30,H31,C32,O33,O34,H35
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.816616767060628,3.485884595620659,0.1383601252286033,0.27087546124862943,0.02515663091976328,0.03417571000457029,0.003025575861105745,0.005826454618685695,0.002609127869613259,0.000585383289889746,3.2335991421161836e-05,0.0028497517167798136,0.0019833974687915035,0.00035208400747863133,6.502127573915217e-06,0.0006141216415883055,1.2006122267038677e-05,0.00020749618528131952,5.2227374640084756e-05,2.0184747224760713e-06,0.029844401677319166,0.006506622116701333,0.00572342820802868,0.0012090941038128689
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5450612569269502,0.02434493107457203,0.06835777835423325,0.0351021601514262,0.019191216088089436,0.0010545448920049605,0.015601340804524355,0.002181973814375751,0.0004962473023983199,2.0556516516001544e-05,0.0017012328004960275,0.00016927403355460058,0.0002374488013247994,7.563640725849474e-06,0.0003729204824015758,1.909681091483151e-06,0.0001292841107038284,3.068429102678211e-05,5.103699595165878e-07,0.008880955258285556,0.004087402170827981,0.001279559244367491,0.0002343646796426624
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7639704648898196,2.861247824367887,0.1005575045157806,0.17413641904762445,0.025993233737895638,0.008163036950781688,0.015843431427227272,0.0024324397084110883,0.00014754977022479743,0.01719527925860953,0.005625520330437395,0.001597172013202336,4.561957440696318e-06,0.0023286463226913773,3.88634738237581e-05,0.001014277007622938,0.00028499878094324915,4.64058206628426e-06,0.20413860074323195,0.05640568115214099,0.028092613250576118,0.005330411894334586
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09733566811599403,0.020725720785131685,0.006631846529972618,0.0003932977001031013,0.0001261495476199137,0.0019101317021968933,0.00017543456225688203,5.616573135025504e-06,0.0023054363277261736,0.00019291274385979662,0.00033348479082773164,1.0728049848474086e-07,0.00025082919343677457,1.8934418848370882e-06,0.00016537026908070018,3.349675498609539e-05,2.0303543646349453e-07,0.030540898781618364,0.07187191788814895,0.004854722080289697,0.00015875795075226407
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0394956191238505,2.723529617226185,0.09408176570339921,0.09854168661983875,0.16241381326225368,0.03562874442791633,0.0005473390497692243,0.03725328219653831,0.0007679498811083985,0.004425667464728805,0.00018250216775350658,0.004276831679559778,0.00015619077458017827,0.011922856021500117,0.003153032091322852,2.5119379578830703e-05,2.7711619345467993,0.27604539728324173,0.21487602757265817,0.05323962655672365
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08477555201328724,0.005402252368700733,0.005882675964529405,0.022909047036227648,0.003291760161711177,7.252374449384646e-05,0.004465808934772109,0.00016685783552583544,0.000522881570123479,3.2983877706449505e-05,0.0007412467995447924,2.615294358165876e-05,0.001137385814224956,0.0003224625944128201,8.072194770170071e-06,0.11322766650772387,0.030627533709439714,0.01044698373855557,0.0005416190036133806
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.967615411071032,2.039974405065041,2.8649083194877263,0.23818830010634484,0.014353606892453019,0.24067119826571717,0.013583464789992394,0.03638100127658006,0.0025503973191312035,0.03689973164674132,0.0023551951969538187,0.02059363080990914,0.00572781158409183,0.0002779823062770692,0.18491033821029762,0.04462242497287143,0.02873941797837655,0.0020249686780065
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02617354574175068,0.09678303256834564,0.01735127535512293,0.006015089583727873,0.02584734470577077,0.000683622684238161,0.0016490495404928307,6.172805247239843e-05,0.002859410703194065,0.0006518720642529896,0.0022221300780427278,0.0005397120435138847,6.86134047334086e-05,0.00594927037704962,0.0008934480365812014,0.00993216955267251,0.0002839823493823168
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09540270402313134,0.02636661796055395,0.0006129512753492161,0.016177268968998515,0.0042629166104433125,0.002866289530854438,0.0005999404704073452,0.0016510899382073951,4.6020260876522556e-05,0.0031192109378481714,0.0007930687910849832,1.1908406130300975e-05,0.02695374475049994,0.004453457729535204,0.0038582447281264587,0.00031208776503754976
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56888910516747,0.1243416087921354,3.632656808791792,0.12413772097801012,0.32546103681551247,0.02625027858645268,0.33074392865045615,0.025885790204025705,0.2641715504120728,0.05610930988144404,0.0013946373675095547,0.024532017980899268,0.00391148114030708,0.003986244817028445,0.00041372763352187647
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0658534136147573,0.3290013874106259,0.028249566984376973,3.9798678078500496,0.1285034377864429,0.29519813315416815,0.003967268242623612,0.3449471764425004,0.043586574054886335,0.003944169881765158,0.01173135045294968,0.0017273527492934343,0.007425165249445975,0.0007130755051785176
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02891413372200069,0.0016810448114272791,0.1317909282482792,0.008570690334657405,0.0034867666595093105,0.00040997111164320366,0.026804018247985173,0.0030111460528359224,0.0012922118469955723,0.0022494240553656564,0.0007490180740095109,0.009944035804813955,0.00046907180458477526
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8292584361818662,0.3063003613283316,0.003978569613283245,3.9281598059812977,0.1283138356910014,0.3377943154694335,0.04547899150023316,0.00280478572125209,0.0034339728668040526,0.0005072567887523249,0.0005814749594562352,6.974595162001496e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034941180181458087,0.0004106095155902434,0.13054797981078636,0.00868487414364294,0.026243971868739946,0.00318235243284426,0.00020249852297715698,0.00023572147565253943,3.942090052377889e-05,5.6156256728834286e-05,4.665382935531426e-06
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.820294362641835,0.3248290431893376,0.02779891322067285,3.5791685587447013,0.3020101535607559,0.034581842937367324,0.001233176382066381,0.0005397830678533361,0.0012028963353513111,0.00014610979046514316
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028130694868806483,0.0019267391913662113,0.13459579086368856,0.012284008996986118,0.0012688201322474946,7.820773940192538e-05,2.5837293007535678e-05,2.3523538354996987e-05,3.086220725201372e-06
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04717240689682,3.595341973772001,0.3120780868895585,0.030999501170932975,0.0018842215671458218,0.00039036018999970973,0.00040964216540588516,6.722368789102706e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13044260799687746,0.012744330246100222,0.017055963118019823,6.8533939323600634e-06,2.1144952890850277e-06,5.859549337072778e-06,3.82003414323151e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.355390145796736,0.13996145658740022,0.0013502522660038818,0.00020333846544172418,0.000237888995961541,4.577203164657373e-05
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8566772399378753,0.0003489228150952983,4.445057643256284e-05,5.032705285684669e-05,8.750751765873588e-06
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.943566877775197e-06,5.080162071013916e-07,9.495945568427366e-06,2.2171713764951306e-06
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95605695409911,3.55335640711277,0.17914328757467246
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5120030220253948,0.06739599390492923
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8040049517429697
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
