 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,H30,C31,H32,H33,C34,H35,H36,N37,H38,H39,H40,C41,O42,O43,H44
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6456499899359294,2.8537178037544204,0.09929429484458241,0.17400047631917614,0.02520237307468376,0.0064888290033314755,0.027500493465105733,0.023043304449702262,0.0004389752827884674,0.003929405784510051,0.0006289932232932394,0.0001031478586774881,0.0007131792663389452,6.239311620714894e-05,1.4657831828301937e-05,0.00015661118739987434,2.9160955128171295e-05,2.4231953976716625e-06,1.4237973079977984e-05,0.18706222561998387,0.058146420746272576,0.026686112265457418,0.005211613297830264
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09639369144538501,0.012689908995669574,0.012673306520509797,0.0007320787986315747,0.00026377731375903934,0.0007499102754694453,0.0004340787776573318,5.342679769482217e-06,0.00016268779094197328,3.983210110947155e-05,6.809820918274312e-06,1.4199543373005774e-05,1.4999138611138108e-06,1.0349466310621835e-06,3.1269998708172153e-06,2.3381433100766458e-07,1.2055529552412736e-07,8.193784444276986e-07,0.03616174534335714,0.07681996678885517,0.005650586180487416,0.00016364196321183577
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.901041118566289,2.7790247257421403,0.09264321621960336,0.09758075917660003,0.15594157705799863,0.009078991007240855,0.006621234089030148,0.03368526528279392,0.0006985802654320139,0.0010216414482853153,0.006892514712593667,7.097681468226646e-05,8.04734983906874e-05,0.0020277000785276778,4.671435640446475e-05,4.181759918364669e-05,0.00032704257905102896,2.678351659630329,0.2804891751834852,0.220992849703706,0.05348644644250167
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09233332523986204,0.004369991231503834,0.007112798077104854,0.0243580534552863,0.0014698961772532382,0.0005743871023364822,0.0029290546513986992,5.9901982339738424e-05,2.311586727055115e-05,0.0013340407242535823,1.6989608724760075e-05,3.055350177838534e-05,0.00040407434926115204,6.007084948134178e-06,9.473759347455868e-06,6.563018809946364e-05,0.11236039040980783,0.03063277778306084,0.01137953528407698,0.0006873579923343254
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0436477949915757,1.9708186712881939,2.7096847616760176,0.08388747867570034,0.08159026684946691,0.1823273975050984,0.007833954913315955,0.012644152570826961,0.03664790500298419,0.0007866447296256407,0.0009698043844298398,0.007590760763371618,0.0001635357807956428,0.00013827025270241045,0.0009421076629572145,0.18477535355893518,0.04429787027790914,0.02961928479607412,0.0020176787351599
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025970252800183724,0.08496917749399513,0.033868098989025874,0.005052807107498891,0.008300165654538505,0.003308887083731671,0.00019947426261834877,0.0010613561049088727,0.0003214734474656922,2.6781403172249085e-05,0.00010935047531446251,1.8689107095237745e-05,1.4382115066879919e-05,1.6748084397999463e-05,0.007837738065726185,0.0013167332540392485,0.011593934499430691,0.0002553149344852734
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08580834977600049,0.00441370061411428,0.033439971610527364,0.010878593082434107,0.00018077982706454776,0.005567413297278501,0.0010118013547626425,3.838850455673004e-05,0.00037727636488038563,0.00010839979779830866,1.824574658537692e-05,2.340611207385379e-05,2.553837125285341e-05,0.026244455657844723,0.004377758522130737,0.0035930334739001646,0.00030777956278482677
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0491887132117723,2.0088901962643932,2.8235175050908423,0.08013163124901723,0.08098576253216438,0.1972825168567924,0.007915676456775378,0.008606311291308844,0.040692111942464276,0.0016066942534169737,0.001657786965143404,0.0037479485236010524,0.02114335259589717,0.0065112169653168545,0.003434292874372788,0.00024704747029324903
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023783167556322038,0.08473877897804427,0.03308480447652418,0.0038111139232144264,0.011632625002890862,0.003943075623803249,0.0001748190633721336,0.0010643630612198196,0.0007216443717930066,4.009597126475306e-05,6.581268557526165e-05,0.0008517988346246064,0.00015927218727329606,0.000277851727067957,1.7781466407296165e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08580281524406819,0.00567565821668814,0.03321545301523465,0.007782924491886556,0.0001412400090174959,0.003603265247449139,0.0006930003881209235,2.114984623058369e-05,0.0006659122254255578,6.429408683916726e-05,0.010268528887945605,0.003779716180452586,0.0005969712696251017,5.0218907424293135e-05
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.013501480693148,1.9764982818253654,2.7134040029996402,0.08269704728246285,0.08351667780250172,0.1690308730656169,0.012762960712031424,0.012545514894905407,0.023423445972720947,0.0031939731629705703,0.0008702351862311247,0.000444261984214947,2.6613246676521207e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02280592676902704,0.09387833685970737,0.03439610632684098,0.004921201675437414,0.00855173583069091,0.00729568468519437,0.00017551704844098737,0.0006590325061552882,5.6620906836446494e-05,2.3859231102596468e-05,1.3928256402118144e-05,2.6948275271276856e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09419682972350596,0.005755053899371809,0.03479787366742859,0.007465202066923915,0.0001671663099047649,0.006685824589495626,0.0004980480958021172,0.0008446161758888238,0.00030484146629439213,8.241077513593265e-05,1.2278056782166757e-05
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0254619564061707,2.0280436434063,2.7164129957455945,0.07525715603419925,0.07703409410220996,0.07298776673076013,0.000430657970913656,0.00022863618090453175,8.377232944460633e-05,4.342567572757083e-06
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02701776820954005,0.09142192198269217,0.02740584136101809,0.004711469762796128,0.004665388335631793,1.2166092391296957e-05,4.496349562010948e-06,3.3267507811851615e-06,4.921241907318574e-07
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09186111375127859,0.004688403099929683,0.027408548415169376,0.0046287260976720646,2.9708780686199532e-05,2.314227016853021e-05,4.948993811537683e-06,4.685488650402192e-07
N37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8657476920948202,1.8439015355786423,1.708671480404543,0.00012646221042306172,2.3665701104846892e-05,2.4935196162131912e-05,1.1598691697090047e-06
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02918266827278737,0.030028710437881356,3.5353948991678763e-06,1.0097725670066282e-06,1.328497271857465e-06,1.0439205944123842e-08
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029971079547690405,1.0088766265292648e-05,5.779587036625067e-06,1.0667263301566976e-06,8.275546115044108e-08
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9013971979786604e-05,3.2117440017520593e-06,3.0241274878717306e-06,3.7153935927847215e-08
C41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08896620655453,3.499534979163572,0.16848625802442796
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5180868372376689,0.06198474694419098
O43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7049807404217672
