,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29H,30H,31C,32H,33H,34C,35H,36H,37N,38H,39H,40H,41C,42O,43O,44H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0977387977724293,1.0961228208230667,1.0975287653496766,2.5239873970940323,2.7578264108612514,2.7986754647507652,3.4886131777297518,3.853371721142028,4.851313653458146,3.8356382684166603,3.265270181978665,4.8815000891550735,5.003213343093854,6.277866405285662,7.045056182734935,6.469150379307315,6.733639460193145,6.170778447651073,6.836483419497718,8.185997434913258,8.836772326019991,8.323556730559458,8.861867318642902,8.520677745522905,8.979204900863751,10.328096831947692,10.824211813280536,10.47118694768542,10.891752227513887,4.9833528339732975,4.546276456837579,6.071831212624002,6.331204069712154
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7708436345733605,1.7690602612752062,2.8185425284169567,3.1616217097039656,2.648295519472772,3.82904873512421,4.521041529746676,5.518421076998762,4.664242950930542,4.076983353680926,5.8352638813213655,5.999342339178299,7.156909761767955,7.98860863762224,7.2839205411902,7.505290372545,6.831706491582241,7.639636261123064,8.914762733541012,9.641019420426002,9.012688704683294,9.484412527680094,9.037401117084627,9.620121696377606,10.937768485842136,11.505086685907777,11.054452120206024,11.442176833232498,5.990508908151356,5.4824798743210685,7.124797119760799,7.371985597305235
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7643214037450883,2.732379530951308,2.509956934330714,3.092978402962569,3.7446573013789473,4.64764943620165,5.5971656910330605,4.430524073504825,3.8109939566640714,5.246165003024794,5.298345548763787,6.733012078982993,7.382062140126722,7.039192579259084,7.244731613199425,6.794621179304447,7.2188617599604905,8.747043154318986,9.305938309831303,8.970795971666533,9.456752059957,9.202020508046289,9.483375380335527,10.947623096599814,11.375541369304674,11.15581437032883,11.523549116355534,5.079567281716679,4.57903625112682,6.022749323754836,6.1461661905593115
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4991353236941616,3.7570392569944433,3.8330288980943896,4.360127462678268,3.475434839806462,4.61644007761918,3.1939289863147606,2.4379867678194773,4.3031911208325795,4.6503903018349115,5.624284676574469,6.436717115939045,5.913530871298168,5.891752601773169,5.286561659065623,5.930720003269602,7.354921482241914,8.033960067937326,7.5731904167366135,7.931088193383831,7.579894729259029,7.993901306446864,9.420188822130621,9.929667364661558,9.620439657340913,9.942216821734377,4.318720974529538,3.7459079898557737,5.5149033909414324,5.753112330937194
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0962096988168546,1.0976416088898606,1.0963891485033714,4.457192218917127,4.921947602744403,4.95467935762024,4.861229870866705,5.751562262060624,5.386408596811932,7.11721066572386,7.754674516418188,7.0343155919122005,7.989172651362085,7.5668422175635195,8.299068647740464,9.327906873527354,9.888526786338199,9.242129607604468,10.271292587275093,9.999045844260504,10.566034470342638,11.626571952561095,12.063944833763433,11.603000505647673,12.32124127698266,6.1964874699976145,6.191169831485865,7.017791715867858,7.439156300751031
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7711457212791477,1.7731443016525903,5.138977369591109,5.636510191753866,5.402589745576359,5.220339155018071,6.031952746915222,5.628351402233469,7.488627801332137,8.026272602469682,7.530687049040209,8.39303063863208,8.055983103228026,8.5844458697703,9.791853602188102,10.275283428500783,9.798283767791663,10.758470647285932,10.5585270629798,10.9667556972233,12.149166034846939,12.527703240767323,12.194259481875118,12.853104681851056,6.240777714146073,6.185586035208486,6.938998637055118,7.246643034293947
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7718460685387218,5.09123238804968,5.608077694915783,5.677770203007288,5.507786257293573,6.6263817376592105,6.348613785888336,7.954665257089404,8.665061245665692,7.834827220524838,8.718978819433111,8.191394025407126,9.045717540969994,10.043093576427093,10.677576508446373,9.931050132145927,10.894813414666952,10.529364638318913,11.201802886762833,12.251652715085312,12.754870858334852,12.207831116297687,12.896778947549052,7.083143429524763,6.971109989181661,7.9863917057624105,8.38563183210257
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52804716248941,4.714472093839638,5.20224062611324,5.315547702869882,5.871478887245659,5.340210429925285,7.13769963560997,7.716958742773249,6.924448295749429,8.152952317952183,7.7989261462789985,8.563745071005977,9.400923535189335,9.918839465985386,9.212419536472943,10.447124241253093,10.213506854284475,10.826952656019794,11.72839168272024,12.135210546825977,11.627286822652966,12.477369685704542,6.496368433827677,6.68396078041171,7.214105260345349,7.7319922481714025
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2292671315091448,1.3724130555543426,2.0786794468198195,2.4571979305876552,2.6418794583942753,3.210466236035855,4.15453088532563,2.9363148880798473,3.877913996894191,3.3847060205789656,4.520559056028733,5.028048130124273,5.729299461153299,4.841342847742254,5.970246933644794,5.702527091245393,6.44803686859589,7.238427765608546,7.723896128169476,7.1552207539729284,7.960345589433564,3.6821363725106258,4.0395195727160615,4.752715324067865,5.508914347517332
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2703542966959995,3.172598655099107,2.775003216330817,2.616029880409345,3.167534663210262,3.9725866225877215,2.5345564890772923,4.109301114622941,3.818792086485975,4.918411215308732,5.003313544643889,5.6080512059691845,4.601993385926828,6.120974837316006,5.944988807723412,6.739011282491018,7.220066402085357,7.6422389827891815,7.0000719391463795,8.027684718977559,4.223541106988715,4.851458474664559,5.052173966700872,5.924001124171638
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0140315934093762,1.4531940690605307,2.093415660479511,2.5033215791113395,3.4236164422809763,2.7267077832113853,3.047737636531113,2.6755995457952255,3.4359118713990795,4.443143995812915,5.064421228172419,4.555941940496272,5.3589639832359435,5.223534308860713,5.638710808562565,6.7520396817249,7.159158954351484,6.85727374070043,7.4597514686328505,2.4061897826283203,2.6973662527779485,3.59938566439834,4.278627143204381
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1036885458770334,2.82154944095287,3.238580737782699,4.108867816389029,3.641602118829568,3.477777950113456,2.9919554480441795,3.608922204339653,4.957748130250463,5.602080830881563,5.220888146026608,5.673015810035061,5.47518668151018,5.7973660574062365,7.146724649229341,7.5847780754175576,7.3561243846916735,7.762458188406908,2.423486057748635,2.2294693640874943,3.7479261425702397,4.226321926227234
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973851042920746,1.5503062243415748,2.1637065163728475,2.1286660751142765,2.5851412230534985,2.7818741177355006,2.863031520699231,3.9422566611687295,4.27252578736487,4.170142409409325,5.106362153858301,5.272157601707012,5.32472272609493,6.423033888228717,6.628507333103969,6.586394356760448,7.233876429006435,1.5229670347149709,2.4265878652640773,2.3760523972933263,3.2161510177002066
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1366631179100555,2.4278543804968202,2.38488070850698,3.4904427828233,3.761566410062378,3.8359417469692825,4.674532971944492,4.87878583172603,4.749592825843174,5.9738178510779685,6.183929892713726,6.261317923187086,7.187509800002296,7.3272883555628905,7.262897776127152,8.059344541706874,2.141184307581701,3.161496087388186,2.5685686038742683,3.472428340047589
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967242933751966,1.0948340371274772,1.5345636512642162,2.1581910330048353,2.177827757277199,2.540313188864975,2.81079970038579,2.7256066083688455,3.8891872694402503,4.219624144130437,4.25814022764384,5.055532912404403,5.2015210997696055,5.1694097969546515,5.941478481047694,2.542216262950456,3.4503920593606514,2.986286659390976,3.8534448324498802
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7708302128648679,2.1754533183305647,3.072273364339453,2.521163238482803,2.8048527255560853,2.6290193747200563,3.0779333995940856,4.235341829780381,4.79656019519094,4.51113313654412,5.2280219399618835,5.1564154601917815,5.387804218483737,6.164033490973333,2.7690538626980397,3.831558992459344,2.681160598257152,3.5489809031166697
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1706883654068925,2.519871406859815,3.0830750924967605,2.7641301571243706,3.1462383126910893,2.492774269600913,4.152989651947647,4.36031429433842,4.757306811626282,5.155195336767428,5.374821475298634,5.049235106663433,6.075846289856212,3.449686001981726,4.347842437797863,3.919566209126711,4.838662747675334
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973150989860452,1.0987154187422792,1.539795481089066,2.1723965437304606,2.1669090812525837,2.5265203374130643,2.83244122175715,2.808648883797577,3.8877315894517026,4.168438314039555,4.180872120492679,4.659819545659303,3.105172172037396,3.5894261713394497,3.7147591353039546,4.350729444809683
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.762907694350716,2.1708908594395417,3.077012540952029,2.5440877961024015,2.7213985127773066,2.5815053681740925,3.0733179346572608,4.165032559651242,4.674744076690354,4.387134646131159,4.804463521187707,3.4143630402277174,3.6422892409324654,4.327718184800425,4.93034794300757
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1669073060886412,2.490019758735553,3.070901439871576,2.784653425917401,3.2152501000328946,2.6213241788055313,4.187631261476717,4.353341585407421,4.706678979596009,4.8502433250391395,2.8000178962321725,3.0889183991076328,3.3102203216458563,3.7372012514874577
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099636270753106,1.0991969598468545,1.523723009163981,2.1889408019353063,2.191029546627019,2.515981473073983,2.7444668274724133,2.7407313159598647,3.4223235363685265,4.5340735503695875,5.078830506597632,4.89680517738948,5.52638565136511
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770404455766554,2.1596604883157946,3.086582602412454,2.540343002423645,2.7310280465848913,2.529893402646098,3.0407063345039007,3.685218882491787,4.7037151094318155,5.371901090468655,4.7577065810550145,5.350353345095979
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1586762072917653,2.5129845636177155,3.0884206464624295,2.7594678228992993,3.089723606722595,2.5569711367228445,3.7048127527278774,5.069827108183736,5.709923050965018,5.476697444413797,6.218828894092817
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0929522867513743,1.0931448824490932,1.5340799449414122,2.1309068332653416,2.1299830632034853,2.1455652767551663,5.50428810940686,5.773558993535072,5.974551603146875,6.452898927320363
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.779375710495725,2.1109874485298388,2.980024399144251,2.4359986837679557,2.4218687892659783,5.773927725636725,5.915105854126792,6.454489110377918,6.94931390391182
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1122714192850185,2.4379007005140814,2.9805146483605864,2.424323639809561,5.415978679607494,5.540148175346075,5.824303663572373,6.14680595225813
37N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.028136510658726,1.028288277622893,1.0281271450152119,6.887643100365452,7.244292162058276,7.211488537041679,7.702337925617796
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6541128230268427,1.6603889232171225,6.998356708112683,7.440206796181144,7.129505519234236,7.587327105632505
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6604180772928812,7.256718098064924,7.701237927454628,7.61453525654728,8.203313876297814
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.617620021949801,7.8509142894322945,7.994142771676772,8.416961152564218
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2128308941344823,1.346038683220304,1.8821458016317678
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2571239430918784,2.3086040622058785
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9773286786880403
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
