 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,O30,O31,C32,O33,O34,H35
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031133372130379033,0.0007845652763107669,0.09995313807781381,0.006592645593078039,8.881415164441187e-05,3.208524424402892e-05,0.0005701037069217874,0.002968578914124942,0.00012291727187840884,1.834648167120534e-05,0.00015404805967311752,2.5229298748596918e-05,5.690131422264599e-06,0.003964857524673127,2.8236014342652993e-05,0.00011304704911663244,0.010478984899528143,0.001343863412003432,0.07339711572181473,1.1332162241028954e-05,5.690218884968345e-07,4.3880184924516286e-06,1.3804312497534e-06
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.056148968966041,3.4953790090344774,0.11643374140376073,0.0005719047890910822,0.00014401737748472032,0.0028302361274674948,0.004018631933695227,0.000477467518982283,2.991302577304289e-05,0.00016825054731789413,1.4664238321193679e-05,9.402965134741592e-06,0.0006318528909187715,2.8823278162448673e-05,5.5368035412506345e-05,0.0033995123398626037,0.014137303953203562,0.0035974066563590062,0.00012461407886274478,1.232379154887664e-05,3.651910372273748e-05,1.3915088511562423e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10048629150601296,0.0036465335465272197,6.964051180169406e-06,4.796947820739916e-06,9.28184102622076e-06,5.2898354112596024e-06,1.0547849604858328e-06,1.1525386911515056e-07,1.0398513912157625e-06,3.308322618078563e-07,5.568311500780965e-08,7.64307470602077e-06,2.460427086514727e-07,2.423743592272487e-06,9.54068778968864e-05,7.300282808297975e-05,3.7079406602025244e-05,3.5655317920380014e-07,8.229084946798082e-08,3.096531475677011e-08,8.410276919335047e-09
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6877256692957774,0.0006612991063222329,0.00015542757727117495,0.001121733206737613,0.0012992716134182514,0.00026922303402449055,2.4054336013379363e-05,0.0007818954837199021,7.06738561673248e-05,7.367549476611224e-05,0.00514020112254418,0.0003545067703973892,0.00020388240456314932,0.02730443887240877,0.10872336890367362,0.012374711650076808,9.682755834511392e-05,2.4434097628964202e-05,2.7819482210075797e-05,4.0660715764362365e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.310129784544035e-05,7.739239987647473e-06,4.716388418868345e-05,3.0983125779870946e-05,0.00010364394658768372,6.187423538195347e-06,0.0010715893313595348,4.108692840887329e-05,0.00018535205855285675,0.012319205431100322,0.00031415303659576566,9.491392364280316e-06,0.041610639236491886,0.2771304793482179,0.007649584726759917,6.002118345405094e-05,2.189093394788788e-05,1.2840852274154102e-05,3.206453769166728e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.727985431190139,3.695969917520036,0.13463461381331643,0.2904540162552517,0.025931889998483948,0.029404696906574962,0.000893902767992838,0.004154015314661974,0.0016551962488519367,0.00040661091366156477,0.00014619032687557265,0.0018712337228889986,0.0005839520030037765,0.005699143901650855,0.05753742774696055,0.013513154158541402,0.007582984761885236,0.0006312991318936367
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5661325677339379,0.026104952291156835,0.0974378260297973,0.03006479672253959,0.012591861988795874,0.0006871374123453844,0.0009228517987305285,0.0017134504044524906,0.0005743219100100561,0.00015754956425806377,0.001223404275775053,0.00025627303625298803,0.002107020947941296,0.08559037071131223,0.017972921231880212,0.007696301016075269,0.0006117213610082883
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7619784681151958,2.699004325802015,0.09386713503139765,0.1513639866075271,0.006435771247327526,0.02516115479562897,0.012564118972287333,0.0022656799057141352,0.0008845587334902483,0.013162235625799185,0.003992837687289794,0.044687630055108674,0.1893025137129094,0.027529377584976422,0.028072709228101414,0.004893983702716209
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09559064848879684,0.011665844443930817,0.012402765796903026,0.0020538910952156986,0.000773976802119547,0.0016513082417141112,0.00023735462777674243,1.941802555149863e-05,0.029810832064675608,0.008881709557288064,0.12530918529719204,0.009428860735912648,0.000487408553698665,0.0020107596932162908,0.0008803203350695732
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8915572711118809,2.766012332484291,0.08273673045629448,0.10245860156297959,0.1639039394323298,0.023879630464263002,0.01581207740836099,0.00845535622831306,0.0031604263682248612,0.004786053141886529,2.344084392993915,0.2581762413549999,0.21977665040525612,0.05514407787878994
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08090395856506727,0.033696490420944025,0.004512040447532062,0.010086544936594333,0.00028508219396838896,0.005286655303085919,0.0006551543127939485,0.00013430785066992357,0.0006135177180540685,0.10924608409700709,0.024107441717931888,0.015259927069064982,0.001101790590248397
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9099720335953434,1.9403760028973687,2.4634112384155347,0.09278349217145876,0.08043555713370054,0.1539264677822171,0.04049683267518611,0.06998626870373573,0.20807545143088016,0.04076799066376721,0.028221292210034166,0.0020669485483952865
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024496189963527648,0.08265694506243482,0.001516503452493545,0.0315891590750339,0.02239425184241628,0.0039943987037009965,0.052371258401458176,0.010140928797395476,0.0034055563112557197,0.001233645519480242,7.142596944587076e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08659973381617125,0.010210651942383686,0.0013223317716730687,0.02267473518563623,0.004186044676434686,0.006641851379013186,0.015364863161621445,0.0023865701357952407,0.010176000478594904,0.0001719663715586961
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8622796089422384,1.8922969519774573,2.740247054984426,0.28804201458991896,0.2897745328498257,0.033657596549896085,0.008868468866725668,0.004476036113513909,0.0006117536382697075
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02455635065936712,0.09126484041216432,0.01579519618188041,0.026140416746317063,0.003089396601380079,0.0009357904438194176,0.0003931212508697657,0.0001042587903690162
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0854254914365411,0.01640400954176402,0.02497585024657467,0.0014613323045185034,0.0004965937011829347,0.00013361656353994,3.545399511017955e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9679221544543997,4.666346009002199,0.0027009547862625327,0.00039903527471327194,0.0006946845185492045,4.584156320941446e-05
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.561507189455598,0.0013440614237195808,0.00035942544930333414,0.0003122066159751899,7.925175341982893e-06
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006537315505028563,5.2548155753090464e-05,0.00016689519182565282,1.658094738343774e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.365899092294219,3.400336496086676,0.1688501461556431
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49826838055578754,0.08055919142046264
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4657969378465916
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
