,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30O,31O,32C,33O,34O,35H
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0834699463049158,1.367192551133889,2.145223895409731,4.5121760285521155,5.480988457637343,4.316954953016746,3.8315702030438628,5.340684133412923,5.371834538378507,5.658092391842924,5.952099809364579,6.637301910915684,4.877129780387261,5.731721424433012,4.518702447086783,4.006834903587828,3.631706581009634,4.269297742550253,6.700409506843922,7.171407841678427,7.631096062411509,8.450189923074312
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1477833856252984,2.6015017853158944,5.283214304208233,6.124356506095867,5.106983586679728,4.709526980689981,5.974470814033658,5.842155289382447,6.236141325197263,6.649673396620648,7.13599860529226,5.287692945410381,6.03895718663524,4.763426569882893,4.539976744487241,3.934137925192232,5.030732038660842,7.3953288839215645,7.981631185942387,8.2033745175743,9.071089298457695
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0396825559213412,4.700220592351129,5.805541128670753,4.165073811389713,3.4134244406499907,5.146654216132631,5.408346988651529,5.1613196311812,5.254876044656641,6.192617878297207,4.326329467615257,5.10403518900001,4.259289639328878,3.125114540685107,2.7419816050453165,3.2394357975342127,6.49907368910881,6.876827269882588,7.528287250840166,8.319811438327564
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1652801772451244,6.226865656436697,4.395409441650923,3.609962260969805,5.131114988431705,5.392904983740877,4.848940819797858,4.947564986964108,5.822813941912114,3.793628176608289,4.409379227091288,3.7980417226836507,2.501382909233213,1.829023631196272,2.872268199328935,6.542580813820949,6.998530784993177,7.500791027204806,8.323499582832689
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.241252687175024,1.3580695772291624,2.1184394964833806,2.398641090235354,2.6357034032537885,3.769132298698356,4.072225396262389,4.518834462794102,4.387481930830082,5.455300877425607,4.273409303239843,4.544970199443051,5.365695339164258,4.283584493286668,2.932971983816481,3.219538548408314,3.9291921815111457,4.5019369368925695
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2496271564195376,3.1976218742310163,2.641898611190534,2.5465135765648528,4.18036234129833,4.636750694301971,4.67668356885793,4.963347522104766,5.960416023736185,4.72989192575152,5.434390431909943,6.270896746004515,5.294885354482311,2.763044284761332,3.1762691599134354,3.4031590236841933,3.9064426587948713
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.020084596700568,1.4573641532170576,2.085085020983059,2.5267162558056797,2.778928906484912,3.4151552308260507,3.1449249373042534,4.203562079042718,3.244279255955338,3.310391522351726,4.272331134436042,3.047026067260136,2.4479832690130574,2.875558883692171,3.5836245722235596,4.267728202116335
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.133718279032108,2.857207264187234,2.623779613598653,2.6203365427123204,3.6728031319202183,2.936462374790588,3.9847899508491147,3.2210072671758545,2.6393339126406445,3.5924205130378555,2.173123675251879,3.1947298618662643,3.463466127637216,4.391826814211106,5.059273994474108
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0963826002973898,1.5471726455259984,2.1670221916975265,2.1253511254620356,2.607337157655385,3.4939536350293303,2.7423996539781763,3.425905903998878,4.4840669948417595,3.428849330417544,1.5298679209049368,2.458012434556253,2.3877909150875953,3.2079050808001317
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1667910203976506,3.0653979561350515,2.453547267406489,2.8456899908260893,3.671338845853645,2.561461382949975,3.8787403567629344,4.741190559747487,4.172030589562633,2.1185172560364314,3.2325288137761388,2.424679398488424,3.3636439193602388
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0944945590905013,1.0984572296525563,1.536032925765101,2.1640107467558187,2.1929751070291426,2.5941747597116884,3.7267638523522044,2.755786011019851,2.491244984391422,3.2593791291863408,3.1161631810382593,3.887680182020422
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7765967687845252,2.146420761040518,2.6344813650004357,3.0539575704318693,2.6516503044407362,3.8947960896667757,2.357045609681002,2.7400472032847074,3.1085004882490774,3.5960528864447663,4.1780995737633635
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1732584867693756,2.356267342065961,2.6810521845902175,3.495673699608941,4.533082651238272,3.7614869030749682,2.596446977392485,3.46787966877835,2.7385450851782362,3.4709589055286205
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0995936262153299,1.0982567866333934,1.5569462390992086,2.3948983512626016,2.396885612330827,3.905477737266745,4.706231760833727,4.45641761582037,5.311779206019804
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7512209959924512,2.1574959203635427,2.719016000628522,3.0492982286808874,4.611864000390811,5.415599379322947,4.971411049927989,5.7858573501729955
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1716687989321755,2.6058280878662043,3.165038443417459,4.163785290218402,5.118779584061122,4.56125135679494,5.4985283380755545
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2635063309541688,1.2612663612786077,4.7481327389152606,5.287023400416392,5.598928679732751,6.394921642540434
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2693936287454037,5.896815546230657,6.494829695278049,6.6785118484753765,7.523915810201997
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.515827682282434,4.769966229651817,5.581283537154367,6.252588261335078
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2107311188069851,1.363779682525874,1.8673025292072054
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2488505394902996,2.2481633647932853
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9753569178978244
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
