,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19C,20O,21N,22H,23H,24C,25O,26O,27H
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2677115114299937,3.183987148560708,2.764891863863664,2.6060552667177372,3.157578194113822,2.6907597434588015,4.159641546745219,3.6824740174618746,4.89622206185733,3.107137517094155,2.152468294841925,3.8856035256577206,4.213544524000542,4.841482934421064,5.034513750845244,5.914735238620043
12N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0134685825228296,1.4518096013839403,2.0740733874493484,2.516172327309939,2.4925607348793974,3.1200924467628792,3.732653497431472,4.758066699643473,3.964572504870367,3.4173692147118633,4.890564969533412,2.3994599655823894,2.6877320024650224,3.586689339769615,4.270772293087388
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.111215827839308,2.8520143015954877,3.194599590714707,3.2217619438433056,3.525809506078169,4.538198056692355,5.461296611264067,4.92039386917173,4.4222530521948205,5.849641541468657,2.440904420330339,2.23602909303661,3.765721511221038,4.251298685052378
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095924534161595,1.5659290297560293,2.1526108126222683,2.2198370525713473,2.572630730707081,3.4590538186553594,3.0870287549119007,2.874672964581391,3.9536055482525345,1.5200354693893174,2.423669727812617,2.3674010833200754,3.2085772119284433
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1746049141832513,2.748063544354497,3.018013620626712,2.544748187104089,3.439875990952165,2.6926610045623502,2.4361679539454455,3.3955827963537573,2.134369689987614,3.1482640921203195,2.5627910287776334,3.475751245550025
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093590850797503,1.092197262804826,1.5325591845525324,2.429463386304682,2.413486001529321,2.535188071903563,3.3458635062338544,2.5494833070876814,3.4539807392355053,2.9938605238152847,3.8398345318755145
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7719832164118856,2.1450225324280003,3.170737701737185,2.575619570717161,2.4263084341036,3.5707721135188355,3.3608784516939547,4.0806735344811305,4.020154348594938,4.848450207025438
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.151960819087607,2.574611709535002,3.315166231769268,3.5849089138952177,4.163684743816099,2.6003518803651,3.322846499310442,2.9443010109903054,3.6003573432931595
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2214200069339214,1.367640429846927,2.0771532537009407,2.045203282434996,3.4808862662629187,4.594534165402356,3.3805334930204665,4.2842971702262265
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2876440521959918,3.183691356761662,2.5309354748030723,3.96443160197419,5.079251837793603,3.478995007521294,4.243688374442628
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016804355130237,1.010807696937078,4.301815676084925,5.414258757294445,4.320152373625426,5.281025622529601
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7491199999627633,4.281938938146259,5.2965328745545985,4.565283147019962,5.5401247461734755
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.055825916016427,6.218278569627812,4.869312293833616,5.805031048083294
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2141703374474881,1.3413901010890088,1.8791438134616727
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257381284487372,2.3120415527550344
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765335951270457
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
