,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22C,23H,24H,25H,26C,27H,28H,29H,30C,31O,32O,33H
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012703059371583,1.454012653679658,2.0570753862498754,2.5236511421863868,3.4141053767773792,3.0407167981103855,2.7713299673792537,4.060101917794202,3.347242961952177,3.0812370340916417,4.066150547934263,2.779600296226178,3.4874143041500316,2.4166842231860546,2.720383395704675,3.6152197330611746,4.28853160304257
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1071880953773325,2.90820826673093,3.0630679070768094,3.9570369234668057,3.777600643245669,3.4347355568831692,4.700963604457162,4.249956883599378,3.1553735766976634,4.189736156768228,2.654515542091896,3.355966273691692,2.5212603694564866,2.3692066045493703,3.8511587950046953,4.3415222673374085
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0948161860515666,1.5599388534828293,2.1356498852465142,2.544879291244278,2.837524623489566,3.4992208768810635,2.768890389778768,2.5694897152180007,3.518901432851035,2.8272409886911847,2.8601566006294057,1.5236505108284466,2.434520814190919,2.3817362493602885,3.215228792747916
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1660606162113383,2.4384859858511874,2.728737678954907,3.137953050315171,3.7192637274962292,2.4986741298580752,3.4950192140110543,4.320224194723657,3.8201553047601724,3.838796460248883,2.139509558310015,3.1418530604477533,2.6087246415328385,3.50544385238116
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0974201819147091,1.5347033325198092,2.18203617139158,2.1709012506152203,2.189876539684352,1.5362640886109844,2.173806413295053,2.186220128984295,2.200845717450814,2.543723073350429,3.4796502148584634,2.955983790368212,3.8162632284236593
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1502076260970364,3.0710926528443854,2.485757721747982,2.5080274023900953,2.151451283134785,2.5218348548818508,3.073706191680924,2.486149797581227,2.7091415555289187,3.7963058040038584,2.5776747542503786,3.442638120156049
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095646861922101,1.0959873392725463,1.095010377086402,2.535780384280811,2.736505665270814,2.8378021391200257,3.501812705560599,3.8956708039521852,4.812125536688125,4.327691371993443,5.248982885138916
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7712535146384711,1.768981022418791,2.79850445361599,3.075028596923023,2.659010811204824,3.8330452466359457,4.260005381834035,4.979786853274515,4.965312522436121,5.847000821864692
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7768262545422575,2.7723852903140536,2.519849270110219,3.191735009115175,3.7585469443145834,4.701330914246841,5.623909701293182,4.970257213739972,5.858836414460878
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4978016382288852,3.754390379614324,3.839342937468031,4.357864028738253,4.169189795790747,5.189092495915359,4.46462190922663,5.434939295136727
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0955481227063795,1.0969932228477708,1.0966394131722332,3.0397091168251986,3.5665535220700693,3.589932393516989,4.1992226156327055
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7662013162992305,1.768378336200598,4.042486945586863,4.617566597573135,4.386785580276002,4.988198900275995
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7749415568289595,3.410408887086479,3.6738437634236036,4.269840442117685,4.839938559127889
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.737840425606306,3.0773240989997097,3.1650170699768374,3.555302054336234
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2133234067451513,1.3499241358606242,1.877201563174135
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2528366430566082,2.287699670949825
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769723347105486
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
