 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,C22,H23,H24,H25,C26,H27,H28,H29,C30,O31,O32,H33
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.673079087040565,3.5743794601180205,0.14022073218482756,0.2777123562869407,0.01961512677529198,0.032918473286706273,0.0009748131290285844,0.004219035461262566,0.003437872824327115,0.001683155386368096,0.0005847918972618077,0.00020311572009124035,5.99489339481174e-05,1.4273919075602493e-05,0.00048094835794597335,4.0963019400264145e-05,0.00019528676456426197,3.979437169632227e-05,0.0412821304547584,0.010078097135200623,0.007134179239685956,0.0010656523152127173
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5339430140176135,0.027811939767855676,0.07301057021443941,0.0348235431914411,0.008471921421842034,0.0011420371445145516,0.0008364953849206991,0.0023803235606979223,0.0015586547840387155,0.00040159797727157276,7.452467287660802e-05,2.721158278018443e-05,3.61236435475476e-05,0.00034925561330554494,1.6961974801055213e-05,0.00013831137972675212,2.9266928673554737e-05,0.019752878337216215,0.0035719792298042636,0.0027832756615860446,0.0006676132479578323
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7912625236071125,2.9235312788632366,0.10037810601211439,0.1741669157760436,0.008039037392769899,0.025342510590596334,0.023463528603377817,0.01885612333595077,0.0035162132861958073,0.0006984055979921688,0.00021634800528080866,9.085667900587957e-05,0.0026970000089625856,0.0002862111496317876,0.00047310828750002365,0.00020631377904689607,0.20349401642160894,0.030424275604909998,0.030238442973587715,0.0052054749633095865
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09800209213705624,0.02920928580529014,0.012826234216529175,0.00576456098275524,0.0002987054274787848,0.001785255975001121,0.0016858387169371714,0.0003546936434464243,9.1326288296667e-05,1.5192799369234677e-05,2.178709265998613e-05,0.00037422006269316466,0.00017784696986189452,6.894888180641878e-05,2.401349720115853e-05,0.004451050415385738,0.002718477711881606,0.0008304997737745845,0.00024662730709645864
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.059271873371097,2.810624148702716,0.0883380078543683,0.09606928407393411,0.15353922932118003,0.008162348513117035,0.032244363333385484,0.0007211308353911594,0.004630599325615714,0.001038424568738261,0.022273442894135118,0.0006413417693009738,0.009054384046670583,0.0022942836586550275,2.756413325219504,0.26417024699270464,0.2191643835943601,0.053738308643934696
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08345232146311887,0.03311461333205856,0.0037282253421118128,0.008063671100435266,0.00012194003485910265,0.0013541754580347343,3.982996001439254e-05,6.343167899003355e-05,0.00019869146380968594,0.012985775596029758,2.6075302780759202e-05,0.013413200711832607,0.0009681123599381003,0.11046470453751467,0.02757140711393291,0.012156668101628743,0.0006043799211317147
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1250617204031705,2.099311089957343,2.830637413727135,0.08430950795938785,0.18386676011985337,0.009572533323952914,0.030607474565684578,0.010524190807960743,0.16387948736538666,0.009823181140424575,0.005880700600262578,0.03096820513359666,0.1985232361485113,0.039633034851252885,0.03047868940608843,0.002129997800784489
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023392175970663898,0.08385021072238463,0.003598299214485845,0.01362890232729086,0.00022979024778568835,0.0009206179189842345,0.006230208024981421,0.02978907565232991,0.0004738584567438586,0.0005048141685861651,0.0015991166670787926,0.009344448791646531,0.0018684515617780617,0.0009142942545340427,0.0001688971356159641
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08142684406163414,0.03498814180062504,0.008335031696464767,0.003973054123040942,0.000440392637358622,0.00018151499706831054,0.010002407206853858,0.004875432402465352,0.0001341786379154275,0.000542088831056553,0.011472208046441779,0.0019329135491293892,0.013537472554074226,0.0002557739674013959
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.068017339887046,2.8826430438314765,0.08317386801597637,0.08647910717750085,0.08394174615961081,2.8790221607815627,0.08113837697463944,0.0850773166578167,0.08892118110227099,0.031572416296752365,0.007708874330481327,0.004924857665506516,0.0004158186549586551
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08292503684886987,0.03487285584853983,0.004670732951408851,0.004407546431441478,0.08248372432619466,0.034638090432690394,0.004833021856065267,0.004024153335595804,0.0013276022975206025,0.00018579202470336842,0.00041770582606148743,0.00014950975253658072
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1183391579710382,2.1737107701917795,2.1435075130386876,0.17508744493362208,0.00855318520496895,0.030962890262580256,0.01100590957575931,0.0059311914721770775,0.0018659492299370056,0.0007444811316750302,7.87099475173525e-05
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023093511605000838,0.022924305350931595,0.009149518938646795,0.00410865975083663,0.0005228007607356311,0.0001707607417216206,8.866565287068973e-05,2.440158709104967e-05,5.1902800929592985e-05,3.206401925970326e-06
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02415841531132812,0.009593036507261954,0.00015415992847511717,0.0006449127355305784,0.004577700046855426,0.0014180848951101943,0.0004527905477150762,0.00018958483950004545,1.850815349158097e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03156929159740307,0.00047465627398834975,0.0028761987247825083,0.0008159535612703994,9.018188891696255e-05,4.60654231422275e-05,1.761703709735052e-05,6.331308379792233e-07
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1496776871570833,2.153805250514864,2.164939889384108,0.003441635615772612,0.0014435718970760535,0.0004713556682012787,3.88778759368158e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023592821014181364,0.023214554212883654,7.911626494405688e-05,1.915224409332339e-05,4.1333294647394325e-05,4.807315616695007e-07
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024437615323358308,0.0008831917474929618,0.0007462962822912811,0.00014146265129666435,8.092648118296353e-06
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004776463457687452,0.00026077890763964717,7.448017972910836e-05,8.49213701803464e-07
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.620219810060835,3.5736990429738067,0.17217550391322922
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5105504965051755,0.066269917799606
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8405618846439973
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
