,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26O,27H,28C,29O,30O,31H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4204443274372798,2.9146142404579947,3.9179305149392585,2.6679779622157995,3.2559590338285225,3.455482775751707,4.3838278664872075,3.582299883481639,3.193581765464702,4.685450606935238,4.80370791924437,6.056502919779292,6.335583189313497,6.836279995440324,6.3566259294655625,5.8707463715329915,4.873410368011015,4.433831992990991,6.032491611866973,6.344727524474467
12S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.828032757892579,2.3827060127478186,2.4463613735637932,2.4576824305699145,4.786907347854124,5.217225005872469,5.29085395691783,5.242208814709385,6.151372094227594,5.846872781778028,7.561806252138204,8.101252523738133,8.18623531274744,7.708028423258348,6.993517288012948,6.486211882956046,6.306515020353134,7.4029176739992675,7.773072237996328
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0936529572636888,1.0951367456273327,1.0938122334245677,5.734396429026005,6.332556037922626,6.278340573766365,6.040782201895544,7.375583918487529,7.2638397619724815,8.721842252329122,9.11049542722005,9.478755145608112,8.796068632585843,8.137613581175986,7.683354590506781,7.29926202053498,8.743879250703001,9.056439784338949
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7780982906577907,1.775546262195749,6.741907794172692,7.262777991408438,7.292761294880495,7.073562654055598,8.326010130900466,8.141309570075686,9.703674435520693,10.129520910777032,10.416553905288485,9.787202180994031,9.095895667197796,8.5920240545147,8.213556090857834,9.589120274641143,9.871385938052384
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7905615328355393,5.8604835354089335,6.637138979333408,6.210327662474433,5.801600382904119,7.341514943480183,7.370048447441629,8.701858994169413,8.971697577952149,9.487206391505586,8.890974586299901,8.329293360555408,7.482752129560116,6.937456189862591,8.586991758383183,8.806757267624215
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.594448852273024,6.141425556848363,6.315513440870814,6.139123837007692,7.51776540590902,7.438967451771547,8.74727914951214,9.126284158440646,9.571483414786076,8.657645803116653,7.981645990711616,8.001744290658415,7.671952388583894,9.125260344752084,9.517830929380182
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2373504222950338,1.3570065234531066,2.0690596019162637,2.4594435651944404,2.6169524257139667,3.271201576218613,3.7812734195532123,4.176443176009452,3.0739332195451134,2.4988063054811525,3.657472887226519,3.9886827456082576,4.74950715593741,5.495310455605605
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273592928574957,3.1796221165056493,2.800274438050195,2.5672488358482854,3.3249854441260025,4.086372503823146,4.057270165772182,2.7897077588449033,1.9243272999952454,4.213399888764897,4.81624397140094,5.0620693495338,5.923151162359175
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0134613570508746,1.4540135345522873,2.080586852037708,2.51271995037769,2.84663667886148,3.422482365120207,2.892678692354308,2.6731566887317046,2.4012874491862974,2.6848517041426914,3.602301347486412,4.275641795194723
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1061949637456086,2.8671229876806366,3.16613584208094,3.2016803968607626,4.065101463569992,3.7121094254908393,3.6262809624454815,2.4377579760964125,2.2307482282633524,3.772764284908341,4.246540354345078
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978852768636422,1.554546102425435,2.179494752982581,2.155785811438813,2.4659947643786584,2.427562548824316,1.51884378014356,2.423340598433833,2.3749591547359135,3.2107093248145064
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158452112134583,3.061673908642427,2.410901427590361,2.7857933959242356,2.4376604433723887,2.143798914025433,3.143194565183368,2.6091849316646445,3.51087778553583
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098809117360941,1.1012756594146953,1.4052199971767256,1.954672613397349,2.5286510233754287,3.4594595835249504,2.9373801440274905,3.794360651676856
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763649110914754,2.0285951054658806,2.785448375357924,2.697473271536114,3.349495191845145,3.1924428190122307,3.8594902665001336
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0865163074392408,2.5856985675832966,2.7784162929730547,3.8730237034649586,2.6468870835487497,3.518371442188518
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9778914021271009,3.7786895460388794,4.631038378399496,4.277325096139805,5.170186846670436
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9105053886625685,4.772977645205003,4.47703562920007,5.411264600555316
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2134143054153081,1.3462612892563997,1.877769650040083
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2560970850304334,2.2999091206986013
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769731537633691
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
