 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,O26,H27,C28,O29,O30,H31
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09053152222524774,0.010896546052325706,0.00047135611275983536,0.0049218648409927734,0.0006301872617437976,0.0007867106480456965,0.0003069512449177525,0.0005196904675510705,0.0007228122577629392,6.587033033311762e-05,7.200445407473666e-06,2.8733289751503577e-05,2.426201952676621e-07,4.562290442988726e-06,2.0711007964191452e-06,7.613041725917924e-07,1.1915998920919435e-05,3.205421873475611e-05,3.2226874056018318e-06,7.372019410478714e-07
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.915639095166363,0.09225280787611734,0.09725142013947508,0.09679888705256745,0.002891180271096347,0.000590518139917208,0.0014440255791122042,0.0005362587628551241,0.0001792554652984002,3.464173824874184e-05,5.1522915756913035e-05,1.560247740672871e-06,1.298080091982623e-05,1.5965987685759297e-05,1.326091663933493e-05,1.955100456199621e-05,1.395602382993702e-05,4.581556975170875e-06,1.2312871668918035e-06
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1149734904525026,2.097478828833053,2.0728033927534755,0.00115961703965195,0.00021366549756542813,0.00035321626847126253,5.112974965149064e-05,4.5757653669903364e-05,1.1632658272309193e-05,9.638732404546047e-06,5.822329230964485e-07,2.1171584347889905e-06,3.788871680357464e-06,2.3880492551198174e-06,6.7359828363200425e-06,1.6747673478867409e-06,1.6193041793566287e-06,4.6207002668552377e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025504371953580574,0.025344177831427617,0.00019747946662262983,4.141597202400593e-05,6.3889881849577e-05,1.347684964447815e-05,6.005010787957232e-06,1.7087244095215226e-06,1.951390447230139e-06,7.517950217916791e-08,4.160828142030226e-07,5.63045123969097e-07,2.553000395533189e-07,1.106598971123418e-06,4.1382126070299563e-07,2.3761368073138556e-07,6.62189654221379e-08
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02431071226566872,8.821970042038885e-06,6.063544463752457e-06,1.3871922744712606e-05,8.549200036789273e-06,1.6957691355568016e-06,4.2992105120376323e-07,8.335572141415781e-07,2.5485988430773432e-08,2.1920817161458217e-07,1.8413340896472619e-07,9.008296575352404e-08,2.0976201509093073e-07,3.4727007858226244e-07,3.936412618088525e-08,9.816404800133682e-09
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028750592683746135,8.865656892675933e-05,6.342904904910185e-05,1.1249819169556474e-06,1.5735744968603527e-05,6.448304361583723e-07,9.103910059149456e-07,1.0860767130083104e-07,2.3139764682156283e-07,7.54711955597287e-07,1.5090162786002281e-07,3.2577032820224616e-06,1.3337638893329284e-07,1.0412085983402264e-06,3.248297510971554e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.578191061560806,3.607058169692474,0.1366604959354908,0.28166726225041583,0.024647193265054046,0.03414274576392659,0.0007023995189330279,0.004681504227894262,0.03360466089188846,0.04077119179819111,0.029688576192901717,0.007001400773704036,0.0058259661801969564,0.0012260691909020682
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5400101663753833,0.025914631119079545,0.06550472392520353,0.030190413784227044,0.014794871656078082,0.0012437170934858077,0.001982181164189356,0.0713669433391054,0.21098440346146863,0.008800701899663463,0.004267806733916045,0.0012991403290762704,0.0003031892883158527
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6572957590229649,2.8851433783173945,0.09975883518817419,0.1748668887890108,0.006260559142169386,0.026587808254490364,0.020815726494305464,0.0031578955901782058,0.19159492107399118,0.059127065439558875,0.026700507803869053,0.005108454999134482
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09627474334803221,0.018758889687895852,0.008080019712719322,0.0005829935989611901,0.0003120619350285292,0.0005246933714945223,0.00030092320037544695,0.03448446955103057,0.08127633819124702,0.005540029660419221,0.0001760799780354816
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0555699952416537,2.787170617325372,0.08622898260305178,0.10230833224767566,0.20241713251372995,0.025364495481828175,2.7658601545459756,0.27634870918927074,0.21934132348028051,0.053382039065204
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07742914284009739,0.032792079353133774,0.007040182792642513,0.007780987833884145,0.004942132811075695,0.11200492907580029,0.02999450636357226,0.010454565872989652,0.0005583556360975184
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168007146368959,2.1664860896378837,3.2255549228766416,0.11438932369918431,0.1908357034895491,0.04297241153703489,0.03481851353978627,0.001955637479617356
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023066287291197085,0.11318874064058648,0.024958076499292936,0.012133588829617903,0.0014488458589484443,0.001114121946154345,0.00019712486315470734
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119883499232601,0.004393205328471872,0.006495396985284341,0.0011119458982965513,0.011700217982011374,0.0004366589775788299
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6032000126441974,0.0400479654076944,0.010725786756587918,0.006684257591605805,0.0008230105424903433
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002186990526049426,0.000751856518139915,0.0003310412383681349,4.6807970476958616e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.737933235034036,3.577692617320002,0.17121530343517855
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5140474182486361,0.06408639813632055
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8065408818340423
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
