 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,C35,H36,H37,H38,C39,H40,H41,H42,C43,O44,O45,H46
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09029319451635631,0.005136391257687389,0.032518092851611335,0.01008986628924513,0.009380753199435654,0.000816370995502913,0.0008486648584151713,0.0007038673842525434,0.00010760480578708709,0.00018535915556083804,4.431284298389571e-06,1.760881986623275e-05,0.0034059500427885414,0.00037122448188320334,0.0005633596416583231,0.00014871965158169687,0.00012464561300573607,4.694386826376018e-06,2.0938629007094534e-05,6.590163890152212e-07,7.200249587002716e-06,1.4314804306359008e-06,1.940396771482611e-06,2.0597082017737023e-07,5.55457435602591e-09,9.302688663836989e-08,7.450196592984071e-08,2.8073181246313084e-07,8.515639753348125e-07,1.5897830163424942e-08,1.7232991034177303e-08,2.32726308859732e-05,5.7256045646991716e-05,4.967285781587449e-06,8.304839707040657e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9700776315437512,2.0209795155281802,2.8295606602202943,0.08721820308161632,0.268075333212014,0.03982473764891441,0.024048201563049654,0.0020418014126143413,0.044667257150217216,0.0015860959901360383,0.004161627630196674,0.006482931389962504,0.0019634151415803963,0.0011613540198077699,3.258870803390934e-05,0.00020261361141218903,1.707597391620297e-05,1.581489082772003e-05,1.3736864508118174e-06,1.1614315695851474e-06,4.370445700452308e-06,2.8050826501591075e-06,6.676558691465218e-07,3.058615627438144e-08,2.3619160249843674e-07,1.4553106364445512e-07,1.6567153740265628e-06,2.219402429837203e-06,6.923363216060352e-08,3.4099027823586425e-08,6.352009951660076e-05,1.0420452285705983e-05,1.950202130834855e-05,5.969795176863357e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022692367788837764,0.09753312334527775,0.005407751903474756,0.025699976415096915,0.00971713912780059,0.005392236359227143,0.00011597630395243641,0.0067840573197240905,0.00033170416575356576,0.0006264801959490196,8.409382305862856e-05,6.465995618387677e-05,4.1157021814175465e-05,6.58895208394128e-07,3.95270127673264e-06,4.081044169268466e-08,1.1364769892940885e-06,1.915353919912377e-08,7.685559233472361e-08,1.4680865390026554e-07,9.780256116087571e-08,1.9995339606282414e-08,1.167109298094715e-09,9.736187855935441e-09,6.9805485836127446e-09,1.3931032416536482e-07,1.9329925149413896e-07,1.637445512514546e-09,5.5638424978354806e-09,1.7040805964096961e-06,5.196530397100219e-07,4.3429503737701936e-07,1.5695664656867336e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09857045934985309,0.02088447190762488,0.018785239336468695,0.015854062375453948,0.007823018291035044,0.0003326324187991059,0.0038503225106242267,0.0001890531944308549,7.845990126731373e-05,0.00010900438251493227,2.6554542890244726e-05,3.191487797826742e-05,2.7092256793537217e-06,5.001908547574985e-06,9.152770652498532e-08,4.645314788387367e-07,3.222506639311007e-08,8.540650409116779e-08,1.7464064772099164e-07,1.3062852777245837e-07,2.4788562313915463e-08,1.5836221223253233e-10,1.1952007161752931e-08,3.5957496979932557e-09,6.323815926467802e-08,5.3490176732395867e-08,1.9119590355387572e-09,7.3421406732165906e-09,2.546099562961146e-06,3.354214407447209e-06,8.295915273626164e-07,2.46527970482191e-07
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6496414060139188,3.754559440777914,0.39176559606604217,0.008873239735754379,0.028965736256031493,0.3814449194352043,0.01157885557011007,0.028674428383858808,0.0017949004955295222,0.0005439063560573193,0.0003933217031880931,1.1953144658738424e-05,6.757880836803787e-05,4.584990718980997e-06,6.174499361202845e-06,3.6431957384230884e-07,3.628776932274036e-07,1.7131347685578335e-06,1.0492212847434956e-06,2.0899190925072197e-07,8.399867024166952e-09,9.960681945919703e-08,7.16990231630632e-08,2.9595126568859875e-07,5.253672363814132e-07,6.193975776724869e-09,9.773649445321553e-09,2.389051497372896e-05,3.0411408241809434e-06,7.618037032822156e-06,2.3146405211393883e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16218772827936345,0.029746236811748705,0.0013899384386029112,0.001887740399374671,0.013569483645480274,0.00697364222882535,0.0008428468702028624,6.803767864793642e-05,2.2492890832226387e-05,1.8374426794420806e-05,1.1150483973931813e-06,2.175232391876669e-06,2.1202912114937078e-07,5.017895058356814e-07,1.3590592651269162e-08,2.125719089640654e-08,1.1822678969153344e-07,7.397244483620113e-08,1.74207740455401e-08,6.666116547648926e-10,1.0318316201463062e-08,6.205788327662276e-09,2.9381169386333283e-08,2.306300483922996e-08,1.87731186152007e-09,2.2698687374145265e-10,1.7000672176692433e-06,2.5993893600917417e-06,6.516966662983847e-07,1.3600118742296274e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.533672033311051,0.1480845329734951,0.15174841085093393,3.7840171319570164,0.14800784523407962,0.14914875994269905,0.0004137789351751908,0.0001447622097446588,8.436001143982685e-05,2.7335482714052617e-06,1.5319416251075024e-05,1.2848840251766802e-06,1.3427927653408833e-06,1.0882991774430195e-07,1.5686693632943616e-07,3.8443630606677104e-07,2.4835847378668063e-07,4.414654825035669e-08,2.026902645724249e-09,2.072023264076961e-08,1.602812771395179e-08,7.207581953494469e-08,1.3185365221879408e-07,1.121103654355693e-09,3.166257256381755e-09,5.3205907700470956e-06,6.713440716399344e-07,1.609111374423211e-06,5.186634864928763e-07
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9689366428139312,1.8985353171093462,0.36744564183254874,0.030371432569266,0.012014093108125623,3.7017283929519085e-05,1.9274593612117474e-05,6.0852919678278106e-06,3.855026368126957e-07,1.246646373895266e-06,1.8803815182710792e-07,1.1869677774001275e-07,1.7191328693932917e-08,3.305235829476061e-08,2.0243196188762802e-08,1.2013367300944822e-08,4.523358604346939e-09,2.841248347706937e-10,1.1392954357702934e-09,6.241307470844504e-10,1.825547789324755e-08,2.1371268976722035e-08,4.026543543034222e-10,4.659740371337762e-10,3.840220635098479e-07,4.451005075206682e-07,1.3551768306141465e-07,2.8489423153921223e-08
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037708928006212394,0.028847755295687616,0.0027091760304231993,0.0008017472634951339,1.2511075112242587e-05,1.1270363823534524e-05,1.6426548758996518e-06,2.2119376774654143e-08,3.708488451881209e-07,1.1745203432056428e-07,3.0414360585595546e-08,7.539663560152121e-09,6.438980237888359e-09,6.209674330293069e-09,2.8118254391529263e-09,1.882030531419332e-09,2.8682478614427964e-10,4.0676595425281903e-10,2.9988678207359953e-10,2.451171066120139e-08,2.5886179422229816e-08,5.310965001115164e-10,6.828031473560259e-10,9.898278285902506e-08,5.756301268977637e-08,3.3779039898540475e-08,6.951821340805964e-09
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012424528198895834,0.0008326561904004048,0.005447090005037625,4.263895757583569e-07,3.3661526455119883e-07,4.58016543580797e-08,1.8144671987130323e-08,1.2133532734104335e-08,2.697742029766914e-09,1.1533378696526597e-09,3.382236712923259e-10,3.803291015458399e-11,1.0550939011366722e-09,1.1170706581964396e-09,1.0923761895043071e-10,1.8167911619570987e-11,1.977618069304299e-11,2.1484369838731254e-11,1.2696447226900887e-09,1.310663355624797e-09,4.62978544391035e-11,1.47191148158754e-11,1.3832004097658057e-08,2.8198571810911233e-08,6.418117037831905e-09,1.0151770535316018e-09
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7723097493063205,1.6909758073502803,0.00011602174489550032,4.040190643377767e-05,2.465023849435033e-05,5.480076596953154e-07,4.700527717560465e-06,3.3016804801278e-07,3.845833148746758e-07,3.246496182995884e-08,4.897523431246498e-08,1.0444760080441373e-07,6.218343040487184e-08,1.5626889796060972e-08,5.511262557433838e-10,5.5928419673278995e-09,4.129218411641489e-09,1.879614777711147e-08,2.9205640461604787e-08,1.1095135921124211e-10,9.608045470343995e-10,1.5125404335403214e-06,9.822115518143271e-08,5.134213963142731e-07,1.467829541246246e-07
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037069074166408145,3.5551143976464417e-06,1.3578496188548783e-06,8.527601178531796e-07,2.4784624574891723e-08,1.4774507262060865e-07,1.3499020790064264e-08,1.4517623769805255e-08,9.723846172704498e-10,8.458802547295363e-10,3.889197186524029e-09,1.8652590583201345e-09,4.759526106568046e-10,1.89699367325602e-11,2.6839597211392174e-10,2.2117863096582369e-10,1.2277133754068359e-09,2.0523107657766104e-09,4.249489649055249e-12,1.1086376261459918e-10,5.897262767007305e-08,2.5988002194665683e-08,1.768596258333588e-08,5.328192109743668e-09
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.685434405651609e-05,6.133960042009612e-06,4.517186621089131e-06,1.451812217112547e-07,8.648276318412584e-07,4.712762136094284e-08,7.396267254211608e-08,4.978920165044087e-09,3.835118445039143e-09,2.351914196729865e-08,1.5660531760275376e-08,2.527826503673225e-09,1.0018119667165593e-10,1.2823269113226843e-09,1.1503584751437756e-09,3.173295959335576e-09,4.1923311489000525e-09,9.128031663863112e-12,2.758309136652315e-10,3.282891435363311e-07,1.7482426062365164e-08,9.48695482172468e-08,3.287072058988372e-08
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5304300143848115,3.6614305899643305,0.13914967933039823,0.2685052064982432,0.025782749994177734,0.032358891295727166,0.0008128307331980444,0.0039104581848390385,0.003796311540629177,0.0033997439103756744,0.0006014034590558215,3.0570504622629e-05,0.00025402103609217797,8.596759868573223e-05,0.002930613611543814,0.005089979221449825,0.00012640782158745978,0.00011589636445075158,0.03175848510160609,0.005499112053146599,0.006025716202725517,0.0013169604801963608
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534031396483468,0.026289821543846514,0.0604734712855244,0.04229153585752954,0.008763215570884358,0.0010256254515556007,0.0011051948445061077,0.0011644234074632415,0.0003280442004492956,0.0002802392059489678,4.876825823951769e-05,6.329876413269098e-05,4.1523719365388345e-05,0.01132040091210558,0.02876879525727416,0.00022666174221319668,0.0002629782964157501,0.011299855604203171,0.003270098786445984,0.00184397437907656,0.0004243727501684891
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.686208856583166,2.764409488505444,0.09640777091994768,0.17506515226951808,0.007015201469337651,0.026679918017172177,0.01991113799923902,0.014550207938458515,0.0030939237872241038,7.041716499989192e-05,0.0006275590421727095,0.000273805059047616,0.0018645430912144906,0.0008557729272107295,0.00015517582250867967,0.0002345639004535105,0.20081310915504286,0.051888877312542006,0.028948756735326195,0.005230180742727963
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09666426207259593,0.030233387807941936,0.00484516067899643,0.0021331041821106567,8.834286489323162e-05,0.0002878303243009084,0.000112307614422269,4.999473671452037e-05,8.344247473424105e-06,2.7359347867017547e-05,9.245133163471309e-07,0.00029718343005824543,0.0001617535498261713,2.6896196315018273e-05,3.224349340480437e-05,0.02254767746333053,0.05141891303148571,0.0035703110718542375,0.00012055839264157875
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7380023902899229,2.4705673753392716,0.09108503954624281,0.09641043997498566,0.15285016404623905,0.007393754673726827,0.03296935201745532,0.0010344355011646655,0.000691457683329455,0.0046991083088296914,0.020822629978385215,0.007445008412887866,0.0022887807665090687,0.0008044704412499826,2.7650153617913666,0.2813788533915991,0.22080811686022406,0.05400223984067998
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303724967584447,0.031961105410654334,0.004177011386812257,0.007637073646075132,0.00011507774449559527,0.0012602042471957509,0.00018797594375707938,1.693806243530105e-05,7.932852161318671e-05,0.011078965521239992,0.011346549289969365,0.0008689452176662282,0.00015584419493408497,0.11082749538437375,0.028567185702404685,0.010308714691892984,0.0005351392413042166
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769820212339165,1.9181522590197053,2.8190422092306098,0.08266324640228295,0.18534889708396432,0.010791699080336281,0.009481531909401708,0.03055319586402283,0.15688771192695428,0.005147000797155021,0.03072576084876477,0.010325319899343155,0.19795588988267,0.043109499720439426,0.03243708567342561,0.00217820021841042
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023409718336137253,0.08137613767500373,0.004149182797773321,0.012782394799871533,0.00599120811612841,0.00021852154990376071,0.0008368552433162257,0.029804370543217384,0.00027627995476375844,0.0015505597702918372,0.0005316232523007169,0.010383303759901263,0.0014781214386434538,0.0008968927919368319,0.0001879663027135603
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08022704584372531,0.03537688336648914,0.009070962302384133,0.0001974041793109116,0.004200539715870422,0.0005477157193725102,0.009158750499101087,0.00011316529590832403,0.0004447568748473518,0.004671811516324009,0.009797544888071386,0.0016210494936241826,0.014427563921609932,0.0003386862059044926
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9190321792905882,2.594313228665441,0.08386682964039749,0.08122374717359038,0.08616219010592707,2.548821816307364,0.08666208734331415,0.08868425336278585,0.0823543793030923,0.030897675103611466,0.007781661736202969,0.005423114082310082,0.00036713827419410094
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07954607261730473,0.004281950894932551,0.03480698159925644,0.0047857333157652615,0.08205556199681263,0.005408957935218561,0.0035977632986177177,0.03470932866936716,0.0008744007369700935,0.00022606598829510993,0.00047550411228880485,0.00016597849779276252
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7869396663581179,1.9991118881938554,2.1554316051675935,0.17283639562926034,0.030384200032132602,0.01196273060545816,0.007593570741551092,0.006023631184178313,0.002091082766777941,0.0006545677087235607,7.63134651647901e-05
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022971759323163754,0.024247915613563764,0.03166210338658493,0.0027973050425997847,0.0009376997721077807,0.0003749845945955066,9.107598819957374e-05,4.839860277461305e-05,1.4636305425419494e-05,5.040231620956348e-07
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023403480276409594,0.009185705961118895,0.0005520375574865621,0.00018759095186648977,0.003785809775632476,8.159155632148085e-05,2.5952845303489624e-05,5.173963502969059e-05,4.41329357836473e-06
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009578177501459617,0.0006059472585444592,0.004839778794111238,0.0001337657822499949,0.0014323538558338456,0.0004776389528049485,0.00018033523327853906,1.5304037856544994e-05
