,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35C,36H,37H,38H,39C,40H,41H,42H,43C,44O,45O,46H
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0133288060491366,1.331588545982847,2.321157830274571,2.5636531357335235,3.2320778389470166,2.3226772116679912,2.565731447444503,3.2314117885120095,6.293062471509346,6.884241524496275,6.947203611654733,6.584167073911008,8.105100531709576,8.300058724691088,9.414793213921465,9.419448323999768,10.221606827144441,9.937056240902463,9.269983510647592,11.265205989921318,11.218727742119531,12.00590886076143,11.749753452708172,10.306202533654233,9.497651650208363,10.894314554971329,11.021524112610136,8.009328112431952,7.225977815697346,9.141830578974307,9.21556494444017
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.012845887575138,3.212638137300306,3.540489278477781,4.05529035174242,2.5091537923466216,2.362781354700046,3.478318890552963,6.36302420468139,6.960057698914001,7.088960570341593,6.73774541486786,8.349350419898816,8.55795523595109,9.581112414037733,9.572127200095972,10.456013956935845,9.964767667900478,9.210802920586195,11.256792057751293,11.199469731467667,12.063508434259065,11.660268488807532,10.344912142078483,9.553861270348646,10.84656093394257,11.13497143507533,8.414425700580276,7.685826503179457,9.60813684960602,9.759858535624783
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34104293280677,2.054252423280907,2.056150014004336,1.3452738741074162,2.059694917366833,2.060100002850069,7.503941399269492,8.073079168682746,8.098862893742055,7.700374707703579,9.180321688763037,9.372215213715418,10.52435436600725,10.507154103741314,11.280850569188047,11.13749482147284,10.511412626911588,12.46748892049858,12.401176916015192,13.17354320946033,12.994102912708016,11.50835464933961,10.689841706607918,12.13613761856849,12.17700108144939,8.9328890932167,8.074556327583915,9.997271192162595,9.967780734514776
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0099329712658194,1.010479525894957,2.315169209718002,3.2344480380212506,2.557625408513776,7.820351297040842,8.323508147742862,8.349926501315716,7.982206995589322,9.270117834859036,9.409106619115475,10.684763272319131,10.70876057281866,11.33884553815432,11.430011426344059,10.914523286587182,12.794468694382187,12.762500341254288,13.411971154496497,13.396751484281019,11.747206610969455,10.906816986117226,12.455314267486429,12.31517140883223,8.846801635136543,7.970471147770428,9.785968423998671,9.658423066964383
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7268744663517415,3.2348582064794793,4.091305326006654,3.5416062196888203,7.2429243360863005,7.67356033791601,7.774024265489131,7.4783329863034,8.597926634809827,8.671609501159441,10.056445170853198,10.147413349277443,10.654900324722483,10.838504457742884,10.391944477184635,12.235720671999404,12.259458386638295,12.80085862208952,12.86360249730241,11.085773372257743,10.224784564578801,11.827177899492295,11.598177621162142,8.139435083480228,7.315988407602763,9.01338920289681,8.884124950083372
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.549712219580971,3.535516180015643,2.418557583043772,8.766644057344394,9.283217126775675,9.236499298029749,8.830735269206555,10.112749877712275,10.272191597913915,11.522977161793868,11.513800846996297,12.145985383695441,12.326808235920295,11.833043867009371,13.67474884201215,13.614437112360411,14.271429209096318,14.306276670297972,12.669968150079919,11.840955102315775,13.402900395689684,13.210331333335587,9.59446729691582,8.670684923160787,10.486004450349446,10.285551951070156
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0104722029020055,1.0105118710682803,8.601466176302663,9.205054457613013,9.19708281377368,8.749590143651506,10.345971823111018,10.581613045310142,11.63493461642222,11.560174628802173,12.435059071835965,12.194985056277215,11.504942099368888,13.48080159227227,13.363981357599753,14.235479117474275,13.967532807581057,12.615920186703413,11.818476152072698,13.19657921093621,13.333099105278713,10.135172402660357,9.247570416499249,11.237096647738035,11.206026584052617
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.724823646118873,8.636769474134233,9.289428896690803,9.237871157484681,8.762188634641785,10.470438396228602,10.753461400271032,11.683448449120384,11.56520006850343,12.542378887162132,12.156224898373964,11.397604936075618,13.39149326540169,13.236898833968485,14.201098475401855,13.825075303023771,12.629617727806453,11.867882277450574,13.152485171590211,13.40708887965813,10.361775127058241,9.487562150125138,11.528798018605984,11.550060224234034
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.516319141738716,10.082500937022658,10.112253338892899,9.671414582171193,11.219200554330612,11.429970220339362,12.53760230896802,12.472258736569351,13.308130330854608,13.13359031680855,12.466787512552617,14.433966886889733,14.324007712384166,15.168314499878807,14.93670034788095,13.528593939026557,12.711879534528856,14.125127391692372,14.219775578178927,10.945667012600637,10.040580306080294,12.002562880630448,11.925222442123664
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2272708851160838,1.3632090454490176,2.0409555421643297,2.4739856466700774,2.5137996450478006,3.5981990565398205,4.0352120467126475,4.465174895681797,3.7953055026256264,3.283799530311707,5.262033945494749,5.537229030128417,5.940250172069034,5.732315324911153,4.014583378786776,3.275792184015865,4.664228164836538,4.776705992783962,3.447095025095652,3.676778897537198,4.558948733874516,5.240649093850997
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2894473997713556,3.1598573961702896,2.85955184769931,2.3982268913279743,3.9381239452847856,4.636469147329133,4.640994951743635,3.9170590234994744,3.567239784368109,5.436968418409313,5.933191899621847,6.016801879566346,5.805802398217128,3.6480682326180878,2.685069949189434,4.2270602367588515,4.34720758605243,3.945468551581892,4.41615489084377,4.8051399367253715,5.566110941668633
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0133426967478423,1.4569646653183423,2.0620920713870077,2.508812425906481,2.7693124549206756,3.422281483526411,3.0955117019954206,2.742559383537558,4.462632795526436,4.585301791844975,5.086684118070374,5.129980865010721,3.734355304710622,3.298043354245422,4.548144072940977,4.388106158861154,2.4099817408008057,2.6958079900053815,3.609046796056967,4.286940184320849
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0943357879439612,2.922920269318586,2.96048571933538,2.8420127842297522,3.8778383475915206,3.709552556499141,3.2861993071447264,4.892010491341319,4.789558464810475,5.547743326352567,5.608009583703073,4.591887551313515,4.264905376637265,5.385548513284514,5.229800777308394,2.5298010724866007,2.386101139436913,3.847544985605809,4.352847857913431
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093681431183236,1.5477814841844102,2.162739121624567,2.15273170466283,2.6053696284911045,2.814618492906686,3.9306517888334453,4.1924495572837674,4.267540671917526,4.766654176906325,3.1298220960472016,2.859356326602663,4.146783055830325,3.4557854306766385,1.5276354677364032,2.433569914299706,2.3828599195263465,3.2219076350805587
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.175505187920491,3.068961828031438,2.5005191917858287,2.8507330986859465,3.162817982807301,4.275203412737592,4.774431742556153,4.51251024626513,4.995912175359833,2.791178576444907,2.2549224820537868,3.8177899705081426,3.0107080597842053,2.140185288349386,3.133987244839501,2.615311664102313,3.5156213708858424
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0996913615260808,1.0971524658229466,1.5417701777528916,2.1492233226550392,2.5131809061773325,2.749841076439868,2.792636803018947,3.477158158113426,2.560851701004887,2.8731080377501907,3.5077346364216613,2.8031424010896875,2.530682698007129,3.461012963562544,2.9512875282401976,3.808008758445827
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7616975461358102,2.1690765728930113,2.4960295366683902,2.6859214067470427,2.4598841660536794,3.057922777105933,3.6964611361450355,3.501083256016319,3.873942491162878,4.324946576133507,3.7948702267956924,2.7419242153621424,3.3740111406225965,3.2975133779505867,3.9715154322020716
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1707887492610234,3.060396929658478,2.7702454426060856,3.1114216862066972,2.5991597687713384,3.7841635893344385,2.808484934319799,3.2393206026400527,3.7885929677072454,2.6045126251694755,2.709709883631424,3.786865967752985,2.5896924630795066,3.439114356161773
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0995811819949906,1.5373413981253987,2.1937660399143173,2.186113531285138,2.1824939517825013,1.5372694078196378,2.1973240006767836,2.176708949251721,2.186431636939325,3.936138642828085,4.832192330760431,4.3753343096521835,5.285186713219101
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.147659417990415,2.50416895638493,3.072260308825222,2.492134200658115,2.149857076000471,2.477691960637144,2.519671475081672,3.0735184099295645,4.22298306868552,4.918924483715281,4.942733742609937,5.816208753749817
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097045382677033,1.0977991600561763,1.0959473068613084,2.5334328709380376,3.496652469039035,2.728355900288275,2.8396031411798424,5.039312988296866,5.9030637253964455,5.30108362837597,6.138501021789543
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772775939128352,1.7722502059537093,3.498407302444852,4.355411961738036,3.746330877561342,3.8460938511137748,5.126680686770423,5.8235149876980845,5.488063489402279,6.225615948975415
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7698794751949931,2.8035893828047893,3.83819058823915,3.0749555338245504,2.6675488943390797,5.200024255373761,6.166957667783043,5.179031767590327,5.987367636613414
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7733331590612886,3.75481009015616,2.5139380429827725,3.194581560455047,5.999818749579667,6.855090957671605,6.304936311524173,7.17291528192226
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095146785174718,1.0962751564336863,1.0984336544890625,4.512944663392063,5.550437585105646,4.744534987689688,5.718204507755449
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7654403889663384,1.7795974279152542,4.2691286400160795,5.25200364095032,4.615007195649162,5.580710543267439
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7690012328381004,5.574885017001223,6.572153368024198,5.838636955075701,6.8112283409125585
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.608603580270602,5.756308513142449,4.519854602471131,5.474460325770347
43C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.215400233857888,1.3447127528871876,1.8810240256656283
44O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2547866311402203,2.303424824176517
45O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9768613493968075
46H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
