 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,C36,H37,H38,N39,H40,C41,N42,H43,H44,N45,H46,H47,C48,O49,O50,H51
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031409052617442645,0.10119897876758133,0.00486837472965318,0.02781026849194923,0.003129928582458197,6.364976269757072e-05,0.002814302290957693,4.509076732972517e-05,0.00100776732627339,0.00010846599213665264,0.0009597936548397801,0.00010463067742771948,7.94245494772916e-05,8.717125563084682e-05,0.00040616720711361687,0.0008128866605734419,5.6677425575690776e-05,2.998390616526514e-05,6.979257032613262e-05,8.9817675428705e-05,4.868286472392569e-06,1.9330357709845813e-05,1.3103449139073575e-06,5.6167619733260565e-05,1.9997124978132774e-06,1.4416593234756192e-06,1.4701278194806378e-08,5.428407008345459e-07,1.7432553123253314e-06,2.966678709359627e-07,7.380203448370537e-08,1.1854055070870118e-08,2.752113203996487e-09,5.562250852131356e-07,2.9680429225464877e-07,4.186463264943541e-08,2.6379080473315497e-06,3.9539250595854725e-07,8.70193933644181e-06,2.720351170992785e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3949881040803697,0.031221706768818858,3.277200257883632,3.6527611811917162,0.1312402711839158,0.2823507491049828,0.026895840867199095,0.33091766317491517,0.027218557178032565,0.2275789857009126,0.0038744069141471993,0.002706927366910916,0.0005484440552414593,0.001872886896657433,0.0005171720908019317,0.00026303742970931743,1.931817416833681e-05,0.0006195153451943325,0.0001188424113933717,0.00022504792789868056,0.005192043804173624,0.00020946917892605832,0.013774643145573418,0.0005499276298182587,0.00011414459196168458,0.00015122427324087973,0.0010266549082204035,0.0012274291798496373,0.0004597942103837238,0.0001631576269152668,4.399642222729927e-05,2.108394123589985e-05,0.002714848759969135,0.005954936926050536,0.0001179060478609939,5.2835948872731464e-05,2.5904438528734364e-05,1.2768393350418017e-05,8.18968685534216e-07
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.874246162457208,3.3363436729088067,0.046586984850366775,0.004076824119222389,0.2572632875266748,0.00718434020519787,0.05543528850392057,0.0004438433112861073,0.06568873548566856,0.0029840219116348266,0.0012109185195451067,0.0002928904717469927,0.0006886860377423865,0.00042733792091420586,0.0001134876117145911,1.632098070281085e-05,0.0002903542439511575,0.00040401837093018145,3.482392595333117e-05,0.0003597462531242379,1.8137609234525343e-05,0.0005648178305273088,0.0010511472078405804,0.001996349698799582,0.000205132263376262,0.000922408526033508,0.0026698923466237368,0.00023427986180468707,9.619091493670573e-05,1.9099357032370534e-05,8.704465840336795e-06,0.0005453041736537267,0.0014510716781672706,1.8706542881274935e-05,1.5538548456012213e-05,6.908922498841119e-06,7.09044524853375e-06,3.7683879361427586e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11998077781630012,0.0036148761913669114,0.0013781837496742444,0.007358170807736375,0.0031792949582203356,0.0007264344328542505,3.6104459603336636e-05,0.0006369150465569406,7.020477261998614e-05,1.8031130476825474e-05,1.805466023019342e-06,1.1813825698481217e-05,9.252461985020943e-06,2.3131083295435673e-06,2.2596128168572704e-07,6.113040294963845e-06,5.8451268474257745e-06,6.008640716093083e-07,1.5204201391005867e-05,3.536210273047402e-06,1.4084074997366969e-05,3.912140644313222e-05,4.3791933000303374e-05,5.0701111709017255e-06,9.255200521307572e-06,1.4461811524313362e-05,1.7268378588175537e-06,5.172538987130437e-07,8.223930580975036e-08,4.124628549817544e-08,2.1643407230875766e-06,5.3147141523268715e-06,1.1420755718916098e-07,5.80811897354927e-07,3.1294218316713085e-07,1.1212300576879386e-07,1.3652781571948935e-08
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3075316754634513,0.027495218169659275,3.6655022622844697,0.13482412179412373,0.21806752236455532,0.0039301431756495475,0.34894551188354905,0.027949774658688975,0.0003416189546789905,0.00029611053409495103,0.000738484564507258,0.0009696736964935893,8.84660080486821e-05,1.6027949378938366e-05,0.0002980264619072692,8.827413648604399e-05,0.00010400111075914431,0.0019828248210614074,7.741249443582454e-05,0.003032326173402655,0.0015131292017879494,0.0010394330243879146,9.405442558785282e-05,0.008151346168755125,0.023279723489006088,0.0013256901855330794,0.0004327642956577088,6.230956999520032e-05,8.069635561946953e-05,0.0035184886373503532,0.008623966561332352,0.00014141752226604076,6.453014294083292e-06,5.028360752556971e-06,3.4920102184587964e-06,3.7438520084087656e-07
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8857600936314982,0.29822586033275955,0.003568513950057195,3.979240560150997,0.1311928083426117,0.3177690222675047,0.026115385157097215,0.0011732175221552121,0.0003762819833312281,0.0006604904760876551,0.0004582610605057269,0.00010627134855065168,1.3573491066010135e-05,0.00025760327331064703,4.695840864088474e-05,0.00011233728789616926,0.0015114014850327873,2.4324420162979976e-05,0.0022132868280706486,0.00033128248926367343,4.307616581744611e-05,3.902437640368461e-05,0.00228730633041202,0.004167424159132516,0.0009680315662835837,0.00044895640120774793,7.256462248939055e-05,2.9559948233282007e-05,0.006425689228308634,0.012968675620459336,0.00019845927526096485,9.763326089595736e-06,7.056913320646618e-06,2.490519359549248e-06,5.973831967986953e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034407772795950198,0.0007245886323410389,0.1308871944248089,0.008539609170057583,0.026727013621172135,0.0011265925913397368,0.0007247042304538986,6.901331791975274e-05,0.00021093749009448715,1.00982747477385e-05,5.021308864328056e-05,1.7121315210033572e-06,8.488307214671309e-06,7.904931309532515e-08,1.4749391439305981e-06,4.4357856407994944e-06,2.855521961109275e-07,7.834526416727883e-06,1.4439704789648289e-06,1.4076053500566843e-07,3.862597348636143e-07,3.7600220395006545e-06,3.3600366735608844e-05,1.7673650447580513e-06,3.8068819729897285e-07,1.7255618267597583e-08,1.2310416241945177e-08,4.830165015179411e-06,3.9558575378739746e-05,6.191489683171625e-07,4.746859455728725e-06,3.020109444973329e-06,2.793407170020856e-07,7.727523954059734e-08
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.919049029577682,0.32016426697632966,0.026587637077928994,3.9228196375074034,0.13109299257184026,7.698216620941056e-05,4.671599673881921e-05,8.063542240271948e-05,9.541525806511242e-05,2.0021779945367246e-05,2.592900972597789e-06,8.091009780747394e-05,3.0266891006158758e-05,2.964504536251411e-05,0.0003700138337305592,2.8938977423731416e-05,0.0002042165773044058,0.0017264942207483869,0.00024213573885467632,0.00030509655200283703,0.021665745340624043,0.08773831545915045,0.0030611043999881626,0.0008846903007437151,2.1406214125607725e-05,0.0001494231253100775,0.003098594498285534,0.0032307815350286484,0.00013140437912284586,1.5172129351481711e-06,1.139951258208316e-06,6.312788504714284e-07,1.0148755114069985e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02703446429506773,0.0011399050086149387,0.12597330482200997,0.008240495157380456,3.3308564277856334e-06,8.4989438331462e-07,7.521281679689906e-07,1.3748331879614994e-06,1.6811019731832744e-07,1.9461242173335336e-08,1.6082450509102841e-06,1.417814008419782e-07,2.900741447042776e-08,3.239457061265938e-06,1.181443204600896e-06,4.1760091620268724e-06,3.595705174719299e-05,2.2362188408786565e-05,2.144320578434389e-06,0.00028833656255411455,0.0012937346922841098,4.8295499042394496e-05,1.6906917232994978e-05,2.1634535962711254e-07,2.2124854619498535e-06,1.0407984735061326e-05,4.029580149977896e-05,1.1277118743269199e-06,6.272594932354991e-08,2.114226493876714e-08,2.3485957512114908e-08,2.3405435367607197e-09
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1161323651239896,3.6391932730747523,0.1233697212794671,0.0002017922847204201,9.986679263497555e-05,0.00022118140118648766,5.5712058848578216e-05,3.2750953512794556e-05,2.637292917606615e-06,6.196494512200612e-05,3.01342557498252e-05,1.459991499852542e-05,0.00021118266452732626,7.438651492996939e-06,0.00029526770115828604,0.0003995320483115572,4.44830906500826e-05,0.00010703426058600307,0.0015552599212253493,0.002218521383455241,0.0022610411104355133,0.0008636166619469254,0.00013198015977744504,4.899215917930633e-05,0.023485676359029234,0.08565157258002032,0.0006150153585192664,6.3977263891623615e-06,1.944509299980912e-06,1.3833983997374455e-06,1.5155522237186858e-07
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12485436225508528,0.00800867545307371,2.2749758661344543e-06,6.439443239747433e-07,1.5092247782622081e-06,3.2807505601084586e-09,2.2881116357176268e-07,1.965437346207466e-08,3.5120132091392975e-07,6.815754516331651e-08,1.2487559697405004e-07,1.615829569256988e-06,3.248377011821901e-08,5.048532528695304e-06,2.7408374760895526e-06,5.438675909630319e-07,1.332774746121146e-07,1.3895621536530456e-05,1.2323948627823711e-05,0.00018914938679914783,6.421718452176428e-05,9.2226570758136e-06,6.811275830020946e-07,0.0011373138563857133,0.00457720869613043,2.395457343351559e-05,2.3669301629780648e-08,5.674242964381904e-09,9.97534888025342e-09,8.92568685628703e-10
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.047270936838224,0.0001473259409990324,0.00015057372465726582,0.0002960623929611217,0.0004060355436893426,5.179947369579607e-05,1.5178172829255487e-05,0.00010353761097647851,3.691567427521747e-05,3.6134695132528094e-05,0.00041119893955118836,9.956187855264531e-06,0.0006927985556788308,0.001568631556354172,7.978655673157586e-05,0.0003369906705161796,0.015149941210636397,0.04575440650151252,0.003068917332787302,0.0009647076533748911,6.937443545629307e-05,0.00014130006974466536,0.020103956342290508,0.05914300295282349,0.0005102541153517715,2.494492574334206e-06,8.401522542667017e-07,1.602430215630335e-06,5.207445490373885e-07
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.663546609329217e-06,4.819864629634907e-07,1.817335135267939e-06,1.327379413273988e-06,4.209189237158739e-07,1.0631740376965126e-08,2.889852526166692e-07,2.3152124661862672e-08,1.4640192613768477e-07,2.7528743007376733e-06,5.8483017761901124e-08,4.518915633910936e-06,8.692541249466501e-06,7.680187541492245e-07,2.84481923329416e-06,5.3516059978164776e-05,0.0001831562887140148,0.00014113558597839138,4.550076798803815e-05,6.780210392909325e-06,1.1869867611036256e-06,0.0009875885296182219,0.00174365223616757,2.1378068138178108e-05,4.6550728161065535e-08,1.6277243664042373e-08,8.78494754719128e-09,2.420689426685385e-09
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.316592532602492,3.5698457052647554,0.13179910529904681,0.274935046791436,0.026275782293893934,0.035001471427453856,0.0006829441650502144,0.0040917146587871045,0.02005378058241214,0.0028668379134566546,0.02072552789650617,0.0023108134672102376,9.896129573827572e-05,0.0005701772184336651,0.00022365698958984326,1.3779911613442941e-05,3.3226469691671756e-05,1.4032825212242916e-05,5.0868793501912535e-06,8.797536354965274e-07,1.2086773161529285e-05,1.4608797914705818e-06,1.5191195054109485e-06,0.028972982523364416,0.007454490684207754,0.006272207573344929,0.0004926288199768036
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5474016040032024,0.026072131335095228,0.07192304713163851,0.05207570094160252,0.012425599814134117,0.0010309743407274086,0.002327040493542154,0.02495660095649202,0.014675741353671334,0.005207961198066213,0.004185650140533778,0.00030069921422437584,0.00016512066801399605,0.00023890361002073396,4.271680341672024e-06,0.00012014523211284489,2.038212988464405e-05,9.603359693688418e-06,9.444388845425422e-07,3.248389956303499e-05,6.8868211210437735e-06,1.59632635043927e-06,0.010032378768045747,0.002644664501687058,0.0040545788818886555,0.00063061270917808
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.604205808047058,2.9082720303267404,0.1024516654757498,0.18115859574917756,0.006871355471436358,0.025102549097633764,0.022939954337422103,0.0007759292089968284,0.011055005243566507,0.003039803863649465,0.00014877837273818972,0.000552852900169265,0.0004712009793849392,2.6033505361455767e-05,9.127809143918975e-05,2.5014115474689125e-05,5.759016564077513e-06,9.122213961987313e-07,3.7697637370784354e-05,2.6565113545595764e-06,1.3924125739084303e-06,0.1729527329184069,0.03569199023698377,0.046166551723840016,0.004155541916054273
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09633445016699382,0.027325065532259663,0.00478805607976851,0.0013972377946755987,0.00014291962543122594,0.00026847926494766305,0.00010700524613005413,6.243424069940495e-05,3.555546498046347e-05,2.8437471524256352e-06,1.6442841082930926e-05,5.367837741521164e-06,2.873324443930514e-06,1.3963336578104446e-06,4.197485731216588e-07,3.8353667530799385e-07,4.796771202464356e-08,3.308096717447029e-06,5.095658138776216e-06,2.5098482048235837e-07,0.0118040676371306,0.001741514043668957,0.0339215050019106,0.0008245644218416448
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.742198829024874,2.6098705262748654,0.08198180712871328,0.09216077134758627,0.17021231043935758,0.00829963565027092,0.009059975371406237,0.032427437987443714,0.0008860439716054103,0.0004055969709289009,0.00565423420409486,9.552885822494694e-05,0.0013728717444188576,0.0003698178591360485,1.673613539143748e-05,5.890993268864442e-06,0.0006114831774543805,9.596932640798528e-07,6.179424327901195e-06,2.60819166657105,0.288873739836902,0.2095686871770589,0.05349486282899485
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08142788286190017,0.03125379043184928,0.004592341309262338,0.009553320710260715,0.003770050318224305,0.00022116845327624368,0.0008022209078687448,0.0003512443894162498,5.387884477237037e-06,0.00013366075340004446,8.651742866128131e-06,3.9415425016398054e-05,2.4125561673526974e-05,3.0194360933766262e-06,9.080489480339793e-07,1.3608483853455589e-05,8.907496096277612e-08,3.757860227437959e-07,0.11561959180713233,0.026836011444031027,0.014586302364916204,0.0002770334318167311
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8299502809248238,2.1404493547246686,2.693420966705224,0.0827845074843292,0.08813077843175843,0.17557780086545585,0.010098209301238725,0.004669337113554661,0.03296789805947939,0.0005280459564245277,0.0067008321691448824,0.001363314921988143,0.00015646349792886038,4.670743792578591e-05,0.0021959297527351374,1.8172104210623097e-05,2.9826139926969475e-05,0.19201776925892525,0.05305199445396844,0.02611068674915175,0.003022084544512582
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024207921738104154,0.08467064566752902,0.033996778735384536,0.004773094968931524,0.009259885864862927,0.005113865593813438,0.00012872727860679944,0.0005724721422597501,1.5267356982207048e-05,0.0007160925168370191,0.0002524075754654076,5.136522375348562e-05,3.847408620361037e-06,7.683102918720763e-05,4.713536508660354e-06,8.924746565330821e-06,0.009400744788931936,0.001424403499154625,0.0006936666460231056,0.00015095687095589838
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08320142333520164,0.004479002612905569,0.03337058813131488,0.006677029358727715,0.0001574331684166541,0.0021525713532872803,0.0006378144816020503,0.0002287606574362666,0.00010251689034124212,4.329646138678811e-05,3.311261590255299e-06,1.5795369325832809e-06,1.2266775012648168e-05,5.327911102970262e-06,1.5159338526693489e-06,0.01276526533268263,0.020065715286412322,0.0019965938885073697,4.457282313086175e-05
