,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25H,26H,27S,28C,29H,30H,31H,32C,33O,34O,35H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1913401578642318,2.629835049679894,3.1971636623059245,2.8683676621328495,3.6982179909753614,2.682923713134985,2.363951085222628,3.5073549336105128,4.488960816903213,4.005880744131374,4.416063967255831,3.4276583211448037,5.326988561157989,5.349964493028578,6.00472885306333,6.419939301852547,7.867167722046067,8.282572362204581,8.669180185101952,7.794391360526873,3.4829945156575395,2.869721471203608,4.815959478784753,5.042965901893384
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2882060949339518,1.2409008332487703,3.7251865955985326,4.898692988307494,3.338407107804488,2.403600416965745,4.48575718042359,5.360687395182653,4.585532424843233,4.479720546366817,4.022769446099055,6.070920721423588,6.434952174376314,6.726689152368121,6.76389054689916,8.470373210679915,8.900271116891437,9.120737296781554,8.648220273608144,5.097268637351964,4.799951070681317,6.439160909490934,6.876014827544004
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2585862787046933,3.35695434135095,4.577419830386773,2.6244894279120055,1.552298797630381,3.6892210706160333,4.478739636653504,3.6234883509290174,3.323673150453557,3.2349103599837754,5.125357789385026,5.652903850187275,5.704718047986221,5.777087103660132,7.512979469248715,7.871669236582041,8.16002927848913,7.803380316064389,4.61820243133977,4.609376167768973,5.893748396681809,6.4779622821279
14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.899551782470986,6.065602545328021,4.568369809480023,3.6043191976705744,5.706338682027667,6.579678023002649,5.682702923298373,5.502872488895967,5.041587555026085,7.135469381536898,7.51130190951159,7.834808219310875,7.636104423050364,9.386674106978388,9.879769432816293,9.95115176314878,9.587458739126296,6.299608341617188,5.92103600789858,7.6512529476709,8.054620010650654
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2418711777217468,1.3496363374891387,2.0774913718671963,2.410508318837817,2.741688941624256,3.706768010574642,3.8979861523736754,3.948549389193643,4.962972657646957,5.21937972321217,5.11220599119284,6.476815597772617,7.750679662744112,7.781223108785037,8.697497832927384,7.838857451010932,2.9389938031206597,3.2778125577555595,3.8700008509947135,4.437277577425368
16O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.282319553770841,3.2158252183686837,2.7502540726257996,2.7718759715332855,4.261782861945183,4.614640421299057,4.636828190390105,5.2520584136381565,5.353624615393654,5.244707789468813,6.944578509681153,7.987557099378972,7.913693124268463,9.003536863239328,7.980425418053835,2.847621534569844,3.2945687143302234,3.4009041162439906,3.8798006280337494
17N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0816057205269554,1.4421717369013158,2.094489482146397,2.4312228900031885,2.589583544614256,2.6814275387915973,3.8078848604992794,4.193258477276531,4.083805014105681,5.195085260404422,6.575233874070545,6.680040168553326,7.474479335087344,6.732475836744205,2.462845512864224,2.9368653219702865,3.556068077366007,4.249944453760055
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2156594889709904,2.984677958192026,2.5856901798263188,2.510158991077555,2.5204767269171855,4.106743962751918,4.582988546999822,4.552340934434059,5.178418413648509,6.751489987762282,6.977554819487679,7.548529216789756,6.975234109536011,3.2326460385565476,3.4636614477726946,4.443091797326278,5.091342566389278
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0985979525528256,1.5463835825070664,2.1446216071742508,2.162855077730444,2.567608687695934,2.8671164832116514,2.7859551356830714,4.198133705416878,5.352376916067777,5.405343381266182,6.323868054460082,5.441822984205362,1.533428590122515,2.45448059783569,2.4006102769835143,3.2195405062338924
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1765720019056674,2.5220879855924054,3.070648164724606,2.768497407048177,3.1618358205966124,2.5345453813193153,4.461373294825051,5.398505121265256,5.227034269716714,6.4039693368727715,5.561382285208977,2.1239271515978966,3.2564111876879562,2.3937923913672545,3.343719244876381
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0959994497739514,1.0956238663035676,1.531269089760704,2.179828141358881,2.1734875888972587,2.776488045907497,4.19346952025529,4.429414198330454,5.056885510984634,4.422125515422515,2.522283258060899,3.188355903988389,3.2926928590617193,4.046170601425324
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.757935627330909,2.1676761331699996,3.082349335107273,2.5437102260974287,2.9206990712023977,4.500230045692937,4.659771244958996,5.244436192759898,4.960645415730433,3.452414828396744,4.143590703124885,4.204763344238301,5.031003772199896
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1760188191170755,2.5168651150671675,3.084846928726907,2.994752233450425,4.52812114437206,4.992194003170558,5.291600004191828,4.642736969218706,2.748411302275305,2.984729834850883,3.7589012954905803,4.327375544365052
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095663937909925,1.097211020155671,1.8397068289822778,2.789348635696249,2.976426898288907,3.7618667668995376,2.984881333486962,3.0545478897276204,3.81951574381803,3.248412921303433,3.9419239063811924
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7706864626037917,2.4195546589333583,2.896564510096463,3.189878201787379,3.917160061237586,2.6709519240253057,2.761221920809017,3.370925235316709,2.767879121005501,3.247376536889377
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.423758255233608,2.9317515947110784,2.697800404000857,3.9426482337844906,3.2499111941548593,3.3876247524058107,4.37493420596446,3.248567873110951,4.0496817425556895
27S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8266174638453332,2.449612537021802,2.3924094540267697,2.448401348872641,4.769524486589446,5.3288700635674235,5.03796000142594,5.635989593882236
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095749857328223,1.0941600045839976,1.095694324448994,5.622656582237087,6.238305068985249,5.465719418952958,5.933685584516346
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7795139809881737,1.786946351498132,5.752503196774638,6.535665480202931,5.409976602830733,5.950916048152263
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.779196423297959,6.645496305126228,7.2008595440018235,6.545813280087583,6.993446828636271
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.406139215422923,5.902617547028043,5.1497507389063495,5.451741460956807
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2101194766884582,1.364653033684556,1.8691268984228901
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.248786005587414,2.249647131293952
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9761366177541688
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
