,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22C,23H,24C,25H,26H,27C,28H,29H,30C,31H,32H,33C,34O,35O,36H
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7650251610719225,1.7765021999713193,4.266438139241701,5.292786425709566,4.6345577197186705,6.084691600921165,6.6473950561173485,6.53809909609068,7.5154157609819,6.797635909504078,5.550369268599286,5.795495333625794,5.87860566335724,4.148022116722935,3.431751254525254,3.9956232555899924,6.709030255946928,6.384792577952474,7.990995587773963,8.447763004304429
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7706145784132807,5.577656490069821,6.4878755508586945,6.033754178679083,7.440005060289257,8.077022961415372,7.940665490864263,8.836806664456136,8.335073820945635,6.849178379378545,6.870403895703797,7.191251322834782,5.568597929270063,4.665460699863098,5.594131597022303,7.803223675340591,7.251611004959692,9.098471904359494,9.408185160137398
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.658675237380823,5.697433200019156,4.803498869342836,6.122102912302442,6.90462965120843,6.471845439573508,7.293853480748908,6.9708874758207084,5.272141576277614,5.186256127733452,5.619771475343041,4.155911449033473,3.1371247854043873,4.372693366979104,6.423323647361674,5.816646902893066,7.759849115503433,8.055434106921767
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2319612330823235,1.3660910986673058,2.434225511451938,2.688133955630691,3.6579625383484213,4.544191143668744,4.036168118615044,3.690565351585958,4.042569899763113,4.607746888845659,2.5495458935040802,2.8210559798342363,2.9973432775668636,3.0584432813189446,3.2957380604198514,4.081921498791526,4.681582860458006
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26030229587258,2.7127399863847166,2.5907629536385386,4.185825709195015,4.9177895816367005,4.552455131200197,4.566512513426843,4.853915197343268,5.546256203156919,3.6521648115916356,3.989774775240627,4.1169871679291505,3.033887011648659,3.4286975019572297,3.7207832637996288,4.275543742287016
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.459997535755475,2.1122503377095216,2.3568638246352447,3.302276958549918,2.815663958186118,2.3625471696833547,2.8394452158390187,3.29943075883629,1.471637682907305,2.130758581994762,2.1247735659614717,2.4597297433559753,2.8354278220477296,3.60290760683779,4.300277723443131
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092314211854995,1.5464926269761923,2.210453262352693,2.166993929050233,2.4156989247093823,2.8079827950426033,3.3894377577484125,2.4444288125000893,3.2529495206730243,3.110965450657355,1.5295282496282254,2.4408496685769547,2.3781209741774307,3.213126124911704
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2132659061446023,2.761281068421177,2.399253273072231,3.357156554472636,3.865840509173136,4.218153451385897,3.269665939280887,4.1446569264667845,3.6959740743107803,2.1400256418760226,3.2342844638527044,2.455335481191093,3.397430355983769
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0939296625634025,1.0963111299615855,1.5381705752996078,2.1708421301958505,2.2100040400895433,2.415629892005819,3.3461582060470088,2.9212239645426585,2.533154127302966,3.2502710473221934,3.219437582561819,4.000317105809358
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7697304272138492,2.2151216336782316,2.4609016838594773,2.721562891145299,3.3909466407139814,4.205694926690664,3.965337654870837,2.6474052547934823,3.3624722169490227,2.98810940581412,3.6608295722961697
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.183012972270373,3.070841864561152,2.47030570722282,2.816592230335181,3.8723374485923956,2.912811560229345,3.4335144469961976,4.268166399529,3.9490210188582795,4.822286756744062
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0948597585570747,1.0941797470520014,1.5381663700010721,2.196708511720883,2.1907459851091464,3.171285228017881,3.3611966544822947,4.226922888206801,4.833619006591148
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7746380498232133,2.1666531310602157,2.384000734346788,3.0507505312843852,3.01006402468012,2.8535427193299885,4.102815360079444,4.507295709500498
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2003278491308302,2.7540168197098516,2.42058243566511,4.220359618836805,4.409809042486438,5.186489409437303,5.799914800631296
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0937628297817228,1.0996645784213464,3.397056275691513,3.512016373260828,4.6202557978587375,5.261754997583345
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7754476555747645,3.8625881140859377,3.6307135309957586,5.184781984050735,5.682094403394809
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.312219892208478,4.564025740499601,5.441410039444645,6.170528757886939
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2105772127859213,1.352339646352259,1.8768653628442424
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.256448708039882,2.2918759390206085
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764627233855199
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
