 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,C22,H23,C24,H25,H26,C27,H28,H29,C30,H31,H32,C33,O34,O35,H36
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0690381557919224,1.8492327820313395,1.9384998663682893,0.17465526066072565,0.03094889612837992,0.011103547681258208,0.00850363612616123,0.005642295249897733,0.0016639976962192077,0.0010213552020809785,0.00016118387111713206,1.9738109593658848e-05,1.3552425758969755e-05,1.975634235540369e-06,1.0555803409140196e-07,1.9428076296276742e-05,9.663247634295047e-07,3.6039479542893105e-06,0.0001000975038492613,8.759523172574557e-05,3.1993926822182495e-05,8.334900591645822e-05,3.000811937878267e-05,1.632551905589308e-05,2.8139372959534725e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022749159392677187,0.023984102749708303,0.0317135781805814,0.002810955095477796,0.0008207462093310358,0.000457306004827851,8.527399531454982e-05,5.4437962816900054e-05,2.375288197820069e-05,2.867963178054822e-06,6.035623332234508e-07,2.655345423541178e-07,7.314713723616251e-08,8.900933101685382e-09,6.541107411273117e-07,2.6594080071440374e-07,1.3082699990007995e-07,5.852824143559587e-06,1.0281636686482187e-06,1.5569958109473703e-06,1.871113806117819e-06,7.341879670885731e-07,3.071488101635822e-07,6.337066205119868e-08
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022542964745246863,0.009347110796242286,0.0005080514765156696,0.0001801618676868788,0.004189938181066166,9.743318619692687e-05,1.7419462508661e-05,2.524966551331609e-05,4.008981171255144e-06,5.350526448566484e-07,1.4453881735931873e-06,3.6477791143241234e-07,8.409192675529198e-09,3.3531170109402098e-06,3.7046208767321787e-07,1.2349466982364277e-07,2.3111162571476385e-05,8.06065899427999e-06,1.0936637633296442e-06,2.4502569424544873e-06,3.244444247263445e-06,8.871946983735057e-07,2.385818951289309e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009726384579410996,0.0006450745183892437,0.004705779290665957,0.0001636313600701378,0.0013533137718348964,0.0004029510697678429,0.0002644439957741884,4.445411672837629e-05,7.08340999677759e-06,2.3641328756873747e-06,4.839545464374595e-07,1.3587628799882623e-08,2.6532874541906892e-06,2.6219731918963873e-07,8.760274807784185e-07,1.5629389364946178e-05,6.688725860293232e-06,6.411121403981923e-06,2.470525369169252e-05,4.695108765329081e-06,5.012641125734518e-06,9.549983004397689e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.047824583345635,1.9357827004841255,1.9219380816377634,0.0030701352127976006,0.001736741764416426,0.00042494961491797156,6.365636511630746e-05,1.637871322834883e-05,3.2890546891858885e-05,4.135659496085076e-06,6.09593416855958e-07,7.333454823336971e-05,1.0094049988418341e-05,1.6357338864514404e-06,0.0008915909372051029,0.0018416543311621236,4.0708632428776426e-05,2.162295420285454e-05,7.925776583934951e-06,5.982286062897191e-06,8.787105877372525e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02397768738245376,0.023053366137899767,0.0008484554025611768,0.0009826645268657952,9.680327028949165e-05,1.188277676034133e-05,2.1454123053654683e-06,2.86193918430655e-06,5.474066018251733e-07,9.123820521317327e-08,6.6293110894122265e-06,1.1197170517451838e-06,1.0868862037050064e-06,9.285281645410315e-05,5.6931389413872324e-05,7.258916609131916e-06,6.639664945184975e-06,1.0514115122983725e-06,1.145466440366505e-06,1.3046406999173144e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022700352175283323,0.0004252641082114206,0.0003257902192652651,3.188430420553168e-05,1.369116998350961e-05,1.6080904796655915e-06,6.521865379305325e-06,3.6756283816608004e-07,8.90299922673421e-08,1.2467307826780072e-05,1.509560632717566e-06,1.2122491721555662e-07,0.00015425160935356175,0.0002146316653341973,7.667830839164225e-07,3.747616829974376e-06,1.2657823613704267e-06,1.196999161567902e-06,3.0936984907192766e-07
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.843184475337829e-05,5.627780985584252e-05,0.00017728438546371628,2.5351226190739595e-05,8.423027248793957e-06,2.5622849826323346e-05,2.914349304328212e-06,3.8573058036561747e-07,5.750654962222157e-05,5.526464849303636e-06,9.848132238587937e-07,0.0005053946620203753,0.0015570747346798086,4.754380595417551e-05,4.553796872253102e-06,4.556670123667672e-06,1.589460436157708e-06,2.2039115865624126e-07
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.958484373143088,3.3976113116170206,0.273732218980748,0.01924486527387126,0.031069585540471456,0.0035827733825914976,0.00023298789785441976,0.02811711944314174,0.00017599491129338674,0.0030986634723229045,0.23907431586370603,0.015775297677206312,0.020886996978085826,0.0451900785735202,0.010241596157672006,0.006702762689650171,0.0007824166921897024
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5340232543439161,0.08435059348244611,0.026154912569413158,0.010620925176345733,0.001087608354419567,0.00027665966508383377,0.008106929765382923,0.00016991406195543401,0.002185501959847125,0.055372416054681295,0.005898475862378683,0.010767831990882715,0.03750722680768931,0.0072070802779002074,0.004063723911807246,0.0005701262541316643
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.718632823406699,0.09209536957062148,0.20320739933820336,0.022348733052345304,0.0031166193265637077,0.20641176425167493,0.003012058950701446,0.02247338486046324,2.8285891836314105,0.08893938215377806,0.09712452001873761,0.18751052197928297,0.029922389153356724,0.026790506747852938,0.004552235144368422
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9629162587085822,2.6143323775241214,0.07925691019957526,0.09025353704312455,0.19810982175474337,0.004800281068639611,0.025926909191934744,0.22137013521437032,0.018379580815203855,0.009437024096761615,2.751005464128184,0.2764085555577681,0.2218127571764727,0.055208632149034265
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07756598665679548,0.0015975331402560133,0.009995362312158473,0.02233829673063048,0.000530576841056396,0.0005530710611392209,0.018984446412310785,0.0008668779527560844,0.0002414451094723269,0.10762399083851037,0.024853596397813482,0.013347579250639563,0.0009568599271494449
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.093093146372455,2.0272503616339157,2.676565167549522,0.08506710524996319,0.07901455158249815,0.19815979794384878,0.022623391475724897,0.00430383843756621,0.19141431737073958,0.04169048890149471,0.02359456033196841,0.0019428348960286446
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02647736674561263,0.07787456727234154,0.007782202851219999,0.0010631865300660959,0.02668263202213006,0.0006454321988051959,5.646921560353846e-05,0.016210409428908168,0.002345215423166347,0.004084916494387247,0.00013679956526502224
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08135722878694462,0.031122795412612092,0.007678032218372932,0.005597218369555179,0.00029136724038458794,0.0008433625727410909,0.0246439456716121,0.0061154532316778365,0.0018224811714648848,0.0005998245161127347
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.933129531903687,1.977014238562451,2.8530568844183186,0.07995808402806825,0.07949347120721861,0.015082943583503483,0.01021368543657955,0.0037195930793841314,0.0002096538657517799
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026158742959107473,0.08497144071405383,0.010421253595305435,0.025898312998293038,0.005399214972597877,0.011894510949430392,0.0010891299998230242,2.1922317301692473e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08429881479366252,0.001470499308207751,0.008053187605971512,0.0020665247520008645,0.0007165229721985966,0.0006568279359271401,1.093916775185555e-05
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1390373232257547,2.142308490294443,0.01626444172472663,0.003953105271094645,0.004390611784110612,0.001009029064696465
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02388998497868955,0.0005498597709499009,0.0003374107101370427,0.00015668351555564453,3.898018638293088e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003160180515036304,0.000475019113887587,0.0006842132203872531,9.482970622576303e-05
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.259616883387218,3.141454390338517,0.1672836632734549
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5207544808921505,0.06681947393117948
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8212776074863157
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
