 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,C18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,C29,O30,O31,H32
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07528364422387357,0.01300441290932075,0.026961620724643698,0.007507077231505788,0.00018919608653977793,0.004464501634462215,0.00045194460842590267,0.00019704375520235295,8.353258940840824e-05,6.0567352091478455e-06,6.922672680431674e-06,0.00026016181114663084,0.0004815266106901195,2.611872039315344e-06,0.001573213169871135,0.0013838269406742931,0.0001445217399642651,0.0018980941388571093,0.009439815821597808,0.0008602777913311321,4.2154396698634855e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.205232486299313,4.902753611018707,0.0019959261662023664,0.0009205860379325193,0.0017446840552288179,0.00039525490771569194,2.5359096890165134e-05,0.00047775558648840977,7.921105083474878e-05,2.4436184926424076e-05,0.0012374868591035204,0.00023473144927055323,9.827159855424483e-06,0.014849727941651264,0.02425829359064524,0.000317851137370484,0.0001530495612898919,0.00020745553970777375,5.013119170407809e-05,1.5386191862254428e-05
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5889824202274684,0.004282656967396409,0.001582813981778071,0.008000759621769007,0.0019728346724864204,7.469260179182591e-05,0.002597216582788664,0.0004302031540462936,0.00016519833132588868,0.006912346014842849,0.001050316289721298,5.0795938257630624e-05,0.10185811366304065,0.22104024842072534,0.000916853229261605,0.00020656333480945088,5.785711899335133e-05,8.69105261083053e-05,3.852047014607507e-05
O14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016340683446749438,0.0003791861540235128,0.0007465999112575283,0.00020227338055997524,1.0536477646150288e-05,0.00021715508929696925,4.9100805667112724e-05,1.5764364354131644e-05,0.0005315514655061249,0.0001864597287456471,2.1392815463538994e-06,0.007034783663213737,0.008951672957291046,9.226164210840437e-05,0.00012726438431384657,0.0001935945473478251,3.3888411172383615e-05,1.0031491782025448e-05
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.476432434742361,3.3135801720178373,0.28143449949784716,0.022711333302937398,0.029216322346939744,0.002967157426658762,0.00043700810845503923,0.03023612809413681,0.00024661430800398954,0.0036280662611318792,0.23669696124628997,0.012086310344035844,0.025373412714177368,0.05475851882213528,0.010686457418855155,0.006802484193949437,0.0005781898466017399
O16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5279137718870929,0.09550377370286005,0.02321955689747024,0.013544818173203424,0.0012397393084319086,0.0003837256071161921,0.009948377566848951,0.00021916349419770498,0.002719697064528459,0.0557719443207169,0.003330695938707051,0.011883635943895632,0.0830511580297754,0.016746317250264167,0.008449677285117314,0.0005499546013988388
N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7855762614786084,0.09082217142093585,0.19788222919289986,0.01904189940468015,0.0033756660201440525,0.2216384409392155,0.003955899118347483,0.026084011185393496,2.7165130848003245,0.08627893336281711,0.09623120922062967,0.18306550480027897,0.027547912044509237,0.025382984094378253,0.004381166721179275
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.985976154630237,2.5388310413561155,0.07804593387347825,0.08779872117345433,0.1910866524585754,0.004699438864208982,0.026362268788177712,0.21748074054460853,0.019856969269703706,0.006835271941607379,2.663680226988784,0.2682656201464909,0.2122098342042726,0.05530136982323397
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07531658349164339,0.0025457446055947575,0.01106324370126277,0.01958844541146687,0.0005941518133292245,0.00042293309146090863,0.014194539584375887,0.0005440052981524612,0.0006479867790440963,0.10905569412691207,0.02214533312339262,0.016571899771756216,0.0013040382029907427
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1363135078805007,1.9749033100420041,2.530919933603084,0.08434834267745361,0.07807526324026082,0.20529406423677315,0.024018347447539945,0.006609477766517768,0.19692958724238216,0.041337347179771056,0.0222386651915943,0.001972173503603125
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025180515951674476,0.0756520256270774,0.0074734242520360095,0.0010665059997054804,0.026987560216266138,0.001077449757379112,0.0002463986854555067,0.019922198695788707,0.002789593278951674,0.0019269435364899223,0.00013181795233840887
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0819518822652443,0.03140065344994003,0.007583841622665011,0.00693257048536533,0.00037077832391840815,0.00200110323873548,0.0212744685281836,0.006212874654380363,0.0012973687927841926,0.0005379429309058104
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7939893654582428,2.0093022061584156,2.8096706392157387,0.08244749722775757,0.0806033892782525,0.014005607932445319,0.00861276148254933,0.0036680294168761757,0.00025886342525904826
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025795728745114044,0.08367619007708349,0.0085278557273476,0.031296810486839854,0.0034349700456350885,0.010978164716042071,0.0009227430527497527,3.758739804005096e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08131943787529172,0.0009534937650543807,0.006748832100808233,0.002190108233914856,0.0007970546436333326,0.0005893159631584766,3.748550905036119e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9223151627021444,1.865144101587928,0.01842616547846873,0.0023793251457118886,0.004581040741013259,0.0012412078657925152
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029279268270494763,0.0005240024020700673,0.00013386232329237746,0.00031367530553838563,0.00010397491885627552
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024197914827832623,0.0003452916367097103,0.0004063471487889547,3.0027700679058356e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21207324230235,3.004030766852763,0.1648826688785826
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5064806387807401,0.07640600401389386
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.707764514228126
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
